date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,136.75,136.75,131.3,136.75,233594,0
2023-01-03T00:00:00+0530,140,140,129.95,129.95,49264,0
2023-01-04T00:00:00+0530,125.3,128,123.5,123.5,13261,0
2023-01-05T00:00:00+0530,117.35,123.5,117.35,121.75,32374,0
2023-01-06T00:00:00+0530,125,127.8,123.9,127.65,28331,0
2023-01-09T00:00:00+0530,125.05,126.05,121.35,121.5,16395,0
2023-01-10T00:00:00+0530,122.5,124,119.05,120.3,8222,0
2023-01-11T00:00:00+0530,122.65,125.55,121.15,124.5,8694,0
2023-01-12T00:00:00+0530,121.65,123.65,119.75,120.65,4917,0
2023-01-13T00:00:00+0530,122.65,123.7,119.1,121.3,2651,0
2023-01-16T00:00:00+0530,119.95,121.8,119.3,121.05,3817,0
2023-01-17T00:00:00+0530,121.9,123.7,121.05,121.25,4199,0
2023-01-18T00:00:00+0530,119.1,119.1,115.2,115.2,23163,0
2023-01-19T00:00:00+0530,119.7,119.7,109.45,111.5,17066,0
2023-01-20T00:00:00+0530,115.7,115.7,110,112.25,7355,0
2023-01-23T00:00:00+0530,117,117,111,114.9,13538,0
2023-01-24T00:00:00+0530,115.4,115.9,111.15,111.3,5981,0
2023-01-25T00:00:00+0530,112,113.15,109.4,109.9,3688,0
2023-01-27T00:00:00+0530,114.8,115,106,112.85,11964,0
2023-01-30T00:00:00+0530,108.4,115.2,108.4,113.85,5117,0
2023-01-31T00:00:00+0530,116.7,116.7,110,111.8,4493,0
2023-02-01T00:00:00+0530,112.1,112.1,106.25,106.4,11330,0
2023-02-02T00:00:00+0530,104.75,108.7,104.7,104.85,6735,0
2023-02-03T00:00:00+0530,104,110.05,102.45,109.35,5761,0
2023-02-06T00:00:00+0530,114,114.8,109.35,114.8,9072,0
2023-02-07T00:00:00+0530,120.5,120.5,110.65,114.85,19317,0
2023-02-08T00:00:00+0530,113.1,116.5,111.1,115.75,2031,0
2023-02-09T00:00:00+0530,114.95,116.5,113.95,114.9,257,0
2023-02-10T00:00:00+0530,114,115.85,112,114.85,3981,0
2023-02-13T00:00:00+0530,114,114,109.1,109.1,7488,0
2023-02-14T00:00:00+0530,110.45,110.45,107,109.1,1049,0
2023-02-15T00:00:00+0530,113.85,113.85,107,107.65,1822,0
2023-02-16T00:00:00+0530,109.3,113,106,109.25,4533,0
2023-02-17T00:00:00+0530,109.25,112.95,106.9,112.95,3528,0
2023-02-20T00:00:00+0530,107.3,111.95,107.3,109.85,5101,0
2023-02-21T00:00:00+0530,107.05,110.45,105.05,109,1059,0
2023-02-22T00:00:00+0530,113,114.45,109,114.45,24380,0
2023-02-23T00:00:00+0530,112.15,120,110,118.15,22872,0
2023-02-24T00:00:00+0530,118.15,120.75,115.1,116.75,7949,0
2023-02-27T00:00:00+0530,116.5,119,110.95,117.4,6259,0
2023-02-28T00:00:00+0530,119.1,119.1,111.55,111.55,2968,0
2023-03-01T00:00:00+0530,107.05,112.95,107.05,108.1,11719,0
2023-03-02T00:00:00+0530,109.05,110.6,106.3,109.95,4275,0
2023-03-03T00:00:00+0530,109.5,113.2,106.05,107,5398,0
2023-03-06T00:00:00+0530,108.7,109.95,105.6,107.1,2434,0
2023-03-08T00:00:00+0530,106.65,107.05,102.1,104.35,3330,0
2023-03-09T00:00:00+0530,105.7,105.7,100.3,102.3,5185,0
2023-03-10T00:00:00+0530,100,105.85,99.2,104.15,2431,0
2023-03-13T00:00:00+0530,104.75,106.9,99.05,103,3544,0
2023-03-14T00:00:00+0530,102.5,106.25,99.8,100,27280,0
2023-03-15T00:00:00+0530,101,105,98,99.3,4440,0
2023-03-16T00:00:00+0530,95,100,94.5,95.15,10356,0
2023-03-17T00:00:00+0530,97,99.9,96,97,3759,0
2023-03-20T00:00:00+0530,92.2,100.15,92.2,94.5,2763,0
2023-03-21T00:00:00+0530,95.55,97.45,94.15,94.75,2192,0
2023-03-22T00:00:00+0530,95.35,99.4,95,97.25,2009,0
2023-03-23T00:00:00+0530,96.45,97.4,93,93.7,3925,0
2023-03-24T00:00:00+0530,97.55,97.55,93.25,93.6,8714,0
2023-03-27T00:00:00+0530,93.3,95.35,90.05,94.15,2997,0
2023-03-28T00:00:00+0530,94.3,95.25,89.45,89.55,2191,0
2023-03-29T00:00:00+0530,89.5,91.1,85.1,86.8,5042,0
2023-03-31T00:00:00+0530,91.05,91.05,84.5,86.8,31333,0
2023-04-03T00:00:00+0530,87.85,91.1,85.6,88.1,6619,0
2023-04-05T00:00:00+0530,88.5,91.95,87.8,90.5,2656,0
2023-04-06T00:00:00+0530,91.65,93.85,87.25,92.85,3698,0
2023-04-10T00:00:00+0530,94,94.75,88.65,90.5,4065,0
2023-04-11T00:00:00+0530,93.5,99.55,91.9,93.85,7963,0
2023-04-12T00:00:00+0530,99.95,99.95,89.55,92.7,11130,0
2023-04-13T00:00:00+0530,94.8,94.8,92.45,93.15,734,0
2023-04-17T00:00:00+0530,94.05,94.9,90.05,92.75,2421,0
2023-04-18T00:00:00+0530,97,97.35,90.1,91.9,8147,0
2023-04-19T00:00:00+0530,93.15,95.75,90.8,91,10705,0
2023-04-20T00:00:00+0530,91.05,100,88.95,95.05,12562,0
2023-04-21T00:00:00+0530,96,96.3,93.35,96.3,1343,0
2023-04-24T00:00:00+0530,98.25,102.9,94.4,100.5,4763,0
2023-04-25T00:00:00+0530,104.9,105,98.45,103.25,7466,0
2023-04-26T00:00:00+0530,104.75,107.25,100.15,100.25,10977,0
2023-04-27T00:00:00+0530,102.95,105.95,98,100.2,3148,0
2023-04-28T00:00:00+0530,103,103,96.5,98.05,4241,0
2023-05-02T00:00:00+0530,102.8,102.95,98.45,101.45,6248,0
2023-05-03T00:00:00+0530,99.85,101,96.65,98.35,21262,0
2023-05-04T00:00:00+0530,98.65,99.15,95.2,96.6,6782,0
2023-05-05T00:00:00+0530,97.8,98.25,95.05,95.95,3268,0
2023-05-08T00:00:00+0530,96.35,97.95,95.15,96.45,324,0
2023-05-09T00:00:00+0530,97.3,98.1,93.65,96.35,14211,0
