date,open,high,low,close,volume,empty
2024-07-01T00:00:00+0530,88,92.4,83.6,92.4,1906000,0
2024-07-02T00:00:00+0530,97,97,97,97,56000,0
2024-07-03T00:00:00+0530,101.85,101.85,101.85,101.85,48000,0
2024-07-04T00:00:00+0530,106.9,106.9,106.9,106.9,20000,0
2024-07-05T00:00:00+0530,112.2,112.2,108.85,112.2,1148000,0
2024-07-08T00:00:00+0530,117.8,117.8,114.25,117.8,556000,0
2024-07-09T00:00:00+0530,123.65,123.65,118,123.65,298000,0
2024-07-10T00:00:00+0530,129.8,129.8,117.5,117.5,502000,0
2024-07-11T00:00:00+0530,114,122,111.65,116.6,470000,0
2024-07-12T00:00:00+0530,117,122.4,111,122.4,318000,0
2024-07-15T00:00:00+0530,128,146.85,126.05,146.85,1364000,0
2024-07-16T00:00:00+0530,148.4,149,132.1,137.05,728000,0
2024-07-18T00:00:00+0530,138.9,164,131.15,158.9,876000,0
2024-07-19T00:00:00+0530,159.9,159.9,146,149.45,352000,0
2024-07-22T00:00:00+0530,160,172.9,148,162.55,862000,0
2024-07-23T00:00:00+0530,164.65,165.85,144.4,153.45,312000,0
2024-07-24T00:00:00+0530,151,158.9,148,150.85,224000,0
2024-07-25T00:00:00+0530,151.75,169,149.1,160.45,408000,0
2024-07-26T00:00:00+0530,161,179.95,156.6,168.2,528000,0
2024-07-29T00:00:00+0530,170,176,161.2,166.95,156000,0
2024-07-30T00:00:00+0530,168,171,157.2,159.95,152000,0
2024-07-31T00:00:00+0530,159.95,163.6,148.55,150.6,206000,0
2024-08-01T00:00:00+0530,154.5,156.4,136.5,144.3,418000,0
2024-08-02T00:00:00+0530,143,143,135,139.6,248000,0
2024-08-05T00:00:00+0530,134.1,143.7,132.25,133.75,102000,0
2024-08-06T00:00:00+0530,139,141.7,128.8,129.3,160000,0
2024-08-07T00:00:00+0530,134.75,136,128.3,135.8,62000,0
2024-08-08T00:00:00+0530,136,138,129,129.85,132000,0
2024-08-09T00:00:00+0530,128.1,134.4,128.1,131.2,104000,0
2024-08-12T00:00:00+0530,132,133,128.35,132.85,38000,0
2024-08-13T00:00:00+0530,134,144.7,131,141.05,166000,0
2024-08-14T00:00:00+0530,142,142,136.5,139.4,74000,0
2024-08-16T00:00:00+0530,149,149,140.1,143.5,92000,0
2024-08-19T00:00:00+0530,146.55,152,146.2,147.4,86000,0
2024-08-20T00:00:00+0530,150,150,139,139.1,94000,0
2024-08-21T00:00:00+0530,136,138.4,132.15,134.4,122000,0
2024-08-22T00:00:00+0530,136,150,134.55,147.1,244000,0
2024-08-23T00:00:00+0530,152.8,176.5,152.8,176.5,1052000,0
2024-08-26T00:00:00+0530,184.8,211.8,184.8,211.7,1368000,0
2024-08-27T00:00:00+0530,205.05,218.75,190.55,190.55,750000,0
2024-08-28T00:00:00+0530,189.95,199.9,174.15,177.85,430000,0
2024-08-29T00:00:00+0530,179.8,179.8,166.7,169.75,186000,0
2024-08-30T00:00:00+0530,171.15,186.7,166.05,186.7,310000,0
2024-09-02T00:00:00+0530,194,194,172,172.95,184000,0
2024-09-03T00:00:00+0530,178,178,170,173,72000,0
2024-09-04T00:00:00+0530,161,171.95,161,167.25,68000,0
2024-09-05T00:00:00+0530,168.1,174,168.1,169.5,68000,0
2024-09-06T00:00:00+0530,173.5,173.5,164,164.9,56000,0
2024-09-09T00:00:00+0530,165,171.9,164,164,80000,0
2024-09-10T00:00:00+0530,167,169,161,163.5,84000,0
2024-09-11T00:00:00+0530,166,167,157.05,158.75,62000,0
2024-09-12T00:00:00+0530,155,161.95,155,159.15,30000,0
2024-09-13T00:00:00+0530,162,162,155,157.85,82000,0
2024-09-16T00:00:00+0530,154.5,157,151.5,152.3,82000,0
2024-09-17T00:00:00+0530,150.35,152,145,149.05,96000,0
2024-09-18T00:00:00+0530,149,149,143,144.2,90000,0
2024-09-19T00:00:00+0530,146,157,144.05,149.85,114000,0
2024-09-20T00:00:00+0530,151,160.5,151,155.1,84000,0
2024-09-23T00:00:00+0530,155.3,162.75,151.5,151.95,60000,0
2024-09-24T00:00:00+0530,151,152.6,148,151.1,32000,0
2024-09-25T00:00:00+0530,153.8,153.8,144,150.6,94000,0
2024-09-26T00:00:00+0530,148.95,149.5,146.25,149.25,26000,0
2024-09-27T00:00:00+0530,151,151,149,149,6000,0
2024-09-30T00:00:00+0530,149,149,146.1,146.75,24000,0
2024-10-01T00:00:00+0530,146.5,147,143.55,146.4,44000,0
2024-10-03T00:00:00+0530,142,149,142,147.75,82000,0
2024-10-04T00:00:00+0530,146.1,153.7,146.1,149.25,32000,0
2024-10-07T00:00:00+0530,147.35,148.55,134.35,134.95,168000,0
2024-10-08T00:00:00+0530,129.1,137.5,127,134.9,76000,0
2024-10-09T00:00:00+0530,139.45,147.9,139.45,146.2,52000,0
2024-10-10T00:00:00+0530,150.75,150.8,147,149.6,20000,0
2024-10-11T00:00:00+0530,154,154,146.2,146.85,54000,0
2024-10-14T00:00:00+0530,150,150,142.75,144.2,40000,0
2024-10-15T00:00:00+0530,144.2,157.75,144.2,152.45,160000,0
2024-10-16T00:00:00+0530,155.5,155.5,151.6,153.1,38000,0
2024-10-17T00:00:00+0530,154.75,154.75,143.35,146.1,90000,0
2024-10-18T00:00:00+0530,141.35,144.95,141.35,144.2,20000,0
2024-10-21T00:00:00+0530,141,141,135.5,135.5,12000,0
2024-10-22T00:00:00+0530,132.5,132.5,126.5,128.4,90000,0
2024-10-23T00:00:00+0530,134.95,148,133,144.2,116000,0
2024-10-24T00:00:00+0530,144,154,143,150.75,138000,0
2024-10-25T00:00:00+0530,150.75,154,140,150.6,122000,0
2024-10-28T00:00:00+0530,148.05,149,140.3,142.7,104000,0
2024-10-29T00:00:00+0530,140.35,145,140.35,145,28000,0
2024-10-30T00:00:00+0530,145,147.1,145,146,14000,0
2024-10-31T00:00:00+0530,146,148,143.3,144.35,32000,0
2024-11-01T00:00:00+0530,145,149.75,145,148.2,26000,0
2024-11-04T00:00:00+0530,144,146.5,139,142.15,40000,0
2024-11-05T00:00:00+0530,143.85,143.85,140.5,141.65,11000,0
2024-11-06T00:00:00+0530,147.4,147.4,140.25,144.65,81000,0
2024-11-07T00:00:00+0530,145.75,145.75,140.25,140.65,21000,0
2024-11-08T00:00:00+0530,140.5,143.05,139.15,143,37000,0
2024-11-11T00:00:00+0530,132,140.5,132,134.9,38000,0
2024-11-12T00:00:00+0530,139,139,135.75,135.75,10000,0
2024-11-13T00:00:00+0530,139.75,139.75,132.9,134.65,22000,0
2024-11-14T00:00:00+0530,134,134,128.9,128.95,26000,0
2024-11-18T00:00:00+0530,127,128.75,121.4,126.5,31000,0
2024-11-19T00:00:00+0530,128.5,128.5,122.15,124,52000,0
2024-11-21T00:00:00+0530,124,126.5,121.7,122.45,32000,0
2024-11-22T00:00:00+0530,122.5,124,120.35,123,11000,0
2024-11-25T00:00:00+0530,123.5,126.4,119.1,123.5,20000,0
2024-11-26T00:00:00+0530,121,123.5,119.5,119.8,26000,0
2024-11-27T00:00:00+0530,118.1,120,118.1,119.5,23000,0
2024-11-28T00:00:00+0530,119.5,121.25,113.55,118.1,56000,0
2024-11-29T00:00:00+0530,118.5,119,112.25,114.95,58000,0
2024-12-02T00:00:00+0530,113.05,119,113,115.9,32000,0
2024-12-03T00:00:00+0530,115,119,115,117.1,12000,0
2024-12-04T00:00:00+0530,115,122.95,115,122.95,27000,0
2024-12-05T00:00:00+0530,127.8,129.05,124,129.05,17000,0
2024-12-06T00:00:00+0530,135.5,135.5,132.9,135.5,38000,0
2024-12-09T00:00:00+0530,142,142.25,137.95,142.2,73000,0
2024-12-10T00:00:00+0530,143.65,143.65,139.35,139.95,25000,0
2024-12-11T00:00:00+0530,141.75,141.75,137.15,137.15,11000,0
2024-12-12T00:00:00+0530,138,138,134.5,134.5,19000,0
2024-12-13T00:00:00+0530,133.9,133.9,131.85,131.85,6000,0
2024-12-16T00:00:00+0530,131.85,133.95,130.05,133.95,7000,0
2024-12-17T00:00:00+0530,131.3,132.3,131.3,131.35,10000,0
2024-12-18T00:00:00+0530,131.6,133.95,131.6,133,15000,0
2024-12-19T00:00:00+0530,132,135.65,132,135.65,29000,0
2024-12-20T00:00:00+0530,138.35,138.35,138.3,138.3,11000,0
2024-12-23T00:00:00+0530,141.05,141.05,138.7,138.7,17000,0
2024-12-24T00:00:00+0530,136,136,135.95,135.95,8000,0
