date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,99.9,102,97.95,100.05,377456,0
2023-01-03T00:00:00+0530,100.7,102.75,99.15,99.5,413368,0
2023-01-04T00:00:00+0530,100.45,100.8,97.4,98.55,320165,0
2023-01-05T00:00:00+0530,99,99.45,96.15,96.55,188196,0
2023-01-06T00:00:00+0530,96.4,97.4,93.75,95.15,221888,0
2023-01-09T00:00:00+0530,95.8,98.2,95,95.3,175589,0
2023-01-10T00:00:00+0530,96.05,97.2,94.5,95.05,129954,0
2023-01-11T00:00:00+0530,95.4,99.5,95.4,96.35,379542,0
2023-01-12T00:00:00+0530,96.95,97.9,95.45,96.4,125478,0
2023-01-13T00:00:00+0530,97.1,98.8,96,96.85,221040,0
2023-01-16T00:00:00+0530,96.9,97.5,95.2,95.4,185728,0
2023-01-17T00:00:00+0530,95.7,96.8,94.1,95.7,190999,0
2023-01-18T00:00:00+0530,96.2,98.5,95.55,95.95,331301,0
2023-01-19T00:00:00+0530,95.5,96.4,94.6,94.85,112613,0
2023-01-20T00:00:00+0530,95.35,95.8,92.7,93.5,145799,0
2023-01-23T00:00:00+0530,94,94.05,90.55,91.15,149295,0
2023-01-24T00:00:00+0530,91.45,92.35,89.45,90.25,203103,0
2023-01-25T00:00:00+0530,90.65,90.7,88.3,88.6,127227,0
2023-01-27T00:00:00+0530,89,89.8,85.15,85.8,147524,0
2023-01-30T00:00:00+0530,87,87.25,84.1,84.6,83397,0
2023-01-31T00:00:00+0530,85.7,90.75,84.5,90.1,180796,0
2023-02-01T00:00:00+0530,91.4,91.4,86,86.8,147353,0
2023-02-02T00:00:00+0530,86.75,88.5,86,87.1,97942,0
2023-02-03T00:00:00+0530,87.55,87.55,83.5,86.15,103829,0
2023-02-06T00:00:00+0530,86.35,87.5,85.05,86.15,101828,0
2023-02-07T00:00:00+0530,86.6,86.75,85,85.2,56109,0
2023-02-08T00:00:00+0530,85.65,86.4,84.6,86,63967,0
2023-02-09T00:00:00+0530,86.1,86.6,83.8,84.45,95099,0
2023-02-10T00:00:00+0530,84.4,88.25,84.4,87.15,123153,0
2023-02-13T00:00:00+0530,87.5,89.8,85.6,86.3,113094,0
2023-02-14T00:00:00+0530,86.9,86.9,82.05,83.95,110482,0
2023-02-15T00:00:00+0530,83.6,86.4,83.55,85.15,77591,0
2023-02-16T00:00:00+0530,85.8,86.5,84.3,85.15,66116,0
2023-02-17T00:00:00+0530,84.85,86.25,83.4,83.7,78840,0
2023-02-20T00:00:00+0530,84.55,84.7,82.5,83.2,56049,0
2023-02-21T00:00:00+0530,83.6,84.25,82.1,82.95,45842,0
2023-02-22T00:00:00+0530,82.2,82.6,80.6,81,71833,0
2023-02-23T00:00:00+0530,81,81.4,79.15,79.6,81617,0
2023-02-24T00:00:00+0530,80.55,81.65,79.45,79.95,52780,0
2023-02-27T00:00:00+0530,79.9,79.9,77.65,78.1,50984,0
2023-02-28T00:00:00+0530,78.8,80.55,78.2,79.15,64735,0
2023-03-01T00:00:00+0530,80,81.8,79.1,81,47239,0
2023-03-02T00:00:00+0530,80.6,82.4,79.25,79.6,72672,0
2023-03-03T00:00:00+0530,80.35,81,79.15,80.2,69090,0
2023-03-06T00:00:00+0530,80.9,82.75,80.45,81.4,98713,0
2023-03-08T00:00:00+0530,81.35,97.65,81.15,97,2024537,0
2023-03-09T00:00:00+0530,99,100.5,88,88.8,1236943,0
2023-03-10T00:00:00+0530,87.1,95.2,86.3,90.55,974993,0
2023-03-13T00:00:00+0530,91.25,92.95,88.2,88.9,245627,0
2023-03-14T00:00:00+0530,88.55,90.55,86.2,86.85,160302,0
2023-03-15T00:00:00+0530,87.8,88.8,85.2,86.05,77298,0
2023-03-16T00:00:00+0530,85.85,86.55,82.4,83.95,200519,0
2023-03-17T00:00:00+0530,84.8,86.4,83.4,83.8,123214,0
2023-03-20T00:00:00+0530,84.1,84.1,81.7,82.7,86597,0
2023-03-21T00:00:00+0530,83.1,85,83,83.55,100970,0
2023-03-22T00:00:00+0530,84,84.95,82.05,82.45,89115,0
2023-03-23T00:00:00+0530,82.45,86.75,82.3,84.1,325618,0
2023-03-24T00:00:00+0530,84.55,84.6,81.55,82.15,109789,0
2023-03-27T00:00:00+0530,81.8,82.55,79.8,80.3,96779,0
2023-03-28T00:00:00+0530,79.3,80.35,78,78.6,124752,0
2023-03-29T00:00:00+0530,78.95,92,78.9,89.45,1006781,0
2023-03-31T00:00:00+0530,89.45,93.2,88.2,90.1,831861,0
2023-04-03T00:00:00+0530,90.2,94.3,90.2,93.65,731747,0
2023-04-05T00:00:00+0530,94.35,96.6,93.05,93.55,525785,0
2023-04-06T00:00:00+0530,94.9,96.65,90.9,91.7,492279,0
2023-04-10T00:00:00+0530,94,94,89.75,90.35,166326,0
2023-04-11T00:00:00+0530,91.1,93.75,90.45,92.45,352585,0
2023-04-12T00:00:00+0530,93.25,96.65,93.25,93.75,689772,0
2023-04-13T00:00:00+0530,93.8,93.85,90.4,91.1,134273,0
2023-04-17T00:00:00+0530,90.7,95.55,89.85,92.9,345022,0
2023-04-18T00:00:00+0530,93,94.65,92.05,92.8,200632,0
2023-04-19T00:00:00+0530,93,98.1,92.25,97.45,1043745,0
2023-04-20T00:00:00+0530,98.15,99.75,95.05,95.3,661861,0
2023-04-21T00:00:00+0530,96.4,98.25,93.5,93.9,430988,0
2023-04-24T00:00:00+0530,93.9,94.5,92.6,93.25,190929,0
2023-04-25T00:00:00+0530,93.5,99,93.45,95.95,610848,0
2023-04-26T00:00:00+0530,96.1,96.65,95,95.6,187879,0
2023-04-27T00:00:00+0530,95.6,97.45,94.15,95.25,249921,0
2023-04-28T00:00:00+0530,95.6,96.45,95,96,183643,0
2023-05-02T00:00:00+0530,95.75,98.2,94.6,95.45,328208,0
2023-05-03T00:00:00+0530,95,97.6,93.75,94.85,455068,0
2023-05-04T00:00:00+0530,94.9,102.4,94.85,97.85,1201330,0
2023-05-05T00:00:00+0530,97.85,98.7,95.7,96.2,189501,0
2023-05-08T00:00:00+0530,96.95,97.5,96,96.8,201859,0
2023-05-09T00:00:00+0530,97.1,98.75,94.1,95.25,389923,0
2023-05-10T00:00:00+0530,95.6,95.6,91.55,92.3,300924,0
2023-05-11T00:00:00+0530,92.4,94,91.95,92.25,180765,0
2023-05-12T00:00:00+0530,92.2,93.1,91.15,91.75,137254,0
2023-05-15T00:00:00+0530,91.8,92.85,90.9,92.15,105424,0
2023-05-16T00:00:00+0530,92.15,93.95,91.35,91.65,121788,0
2023-05-17T00:00:00+0530,91.95,92.45,91.3,92.15,69072,0
2023-05-18T00:00:00+0530,92.3,92.8,90.4,90.85,70339,0
2023-05-19T00:00:00+0530,91.3,92.25,89.45,91.5,127533,0
2023-05-22T00:00:00+0530,91.9,91.9,89.7,90.35,107070,0
2023-05-23T00:00:00+0530,90.65,91.2,90.1,90.4,70204,0
2023-05-24T00:00:00+0530,90,92.1,89.8,90.05,116635,0
2023-05-25T00:00:00+0530,90.25,91,89.75,90.15,61987,0
2023-05-26T00:00:00+0530,90.65,91.65,89.55,90,100111,0
2023-05-29T00:00:00+0530,90.1,93.3,89.7,92.6,261296,0
2023-05-30T00:00:00+0530,92.55,99.7,91,97.15,1665636,0
2023-05-31T00:00:00+0530,97,97,94.2,96.1,241998,0
2023-06-01T00:00:00+0530,95.2,97.3,95.2,96.05,115099,0
2023-06-02T00:00:00+0530,96.45,97,94.55,95,126558,0
2023-06-05T00:00:00+0530,95.85,97.2,95.1,96.3,143709,0
2023-06-06T00:00:00+0530,96.75,96.9,93.8,95.75,72849,0
2023-06-07T00:00:00+0530,95.75,99.5,87.2,95.95,1177616,0
2023-06-08T00:00:00+0530,96.4,98.6,94.85,95.7,329172,0
2023-06-09T00:00:00+0530,97.15,101.4,96.9,100.65,1223596,0
2023-06-12T00:00:00+0530,101.7,101.7,98,98.3,305808,0
2023-06-13T00:00:00+0530,99.15,100.2,97.4,98.15,165692,0
2023-06-14T00:00:00+0530,98.75,99.4,96.9,97.15,179469,0
2023-06-15T00:00:00+0530,97.7,98.3,96.7,97,160726,0
2023-06-16T00:00:00+0530,97,102.5,97,99.05,917255,0
2023-06-19T00:00:00+0530,99.65,101.45,98.3,99.45,171523,0
2023-06-20T00:00:00+0530,99.9,101.45,98.2,99.7,232980,0
2023-06-21T00:00:00+0530,100.2,101.05,98.55,99.75,285560,0
2023-06-22T00:00:00+0530,99.05,108,99.05,103.55,2348697,0
2023-06-23T00:00:00+0530,104,105.8,99.35,100.6,662958,0
2023-06-26T00:00:00+0530,100,101,97.4,98.3,301752,0
2023-06-27T00:00:00+0530,98.85,99.5,98.15,98.6,140111,0
2023-06-28T00:00:00+0530,98.2,100,97.9,98.4,148701,0
2023-06-30T00:00:00+0530,99.25,101.5,98.5,99.65,266959,0
2023-07-03T00:00:00+0530,101.5,101.5,99.95,101.15,157070,0
2023-07-04T00:00:00+0530,102.2,102.8,100.7,101.3,298500,0
2023-07-05T00:00:00+0530,101.4,103.8,101.35,103,294796,0
2023-07-06T00:00:00+0530,103.7,104,102.55,103.4,286354,0
2023-07-07T00:00:00+0530,100.6,103.6,98.9,99.85,439617,0
2023-07-10T00:00:00+0530,99.5,99.75,97.4,97.65,175101,0
2023-07-11T00:00:00+0530,98.4,98.4,97.2,97.6,131348,0
2023-07-12T00:00:00+0530,98.35,100.25,97.55,99.05,209968,0
2023-07-13T00:00:00+0530,99.85,100.8,98.3,99.05,131138,0
2023-07-14T00:00:00+0530,99.9,100.9,99,99.75,118651,0
2023-07-17T00:00:00+0530,99.75,101,99.35,99.8,188587,0
2023-07-18T00:00:00+0530,100.3,100.55,98.6,99.1,144714,0
2023-07-19T00:00:00+0530,99.85,100.4,98.1,98.7,121757,0
2023-07-20T00:00:00+0530,100.75,104.9,99.45,100.55,840248,0
2023-07-21T00:00:00+0530,99.1,104.85,99.1,103.5,640155,0
2023-07-24T00:00:00+0530,104.35,110,104,106.15,1238304,0
2023-07-25T00:00:00+0530,107.35,107.75,103.55,104.3,289562,0
2023-07-26T00:00:00+0530,104.8,105.5,102.15,104.15,288072,0
2023-07-27T00:00:00+0530,104.55,105.15,102,103.1,180825,0
2023-07-28T00:00:00+0530,103.5,104.6,101.1,101.6,152291,0
2023-07-31T00:00:00+0530,102.5,104.65,101,101.3,268930,0
2023-08-01T00:00:00+0530,101.6,102.9,100.25,100.45,170064,0
2023-08-02T00:00:00+0530,100.9,102.25,96.7,98.35,308927,0
2023-08-03T00:00:00+0530,98.95,100.85,98.25,99.2,243722,0
2023-08-04T00:00:00+0530,99.75,101.95,98.6,100.6,255898,0
2023-08-07T00:00:00+0530,101.4,105.7,101.1,102.75,356186,0
2023-08-08T00:00:00+0530,102.95,104.6,102.3,103.4,206482,0
2023-08-09T00:00:00+0530,103.25,107.8,100.4,104.9,361621,0
2023-08-10T00:00:00+0530,104.9,108.45,104.9,105.95,409581,0
2023-08-11T00:00:00+0530,106.95,107.35,103.4,104.45,153770,0
2023-08-14T00:00:00+0530,101,101,96.65,98.95,572566,0
2023-08-16T00:00:00+0530,98.95,100.9,97.55,100.35,125271,0
2023-08-17T00:00:00+0530,107,107,100.65,101.4,254876,0
2023-08-18T00:00:00+0530,101.4,102.55,99.2,99.55,187235,0
