date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,204.55,207.55,204.05,205,213792,0
2023-01-03T00:00:00+0530,205.8,206.45,203.9,204.85,161847,0
2023-01-04T00:00:00+0530,204.85,210.75,204,208.5,386512,0
2023-01-05T00:00:00+0530,209.35,220,208.7,218.9,1203669,0
2023-01-06T00:00:00+0530,218.9,223.8,212,213.75,1063434,0
2023-01-09T00:00:00+0530,214.9,223.8,214.85,219.8,557816,0
2023-01-10T00:00:00+0530,220.55,226,216.5,220.85,525954,0
2023-01-11T00:00:00+0530,221,222.55,216.5,217.45,201115,0
2023-01-12T00:00:00+0530,217.45,218.2,213.55,215.3,149207,0
2023-01-13T00:00:00+0530,216.35,221.75,216,218.15,241888,0
2023-01-16T00:00:00+0530,220,227.5,220,226.35,979340,0
2023-01-17T00:00:00+0530,227.25,242.7,226.3,241.1,5404878,0
2023-01-18T00:00:00+0530,243,246.45,227.25,228.6,2099636,0
2023-01-19T00:00:00+0530,229.25,233.95,228.2,231.45,752192,0
2023-01-20T00:00:00+0530,233,236.5,226.6,227.9,775165,0
2023-01-23T00:00:00+0530,228.95,230.1,222.35,224.55,389115,0
2023-01-24T00:00:00+0530,224.95,226.6,218.2,219.4,322705,0
2023-01-25T00:00:00+0530,219.4,225.3,214,216.45,1004324,0
2023-01-27T00:00:00+0530,217,219.4,193,195.1,1875083,0
2023-01-30T00:00:00+0530,199,208,197.75,205.15,974414,0
2023-01-31T00:00:00+0530,207.2,215.75,204.05,213.15,479467,0
2023-02-01T00:00:00+0530,215.4,217.8,207.8,215.75,627928,0
2023-02-02T00:00:00+0530,214.95,214.95,205.65,209.05,322679,0
2023-02-03T00:00:00+0530,211,215.55,203.05,208.55,533630,0
2023-02-06T00:00:00+0530,209.6,211.15,207.2,209.3,171481,0
2023-02-07T00:00:00+0530,210.85,210.85,205.25,208.7,223038,0
2023-02-08T00:00:00+0530,209.5,214,208.85,210.95,209189,0
2023-02-09T00:00:00+0530,210.95,212.1,200.45,202.4,481213,0
2023-02-10T00:00:00+0530,202.75,205.75,202,204.4,195408,0
2023-02-13T00:00:00+0530,206,212.05,199,209.95,555619,0
2023-02-14T00:00:00+0530,210.05,213.2,207,207.75,247303,0
2023-02-15T00:00:00+0530,207.65,212.3,206.4,211.6,264889,0
2023-02-16T00:00:00+0530,211.6,214.5,209.2,213.7,244328,0
2023-02-17T00:00:00+0530,219,226.6,201.5,203.85,4291333,0
2023-02-20T00:00:00+0530,204.9,211.1,201,202.5,2007081,0
2023-02-21T00:00:00+0530,205.85,205.95,193.5,196.35,3165543,0
2023-02-22T00:00:00+0530,195.45,197.45,191.25,195.45,929393,0
2023-02-23T00:00:00+0530,197.35,198.9,193.25,198.2,599663,0
2023-02-24T00:00:00+0530,199.65,199.65,193.8,196.8,570438,0
