date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,145.15,146.05,141.05,142.75,453638,0
2023-01-03T00:00:00+0530,142.8,144.75,141.1,143.2,336173,0
2023-01-04T00:00:00+0530,143.2,143.5,139.1,139.6,320982,0
2023-01-05T00:00:00+0530,140.25,141.55,136.2,138.15,261956,0
2023-01-06T00:00:00+0530,138.25,139.25,134.75,136.25,291762,0
2023-01-09T00:00:00+0530,137.8,138.1,134.25,134.75,328949,0
2023-01-10T00:00:00+0530,134.75,135.15,129.95,130.9,528410,0
2023-01-11T00:00:00+0530,131.6,133.35,128.2,128.55,530255,0
2023-01-12T00:00:00+0530,128.6,141.9,128.6,138.65,3862167,0
2023-01-13T00:00:00+0530,139.3,141.75,134.7,140.05,1032556,0
2023-01-16T00:00:00+0530,141.05,141.55,136.95,138.65,515389,0
2023-01-17T00:00:00+0530,138.7,140.9,135.85,139.65,400439,0
2023-01-18T00:00:00+0530,139.3,151.5,139.3,150.25,2697282,0
2023-01-19T00:00:00+0530,149.3,150.8,143.4,145.05,753533,0
2023-01-20T00:00:00+0530,145.6,150.05,145,148.25,969935,0
2023-01-23T00:00:00+0530,149.15,149.15,141.05,142.3,766734,0
2023-01-24T00:00:00+0530,143.05,145.4,140.7,143.7,469985,0
2023-01-25T00:00:00+0530,143.8,144.3,138.15,139.95,448143,0
2023-01-27T00:00:00+0530,140.9,142.15,133.65,135.5,612995,0
2023-01-30T00:00:00+0530,137.5,137.5,129.35,130.45,459657,0
2023-01-31T00:00:00+0530,131.65,148.1,131.3,141.6,799850,0
2023-02-01T00:00:00+0530,143,153.05,135.8,141.9,1537807,0
2023-02-02T00:00:00+0530,142.1,147.65,140.25,142.8,466303,0
2023-02-03T00:00:00+0530,143.5,146.05,137.6,140.7,451572,0
2023-02-06T00:00:00+0530,142.15,143.55,136,137,394017,0
2023-02-07T00:00:00+0530,137.4,138.4,132.05,132.9,599023,0
2023-02-08T00:00:00+0530,133.7,137.45,132.2,135.25,599865,0
2023-02-09T00:00:00+0530,135.4,136.45,131.1,132.2,588794,0
2023-02-10T00:00:00+0530,130.5,135.55,130.5,132.2,556513,0
2023-02-13T00:00:00+0530,133.45,136.95,129.8,132.4,648633,0
2023-02-14T00:00:00+0530,143.4,153.05,141.65,150.85,7746484,0
2023-02-15T00:00:00+0530,151.7,153.05,143.85,147,1362888,0
2023-02-16T00:00:00+0530,146.95,149.55,141.55,148.6,1433771,0
2023-02-17T00:00:00+0530,147.9,160.9,146.3,159.75,5446514,0
2023-02-20T00:00:00+0530,160.95,166.35,160.25,164.9,2740066,0
2023-02-21T00:00:00+0530,165.85,167.3,161.55,163.05,1170914,0
2023-02-22T00:00:00+0530,164.45,172.65,160.8,164.8,6112137,0
2023-02-23T00:00:00+0530,166.5,170.3,161.7,168.85,2177549,0
2023-02-24T00:00:00+0530,168.85,170.9,165.05,167.85,1013320,0
2023-02-27T00:00:00+0530,167.85,168.5,155.2,157.1,1208420,0
2023-02-28T00:00:00+0530,157.15,163.85,152.55,162.15,1396272,0
2023-03-01T00:00:00+0530,162.9,166.25,159.6,161.2,1218782,0
2023-03-02T00:00:00+0530,161.55,163.15,155.1,155.8,935068,0
2023-03-03T00:00:00+0530,156.6,159.2,154.85,156.75,1196816,0
2023-03-06T00:00:00+0530,157.5,158.7,153.4,154.25,890327,0
2023-03-08T00:00:00+0530,153.75,153.95,150.2,152.6,744952,0
2023-03-09T00:00:00+0530,153.3,160.95,153.25,158,1720821,0
2023-03-10T00:00:00+0530,156.55,158,153.5,156.5,644830,0
2023-03-13T00:00:00+0530,154.5,157.4,147.6,149.75,898473,0
2023-03-14T00:00:00+0530,150.55,154.8,148.7,152.95,723318,0
2023-03-15T00:00:00+0530,155.2,157,151.95,153.6,398872,0
2023-03-16T00:00:00+0530,154.35,154.35,148.4,150,691326,0
