date,open,high,low,close,volume,empty
2025-07-31T00:00:00+0530,98.5,98.55,97.8,98.45,10126,0
2025-08-01T00:00:00+0530,97.7,97.8,97.7,97.75,465,0
2025-08-04T00:00:00+0530,100.15,100.15,99.25,99.55,946,0
2025-08-05T00:00:00+0530,100,100.6,100,100.05,10841,0
2025-08-06T00:00:00+0530,100.35,100.5,100.05,100.1,288,0
2025-08-07T00:00:00+0530,100.35,101.8,100.35,101,1031,0
2025-08-08T00:00:00+0530,101,101.1,100.5,101.1,1311,0
2025-08-11T00:00:00+0530,103.15,103.15,98,99.65,2456,0
2025-08-12T00:00:00+0530,101.65,101.65,99.3,99.85,342,0
2025-08-13T00:00:00+0530,100.3,100.3,99.3,99.85,1100,0
2025-08-14T00:00:00+0530,102.3,102.3,99.3,100.2,1705,0
2025-08-18T00:00:00+0530,100.05,100.05,99.05,99.75,1120,0
2025-08-19T00:00:00+0530,99.75,99.75,98.9,98.9,2508,0
2025-08-20T00:00:00+0530,98.8,98.85,98.4,98.5,2045,0
2025-08-21T00:00:00+0530,98.95,98.95,96.3,98.9,7204,0
2025-08-22T00:00:00+0530,100.9,100.9,97.55,99,1203,0
2025-08-25T00:00:00+0530,103.45,103.45,99.05,99.65,7518,0
2025-08-26T00:00:00+0530,100.1,101,99.6,101,6508,0
2025-08-28T00:00:00+0530,101,101,100.8,100.8,736,0
2025-08-29T00:00:00+0530,100.8,102.05,100.8,101.9,5569,0
2025-09-01T00:00:00+0530,101.9,104.8,101.9,104.3,251809,0
2025-09-02T00:00:00+0530,108.95,108.95,103.7,105.2,659566,0
2025-09-03T00:00:00+0530,105.7,105.85,105.2,105.65,782312,0
2025-09-04T00:00:00+0530,105.65,106.8,104.55,106,698468,0
2025-09-05T00:00:00+0530,106.6,107,106,106.1,8816,0
