date,open,high,low,close,volume,empty
2025-05-21T00:00:00+0530,59.91,60.1,59.56,60.1,159,0
2025-05-22T00:00:00+0530,59.89,59.89,59,59.49,311,0
2025-05-23T00:00:00+0530,59.4,59.82,59.4,59.82,26,0
2025-05-26T00:00:00+0530,60.45,60.45,60.04,60.07,245,0
2025-05-27T00:00:00+0530,59.77,59.9,59.56,59.56,626,0
2025-05-28T00:00:00+0530,60.75,60.75,60.04,60.19,25050,0
2025-05-29T00:00:00+0530,61.4,61.4,59.99,60.19,2237,0
2025-05-30T00:00:00+0530,60.11,60.12,59.39,59.59,2459,0
2025-06-02T00:00:00+0530,60.78,60.78,59.26,60.2,1907,0
2025-06-03T00:00:00+0530,60.19,60.22,59.55,59.64,5925,0
2025-06-04T00:00:00+0530,59.64,60.14,59.59,60.14,530,0
2025-06-05T00:00:00+0530,60.2,60.6,60.2,60.41,617,0
2025-06-06T00:00:00+0530,60.35,61,60.35,60.99,2691,0
2025-06-09T00:00:00+0530,62.21,62.21,61.56,61.8,3343,0
2025-06-10T00:00:00+0530,63.04,63.04,61.51,61.8,1111,0
2025-06-11T00:00:00+0530,63.04,63.04,61.5,61.83,2859,0
2025-06-12T00:00:00+0530,61.99,61.99,60.27,60.41,5709,0
2025-06-13T00:00:00+0530,60.41,60.41,59.25,60.19,3952,0
2025-06-16T00:00:00+0530,60.25,60.44,59.48,60.43,951,0
2025-06-17T00:00:00+0530,60.73,60.73,59.7,59.94,8400,0
2025-06-18T00:00:00+0530,59.95,60.17,59.4,59.53,1957,0
2025-06-19T00:00:00+0530,59.53,59.67,58.61,58.75,2215,0
2025-06-20T00:00:00+0530,58.75,59.59,58.75,59.56,583,0
2025-06-23T00:00:00+0530,59.56,59.7,58.79,59.7,8817,0
2025-06-24T00:00:00+0530,60.15,60.33,59.58,59.7,3001,0
2025-06-25T00:00:00+0530,60.45,60.49,60.04,60.4,4693,0
2025-06-26T00:00:00+0530,60.7,60.95,60.27,60.8,3059,0
2025-06-27T00:00:00+0530,61.1,61.48,60.92,61.02,3094,0
2025-06-30T00:00:00+0530,61.29,61.53,61.14,61.33,387,0
2025-07-01T00:00:00+0530,61.33,61.35,61.08,61.18,5157,0
2025-07-02T00:00:00+0530,61.19,61.47,60.59,60.8,3427,0
2025-07-03T00:00:00+0530,62.02,62.02,60.52,60.59,1236,0
2025-07-04T00:00:00+0530,60.83,60.84,60.35,60.62,3692,0
2025-07-07T00:00:00+0530,60.62,60.83,60.29,60.54,1985,0
2025-07-08T00:00:00+0530,60.83,60.83,60.4,60.82,821,0
2025-07-09T00:00:00+0530,60.62,60.98,60.62,60.75,2037,0
2025-07-10T00:00:00+0530,61.21,61.21,60.52,60.82,1362,0
2025-07-11T00:00:00+0530,60.67,61.07,60.41,60.52,1603,0
2025-07-14T00:00:00+0530,59.31,60.79,59.31,60.63,1812,0
2025-07-15T00:00:00+0530,60.93,60.97,60.68,60.81,761,0
2025-07-16T00:00:00+0530,60.79,60.95,60.7,60.86,804,0
2025-07-17T00:00:00+0530,60.95,60.95,60.38,60.4,3523,0
2025-07-18T00:00:00+0530,60.56,60.98,60.21,60.54,5348,0
2025-07-21T00:00:00+0530,61,61,60.09,60.51,1443,0
2025-07-22T00:00:00+0530,60.81,60.81,59.78,60.18,5598,0
2025-07-23T00:00:00+0530,60.25,60.49,59.94,60.2,1414,0
2025-07-24T00:00:00+0530,60.25,60.41,60,60.12,591,0
2025-07-25T00:00:00+0530,60.13,60.13,59.05,59.08,4400,0
2025-07-28T00:00:00+0530,57.9,59.48,57.9,58.58,1943,0
2025-07-29T00:00:00+0530,58.72,59.33,58.58,59.18,1302,0
2025-07-30T00:00:00+0530,59.33,59.64,59.28,59.56,1490,0
2025-07-31T00:00:00+0530,59.56,59.56,59.03,59.12,1909,0
2025-08-01T00:00:00+0530,59.12,59.12,58.11,58.24,4964,0
2025-08-04T00:00:00+0530,58.25,58.72,58.24,58.7,967,0
2025-08-05T00:00:00+0530,60.16,60.16,58.42,58.6,2144,0
2025-08-06T00:00:00+0530,58.6,58.72,58.13,58.45,1846,0
2025-08-07T00:00:00+0530,58.74,58.74,57.45,58.03,8065,0
2025-08-08T00:00:00+0530,58.44,58.44,57.91,58,1051,0
2025-08-11T00:00:00+0530,58,58.42,58,58.42,2462,0
2025-08-12T00:00:00+0530,58.75,58.75,58.42,58.46,1071,0
2025-08-13T00:00:00+0530,58.47,58.8,58.43,58.62,5537,0
2025-08-14T00:00:00+0530,58.62,58.62,58.12,58.4,977,0
2025-08-18T00:00:00+0530,58.92,58.92,58.44,58.45,4056,0
2025-08-19T00:00:00+0530,58.5,59.02,58.5,59.02,492,0
2025-08-20T00:00:00+0530,59.02,59.16,58.9,59.07,391,0
2025-08-21T00:00:00+0530,60.54,60.54,58.74,58.86,1374,0
2025-08-22T00:00:00+0530,58.86,58.86,58.3,58.49,4708,0
2025-08-25T00:00:00+0530,58.49,58.56,58.16,58.28,8277,0
2025-08-26T00:00:00+0530,58.28,58.28,57.42,57.52,2497,0
2025-08-28T00:00:00+0530,57.53,57.53,56.51,56.67,3777,0
2025-08-29T00:00:00+0530,56.76,56.76,56.28,56.57,2172,0
2025-09-01T00:00:00+0530,56.58,57.35,56.58,57.31,938,0
2025-09-02T00:00:00+0530,57.54,58.2,57.54,57.89,1174,0
2025-09-03T00:00:00+0530,59.63,59.63,57.66,58.07,1363,0
2025-09-04T00:00:00+0530,58.99,59.24,57.27,57.56,4337,0
2025-09-05T00:00:00+0530,57.79,58.12,57.26,57.6,3403,0
