date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,23.5,24.55,22.3,23.1,30897,0
2023-01-03T00:00:00+0530,24.25,24.25,22.65,22.8,18150,0
2023-01-04T00:00:00+0530,22.85,23.3,22.3,22.65,14580,0
2023-01-05T00:00:00+0530,22.9,22.9,21.7,22,11795,0
2023-01-06T00:00:00+0530,21.7,25.4,21.7,23.45,342956,0
2023-01-09T00:00:00+0530,23.95,23.95,22.15,22.55,77753,0
2023-01-10T00:00:00+0530,22.85,24.3,22.4,22.8,53461,0
2023-01-11T00:00:00+0530,23.7,23.7,22,22.3,28972,0
2023-01-12T00:00:00+0530,22.3,22.7,21.1,21.4,59087,0
2023-01-13T00:00:00+0530,22.15,22.45,21.05,22,32918,0
2023-01-16T00:00:00+0530,22.7,23.15,21.35,21.7,24560,0
2023-01-17T00:00:00+0530,22.2,22.5,21.5,21.7,14623,0
2023-01-18T00:00:00+0530,22.3,22.3,21.7,21.85,17637,0
2023-01-19T00:00:00+0530,21.7,23,21.7,22,30528,0
2023-01-20T00:00:00+0530,22.6,22.6,21.3,21.8,16431,0
2023-01-23T00:00:00+0530,21.9,22.4,21.5,21.55,10204,0
2023-01-24T00:00:00+0530,22.15,22.15,21.35,21.45,7389,0
2023-01-25T00:00:00+0530,21.25,21.8,20.2,20.7,11402,0
2023-01-27T00:00:00+0530,20.3,20.9,19.8,19.95,9764,0
2023-01-30T00:00:00+0530,20.6,21.3,20,20.2,11645,0
2023-01-31T00:00:00+0530,20.3,22.75,20.3,21.75,39470,0
2023-02-01T00:00:00+0530,22.6,22.6,20.6,20.75,8189,0
2023-02-02T00:00:00+0530,21,23.5,20.55,21.7,81574,0
2023-02-03T00:00:00+0530,21.9,22.4,20.7,20.9,16888,0
2023-02-06T00:00:00+0530,22.2,22.2,20.85,20.9,3883,0
2023-02-07T00:00:00+0530,20.4,21.65,20.4,20.7,6999,0
2023-02-08T00:00:00+0530,20.65,21.35,20.25,20.45,9632,0
2023-02-09T00:00:00+0530,21,21,19.6,20.05,15600,0
2023-02-10T00:00:00+0530,20.45,20.85,19.6,20.05,9412,0
2023-02-13T00:00:00+0530,20.1,20.3,19.5,19.6,10468,0
2023-02-14T00:00:00+0530,19.6,23.5,19.6,23.05,734850,0
2023-02-15T00:00:00+0530,23,23.9,21.25,21.4,419144,0
2023-02-16T00:00:00+0530,23.1,23.1,21.1,21.3,24262,0
2023-02-17T00:00:00+0530,22.55,22.55,20.55,21,10040,0
2023-02-20T00:00:00+0530,21.85,23.2,20.5,21.65,30765,0
2023-02-21T00:00:00+0530,21.65,22.8,20.8,21.95,14749,0
