date,open,high,low,close,volume,empty
2025-08-14T00:00:00+0530,115.4,115.4,114.33,114.33,31136,0
2025-08-18T00:00:00+0530,114.62,114.62,114.02,114.05,302,0
2025-08-19T00:00:00+0530,113.75,113.75,113.7,113.7,313,0
2025-08-20T00:00:00+0530,116.54,116.54,112.32,113.19,1719,0
2025-08-21T00:00:00+0530,113.49,113.49,113.49,113.49,1049,0
2025-08-25T00:00:00+0530,114.45,115.76,113.4,114.08,25908,0
2025-08-26T00:00:00+0530,114.99,115.76,114.9,115.2,499,0
2025-08-28T00:00:00+0530,115.21,115.72,115.14,115.71,5598,0
2025-08-29T00:00:00+0530,115.75,116.9,115.75,116.9,832,0
2025-09-01T00:00:00+0530,119.24,130.66,119.24,123.29,49167,0
2025-09-02T00:00:00+0530,126,126,120,123.55,375099,0
2025-09-03T00:00:00+0530,123.4,123.66,122.8,123.59,289478,0
2025-09-04T00:00:00+0530,124.2,126.3,123.73,126.23,265162,0
2025-09-05T00:00:00+0530,126.31,126.75,125.65,126.41,7986,0
