date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,105.65,110.65,104.3,104.9,1917495,0
2023-01-03T00:00:00+0530,105.7,106.5,102.5,104.95,658987,0
2023-01-04T00:00:00+0530,104.95,105.5,101.2,101.55,324422,0
2023-01-05T00:00:00+0530,102.4,104.7,99.2,102.85,538206,0
2023-01-06T00:00:00+0530,103.5,103.55,97.85,98.75,448596,0
2023-01-09T00:00:00+0530,98.75,102,97.05,98.55,335878,0
2023-01-10T00:00:00+0530,98.55,101.3,97.6,99.95,343834,0
2023-01-11T00:00:00+0530,100.05,101.75,99.45,100.95,188037,0
2023-01-12T00:00:00+0530,101,108.95,100.7,105.6,2017783,0
2023-01-13T00:00:00+0530,106.3,110.5,103.5,104.55,1829278,0
2023-01-16T00:00:00+0530,104.95,107.4,103,105.85,487962,0
2023-01-17T00:00:00+0530,105.9,107.65,103.15,103.7,234146,0
2023-01-18T00:00:00+0530,104,105.3,101.55,102.2,177744,0
2023-01-19T00:00:00+0530,101.1,103.8,101,102.75,160951,0
2023-01-20T00:00:00+0530,103,104,101.35,102.55,174053,0
2023-01-23T00:00:00+0530,103.45,108.8,102.6,103.25,555970,0
2023-01-24T00:00:00+0530,104,104.5,101.05,101.65,169395,0
2023-01-25T00:00:00+0530,102.35,102.35,96.55,99.75,352309,0
2023-01-27T00:00:00+0530,100.75,101.3,93.1,95.4,333251,0
2023-01-30T00:00:00+0530,95.45,101,94.4,99.15,359357,0
2023-01-31T00:00:00+0530,100,103.35,96.5,102.75,229836,0
2023-02-01T00:00:00+0530,100,101,94.5,95.35,339282,0
2023-02-02T00:00:00+0530,94,95,93.1,93.55,144006,0
2023-02-03T00:00:00+0530,94.7,97,89.55,95.5,306682,0
2023-02-06T00:00:00+0530,94.55,100.15,93.3,97.6,221807,0
2023-02-07T00:00:00+0530,99,100.15,95.3,96.3,293397,0
2023-02-08T00:00:00+0530,97.25,97.4,95.05,96.7,105471,0
2023-02-09T00:00:00+0530,96.55,100.45,95.1,96.45,211680,0
2023-02-10T00:00:00+0530,98.95,98.95,95.7,96.7,97906,0
2023-02-13T00:00:00+0530,97.45,97.45,94.15,94.75,88775,0
2023-02-14T00:00:00+0530,94.8,95.6,92.55,92.85,69100,0
2023-02-15T00:00:00+0530,93.2,96.05,92.55,94.85,139938,0
2023-02-16T00:00:00+0530,95,97,93.6,94.65,50666,0
2023-02-17T00:00:00+0530,94,97.5,94,96.95,160693,0
2023-02-20T00:00:00+0530,96.95,97.45,93.3,93.95,108390,0
2023-02-21T00:00:00+0530,94.7,95.25,92.55,92.8,63479,0
2023-02-22T00:00:00+0530,92.5,93.1,91.05,91.25,62241,0
2023-02-23T00:00:00+0530,91.25,91.6,87.15,87.9,129264,0
2023-02-24T00:00:00+0530,88,90.3,87.1,87.5,79372,0
2023-02-27T00:00:00+0530,86.2,87,83.1,84.15,161723,0
2023-02-28T00:00:00+0530,83.85,84.9,83.75,84.2,30513,0
2023-03-01T00:00:00+0530,84.95,85.7,84.1,84.35,29650,0
2023-03-02T00:00:00+0530,85.05,85.75,79,82.6,153214,0
2023-03-03T00:00:00+0530,80.95,89.55,80.95,86.2,359310,0
2023-03-06T00:00:00+0530,86.95,89.5,85.65,88.7,108084,0
2023-03-08T00:00:00+0530,88.15,89,87.05,87.6,43997,0
2023-03-09T00:00:00+0530,88,89,85.4,87.5,95866,0
2023-03-10T00:00:00+0530,87.05,87.4,84.15,85.3,52552,0
2023-03-13T00:00:00+0530,84.45,85.9,81,81.35,110148,0
2023-03-14T00:00:00+0530,81,82.75,80.35,81.4,58815,0
2023-03-15T00:00:00+0530,81.75,83.9,81.75,83,70096,0
2023-03-16T00:00:00+0530,84.3,86.8,83.2,85.25,276695,0
2023-03-17T00:00:00+0530,86,86.4,82.1,83,75801,0
2023-03-20T00:00:00+0530,80.35,83.1,79.05,79.65,115007,0
2023-03-21T00:00:00+0530,80.75,85.5,80.65,84.8,289403,0
2023-03-22T00:00:00+0530,86,86.4,82.2,82.9,165776,0
2023-03-23T00:00:00+0530,82.9,84.05,81.2,81.7,168820,0
2023-03-24T00:00:00+0530,82.3,82.5,79.95,80.45,210857,0
2023-03-27T00:00:00+0530,81.65,86.5,79.9,83.9,307129,0
2023-03-28T00:00:00+0530,84,84.75,81.2,81.55,159280,0
2023-03-29T00:00:00+0530,80.85,84.05,80.1,82.5,301044,0
2023-03-31T00:00:00+0530,82.5,83.9,79.85,81.7,756034,0
2023-04-03T00:00:00+0530,82.35,83.65,81.75,83.3,46112,0
2023-04-05T00:00:00+0530,83.95,84.6,83.6,84.1,64324,0
2023-04-06T00:00:00+0530,84.65,87,83.75,86.4,96429,0
2023-04-10T00:00:00+0530,86.95,87.1,83.7,84.2,53868,0
2023-04-11T00:00:00+0530,84.2,87.95,84.2,86.4,174282,0
2023-04-12T00:00:00+0530,86.9,86.9,84.5,85.5,140902,0
2023-04-13T00:00:00+0530,85.45,87.7,84.8,87,134338,0
2023-04-17T00:00:00+0530,88.25,88.25,85.75,86.4,37153,0
2023-04-18T00:00:00+0530,87.4,87.4,85.5,85.6,42877,0
2023-04-19T00:00:00+0530,85.75,86.6,85.35,85.55,25103,0
2023-04-20T00:00:00+0530,86.4,86.4,84.35,85.4,16288,0
2023-04-21T00:00:00+0530,85,86.15,84.8,85.15,27641,0
2023-04-24T00:00:00+0530,85.15,87,84.45,84.65,22240,0
2023-04-25T00:00:00+0530,84.05,85.95,84.05,85.45,26041,0
2023-04-26T00:00:00+0530,86,86,83.8,84.15,39913,0
2023-04-27T00:00:00+0530,84.15,86,83.8,84.05,41676,0
2023-04-28T00:00:00+0530,84.3,85,83.1,84.5,49687,0
2023-05-02T00:00:00+0530,85,85.35,84.6,84.8,35219,0
2023-05-03T00:00:00+0530,85.5,89.75,83.9,86.35,122732,0
2023-05-04T00:00:00+0530,86.35,87,85.35,86,59848,0
2023-05-05T00:00:00+0530,86.5,86.9,84.55,84.95,45942,0
2023-05-08T00:00:00+0530,86.8,87.85,84.2,85,86513,0
2023-05-09T00:00:00+0530,86,86.8,84.8,85.2,44354,0
2023-05-10T00:00:00+0530,84.6,85.45,82.75,84.1,87430,0
2023-05-11T00:00:00+0530,85.25,85.25,83.05,83.8,33776,0
2023-05-12T00:00:00+0530,83.75,85,83.7,84.75,34156,0
2023-05-15T00:00:00+0530,85,85.2,84,84.9,50638,0
2023-05-16T00:00:00+0530,84.9,85.9,84.6,84.95,72600,0
2023-05-17T00:00:00+0530,85.7,85.7,84.3,84.7,44621,0
2023-05-18T00:00:00+0530,85.95,85.95,83.3,83.85,40869,0
2023-05-19T00:00:00+0530,83.75,84.5,82.95,83.7,42944,0
2023-05-22T00:00:00+0530,83.7,87.2,83.7,86.7,201349,0
2023-05-23T00:00:00+0530,90.95,103,90,99.35,3162733,0
2023-05-24T00:00:00+0530,101.3,101.8,96.05,98.15,324782,0
2023-05-25T00:00:00+0530,96.6,99.8,96.6,98.3,157599,0
2023-05-26T00:00:00+0530,99.75,99.75,97.7,98.1,109185,0
2023-05-29T00:00:00+0530,99,99.9,98,98.4,117139,0
2023-05-30T00:00:00+0530,98.7,99.5,98.45,99.1,85929,0
2023-05-31T00:00:00+0530,99.9,105,99.45,102.9,510858,0
2023-06-01T00:00:00+0530,103.3,104.8,101.1,101.55,142971,0
2023-06-02T00:00:00+0530,102.3,102.3,97.3,98.3,174799,0
2023-06-05T00:00:00+0530,99.4,100.95,98.1,98.4,141424,0
2023-06-06T00:00:00+0530,99.3,100.1,97.8,98.35,86691,0
2023-06-07T00:00:00+0530,99.95,99.95,96.5,97,119288,0
2023-06-08T00:00:00+0530,97.1,98.85,93.75,95.2,96803,0
2023-06-09T00:00:00+0530,95.5,99.5,95.5,97.2,113644,0
2023-06-12T00:00:00+0530,98.15,99.45,96.3,97.8,136555,0
2023-06-13T00:00:00+0530,98.55,100.1,96.15,97.25,146723,0
2023-06-14T00:00:00+0530,98.25,98.25,96,96.95,134260,0
2023-06-15T00:00:00+0530,96.5,97.6,95.8,96,113141,0
2023-06-16T00:00:00+0530,96.95,97.85,94.15,95,139042,0
2023-06-19T00:00:00+0530,95.95,95.95,94,94.25,86026,0
2023-06-20T00:00:00+0530,93.6,97.5,93.6,96.1,164152,0
2023-06-21T00:00:00+0530,96.75,97,95,95.7,57232,0
2023-06-22T00:00:00+0530,95.95,96.5,94,95.3,72528,0
2023-06-23T00:00:00+0530,96,96,94.05,94.7,37150,0
2023-06-26T00:00:00+0530,95.9,96.75,94.25,95.2,60095,0
2023-06-27T00:00:00+0530,95.2,95.9,94.5,94.9,89803,0
2023-06-28T00:00:00+0530,95.25,96.5,94,94.55,111272,0
2023-06-30T00:00:00+0530,94.55,97,94.55,95.25,130530,0
2023-07-03T00:00:00+0530,95.3,100.5,95.3,97,303154,0
2023-07-04T00:00:00+0530,97.75,97.75,94.75,95.8,132745,0
2023-07-05T00:00:00+0530,96.25,97,94.5,94.6,262067,0
2023-07-06T00:00:00+0530,95.5,95.55,93,93.4,282369,0
2023-07-07T00:00:00+0530,93.45,94.6,88.7,90.2,255430,0
2023-07-10T00:00:00+0530,90,90.8,86.75,87.65,226363,0
2023-07-11T00:00:00+0530,88.55,90.8,87.8,88,200809,0
2023-07-12T00:00:00+0530,89.3,91,88.1,88.45,210100,0
2023-07-13T00:00:00+0530,89,89.75,86.25,86.8,108401,0
2023-07-14T00:00:00+0530,87.8,88.5,87,88,78145,0
2023-07-17T00:00:00+0530,88.9,89.7,87.7,89.2,101942,0
2023-07-18T00:00:00+0530,90.15,90.15,84.1,87.15,279043,0
2023-07-19T00:00:00+0530,87.2,89.3,87.2,88.05,65964,0
2023-07-20T00:00:00+0530,88.75,89.3,87.65,88.1,70675,0
2023-07-21T00:00:00+0530,87.25,88.4,87,87.5,89112,0
2023-07-24T00:00:00+0530,87.4,89.8,87.15,87.8,106109,0
