date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,283.75,288.25,282,283.8,19128,0
2023-01-03T00:00:00+0530,282.3,289.7,275.8,279.95,19596,0
2023-01-04T00:00:00+0530,281,285.1,275.05,278.65,13726,0
2023-01-05T00:00:00+0530,281.35,281.35,275.7,276.65,9922,0
2023-01-06T00:00:00+0530,275,300,274.1,279.1,27266,0
2023-01-09T00:00:00+0530,282.35,284.4,278.6,281.05,22336,0
2023-01-10T00:00:00+0530,278.9,284.8,277.3,279.6,26720,0
2023-01-11T00:00:00+0530,278.8,289.3,276.85,279.15,27522,0
2023-01-12T00:00:00+0530,284.9,284.9,276.1,279,17268,0
2023-01-13T00:00:00+0530,279.35,285,271.05,275.6,23300,0
2023-01-16T00:00:00+0530,279.45,279.45,270.1,270.95,21017,0
2023-01-17T00:00:00+0530,270.25,273.75,268,269.8,10992,0
2023-01-18T00:00:00+0530,270.9,272.4,269,271.3,6496,0
2023-01-19T00:00:00+0530,271.1,272.45,266,267.45,16311,0
2023-01-20T00:00:00+0530,267.45,269.4,262,264,18100,0
2023-01-23T00:00:00+0530,269.3,269.35,260.5,261.55,24494,0
2023-01-24T00:00:00+0530,264.9,264.9,258.7,259.3,25604,0
2023-01-25T00:00:00+0530,260,261.5,256.15,257.25,20359,0
2023-01-27T00:00:00+0530,259.1,259.1,243,245.15,44673,0
2023-01-30T00:00:00+0530,250,252.15,242,243.3,29939,0
2023-01-31T00:00:00+0530,245.5,250,243.1,249,26795,0
2023-02-01T00:00:00+0530,252,255.9,240.65,241.45,27955,0
2023-02-02T00:00:00+0530,246.5,246.55,238.8,242.3,32164,0
2023-02-03T00:00:00+0530,242.3,245.1,237.05,238.35,25950,0
2023-02-06T00:00:00+0530,228.8,230,216,220.05,124171,0
2023-02-07T00:00:00+0530,220.7,224.5,216,219.05,52896,0
2023-02-08T00:00:00+0530,221.65,242,219.4,231.6,118295,0
2023-02-09T00:00:00+0530,236,245,228,242.65,41529,0
2023-02-10T00:00:00+0530,243.5,244.55,234.55,239.2,35693,0
2023-02-13T00:00:00+0530,242.4,242.4,226.45,229.9,18929,0
2023-02-14T00:00:00+0530,231.9,232.75,225,226.6,17391,0
2023-02-15T00:00:00+0530,227.65,228.55,222.2,223.65,13530,0
2023-02-16T00:00:00+0530,224.25,232.7,224.25,230.8,23062,0
2023-02-17T00:00:00+0530,230.9,231.95,220.8,226.6,20903,0
2023-02-20T00:00:00+0530,225,229.8,222.5,224.8,14913,0
2023-02-21T00:00:00+0530,223.7,227.55,221,221.9,15081,0
2023-02-22T00:00:00+0530,224.2,224.25,218.35,219.2,14476,0
2023-02-23T00:00:00+0530,222.1,222.1,217.4,219.65,14852,0
2023-02-24T00:00:00+0530,222.55,223.65,218,220.4,9515,0
2023-02-27T00:00:00+0530,224.5,224.5,214.1,215.7,31183,0
2023-02-28T00:00:00+0530,215.7,218.5,214,216.65,11338,0
