date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,4069.25,4154,4060,4122.4,70637,0
2023-01-03T00:00:00+0530,4113,4143.05,4020.1,4034,90524,0
2023-01-04T00:00:00+0530,4039.95,4048.5,3921.95,3942.05,205531,0
2023-01-05T00:00:00+0530,3954.9,3979.9,3924,3943.3,93908,0
2023-01-06T00:00:00+0530,3963.3,3979.95,3847.35,3862.9,104555,0
2023-01-09T00:00:00+0530,3899.5,3970,3880.05,3955.15,161126,0
2023-01-10T00:00:00+0530,3963,3998.95,3900,3929.3,80461,0
2023-01-11T00:00:00+0530,3949.95,4018.5,3882.45,3906.55,147264,0
2023-01-12T00:00:00+0530,3950,4136.15,3950,4123.65,989712,0
2023-01-13T00:00:00+0530,4096.1,4115.7,4060,4082.3,140966,0
2023-01-16T00:00:00+0530,4090.2,4110,4016.3,4059.05,72813,0
2023-01-17T00:00:00+0530,4079.35,4100,4041,4080.15,37853,0
2023-01-18T00:00:00+0530,4060,4099,4059.65,4090.5,27431,0
2023-01-19T00:00:00+0530,4073.05,4145,4060,4135.8,50675,0
2023-01-20T00:00:00+0530,4135,4142.8,4034.25,4065.1,70720,0
2023-01-23T00:00:00+0530,4086.5,4095.55,3931.1,3963.45,104181,0
2023-01-24T00:00:00+0530,3979.9,4001.9,3903.35,3914.25,68392,0
2023-01-25T00:00:00+0530,3920,3943.75,3801.05,3820.95,59786,0
2023-01-27T00:00:00+0530,3825,3845.75,3764.8,3816.5,61151,0
2023-01-30T00:00:00+0530,3837.2,3940,3816.5,3886.6,81011,0
2023-01-31T00:00:00+0530,3889.95,3977,3882.3,3946.15,55837,0
2023-02-01T00:00:00+0530,3960.4,4045.95,3921,3983.25,95408,0
2023-02-02T00:00:00+0530,4003.2,4080,3960.25,3994.65,76170,0
2023-02-03T00:00:00+0530,4000,4021.85,3956.5,4010.3,45064,0
2023-02-06T00:00:00+0530,4019.95,4175,4001,4112.95,130644,0
2023-02-07T00:00:00+0530,4140.2,4310,4092.05,4281.3,260084,0
2023-02-08T00:00:00+0530,4329,4394,4140.25,4185.05,745369,0
2023-02-09T00:00:00+0530,4250,4274.9,4181.1,4202.25,219315,0
2023-02-10T00:00:00+0530,4208,4370,4180.05,4346.15,328872,0
2023-02-13T00:00:00+0530,4354.6,4377,4230,4256.85,295368,0
2023-02-14T00:00:00+0530,4255,4258.8,4080,4089.95,242673,0
2023-02-15T00:00:00+0530,4078.05,4136.85,4061.05,4082.8,213847,0
2023-02-16T00:00:00+0530,4089.4,4316.7,4089.4,4301.5,350896,0
2023-02-17T00:00:00+0530,4295.05,4295.05,4162.3,4182.75,136222,0
2023-02-20T00:00:00+0530,4182.75,4311.85,4120.1,4287.55,188751,0
2023-02-21T00:00:00+0530,4270,4318.6,4221.5,4244.45,80925,0
2023-02-22T00:00:00+0530,4247.25,4275,4194,4233.9,102302,0
2023-02-23T00:00:00+0530,4256.1,4271.1,4161.05,4177.95,103835,0
2023-02-24T00:00:00+0530,4198.7,4260,4171.5,4220.2,109493,0
2023-02-27T00:00:00+0530,4218,4218,4033,4091,136024,0
2023-02-28T00:00:00+0530,4095.15,4148.85,4071.35,4128.1,110008,0
2023-03-01T00:00:00+0530,4127.6,4233,4111.4,4209.25,124584,0
2023-03-02T00:00:00+0530,4199,4218.05,4161,4183.05,54701,0
2023-03-03T00:00:00+0530,4190,4241.45,4167,4220.55,129669,0
2023-03-06T00:00:00+0530,4241.7,4250,4200,4224.75,113583,0
2023-03-08T00:00:00+0530,4186.3,4237.25,4186.3,4229.95,110640,0
2023-03-09T00:00:00+0530,4240.5,4313.95,4200.5,4217.15,164810,0
2023-03-10T00:00:00+0530,4200,4225,4140.1,4184.9,76777,0
2023-03-13T00:00:00+0530,4165,4206.55,4069.3,4122.1,99709,0
2023-03-14T00:00:00+0530,4099.95,4148.1,4058.7,4128.95,79733,0
2023-03-15T00:00:00+0530,4128.95,4207.8,4128.95,4175.95,74985,0
2023-03-16T00:00:00+0530,4169.95,4170,4090.9,4118.6,54551,0
2023-03-17T00:00:00+0530,4132.65,4244.75,4130.05,4202,96067,0
2023-03-20T00:00:00+0530,4249.95,4249.95,4164.1,4211.75,120295,0
2023-03-21T00:00:00+0530,4212.5,4374.95,4206.15,4222.5,336799,0
2023-03-22T00:00:00+0530,4233,4248.55,4200,4211.95,57400,0
2023-03-23T00:00:00+0530,4200,4275,4182,4263.6,58950,0
2023-03-24T00:00:00+0530,4270,4298.95,4217.9,4241.85,107127,0
2023-03-27T00:00:00+0530,4248.7,4268.95,4167.05,4182.2,56969,0
2023-03-28T00:00:00+0530,4182.05,4203.75,4125,4172.65,87283,0
2023-03-29T00:00:00+0530,4149.65,4219.75,4130.2,4197.9,84199,0
2023-03-31T00:00:00+0530,4218.9,4276,4208.15,4270.6,104076,0
2023-04-03T00:00:00+0530,4271,4283,4194.45,4234.1,80034,0
2023-04-05T00:00:00+0530,4229,4263.1,4196,4244,68397,0
2023-04-06T00:00:00+0530,4253.5,4265.2,4211.4,4255.85,57829,0
2023-04-10T00:00:00+0530,4266,4295,4226.05,4267.75,133286,0
2023-04-11T00:00:00+0530,4250,4489.6,4250,4477.75,486593,0
2023-04-12T00:00:00+0530,4489,4550,4438.85,4453.1,260728,0
2023-04-13T00:00:00+0530,4445,4540,4410.65,4526.75,137512,0
2023-04-17T00:00:00+0530,4515,4549.5,4465,4531.9,84737,0
2023-04-18T00:00:00+0530,4550,4625,4522.2,4608.25,163275,0
2023-04-19T00:00:00+0530,4618.95,4668,4595.65,4641.9,166263,0
2023-04-20T00:00:00+0530,4667,4707.95,4644.1,4687.7,143506,0
2023-04-21T00:00:00+0530,4683,4738.8,4664.2,4732.7,172058,0
2023-04-24T00:00:00+0530,4760,4760.05,4686.65,4726.95,114136,0
2023-04-25T00:00:00+0530,4715,4727.7,4671,4705.2,136421,0
2023-04-26T00:00:00+0530,4671,4735.25,4650,4683.5,63367,0
2023-04-27T00:00:00+0530,4679.9,4760,4670,4743.8,89405,0
2023-04-28T00:00:00+0530,4762,4865,4747.3,4850.2,184155,0
2023-05-02T00:00:00+0530,4866.3,4879.95,4777.4,4800.4,215613,0
2023-05-03T00:00:00+0530,4799,4824.95,4768.8,4799.5,54071,0
2023-05-04T00:00:00+0530,4805,4855.4,4785,4816.2,58655,0
2023-05-05T00:00:00+0530,4807,4845.95,4768,4784.1,50389,0
2023-05-08T00:00:00+0530,4792.9,4823.1,4752,4788.4,65169,0
2023-05-09T00:00:00+0530,4799.9,4853.85,4770,4799,132614,0
2023-05-10T00:00:00+0530,4792.1,4829.7,4716.05,4764.55,95820,0
2023-05-11T00:00:00+0530,4782.05,4798,4675,4724.35,270091,0
2023-05-12T00:00:00+0530,4720,4773.85,4629,4748,594553,0
2023-05-15T00:00:00+0530,4890.4,4950,4646.35,4695.4,914785,0
2023-05-16T00:00:00+0530,4724.95,4762,4660.1,4680,195950,0
2023-05-17T00:00:00+0530,4680,4750,4610.55,4652.45,176775,0
2023-05-18T00:00:00+0530,4662.6,4684.55,4603.85,4619.9,97729,0
2023-05-19T00:00:00+0530,4630,4630.7,4528.55,4556.05,123842,0
2023-05-22T00:00:00+0530,4562,4603.5,4524.05,4591.5,58538,0
2023-05-23T00:00:00+0530,4609.5,4609.95,4540.05,4559.35,95077,0
2023-05-24T00:00:00+0530,4565,4667,4511.25,4601.5,176185,0
2023-05-25T00:00:00+0530,4605,4626,4551.05,4602.8,79951,0
2023-05-26T00:00:00+0530,4604.9,4637.45,4577.1,4620.85,85723,0
2023-05-29T00:00:00+0530,4621.05,4675,4607.1,4640.8,81574,0
2023-05-30T00:00:00+0530,4645.05,4684.2,4632,4672.75,73873,0
2023-05-31T00:00:00+0530,4677.95,4699.65,4650,4665.1,52508,0
2023-06-01T00:00:00+0530,4657.65,4686.4,4570,4592.25,100445,0
2023-06-02T00:00:00+0530,4561.2,4629.45,4561.2,4615.55,62450,0
2023-06-05T00:00:00+0530,4661.75,4670,4630,4645.8,98067,0
2023-06-06T00:00:00+0530,4646,4666.5,4602,4627.4,58389,0
2023-06-07T00:00:00+0530,4645.6,4723.95,4620,4705.8,199220,0
2023-06-08T00:00:00+0530,4711.1,4744.95,4572.1,4581.25,153899,0
2023-06-09T00:00:00+0530,4610.35,4610.35,4444.4,4458.8,157390,0
2023-06-12T00:00:00+0530,4480.05,4488.55,4366,4409.15,507385,0
2023-06-13T00:00:00+0530,4445,4575,4422.05,4570.35,174163,0
2023-06-14T00:00:00+0530,4598.9,4664.4,4543.6,4627.9,136491,0
2023-06-15T00:00:00+0530,4629,4668.2,4610,4632.15,90604,0
2023-06-16T00:00:00+0530,4632.9,4684,4625.05,4653.75,78435,0
2023-06-19T00:00:00+0530,4645,4696,4630.1,4641.8,49050,0
2023-06-20T00:00:00+0530,4655,4676.6,4590,4617.3,72347,0
2023-06-21T00:00:00+0530,4617.3,4680,4597.05,4669.4,92610,0
2023-06-22T00:00:00+0530,4669.4,4699,4541.55,4553.95,121683,0
2023-06-23T00:00:00+0530,4557.95,4577.4,4441.15,4458.5,119027,0
2023-06-26T00:00:00+0530,4445.05,4482.9,4403.85,4457.3,66389,0
