date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,125,125.45,121.05,121.4,176439,0
2023-01-03T00:00:00+0530,122.75,123.15,120.6,121.15,104602,0
2023-01-04T00:00:00+0530,122.35,123.5,118.9,121.15,132880,0
2023-01-05T00:00:00+0530,121.95,122,117.7,119.2,159662,0
2023-01-06T00:00:00+0530,119.95,119.95,116.25,117.6,244919,0
2023-01-09T00:00:00+0530,118.5,119.9,116.85,117.3,96145,0
2023-01-10T00:00:00+0530,118.45,118.45,116.05,117.15,44790,0
2023-01-11T00:00:00+0530,117.55,119.4,116.55,118.1,58357,0
2023-01-12T00:00:00+0530,118.15,119,116.15,117.35,93417,0
2023-01-13T00:00:00+0530,117.5,119,116.55,117.85,96648,0
2023-01-16T00:00:00+0530,118.2,119.75,117.7,118.45,74551,0
2023-01-17T00:00:00+0530,118,119,116.2,116.55,57403,0
2023-01-18T00:00:00+0530,117.2,119.5,116.6,117.6,84302,0
2023-01-19T00:00:00+0530,117.55,118.05,115.4,116.2,120389,0
2023-01-20T00:00:00+0530,116.65,117.85,115.2,115.55,87081,0
2023-01-23T00:00:00+0530,116.15,117.5,113.55,115.7,90421,0
2023-01-24T00:00:00+0530,116.3,117.1,114,114.7,73970,0
2023-01-25T00:00:00+0530,115.35,115.35,109.65,113,251462,0
2023-01-27T00:00:00+0530,113,114.35,106.1,106.85,352057,0
2023-01-30T00:00:00+0530,107.05,115.25,107.05,110.8,551592,0
2023-01-31T00:00:00+0530,110.8,112.5,110,111.05,112908,0
2023-02-01T00:00:00+0530,111.65,116.4,109.9,110.15,204926,0
2023-02-02T00:00:00+0530,110.75,113.5,109.9,111.2,164980,0
2023-02-03T00:00:00+0530,111.95,112.15,110,110.55,139915,0
2023-02-06T00:00:00+0530,111.15,112.55,109.7,111.15,87799,0
2023-02-07T00:00:00+0530,111.15,111.35,109.85,110.1,72600,0
2023-02-08T00:00:00+0530,110,112.65,109.75,110.65,154547,0
2023-02-09T00:00:00+0530,111.2,111.5,106.5,107.75,328438,0
2023-02-10T00:00:00+0530,107.95,107.95,104,105.2,220051,0
2023-02-13T00:00:00+0530,105.95,111.9,103.05,103.9,324959,0
2023-02-14T00:00:00+0530,103,105,101.05,101.35,136275,0
2023-02-15T00:00:00+0530,101,102.4,99.2,99.9,218301,0
2023-02-16T00:00:00+0530,99.9,100.9,99.3,100.2,327294,0
2023-02-17T00:00:00+0530,100.15,102,99.25,100.05,1231446,0
2023-02-20T00:00:00+0530,100.6,106.5,100.4,103.1,327553,0
2023-02-21T00:00:00+0530,102.5,105.65,99.3,103.75,495741,0
2023-02-22T00:00:00+0530,102.1,103.25,101.3,101.9,154222,0
2023-02-23T00:00:00+0530,101.9,102.5,99.5,99.9,379881,0
2023-02-24T00:00:00+0530,100.5,101,99,99.95,593093,0
2023-02-27T00:00:00+0530,100.6,100.65,97.05,97.5,184780,0
2023-02-28T00:00:00+0530,98.05,99.8,95.4,99,189550,0
2023-03-01T00:00:00+0530,99,99.5,97.3,97.85,164493,0
