date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,182.8,184.57,182.8,182.92,648,0
2023-01-03T00:00:00+0530,183.1,184.35,183,184.34,155,0
2023-01-04T00:00:00+0530,183.8,183.8,181.92,182.07,1049,0
2023-01-05T00:00:00+0530,182.3,182.8,181.01,182.39,320,0
2023-01-06T00:00:00+0530,183.6,185.3,180.05,180.13,1486,0
2023-01-09T00:00:00+0530,180.66,183.1,180.66,182.16,2439,0
2023-01-10T00:00:00+0530,182.17,182.29,180.51,181,445,0
2023-01-11T00:00:00+0530,180.8,181.5,180.42,180.48,647,0
2023-01-12T00:00:00+0530,180.85,180.9,179.9,180.3,199,0
2023-01-13T00:00:00+0530,180.15,181.7,179.8,181.53,1216,0
2023-01-16T00:00:00+0530,181.5,181.75,180.51,181.62,371,0
2023-01-17T00:00:00+0530,182,182.49,182,182.49,122,0
2023-01-18T00:00:00+0530,182.16,184.12,182.16,184,33495,0
2023-01-19T00:00:00+0530,183.81,183.81,183.01,183.5,361,0
2023-01-20T00:00:00+0530,182.75,183.4,182.31,182.5,887,0
2023-01-23T00:00:00+0530,181.01,184,181.01,183.7,79,0
2023-01-24T00:00:00+0530,185,185,182.64,182.88,862,0
2023-01-25T00:00:00+0530,182.35,182.35,180.9,181.06,532,0
2023-01-27T00:00:00+0530,180,180,177.1,177.9,192224,0
2023-01-30T00:00:00+0530,177.9,180.99,176.51,178.21,1799,0
2023-01-31T00:00:00+0530,178.25,178.86,177.81,178.71,8010,0
2023-02-01T00:00:00+0530,178.99,181.49,177.01,177.82,8920,0
2023-02-02T00:00:00+0530,178.28,178.8,177.49,178.75,568,0
2023-02-03T00:00:00+0530,182.57,184.11,178.3,180.08,486,0
2023-02-06T00:00:00+0530,180.59,180.59,179.25,179.61,597,0
2023-02-07T00:00:00+0530,183.33,183.33,179.15,179.58,333,0
2023-02-08T00:00:00+0530,179.5,181,179.5,180.58,294,0
2023-02-09T00:00:00+0530,180.15,181.1,180.15,180.98,894,0
2023-02-10T00:00:00+0530,180.7,181.28,180.17,180.17,324,0
2023-02-13T00:00:00+0530,180.25,180.5,179.7,180.17,467,0
2023-02-14T00:00:00+0530,180.05,181.09,180,181.09,693,0
2023-02-15T00:00:00+0530,181,182,181,181.81,842,0
2023-02-16T00:00:00+0530,178.5,183.25,178.5,182.05,388,0
2023-02-17T00:00:00+0530,182,182.25,181.5,181.51,354,0
2023-02-20T00:00:00+0530,186.95,186.95,180.9,180.9,293,0
2023-02-21T00:00:00+0530,181.05,181.5,180.25,180.53,575,0
2023-02-22T00:00:00+0530,180.45,180.45,177.65,177.81,1147,0
2023-02-23T00:00:00+0530,177.9,178.49,177.49,177.6,603,0
2023-02-24T00:00:00+0530,178,178,176.5,177.25,3224,0
2023-02-27T00:00:00+0530,176.5,176.67,174.81,176.56,976,0
2023-02-28T00:00:00+0530,173.65,177,173.65,175.83,678,0
2023-03-01T00:00:00+0530,176.9,177.25,175.8,176.98,634,0
2023-03-02T00:00:00+0530,176.5,176.5,175.33,175.93,759,0
2023-03-03T00:00:00+0530,176.15,178.4,176.15,178.22,1039,0
2023-03-06T00:00:00+0530,178.92,180.19,178.92,179.35,243,0
2023-03-08T00:00:00+0530,179,179.43,178.45,179.18,1080,0
2023-03-09T00:00:00+0530,179.32,179.5,178.1,178.28,400,0
2023-03-10T00:00:00+0530,177,177.01,175.8,176.4,744,0
2023-03-13T00:00:00+0530,176.31,177.08,173.75,174.54,2366,0
2023-03-14T00:00:00+0530,174.03,174.85,172.55,172.76,4726,0
2023-03-15T00:00:00+0530,173.64,174,172.25,172.42,2610,0
2023-03-16T00:00:00+0530,172.16,172.5,171.08,172.43,1386,0
2023-03-17T00:00:00+0530,172.84,173.82,172.25,173.4,1596,0
2023-03-20T00:00:00+0530,172.41,172.46,170.95,171.54,5414,0
2023-03-21T00:00:00+0530,172.01,173.75,172.01,173.42,2102,0
2023-03-22T00:00:00+0530,174.72,174.72,173.5,174.03,1587,0
2023-03-23T00:00:00+0530,173.59,174.25,172.32,172.89,791,0
2023-03-24T00:00:00+0530,172.8,173.11,171.75,171.94,4080,0
2023-03-27T00:00:00+0530,172.01,172.51,171.75,171.88,3429,0
2023-03-28T00:00:00+0530,172.15,173.5,171.51,172.45,5386,0
2023-03-29T00:00:00+0530,172.74,173.36,172.25,172.68,4179,0
2023-03-31T00:00:00+0530,172.99,175.6,172.99,175.24,2340,0
