date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,3.55,3.65,3.4,3.55,255274,0
2023-01-03T00:00:00+0530,3.6,3.65,3.5,3.5,174576,0
2023-01-04T00:00:00+0530,3.55,3.55,3.45,3.55,163924,0
2023-01-05T00:00:00+0530,3.55,3.65,3.5,3.5,266806,0
2023-01-06T00:00:00+0530,3.5,3.6,3.45,3.55,98953,0
2023-01-09T00:00:00+0530,3.55,3.55,3.4,3.45,166722,0
2023-01-10T00:00:00+0530,3.5,3.5,3.3,3.35,259007,0
2023-01-11T00:00:00+0530,3.35,3.5,3.3,3.35,243429,0
2023-01-12T00:00:00+0530,3.4,3.5,3.35,3.5,181358,0
2023-01-13T00:00:00+0530,3.65,3.65,3.45,3.5,541591,0
2023-01-16T00:00:00+0530,3.55,3.55,3.4,3.45,217335,0
2023-01-17T00:00:00+0530,3.4,3.6,3.4,3.6,366742,0
2023-01-18T00:00:00+0530,3.65,3.65,3.5,3.5,252211,0
2023-01-19T00:00:00+0530,3.45,3.55,3.45,3.5,132602,0
2023-01-20T00:00:00+0530,3.55,3.55,3.45,3.45,118879,0
2023-01-23T00:00:00+0530,3.5,3.55,3.4,3.4,150422,0
2023-01-24T00:00:00+0530,3.45,3.45,3.35,3.35,107457,0
2023-01-25T00:00:00+0530,3.4,3.4,3.2,3.25,213234,0
2023-01-27T00:00:00+0530,3.25,3.35,3.15,3.2,139400,0
2023-01-30T00:00:00+0530,3.25,3.25,3.05,3.05,184710,0
2023-01-31T00:00:00+0530,3.05,3.2,3,3.15,91102,0
2023-02-01T00:00:00+0530,3.25,3.3,3.15,3.3,198704,0
2023-02-02T00:00:00+0530,3.35,3.35,3.15,3.15,181694,0
2023-02-03T00:00:00+0530,3.2,3.3,3,3.15,373976,0
2023-02-06T00:00:00+0530,3.15,3.25,3.05,3.15,167435,0
2023-02-07T00:00:00+0530,3.2,3.25,2.9,3.05,346816,0
2023-02-08T00:00:00+0530,3.05,3.15,2.95,3.05,193683,0
2023-02-09T00:00:00+0530,2.95,3.25,2.9,2.95,472274,0
2023-02-10T00:00:00+0530,3,3,2.9,2.9,172261,0
2023-02-13T00:00:00+0530,2.9,3,2.85,2.95,261236,0
2023-02-14T00:00:00+0530,3,3,2.9,2.9,97488,0
2023-02-15T00:00:00+0530,3,3,2.9,3,82515,0
2023-02-16T00:00:00+0530,3.05,3.05,2.95,2.95,51145,0
2023-02-17T00:00:00+0530,2.95,3,2.9,2.95,75138,0
2023-02-20T00:00:00+0530,2.9,2.95,2.9,2.9,99111,0
2023-02-21T00:00:00+0530,2.95,3,2.9,2.9,41812,0
2023-02-22T00:00:00+0530,2.95,2.95,2.7,2.8,270417,0
2023-02-23T00:00:00+0530,2.85,2.85,2.75,2.8,69713,0
2023-02-24T00:00:00+0530,2.85,2.85,2.7,2.75,170549,0
2023-02-27T00:00:00+0530,2.75,2.8,2.6,2.7,83135,0
2023-02-28T00:00:00+0530,2.6,2.7,2.5,2.6,232038,0
2023-03-01T00:00:00+0530,2.65,2.8,2.55,2.7,144858,0
2023-03-02T00:00:00+0530,2.7,2.85,2.7,2.8,111882,0
