date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,2344.95,2344.95,2250.05,2299.9,1415,0
2023-01-03T00:00:00+0530,2389.9,2389.9,2270,2335.75,719,0
2023-01-04T00:00:00+0530,2300,2326.4,2215.15,2266.2,1132,0
2023-01-05T00:00:00+0530,2270,2360,2252.05,2294,1144,0
2023-01-06T00:00:00+0530,2280,2330,2200.05,2267.15,2150,0
2023-01-09T00:00:00+0530,2333,2333,2250.35,2279.85,640,0
2023-01-10T00:00:00+0530,2335,2335,2239.95,2249.65,378,0
2023-01-11T00:00:00+0530,2257.45,2260,2225,2246.65,1089,0
2023-01-12T00:00:00+0530,2260,2291,2224,2235.9,896,0
2023-01-13T00:00:00+0530,2288.9,2296,2229,2249.85,1040,0
2023-01-16T00:00:00+0530,2250,2299.45,2170,2220.5,803,0
2023-01-17T00:00:00+0530,2263.1,2263.1,2131.7,2235.3,1548,0
2023-01-18T00:00:00+0530,2200,2287,2200,2260.9,971,0
2023-01-19T00:00:00+0530,2215.1,2266.2,2201,2233,985,0
2023-01-20T00:00:00+0530,2221,2249.95,2200,2210.5,1043,0
2023-01-23T00:00:00+0530,2214,2250.5,2150,2163.75,1146,0
2023-01-24T00:00:00+0530,2168.5,2227.8,2168.5,2182.7,827,0
2023-01-25T00:00:00+0530,2170,2211.95,2162,2201.25,358,0
2023-01-27T00:00:00+0530,2162,2188,2100,2114.65,1243,0
2023-01-30T00:00:00+0530,2119.65,2198.05,2075.05,2101.2,656,0
2023-01-31T00:00:00+0530,2126.1,2149.3,2112.05,2127.6,483,0
2023-02-01T00:00:00+0530,2127.6,2183,2020.4,2080.95,1130,0
2023-02-02T00:00:00+0530,2119.8,2126.8,2050,2058.8,621,0
2023-02-03T00:00:00+0530,2064,2071.2,2001,2025.55,1466,0
2023-02-06T00:00:00+0530,2062.2,2062.2,2002,2011.55,1346,0
2023-02-07T00:00:00+0530,2019,2047.45,2005.55,2011.15,984,0
2023-02-08T00:00:00+0530,2020,2052.2,2020,2040.5,775,0
2023-02-09T00:00:00+0530,2054.25,2270,2040.6,2186.95,3626,0
2023-02-10T00:00:00+0530,2150,2210.65,2150,2188.7,377,0
2023-02-13T00:00:00+0530,2279,2279,2162,2162.8,584,0
2023-02-14T00:00:00+0530,2163.1,2166,2102,2102.35,979,0
2023-02-15T00:00:00+0530,2119.65,2130,2080,2116.25,750,0
2023-02-16T00:00:00+0530,2130,2172.15,2121.05,2158.2,759,0
