date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,78,85,77.95,78.85,118038,0
2023-01-03T00:00:00+0530,78.75,79.9,76.35,77.05,18096,0
2023-01-04T00:00:00+0530,77.75,81.3,77.4,79.45,29087,0
2023-01-05T00:00:00+0530,79,88,79,86.3,89627,0
2023-01-06T00:00:00+0530,86.3,94,86.05,88.7,146032,0
2023-01-09T00:00:00+0530,89,93.3,89,89.85,25436,0
2023-01-10T00:00:00+0530,91.95,91.95,86.9,88.1,40271,0
2023-01-11T00:00:00+0530,88.6,90.75,87.05,87.4,29434,0
2023-01-12T00:00:00+0530,88.2,89.85,86.1,86.6,32393,0
2023-01-13T00:00:00+0530,88,88.9,86.45,87.85,18334,0
2023-01-16T00:00:00+0530,88,91.95,86.1,86.6,58827,0
2023-01-17T00:00:00+0530,87.95,88.55,84.1,85.4,15479,0
2023-01-18T00:00:00+0530,84.9,89.95,84.85,89.45,36659,0
2023-01-19T00:00:00+0530,89,89.9,85.25,86.3,18052,0
2023-01-20T00:00:00+0530,86.35,92,86.3,87.2,35808,0
2023-01-23T00:00:00+0530,87.25,88.45,84.55,85.55,31855,0
2023-01-24T00:00:00+0530,85.7,86.3,84,84.3,30640,0
2023-01-25T00:00:00+0530,84.65,85.5,80.15,81,14279,0
2023-01-27T00:00:00+0530,82.5,84.1,75,76.25,41251,0
2023-01-30T00:00:00+0530,77.95,81,77.2,79,11381,0
2023-01-31T00:00:00+0530,80.7,80.9,76.3,78.9,30002,0
2023-02-01T00:00:00+0530,79.95,79.95,75.05,76.2,9325,0
2023-02-02T00:00:00+0530,77.75,79,75,75.3,15977,0
2023-02-03T00:00:00+0530,76.7,76.7,72.1,73.15,18851,0
2023-02-06T00:00:00+0530,74,74.45,71.25,73.2,31691,0
2023-02-07T00:00:00+0530,73.7,74.9,71.05,72.45,52117,0
2023-02-08T00:00:00+0530,73.7,74.05,72,72.7,18935,0
2023-02-09T00:00:00+0530,73.7,79.8,73.1,78.05,29986,0
2023-02-10T00:00:00+0530,82.5,82.5,75.15,76.3,34133,0
2023-02-13T00:00:00+0530,76.35,77.85,72.9,73.7,23034,0
2023-02-14T00:00:00+0530,73.95,75.7,71.55,73.4,23910,0
2023-02-15T00:00:00+0530,73.45,76.5,70.9,71.1,36701,0
2023-02-16T00:00:00+0530,71.45,72.8,66.5,67.5,47752,0
2023-02-17T00:00:00+0530,69.95,69.95,66.2,67.9,16566,0
2023-02-20T00:00:00+0530,68.35,68.65,58.15,59.9,105309,0
2023-02-21T00:00:00+0530,61,65.8,59.65,62.3,109635,0
2023-02-22T00:00:00+0530,62,62.3,53.2,54.95,333352,0
2023-02-23T00:00:00+0530,56,58,53.6,56.6,57778,0
2023-02-24T00:00:00+0530,57,57.4,55.05,55.4,41189,0
2023-02-27T00:00:00+0530,55.5,56,46.9,48.95,113410,0
2023-02-28T00:00:00+0530,50,50.95,46.5,47.4,60278,0
2023-03-01T00:00:00+0530,48.95,51.2,48.1,50.9,45323,0
2023-03-02T00:00:00+0530,51.2,53.95,47.5,51.3,111743,0
2023-03-03T00:00:00+0530,50.95,50.95,48,48.55,50492,0
2023-03-06T00:00:00+0530,48.95,51.25,48.5,50.1,19121,0
2023-03-08T00:00:00+0530,50.7,60.1,50.2,60.1,158990,0
2023-03-09T00:00:00+0530,62.15,72.1,62.15,72.1,430126,0
2023-03-10T00:00:00+0530,75,79.3,73.25,79.3,455828,0
2023-03-13T00:00:00+0530,86.3,86.9,80.15,83.3,490727,0
2023-03-14T00:00:00+0530,83.3,83.9,75,75,111251,0
2023-03-15T00:00:00+0530,73.3,79.8,67.5,67.8,229905,0
2023-03-16T00:00:00+0530,68.8,68.9,62.3,63.7,50228,0
2023-03-17T00:00:00+0530,64,65.65,59.4,60.65,63743,0
2023-03-20T00:00:00+0530,60.65,62.85,58.85,59.15,65345,0
2023-03-21T00:00:00+0530,60.6,60.6,58,58.65,32704,0
2023-03-22T00:00:00+0530,59.4,59.8,57.9,58.3,30630,0
2023-03-23T00:00:00+0530,58.4,59.1,56.2,56.6,20749,0
2023-03-24T00:00:00+0530,58,58,54.15,54.6,19769,0
2023-03-27T00:00:00+0530,55.9,55.9,51.9,53.15,98179,0
2023-03-28T00:00:00+0530,53.6,53.6,50.5,51.15,53064,0
2023-03-29T00:00:00+0530,50,53.7,49.1,50.1,72001,0
2023-03-31T00:00:00+0530,51.5,52.6,48.2,48.85,108200,0
2023-04-03T00:00:00+0530,49.9,51.25,49.55,51.25,41178,0
2023-04-05T00:00:00+0530,53.2,53.8,51,52.1,91815,0
2023-04-06T00:00:00+0530,53.5,53.5,50.85,52.05,52889,0
2023-04-10T00:00:00+0530,52.05,53.1,51.55,52.15,18339,0
2023-04-11T00:00:00+0530,52.15,57.35,51.05,57.35,50837,0
2023-04-12T00:00:00+0530,60,63.05,57.4,63.05,107346,0
2023-04-13T00:00:00+0530,64.75,68.8,61.65,63.15,158657,0
2023-04-17T00:00:00+0530,63,63,58.15,61.25,80447,0
2023-04-18T00:00:00+0530,61.9,63.75,60.75,61.65,28613,0
2023-04-19T00:00:00+0530,62,62,60,60.6,13928,0
2023-04-20T00:00:00+0530,60.5,63,60,60.25,26143,0
2023-04-21T00:00:00+0530,61,61.05,58.55,59.1,17835,0
2023-04-24T00:00:00+0530,57.35,59.55,55.5,57.45,18358,0
2023-04-25T00:00:00+0530,58.7,59.6,58.1,58.5,15253,0
2023-04-26T00:00:00+0530,58.75,60.75,57.15,57.85,19927,0
2023-04-27T00:00:00+0530,58.75,59.55,57.5,58,14747,0
2023-04-28T00:00:00+0530,58.05,58.3,55.35,56.25,32313,0
2023-05-02T00:00:00+0530,57.2,58.9,56.5,58.3,30026,0
2023-05-03T00:00:00+0530,58.8,58.8,56.65,57.45,15021,0
2023-05-04T00:00:00+0530,57.05,58,56.45,57.65,15523,0
2023-05-05T00:00:00+0530,58.3,58.95,56,57.2,27990,0
2023-05-08T00:00:00+0530,57.7,59.35,57,58.9,23222,0
2023-05-09T00:00:00+0530,59.5,59.5,56.4,57.4,13765,0
2023-05-10T00:00:00+0530,57.35,57.75,56.3,56.35,11274,0
2023-05-11T00:00:00+0530,56.05,57.95,56,56.9,11712,0
2023-05-12T00:00:00+0530,56.9,57,55.4,56.05,15844,0
2023-05-15T00:00:00+0530,56.05,57.3,52.6,53.15,45553,0
2023-05-16T00:00:00+0530,53.95,53.95,52.9,53.35,14943,0
2023-05-17T00:00:00+0530,53.55,53.75,53.15,53.25,11123,0
2023-05-18T00:00:00+0530,53.3,54,53.3,53.75,14023,0
2023-05-19T00:00:00+0530,53.7,57.55,53.3,55.9,41212,0
2023-05-22T00:00:00+0530,54.5,58.5,54.5,57.1,33960,0
2023-05-23T00:00:00+0530,58,60.3,58,58.9,28015,0
2023-05-24T00:00:00+0530,58,58.65,56.55,58.1,26948,0
2023-05-25T00:00:00+0530,58,60.7,56.2,56.65,16886,0
2023-05-26T00:00:00+0530,58,58.1,55,57.25,20311,0
2023-05-29T00:00:00+0530,51.65,55.5,51.65,54.55,105254,0
2023-05-30T00:00:00+0530,54.55,54.8,52.65,53.95,27491,0
2023-05-31T00:00:00+0530,55,55,53.15,53.75,18209,0
2023-06-01T00:00:00+0530,54.35,55,53,53.3,20286,0
2023-06-02T00:00:00+0530,53,53.85,50.6,52.3,36165,0
2023-06-05T00:00:00+0530,53.7,53.7,51.7,52.65,36360,0
2023-06-06T00:00:00+0530,52.6,53.25,51.05,51.85,60440,0
2023-06-07T00:00:00+0530,52.8,62.2,52.5,62.2,730800,0
2023-06-08T00:00:00+0530,63.75,63.8,57.2,57.85,280955,0
2023-06-09T00:00:00+0530,57.85,58.55,55.45,56.8,45897,0
2023-06-12T00:00:00+0530,56.8,57.45,55.85,56.2,30541,0
