date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,27,27.1,26.6,26.85,56056,0
2023-01-03T00:00:00+0530,27.1,27.5,26.9,27.35,89081,0
2023-01-04T00:00:00+0530,27.75,27.85,26.9,27.05,115535,0
2023-01-05T00:00:00+0530,27.15,27.25,26.8,27,130262,0
2023-01-06T00:00:00+0530,27.2,27.5,26.55,26.8,129295,0
2023-01-09T00:00:00+0530,27.4,28.3,26.85,27.5,202879,0
2023-01-10T00:00:00+0530,27.35,28.35,27.2,28,181996,0
2023-01-11T00:00:00+0530,28.35,30,27.7,29.45,778710,0
2023-01-12T00:00:00+0530,29.85,30.3,28.4,28.6,353174,0
2023-01-13T00:00:00+0530,28.7,29.3,28.1,28.25,135190,0
2023-01-16T00:00:00+0530,28.85,28.9,27.7,27.8,98893,0
2023-01-17T00:00:00+0530,28.35,28.35,27.3,27.6,117502,0
2023-01-18T00:00:00+0530,28,28.55,27.7,28.25,118862,0
2023-01-19T00:00:00+0530,28.25,28.45,27.6,27.75,34327,0
2023-01-20T00:00:00+0530,27.8,28.05,27.55,27.85,71837,0
2023-01-23T00:00:00+0530,27.85,28.25,27.55,27.6,62505,0
2023-01-24T00:00:00+0530,27.6,28,26.95,27.1,63694,0
2023-01-25T00:00:00+0530,27,27.55,26.1,26.45,140172,0
2023-01-27T00:00:00+0530,26.6,26.75,25,25.55,170608,0
2023-01-30T00:00:00+0530,25.55,26.4,25.5,25.75,117604,0
2023-01-31T00:00:00+0530,26,26.45,25.65,25.85,57025,0
2023-02-01T00:00:00+0530,26.3,26.35,25.15,25.4,79397,0
2023-02-02T00:00:00+0530,25.25,25.7,24.75,24.8,76416,0
2023-02-03T00:00:00+0530,24.85,25.3,24.8,25.05,46934,0
2023-02-06T00:00:00+0530,25,26,24.8,24.95,104178,0
2023-02-07T00:00:00+0530,25.35,25.35,24.85,25,67317,0
2023-02-08T00:00:00+0530,24.85,25.55,24.75,25.05,38450,0
2023-02-09T00:00:00+0530,25.5,25.5,24.7,24.9,46574,0
2023-02-10T00:00:00+0530,24.85,25.4,24.8,24.9,64785,0
2023-02-13T00:00:00+0530,25,25.5,24,24.4,35877,0
2023-02-14T00:00:00+0530,24.15,24.8,22.5,23.45,147760,0
2023-02-15T00:00:00+0530,22.65,23,21,21.85,394239,0
2023-02-16T00:00:00+0530,22.3,22.4,21,21.3,166286,0
2023-02-17T00:00:00+0530,21.7,23.55,21.25,21.95,295283,0
2023-02-20T00:00:00+0530,22.3,22.3,21.5,21.8,87707,0
2023-02-21T00:00:00+0530,21.8,21.8,20.75,21,121099,0
2023-02-22T00:00:00+0530,21,21.4,20.15,20.35,126662,0
2023-02-23T00:00:00+0530,21,21.15,19.1,20.3,196656,0
2023-02-24T00:00:00+0530,20.65,21.6,20.05,20.3,221315,0
2023-02-27T00:00:00+0530,20.65,20.65,19.6,19.9,39770,0
2023-02-28T00:00:00+0530,19.9,20.3,19.35,20.05,67058,0
2023-03-01T00:00:00+0530,20,20.9,20,20.65,63449,0
2023-03-02T00:00:00+0530,20.8,21.25,20.65,21.05,54049,0
2023-03-03T00:00:00+0530,21.35,21.55,20.8,20.95,162835,0
2023-03-06T00:00:00+0530,21.4,21.4,20.6,20.8,67054,0
2023-03-08T00:00:00+0530,20.65,20.9,20.15,20.25,290275,0
2023-03-09T00:00:00+0530,20.65,20.95,19.6,19.8,220462,0
2023-03-10T00:00:00+0530,19.65,19.75,18.8,19,355445,0
2023-03-13T00:00:00+0530,18.95,19.4,17.9,18.05,268665,0
2023-03-14T00:00:00+0530,18.45,18.9,17.15,17.6,326051,0
2023-03-15T00:00:00+0530,17.8,18.6,17.6,18.35,252098,0
2023-03-16T00:00:00+0530,18.6,18.6,17.75,18.2,79689,0
2023-03-17T00:00:00+0530,18.5,18.5,18,18.1,175814,0
2023-03-20T00:00:00+0530,18.1,18.75,17.5,18.15,182177,0
2023-03-21T00:00:00+0530,18.6,18.65,17.65,17.9,146481,0
2023-03-22T00:00:00+0530,18.25,18.9,17.6,17.8,119459,0
2023-03-23T00:00:00+0530,17.65,18.2,17.25,17.6,191332,0
2023-03-24T00:00:00+0530,17.6,17.8,16.4,16.75,282344,0
2023-03-27T00:00:00+0530,17.1,17.1,15.55,15.85,252250,0
2023-03-28T00:00:00+0530,15.85,16.15,15.15,15.45,370832,0
2023-03-29T00:00:00+0530,15.8,16.5,15.4,16.25,315706,0
2023-03-31T00:00:00+0530,16.35,17.5,16.15,16.7,231564,0
2023-04-03T00:00:00+0530,17.15,19.75,17,19.2,381899,0
2023-04-05T00:00:00+0530,19.3,19.9,19.1,19.4,173414,0
