date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,29.15,29.5,28.9,29.05,28852,0
2023-01-03T00:00:00+0530,29.2,29.4,28.8,29,40038,0
2023-01-04T00:00:00+0530,29.35,29.45,28.2,28.5,67396,0
2023-01-05T00:00:00+0530,28.9,28.9,28.1,28.3,35284,0
2023-01-06T00:00:00+0530,28.75,28.9,27.9,28.45,31999,0
2023-01-09T00:00:00+0530,28.5,28.85,27.85,28,49539,0
2023-01-10T00:00:00+0530,28.5,28.5,27.6,27.7,43039,0
2023-01-11T00:00:00+0530,28.25,28.9,27.7,27.95,44922,0
2023-01-12T00:00:00+0530,28.05,28.2,27.7,27.85,23247,0
2023-01-13T00:00:00+0530,28.4,28.4,27.55,27.65,42756,0
2023-01-16T00:00:00+0530,27.65,29.3,27.5,28.3,154037,0
2023-01-17T00:00:00+0530,28.05,28.9,27.8,28.45,46272,0
2023-01-18T00:00:00+0530,28.15,29.1,28.15,28.4,67017,0
2023-01-19T00:00:00+0530,28.1,28.55,28,28.35,19708,0
2023-01-20T00:00:00+0530,28.2,28.45,27.8,27.95,22561,0
2023-01-23T00:00:00+0530,28.55,28.55,27.5,27.8,68843,0
2023-01-24T00:00:00+0530,27.8,28.5,27.6,27.65,26323,0
2023-01-25T00:00:00+0530,27.95,27.95,27.25,27.4,20741,0
2023-01-27T00:00:00+0530,27.95,27.95,26.9,27.3,57792,0
2023-01-30T00:00:00+0530,27.5,27.9,26.3,27.25,24612,0
2023-01-31T00:00:00+0530,27.15,27.45,26.95,27.3,39886,0
2023-02-01T00:00:00+0530,27.9,27.9,26.8,27.05,46976,0
2023-02-02T00:00:00+0530,27.5,27.5,26.8,26.8,17155,0
2023-02-03T00:00:00+0530,27.95,27.95,26.05,26.4,49745,0
2023-02-06T00:00:00+0530,26.95,27.8,26.6,27.1,28721,0
2023-02-07T00:00:00+0530,27.7,27.7,26.5,26.8,9147,0
2023-02-08T00:00:00+0530,26.95,27.4,26.75,26.9,12142,0
2023-02-09T00:00:00+0530,27.2,27.35,26.75,27,15395,0
2023-02-10T00:00:00+0530,27.45,27.55,26.9,27.05,12361,0
2023-02-13T00:00:00+0530,27.45,27.45,26.1,26.3,35823,0
2023-02-14T00:00:00+0530,26.3,27.3,25.95,26.05,50631,0
2023-02-15T00:00:00+0530,26,26.25,25.8,26,23024,0
2023-02-16T00:00:00+0530,26.05,26.9,25.9,26.2,26850,0
2023-02-17T00:00:00+0530,26.6,26.6,25.7,25.8,25165,0
2023-02-20T00:00:00+0530,26,26.2,25.25,25.3,39566,0
2023-02-21T00:00:00+0530,25.45,25.8,24.05,24.4,68391,0
2023-02-22T00:00:00+0530,24.2,24.85,24.05,24.15,51911,0
2023-02-23T00:00:00+0530,24.2,25,24,24.55,22511,0
2023-02-24T00:00:00+0530,25.1,27,24.4,25.85,202796,0
2023-02-27T00:00:00+0530,26.6,26.8,25.2,26.2,50164,0
2023-02-28T00:00:00+0530,26.75,26.75,25.55,26.1,35526,0
2023-03-01T00:00:00+0530,26.45,27.05,25.95,26.3,29143,0
2023-03-02T00:00:00+0530,26.85,26.9,25.05,25.7,33790,0
2023-03-03T00:00:00+0530,26.5,26.5,25.5,25.85,15614,0
2023-03-06T00:00:00+0530,26.5,26.5,24.9,25.2,63779,0
2023-03-08T00:00:00+0530,24.75,25.4,24.5,24.8,29229,0
2023-03-09T00:00:00+0530,24.6,26.35,24.6,25.25,42883,0
