date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,143,143.4,140.75,142.1,58977,0
2023-01-03T00:00:00+0530,142.8,143.35,140.95,141.35,58662,0
2023-01-04T00:00:00+0530,141.75,141.95,139.5,140.15,53463,0
2023-01-05T00:00:00+0530,140.5,140.5,138.15,138.75,64692,0
2023-01-06T00:00:00+0530,139.8,140,136.8,137.65,49472,0
2023-01-09T00:00:00+0530,139.8,139.8,136,136.65,69983,0
2023-01-10T00:00:00+0530,136.9,137.9,134.05,134.8,61779,0
2023-01-11T00:00:00+0530,135.5,137.1,134.05,136,39225,0
2023-01-12T00:00:00+0530,136.5,136.9,135.05,135.55,24522,0
2023-01-13T00:00:00+0530,136.5,136.9,135.1,135.9,21716,0
2023-01-16T00:00:00+0530,137.15,137.15,135.15,136.2,48554,0
2023-01-17T00:00:00+0530,136.25,144.2,135.25,135.9,88588,0
2023-01-18T00:00:00+0530,135.85,136.95,135.3,136.05,25188,0
2023-01-19T00:00:00+0530,135.55,136.75,135.1,135.4,18556,0
2023-01-20T00:00:00+0530,136,136,133.05,133.4,30550,0
2023-01-23T00:00:00+0530,134,134.8,130.3,131.05,40789,0
2023-01-24T00:00:00+0530,133.7,133.7,131.2,132,38917,0
2023-01-25T00:00:00+0530,132.05,133.9,128.95,130.6,79571,0
2023-01-27T00:00:00+0530,131.9,131.9,125.4,127.4,91768,0
2023-01-30T00:00:00+0530,127.5,129.7,126.85,127.6,34992,0
2023-01-31T00:00:00+0530,129.3,129.95,127.5,129.05,25457,0
2023-02-01T00:00:00+0530,133.9,133.9,126.1,127.4,35359,0
2023-02-02T00:00:00+0530,127.4,128.05,122.1,124.9,47591,0
2023-02-03T00:00:00+0530,125.65,125.7,120,121.7,67923,0
2023-02-06T00:00:00+0530,123.8,123.8,120.35,121.55,37189,0
2023-02-07T00:00:00+0530,123,124.55,120,120.45,57092,0
2023-02-08T00:00:00+0530,122.5,123.45,120.95,122,46541,0
2023-02-09T00:00:00+0530,123.9,123.9,121.5,123.05,35960,0
2023-02-10T00:00:00+0530,123.9,126.95,119.4,123.9,70623,0
2023-02-13T00:00:00+0530,123.9,125.3,122,124.25,35521,0
2023-02-14T00:00:00+0530,125,137.5,123,131.65,507969,0
2023-02-15T00:00:00+0530,131,131.15,127.1,129.1,66958,0
2023-02-16T00:00:00+0530,132,132.5,125.7,126.15,54522,0
2023-02-17T00:00:00+0530,126.4,127.4,122.6,123.95,56513,0
2023-02-20T00:00:00+0530,123.9,124.55,121.5,122.1,39791,0
2023-02-21T00:00:00+0530,122.5,123.4,122,122.35,24104,0
2023-02-22T00:00:00+0530,122.05,123.55,120.4,120.75,27465,0
2023-02-23T00:00:00+0530,122.1,122.2,119.5,121.65,40662,0
2023-02-24T00:00:00+0530,122,123,120.95,121.5,33221,0
2023-02-27T00:00:00+0530,121.5,123,120.1,121.2,55784,0
2023-02-28T00:00:00+0530,123,123,119.3,120.2,40318,0
2023-03-01T00:00:00+0530,120.1,122.8,120.1,120.95,36366,0
2023-03-02T00:00:00+0530,121,122.35,120.1,120.6,31599,0
2023-03-03T00:00:00+0530,120.6,122.7,118.25,121.1,53062,0
2023-03-06T00:00:00+0530,120.4,122.65,120.4,121.35,59252,0
2023-03-08T00:00:00+0530,121.7,122.75,120.1,121.65,70940,0
2023-03-09T00:00:00+0530,121.7,125.65,121.7,122.85,68614,0
2023-03-10T00:00:00+0530,122.8,123.3,120,121.35,72881,0
2023-03-13T00:00:00+0530,122.05,124,120.5,121.1,72093,0
2023-03-14T00:00:00+0530,119.2,121.1,116.5,116.95,191235,0
2023-03-15T00:00:00+0530,118,118.8,115,115.2,43332,0
2023-03-16T00:00:00+0530,118.6,118.6,113,113.25,45369,0
2023-03-17T00:00:00+0530,115,115,113.2,113.7,24954,0
2023-03-20T00:00:00+0530,114.9,114.95,108.4,110.35,68808,0
2023-03-21T00:00:00+0530,112.5,113.5,109.9,111.75,48536,0
2023-03-22T00:00:00+0530,110.05,116,110.05,113.5,37140,0
2023-03-23T00:00:00+0530,114,117.5,113.2,114.35,61866,0
2023-03-24T00:00:00+0530,114,115.6,111.75,112.35,29183,0
2023-03-27T00:00:00+0530,111.1,114.35,111,111.85,46832,0
2023-03-28T00:00:00+0530,113,113.7,109,109.45,72057,0
