date,open,high,low,close,volume,empty
2023-11-03T00:00:00+0530,225,236,213.75,213.75,1606800,0
2023-11-06T00:00:00+0530,203.1,203.1,203.1,203.1,73200,0
2023-11-07T00:00:00+0530,192.95,192.95,192.95,192.95,61200,0
2023-11-08T00:00:00+0530,183.3,183.3,183.3,183.3,118800,0
2023-11-09T00:00:00+0530,176,192.45,176,192.45,1218000,0
2023-11-10T00:00:00+0530,190,201.95,182.85,197.5,727200,0
2023-11-12T00:00:00+0530,199,203,193,200.85,128400,0
2023-11-13T00:00:00+0530,199,203,192.5,199.75,150000,0
2023-11-15T00:00:00+0530,202.5,202.5,196.25,199.15,110400,0
2023-11-16T00:00:00+0530,194.2,199.5,192.05,195.3,69600,0
2023-11-17T00:00:00+0530,192,200.4,191.1,199.85,129600,0
2023-11-20T00:00:00+0530,199,199,194,194.35,72000,0
2023-11-21T00:00:00+0530,194.5,197,192.5,195.7,51600,0
2023-11-22T00:00:00+0530,197.5,197.5,186,191.2,60000,0
2023-11-23T00:00:00+0530,195,199.95,192.1,198.9,268800,0
2023-11-24T00:00:00+0530,198.8,203,197,198.1,109200,0
2023-11-28T00:00:00+0530,198.95,200.85,194,195,15600,0
2023-11-29T00:00:00+0530,195.75,197,189,191.25,34800,0
2023-11-30T00:00:00+0530,191.5,191.5,185,186.2,42000,0
2023-12-01T00:00:00+0530,183,189.75,177.1,185.25,168000,0
2023-12-04T00:00:00+0530,187,190.05,179.6,180.2,216000,0
2023-12-05T00:00:00+0530,180,185,178.4,180.35,98400,0
2023-12-06T00:00:00+0530,180.35,183,177.5,178.05,44400,0
2023-12-07T00:00:00+0530,178.95,179.7,173.55,174.2,67200,0
2023-12-08T00:00:00+0530,172.7,175,166.2,167.85,57600,0
2023-12-11T00:00:00+0530,170.75,178,165,175.9,84000,0
2023-12-12T00:00:00+0530,175,175.95,168,168,12000,0
2023-12-13T00:00:00+0530,168,168,162,163.7,49200,0
2023-12-14T00:00:00+0530,163.7,165,162,164.7,14400,0
2023-12-15T00:00:00+0530,171.9,179.8,165,170.85,376800,0
2023-12-18T00:00:00+0530,170.85,172,166.75,167.55,39600,0
2023-12-19T00:00:00+0530,165.1,165.1,156.25,158.15,78000,0
2023-12-20T00:00:00+0530,161,163,139.95,146.35,224400,0
2023-12-21T00:00:00+0530,145,148.8,143,145.85,40800,0
2023-12-22T00:00:00+0530,143,147,140.05,145,51600,0
2023-12-26T00:00:00+0530,143,143,135.2,137.1,116400,0
2023-12-27T00:00:00+0530,138,157.95,137.75,156.45,260400,0
2023-12-28T00:00:00+0530,157.95,162,149,151.55,176400,0
2023-12-29T00:00:00+0530,155.75,155.75,143,145,93600,0
2024-01-01T00:00:00+0530,148,148.25,140,142.45,141600,0
2024-01-02T00:00:00+0530,141,144,138.1,142.9,99600,0
2024-01-03T00:00:00+0530,144,145.6,142.05,143.55,87600,0
2024-01-04T00:00:00+0530,147,172.25,144.3,172.25,474000,0
2024-01-05T00:00:00+0530,174,178.9,165,167.1,198000,0
2024-01-08T00:00:00+0530,166,167.5,161.5,164.1,49200,0
2024-01-09T00:00:00+0530,166,183,166,173.95,232800,0
2024-01-10T00:00:00+0530,176.85,179,170,176.3,88800,0
2024-01-11T00:00:00+0530,179.45,181.9,174.5,177.25,80400,0
2024-01-12T00:00:00+0530,179,181,176.65,176.8,60000,0
2024-01-15T00:00:00+0530,174.25,176.8,168,171.05,72000,0
2024-01-16T00:00:00+0530,171.1,171.1,160.6,163.85,45600,0
2024-01-17T00:00:00+0530,165,165,155.3,158.4,46800,0
2024-01-18T00:00:00+0530,162,172.1,157.9,166.1,49200,0
2024-01-19T00:00:00+0530,168,170,160,163.05,56400,0
2024-01-20T00:00:00+0530,162.25,168.25,162.25,166.85,38400,0
2024-01-23T00:00:00+0530,170.2,170.2,162.9,163.6,36000,0
2024-01-24T00:00:00+0530,158.65,166.1,158.65,166.1,12000,0
2024-01-25T00:00:00+0530,167,168.5,163.25,164.1,18000,0
2024-01-29T00:00:00+0530,167.9,167.9,157,157.7,51600,0
2024-01-30T00:00:00+0530,157.5,157.5,147,150,141600,0
2024-01-31T00:00:00+0530,153,153,148,149.95,40800,0
