date,open,high,low,close,volume,empty
2025-07-02T00:00:00+0530,628.95,630,600.05,603.5,110937,0
2025-07-03T00:00:00+0530,607.8,608.9,589,595.5,60979,0
2025-07-04T00:00:00+0530,595.8,612,590.5,600.45,79157,0
2025-07-07T00:00:00+0530,598.05,610.05,598.05,605.6,87792,0
2025-07-08T00:00:00+0530,606.7,609.85,579.6,598.75,64900,0
2025-07-09T00:00:00+0530,595.75,597.95,585.15,587.3,46651,0
2025-07-10T00:00:00+0530,593,600,582.55,595.2,61773,0
2025-07-11T00:00:00+0530,596.95,600,584.5,587.15,53426,0
2025-07-14T00:00:00+0530,584.6,589.8,569.1,577.4,68250,0
2025-07-15T00:00:00+0530,581.75,599.4,578,588.15,46863,0
2025-07-16T00:00:00+0530,588,591.5,574.9,581.2,47728,0
2025-07-17T00:00:00+0530,584.15,617.7,577.1,597.35,188403,0
2025-07-18T00:00:00+0530,603,612.2,591,602.5,96348,0
2025-07-21T00:00:00+0530,602.5,625.3,584.85,590.3,194203,0
2025-07-22T00:00:00+0530,592,606,590.8,602,76354,0
2025-07-23T00:00:00+0530,606.9,608.2,599.9,607.3,62250,0
2025-07-24T00:00:00+0530,604.35,631.75,604.1,618.7,263470,0
2025-07-25T00:00:00+0530,615.7,625,602.2,608,152172,0
2025-07-28T00:00:00+0530,611,617.35,593,596.65,111860,0
2025-07-29T00:00:00+0530,596.65,618,590,610.15,81419,0
2025-07-30T00:00:00+0530,614.85,622.95,603.3,621.25,94033,0
2025-07-31T00:00:00+0530,606.1,646,603.05,618.4,215378,0
2025-08-01T00:00:00+0530,620.05,642.45,620.05,630.2,149313,0
2025-08-04T00:00:00+0530,638.95,697,630.4,672.3,595974,0
2025-08-05T00:00:00+0530,684.9,700,654.5,660.1,245268,0
2025-08-06T00:00:00+0530,640,667,632.55,641.2,131285,0
2025-08-07T00:00:00+0530,640.6,646.75,621.95,640.2,108170,0
2025-08-08T00:00:00+0530,632,656.9,630.2,634.05,75391,0
2025-08-11T00:00:00+0530,634.05,640.05,611.65,636.25,130133,0
2025-08-12T00:00:00+0530,640,647.05,575,601.35,362905,0
2025-08-13T00:00:00+0530,617,638.4,589.45,628.6,219094,0
2025-08-14T00:00:00+0530,629.1,634.85,619.45,620.5,55101,0
2025-08-18T00:00:00+0530,620.5,624.75,601,604.45,87421,0
2025-08-19T00:00:00+0530,605.05,617.9,601.1,607.25,57972,0
2025-08-20T00:00:00+0530,607.8,610,598,603.5,77301,0
2025-08-21T00:00:00+0530,612.55,621.7,596.1,598.8,83739,0
2025-08-22T00:00:00+0530,595.65,602.2,593.6,595.9,48829,0
2025-08-25T00:00:00+0530,596.05,604.45,587.15,599.05,83134,0
2025-08-26T00:00:00+0530,600.45,600.5,584.5,595.85,83757,0
2025-08-28T00:00:00+0530,602,604.05,583.85,585.85,63453,0
2025-08-29T00:00:00+0530,586,593.3,581.1,582.8,44472,0
2025-09-01T00:00:00+0530,594.95,600.1,586.5,592.4,55142,0
2025-09-02T00:00:00+0530,592.4,609.6,591.55,602.75,90645,0
2025-09-03T00:00:00+0530,602,621,599.05,609,188719,0
2025-09-04T00:00:00+0530,613.4,613.5,595,599.85,57960,0
2025-09-05T00:00:00+0530,604.9,605,594.85,600,44553,0
