date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,8.3,8.6,8.15,8.4,352077,0
2023-01-03T00:00:00+0530,8.45,8.75,8.3,8.35,373789,0
2023-01-04T00:00:00+0530,8.3,8.5,8.2,8.25,220454,0
2023-01-05T00:00:00+0530,8.25,8.3,8,8.05,219183,0
2023-01-06T00:00:00+0530,8.1,9.45,8,8.45,653712,0
2023-01-09T00:00:00+0530,8.6,8.65,8.1,8.2,235522,0
2023-01-10T00:00:00+0530,8.35,8.45,8.1,8.3,164471,0
2023-01-11T00:00:00+0530,8.3,8.45,8.15,8.2,162380,0
2023-01-12T00:00:00+0530,8.2,8.3,8.1,8.15,112099,0
2023-01-13T00:00:00+0530,8.1,8.35,8.1,8.15,229622,0
2023-01-16T00:00:00+0530,8.15,8.4,8.1,8.25,263999,0
2023-01-17T00:00:00+0530,8.1,8.55,8.1,8.2,340070,0
2023-01-18T00:00:00+0530,8.2,8.4,8.1,8.2,281409,0
2023-01-19T00:00:00+0530,8.2,8.3,8.05,8.1,418975,0
2023-01-20T00:00:00+0530,8.1,8.2,8.05,8.1,128190,0
2023-01-23T00:00:00+0530,8.5,8.6,8.2,8.3,721223,0
2023-01-24T00:00:00+0530,8.4,8.4,8.25,8.25,334685,0
2023-01-25T00:00:00+0530,8.3,8.35,8.15,8.2,227036,0
2023-01-27T00:00:00+0530,8.35,8.35,7.6,8.05,302406,0
2023-01-30T00:00:00+0530,7.9,8.2,7.8,7.95,183706,0
2023-01-31T00:00:00+0530,8.05,8.05,7.85,7.9,207241,0
2023-02-01T00:00:00+0530,8.1,8.15,7.85,7.95,273027,0
2023-02-02T00:00:00+0530,7.95,8.1,7.8,7.8,259565,0
2023-02-03T00:00:00+0530,8,8.25,7.7,7.85,223439,0
2023-02-06T00:00:00+0530,7.9,8,7.7,7.75,203425,0
2023-02-07T00:00:00+0530,7.75,7.9,7.75,7.8,156862,0
2023-02-08T00:00:00+0530,7.7,7.9,7.65,7.7,233256,0
2023-02-09T00:00:00+0530,7.55,7.8,7.55,7.6,236212,0
2023-02-10T00:00:00+0530,7.7,7.85,7.45,7.75,473854,0
2023-02-13T00:00:00+0530,7.85,7.85,7.45,7.55,170933,0
2023-02-14T00:00:00+0530,7.75,7.75,7.5,7.65,109260,0
2023-02-15T00:00:00+0530,7.65,7.8,7.55,7.65,70616,0
2023-02-16T00:00:00+0530,7.65,7.85,7.55,7.55,117805,0
2023-02-17T00:00:00+0530,7.65,7.65,7.5,7.5,71313,0
2023-02-20T00:00:00+0530,7.5,7.75,7.4,7.5,112110,0
2023-02-21T00:00:00+0530,7.45,7.55,7.2,7.3,167500,0
2023-02-22T00:00:00+0530,7.25,7.4,7.15,7.25,194305,0
2023-02-23T00:00:00+0530,7.45,7.45,7,7.1,116768,0
2023-02-24T00:00:00+0530,7.15,7.35,7.1,7.25,119056,0
2023-02-27T00:00:00+0530,7.2,7.3,7.05,7.15,127043,0
2023-02-28T00:00:00+0530,7.05,7.15,6.95,7,169812,0
2023-03-01T00:00:00+0530,7,7.3,6.95,7.1,169513,0
2023-03-02T00:00:00+0530,7.2,7.2,6.95,7.05,69340,0
2023-03-03T00:00:00+0530,7.1,7.25,7.1,7.1,241537,0
2023-03-06T00:00:00+0530,7.1,7.2,6.75,7.05,173471,0
2023-03-08T00:00:00+0530,7.05,7.15,7,7,246034,0
2023-03-09T00:00:00+0530,7,7.1,6.9,7,74975,0
2023-03-10T00:00:00+0530,7,7.1,6.95,7,77873,0
2023-03-13T00:00:00+0530,7,7,6.85,6.85,260810,0
2023-03-14T00:00:00+0530,6.85,6.95,6.8,6.85,135740,0
2023-03-15T00:00:00+0530,6.95,6.95,6.75,6.75,165813,0
2023-03-16T00:00:00+0530,6.75,6.75,6.55,6.65,237598,0
2023-03-17T00:00:00+0530,6.65,6.9,6.6,6.65,167360,0
2023-03-20T00:00:00+0530,6.7,6.85,6.45,6.55,496696,0
2023-03-21T00:00:00+0530,6.7,6.7,6.35,6.5,709849,0
2023-03-22T00:00:00+0530,6.4,6.65,6.4,6.5,168448,0
2023-03-23T00:00:00+0530,6.5,6.55,6.1,6.3,308650,0
2023-03-24T00:00:00+0530,6.3,7.05,6.15,6.45,446928,0
2023-03-27T00:00:00+0530,6.6,6.7,6.05,6.2,159344,0
2023-03-28T00:00:00+0530,6.05,6.3,6,6.05,449485,0
2023-03-29T00:00:00+0530,6.05,6.45,6.05,6.2,363936,0
2023-03-31T00:00:00+0530,6.3,6.7,6,6.15,341883,0
2023-04-03T00:00:00+0530,6.4,6.9,6.2,6.7,288405,0
2023-04-05T00:00:00+0530,6.9,7.05,6.3,7,210269,0
2023-04-06T00:00:00+0530,7.15,7.25,6.65,6.95,122262,0
2023-04-10T00:00:00+0530,7,7.15,6.6,6.8,119293,0
2023-04-11T00:00:00+0530,6.95,7,6.85,6.95,83794,0
2023-04-12T00:00:00+0530,7.1,7.1,6.9,6.95,67030,0
2023-04-13T00:00:00+0530,7.05,7.15,6.9,7,59694,0
2023-04-17T00:00:00+0530,7.15,7.15,6.85,6.95,98627,0
2023-04-18T00:00:00+0530,7,7.15,6.9,6.95,117261,0
2023-04-19T00:00:00+0530,6.95,7,6.85,6.95,56764,0
2023-04-20T00:00:00+0530,6.85,7.05,6.85,6.9,112022,0
2023-04-21T00:00:00+0530,6.95,6.95,6.8,6.85,76961,0
2023-04-24T00:00:00+0530,6.9,7,6.8,6.9,143988,0
2023-04-25T00:00:00+0530,7,7,6.75,6.8,119042,0
2023-04-26T00:00:00+0530,6.8,7.15,6.75,6.95,187890,0
2023-04-27T00:00:00+0530,6.95,7.05,6.95,7,171829,0
2023-04-28T00:00:00+0530,7.05,7.25,6.85,7,341082,0
2023-05-02T00:00:00+0530,7,7.2,6.95,7.05,152609,0
2023-05-03T00:00:00+0530,7.05,7.75,7,7.45,716975,0
