date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,866.1,869,859.1,863.7,5672,0
2023-01-03T00:00:00+0530,864,878.8,853.1,859.35,9303,0
2023-01-04T00:00:00+0530,865,866.8,845,847,6235,0
2023-01-05T00:00:00+0530,854,854.95,832,840.25,5796,0
2023-01-06T00:00:00+0530,834,846.2,834,839.6,4964,0
2023-01-09T00:00:00+0530,852.2,854.9,836.5,840.3,14753,0
2023-01-10T00:00:00+0530,848,849,822,826.8,9035,0
2023-01-11T00:00:00+0530,834.1,838,815.5,818.35,9753,0
2023-01-12T00:00:00+0530,834.95,834.95,812.2,816.5,6482,0
2023-01-13T00:00:00+0530,824,842.9,802.2,807.25,20245,0
2023-01-16T00:00:00+0530,812,821.5,810,815.7,3423,0
2023-01-17T00:00:00+0530,815.65,818.3,802.2,807.2,6369,0
2023-01-18T00:00:00+0530,810,829.75,805.65,810.3,5554,0
2023-01-19T00:00:00+0530,808.95,813.3,795.1,799.2,7017,0
2023-01-20T00:00:00+0530,804.8,804.8,791.55,794.1,7560,0
2023-01-23T00:00:00+0530,790.2,794,764,767.3,18791,0
2023-01-24T00:00:00+0530,770,783.5,770,778.9,6643,0
2023-01-25T00:00:00+0530,782.3,789,774.95,783.05,8628,0
2023-01-27T00:00:00+0530,774,787.95,748.1,760.4,17542,0
2023-01-30T00:00:00+0530,760,760,715.55,722.3,25292,0
2023-01-31T00:00:00+0530,722.95,732.75,702,711.55,27607,0
2023-02-01T00:00:00+0530,718.6,742,713.35,726.25,18295,0
2023-02-02T00:00:00+0530,720,740,714.7,720.5,11545,0
2023-02-03T00:00:00+0530,720.9,729,705,723.75,10390,0
2023-02-06T00:00:00+0530,723.75,729.95,718.9,722.55,7256,0
2023-02-07T00:00:00+0530,722.8,752,721.15,746.15,11122,0
2023-02-08T00:00:00+0530,748.25,786.35,746.45,776.8,15080,0
2023-02-09T00:00:00+0530,785,785,763.3,771.5,6151,0
2023-02-10T00:00:00+0530,764,798,764,787.2,6554,0
2023-02-13T00:00:00+0530,775,780,741,776.1,20121,0
2023-02-14T00:00:00+0530,784.1,792,768.85,778.45,5584,0
2023-02-15T00:00:00+0530,779,779,747,751.3,18673,0
2023-02-16T00:00:00+0530,753.7,757.3,734.5,745.1,8766,0
2023-02-17T00:00:00+0530,747.5,792.95,747.5,756.2,15955,0
2023-02-20T00:00:00+0530,762,769.95,750.15,760.4,6337,0
2023-02-21T00:00:00+0530,764.7,780,760.1,777.45,10029,0
2023-02-22T00:00:00+0530,769.1,777.55,753.1,769.3,10227,0
2023-02-23T00:00:00+0530,762.95,767.1,754,757.4,3758,0
2023-02-24T00:00:00+0530,796,796,757.95,775.65,14221,0
2023-02-27T00:00:00+0530,776.1,779.95,741.9,750.65,11443,0
2023-02-28T00:00:00+0530,752.15,755,745,749.2,9195,0
2023-03-01T00:00:00+0530,746,746,718,732.9,23932,0
2023-03-02T00:00:00+0530,731.05,740.65,725.2,727.9,7691,0
2023-03-03T00:00:00+0530,732,739.8,728.2,731.7,4549,0
2023-03-06T00:00:00+0530,732.5,748.65,730.05,732.6,7719,0
2023-03-08T00:00:00+0530,738.65,738.65,730,733.85,9036,0
2023-03-09T00:00:00+0530,733.85,760,732.7,752.25,12802,0
2023-03-10T00:00:00+0530,750,770.9,743.25,762.45,10119,0
2023-03-13T00:00:00+0530,770,770,725.2,737.25,26718,0
2023-03-14T00:00:00+0530,735,760.95,717.2,746.05,20457,0
2023-03-15T00:00:00+0530,757.85,760.05,744.9,755.35,8531,0
2023-03-16T00:00:00+0530,758.5,758.5,740.25,752.5,6104,0
2023-03-17T00:00:00+0530,752,757.85,740.35,744.7,15569,0
2023-03-20T00:00:00+0530,742.3,753,735.3,745.65,11093,0
2023-03-21T00:00:00+0530,749.85,766.05,744.15,756.8,11478,0
2023-03-22T00:00:00+0530,755.3,781.2,755.05,772.3,15109,0
2023-03-23T00:00:00+0530,775.95,784.05,762.25,769,11128,0
2023-03-24T00:00:00+0530,780,781.55,771.25,775.2,9783,0
2023-03-27T00:00:00+0530,763.55,780,755,758.15,9013,0
2023-03-28T00:00:00+0530,760.1,761.95,728.05,736.5,28185,0
2023-03-29T00:00:00+0530,742.05,784,742,768.95,27844,0
2023-03-31T00:00:00+0530,768.3,778.3,755.45,760.55,12464,0
2023-04-03T00:00:00+0530,764.35,775.8,758.1,765.35,9327,0
2023-04-05T00:00:00+0530,765.3,779.7,765.3,774.15,13658,0
2023-04-06T00:00:00+0530,777.95,802,768,796.45,51436,0
2023-04-10T00:00:00+0530,796.45,826.9,792.85,812.2,21313,0
2023-04-11T00:00:00+0530,822.5,822.55,808.05,813.6,9238,0
2023-04-12T00:00:00+0530,807.25,834.7,807.25,821.2,27145,0
2023-04-13T00:00:00+0530,818.95,821.2,796,799.65,13121,0
2023-04-17T00:00:00+0530,799.65,817,790.7,810.15,8410,0
2023-04-18T00:00:00+0530,812.95,815.95,786.95,796.4,17403,0
2023-04-19T00:00:00+0530,799,806,780.05,784.7,16093,0
2023-04-20T00:00:00+0530,781.75,796,781.75,787.45,8998,0
2023-04-21T00:00:00+0530,789.95,793,772.85,780.05,8766,0
2023-04-24T00:00:00+0530,780.05,793.55,774.05,776.05,15984,0
2023-04-25T00:00:00+0530,781.25,801.15,769.75,793.5,17401,0
2023-04-26T00:00:00+0530,795.9,795.9,779.5,783.65,7076,0
2023-04-27T00:00:00+0530,791.5,794,786,790.9,6013,0
2023-04-28T00:00:00+0530,785.95,814.4,785.95,807.2,16358,0
2023-05-02T00:00:00+0530,807.2,824.95,807.2,811.75,11038,0
2023-05-03T00:00:00+0530,819.9,819.9,780.5,788.5,20084,0
2023-05-04T00:00:00+0530,786.55,798.55,776.05,781.9,49168,0
2023-05-05T00:00:00+0530,784.45,827.5,784.45,808.05,22979,0
2023-05-08T00:00:00+0530,815,815,798.1,803.45,11726,0
2023-05-09T00:00:00+0530,805,813.5,785,787.45,33024,0
2023-05-10T00:00:00+0530,788,795.95,753.5,757,67487,0
2023-05-11T00:00:00+0530,768.35,797.85,761.75,788.3,44280,0
2023-05-12T00:00:00+0530,796.5,845,787.2,840.65,93506,0
2023-05-15T00:00:00+0530,875,931,870,905.4,248353,0
2023-05-16T00:00:00+0530,905,924.95,896.15,900.15,41561,0
2023-05-17T00:00:00+0530,908,910.45,882.05,908.85,28002,0
2023-05-18T00:00:00+0530,896,924,896,917.55,47170,0
2023-05-19T00:00:00+0530,923.95,939,917.55,933.35,37211,0
2023-05-22T00:00:00+0530,934.8,939.1,914,920.25,28707,0
2023-05-23T00:00:00+0530,915.05,934,915.05,921,17449,0
2023-05-24T00:00:00+0530,923,931.95,921.6,923.6,16335,0
2023-05-25T00:00:00+0530,930,996.5,926.8,978.05,91694,0
2023-05-26T00:00:00+0530,980.05,999.95,980.05,987.25,34917,0
2023-05-29T00:00:00+0530,977,1022.9,936,951.25,48893,0
2023-05-30T00:00:00+0530,955.9,987,945,977.35,26984,0
2023-05-31T00:00:00+0530,990,990,974.7,985.95,19047,0
2023-06-01T00:00:00+0530,986.4,1017.65,985,999.45,30516,0
2023-06-02T00:00:00+0530,1004.9,1006.45,981.8,995.7,21713,0
2023-06-05T00:00:00+0530,1002.7,1002.7,942,949.8,44243,0
2023-06-06T00:00:00+0530,952,974.15,952,958.4,25344,0
2023-06-07T00:00:00+0530,969.45,969.45,947.05,952.85,19732,0
2023-06-08T00:00:00+0530,953,956,911,920.8,117809,0
2023-06-09T00:00:00+0530,929.95,986.25,927,968.2,68344,0
2023-06-12T00:00:00+0530,970,971.75,926.1,935.55,49961,0
2023-06-13T00:00:00+0530,935.55,949.2,929.05,933.4,29082,0
2023-06-14T00:00:00+0530,939.45,939.6,920,925.2,32692,0
2023-06-15T00:00:00+0530,927,938.95,919.25,920.2,33963,0
2023-06-16T00:00:00+0530,924.4,934.75,921.05,926.85,21263,0
2023-06-19T00:00:00+0530,927,937.85,919.45,924.35,20481,0
2023-06-20T00:00:00+0530,924.95,932.9,920,929.6,24059,0
2023-06-21T00:00:00+0530,935.7,939,924.75,933.65,17116,0
2023-06-22T00:00:00+0530,935.05,935.95,919.35,920.1,48740,0
2023-06-23T00:00:00+0530,926,929.35,920,926.5,13706,0
2023-06-26T00:00:00+0530,925,959,923.6,938.6,31822,0
