date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,183.95,188.25,180.15,187.2,43585,0
2023-01-03T00:00:00+0530,187.2,189,184.2,187.75,10905,0
2023-01-04T00:00:00+0530,188.45,189,184.05,184.5,8333,0
2023-01-05T00:00:00+0530,185.5,186.95,182,182.95,6265,0
2023-01-06T00:00:00+0530,183.95,185.2,182,182.25,6713,0
2023-01-09T00:00:00+0530,185,187,178.1,179.9,18143,0
2023-01-10T00:00:00+0530,183.95,183.95,179,179.25,4850,0
2023-01-11T00:00:00+0530,180.4,182.9,178.25,181.15,15990,0
2023-01-12T00:00:00+0530,182.1,187,176,180.55,79313,0
2023-01-13T00:00:00+0530,176,177.5,172.9,175.6,25977,0
2023-01-16T00:00:00+0530,174.15,177.85,173,173.35,22349,0
2023-01-17T00:00:00+0530,173.05,175.75,171.4,172.4,8298,0
2023-01-18T00:00:00+0530,171.5,174.05,171.4,171.6,6613,0
2023-01-19T00:00:00+0530,173.45,173.95,168,169.6,17150,0
2023-01-20T00:00:00+0530,173,173,166,166.7,11044,0
2023-01-23T00:00:00+0530,169,169,161.95,163.65,17456,0
2023-01-24T00:00:00+0530,164.95,167.4,157.7,159.65,22663,0
2023-01-25T00:00:00+0530,158.8,161.05,156,157.8,18842,0
2023-01-27T00:00:00+0530,160,161.15,153.3,155.5,12051,0
2023-01-30T00:00:00+0530,158.7,159,155,157.1,8859,0
2023-01-31T00:00:00+0530,157.1,167.45,157.1,162.95,19225,0
2023-02-01T00:00:00+0530,163.05,166.15,158.5,160.1,13426,0
2023-02-02T00:00:00+0530,160.1,164,160,160.35,7118,0
2023-02-03T00:00:00+0530,161.9,163.45,159.8,160.3,5117,0
2023-02-06T00:00:00+0530,162,164,161,161.65,5100,0
2023-02-07T00:00:00+0530,161.55,164,160,161.1,5579,0
2023-02-08T00:00:00+0530,160.2,162.75,160.2,161.75,3478,0
2023-02-09T00:00:00+0530,161.75,163.75,160.05,161.9,5338,0
2023-02-10T00:00:00+0530,162.1,166.9,161.85,165.55,8969,0
2023-02-13T00:00:00+0530,166.6,170.35,166.6,168.35,7528,0
2023-02-14T00:00:00+0530,168.35,168.9,163.65,165.05,6289,0
2023-02-15T00:00:00+0530,165.1,165.95,163.9,164.6,2488,0
2023-02-16T00:00:00+0530,164.4,166.45,163.55,164.1,5214,0
2023-02-17T00:00:00+0530,161.05,166.25,161.05,164.7,3450,0
2023-02-20T00:00:00+0530,167,167,164.25,164.4,2003,0
2023-02-21T00:00:00+0530,164.9,165.7,164.55,164.55,3714,0
2023-02-22T00:00:00+0530,164.8,165.15,162,162.85,5026,0
2023-02-23T00:00:00+0530,166.1,166.1,158,158.75,4938,0
2023-02-24T00:00:00+0530,158.75,160.8,156,158.25,15457,0
2023-02-27T00:00:00+0530,158.25,158.25,153.65,155.2,37978,0
2023-02-28T00:00:00+0530,153.65,156.8,153,153.75,5604,0
2023-03-01T00:00:00+0530,154,155.8,152.9,154.9,6642,0
2023-03-02T00:00:00+0530,155,169,153.95,163.15,26468,0
2023-03-03T00:00:00+0530,163.7,165.7,161,161.65,10929,0
2023-03-06T00:00:00+0530,163.35,167,162,163.05,16607,0
2023-03-08T00:00:00+0530,160.55,164.5,158.6,160.2,8788,0
2023-03-09T00:00:00+0530,161.2,162.45,159,160,10458,0
2023-03-10T00:00:00+0530,158.9,161.85,158.55,159.9,25776,0
2023-03-13T00:00:00+0530,159.9,163,156.3,157.2,7250,0
2023-03-14T00:00:00+0530,157.05,158.45,153.6,154.75,3991,0
2023-03-15T00:00:00+0530,155.55,158,155.35,156.6,9022,0
2023-03-16T00:00:00+0530,155.05,155.55,150.35,151.65,13048,0
2023-03-17T00:00:00+0530,153.8,157.95,153.65,155.75,6453,0
2023-03-20T00:00:00+0530,154.05,155,150,150.65,9125,0
2023-03-21T00:00:00+0530,152.75,153.65,150.6,152,10971,0
2023-03-22T00:00:00+0530,152.05,154.2,151.85,152.9,8661,0
2023-03-23T00:00:00+0530,152.3,154.7,151.55,152.9,4113,0
2023-03-24T00:00:00+0530,153.7,153.95,149,149.85,10301,0
2023-03-27T00:00:00+0530,149.85,151.4,142,143.65,15657,0
2023-03-28T00:00:00+0530,145,145,138.55,140.4,15801,0
2023-03-29T00:00:00+0530,140.6,152,140.6,150.5,84389,0
2023-03-31T00:00:00+0530,154,158.45,146.3,151,18007,0
2023-04-03T00:00:00+0530,154,163.3,154,158.95,12634,0
2023-04-05T00:00:00+0530,161,167,157.6,163.25,15683,0
2023-04-06T00:00:00+0530,162.8,163.3,160.4,160.7,4109,0
2023-04-10T00:00:00+0530,162.15,164.95,161.45,163.55,5058,0
2023-04-11T00:00:00+0530,163.75,164.95,154.95,158.7,21310,0
2023-04-12T00:00:00+0530,158.7,161.05,157,158.8,10028,0
2023-04-13T00:00:00+0530,159.9,164.6,156.05,163.3,8781,0
2023-04-17T00:00:00+0530,163.3,163.3,158.05,159.3,7229,0
2023-04-18T00:00:00+0530,160.9,163,158.5,159.75,9024,0
2023-04-19T00:00:00+0530,159.85,163.9,159.05,161,4513,0
2023-04-20T00:00:00+0530,162.85,163.45,160,161.6,3962,0
2023-04-21T00:00:00+0530,162.4,163,159.2,160.4,3203,0
2023-04-24T00:00:00+0530,161.2,161.2,160,160.4,828,0
2023-04-25T00:00:00+0530,161.5,167.45,160.25,165.45,17582,0
2023-04-26T00:00:00+0530,165.4,168.95,162.25,167.15,14285,0
2023-04-27T00:00:00+0530,169,169,165.5,166.35,3918,0
2023-04-28T00:00:00+0530,165,168,163.05,164.75,11725,0
2023-05-02T00:00:00+0530,163,170,163,166.35,15446,0
2023-05-03T00:00:00+0530,167.85,177.95,167,174.5,46840,0
2023-05-04T00:00:00+0530,179,180.1,174.5,177.2,71154,0
2023-05-05T00:00:00+0530,177.6,178.25,174.1,175.35,14821,0
2023-05-08T00:00:00+0530,175.35,177.45,172.9,174.35,5720,0
2023-05-09T00:00:00+0530,176.6,176.6,172,172.65,11530,0
2023-05-10T00:00:00+0530,172,174,171.05,173.05,9274,0
2023-05-11T00:00:00+0530,173.45,176.9,172.6,173.9,6845,0
2023-05-12T00:00:00+0530,171.85,174.95,171.2,172.4,6524,0
2023-05-15T00:00:00+0530,171.2,173.4,170,170.15,4155,0
2023-05-16T00:00:00+0530,169.35,176.9,169.35,174.5,17764,0
2023-05-17T00:00:00+0530,174.55,178.45,172.15,173.9,11461,0
2023-05-18T00:00:00+0530,172.1,174.6,172.1,173.15,8025,0
2023-05-19T00:00:00+0530,172.55,173.85,168.05,170.4,7951,0
2023-05-22T00:00:00+0530,171,171,164.1,167.05,17699,0
2023-05-23T00:00:00+0530,167.05,173.4,167.05,171.8,11083,0
2023-05-24T00:00:00+0530,171.15,172.3,167.75,169.2,5739,0
2023-05-25T00:00:00+0530,172.95,172.95,167.95,169.85,3324,0
2023-05-26T00:00:00+0530,169.85,171,169.1,170.65,5593,0
2023-05-29T00:00:00+0530,170.5,172.95,168.1,170.3,16722,0
2023-05-30T00:00:00+0530,170.95,172.6,168.05,169.05,8493,0
2023-05-31T00:00:00+0530,169.05,182.5,168.95,179.8,54581,0
2023-06-01T00:00:00+0530,180,182,176.95,177.8,14308,0
2023-06-02T00:00:00+0530,180.45,180.45,178.2,179.25,6690,0
2023-06-05T00:00:00+0530,179.5,183.45,179.5,182.4,15570,0
2023-06-06T00:00:00+0530,182.4,191,180.35,183,52334,0
2023-06-07T00:00:00+0530,185.65,187.5,182.5,184.25,7993,0
2023-06-08T00:00:00+0530,186.9,188,183.05,184.45,7385,0
2023-06-09T00:00:00+0530,186.9,186.9,183.8,185.15,5924,0
2023-06-12T00:00:00+0530,183,187.05,181.5,185.4,7516,0
2023-06-13T00:00:00+0530,185,189.4,185,186.7,13155,0
2023-06-14T00:00:00+0530,187.7,188.2,185.05,185.85,8645,0
2023-06-15T00:00:00+0530,184.8,187.9,184.15,185.25,4261,0
2023-06-16T00:00:00+0530,187.4,189.5,185.05,187.85,12277,0
2023-06-19T00:00:00+0530,188,190,186.95,187.7,6731,0
2023-06-20T00:00:00+0530,188.6,189.45,185.1,187,8699,0
2023-06-21T00:00:00+0530,187.7,189.7,186.7,189.15,7474,0
2023-06-22T00:00:00+0530,189.15,191,187.05,188.35,11224,0
2023-06-23T00:00:00+0530,188.5,188.5,183.8,184.3,10118,0
2023-06-26T00:00:00+0530,182.3,186.1,179.05,183.8,18512,0
2023-06-27T00:00:00+0530,183.55,185.85,183,184.8,4956,0
2023-06-28T00:00:00+0530,185.95,186.25,180,180.95,15996,0
2023-06-30T00:00:00+0530,183,205.5,181.55,193.7,159791,0
2023-07-03T00:00:00+0530,195,200.5,191.6,193.8,24202,0
2023-07-04T00:00:00+0530,195.7,199.8,192.55,196.65,24385,0
2023-07-05T00:00:00+0530,196.65,198.7,195,196.4,11604,0
2023-07-06T00:00:00+0530,195.8,197,194.4,195.55,10978,0
2023-07-07T00:00:00+0530,195,195,191.8,193.4,14263,0
2023-07-10T00:00:00+0530,195.4,199,193.1,196.45,21081,0
2023-07-11T00:00:00+0530,197.9,204,196.5,198.9,56474,0
2023-07-12T00:00:00+0530,188,192.95,181.55,192.55,106877,0
2023-07-13T00:00:00+0530,195.9,195.9,191.75,192.6,31376,0
2023-07-14T00:00:00+0530,192.05,194.55,190.2,191.6,12264,0
2023-07-17T00:00:00+0530,188.35,196.15,188.35,193.55,19911,0
2023-07-18T00:00:00+0530,195.4,197,192.9,196.1,15538,0
2023-07-19T00:00:00+0530,195,197.8,195,196.85,10539,0
2023-07-20T00:00:00+0530,196.85,209.8,195.6,206.25,111182,0
2023-07-21T00:00:00+0530,211,222.6,209.8,218.1,268954,0
2023-07-24T00:00:00+0530,219.8,219.8,207.4,213.2,61008,0
2023-07-25T00:00:00+0530,214.95,214.95,210.9,212.9,21021,0
2023-07-26T00:00:00+0530,214.95,217.65,208.5,210.25,25780,0
2023-07-27T00:00:00+0530,213.4,218.3,210.55,214.65,18230,0
2023-07-28T00:00:00+0530,216.55,216.55,212.4,214.55,10753,0
2023-07-31T00:00:00+0530,214.55,217.1,212.3,215.45,14957,0
2023-08-01T00:00:00+0530,215.6,228.35,215.6,222.15,68759,0
2023-08-02T00:00:00+0530,222.35,225.45,216,217.75,26539,0
2023-08-03T00:00:00+0530,213.4,220.95,211.05,219.2,12152,0
2023-08-04T00:00:00+0530,220.7,227,219.35,224.65,21172,0
2023-08-07T00:00:00+0530,220.4,224.65,217.3,223.7,33914,0
2023-08-08T00:00:00+0530,222,229.95,222,229.65,51913,0
2023-08-09T00:00:00+0530,228,232.4,224.15,229.4,49442,0
2023-08-10T00:00:00+0530,232.8,232.8,224.55,227.7,10170,0
2023-08-11T00:00:00+0530,230,230,218.2,224.4,15470,0
2023-08-14T00:00:00+0530,219.95,223,215.6,222.5,17874,0
2023-08-16T00:00:00+0530,221.25,226.45,218.05,225.45,21622,0
2023-08-17T00:00:00+0530,225.95,226.8,219.75,221.25,18914,0
2023-08-18T00:00:00+0530,223.2,231.5,223.2,226.25,66988,0
2023-08-21T00:00:00+0530,225.05,225.4,221.3,223.3,12128,0
2023-08-22T00:00:00+0530,225,229.75,223.9,227.3,26630,0
2023-08-23T00:00:00+0530,228.95,250.95,227.05,248.85,384061,0
2023-08-24T00:00:00+0530,250,250.1,235.5,237.4,107796,0
2023-08-25T00:00:00+0530,237,238.75,231,233.05,37171,0
2023-08-28T00:00:00+0530,237.35,237.35,233.25,235.95,17628,0
2023-08-29T00:00:00+0530,238.1,238.1,228.95,230.6,24917,0
2023-08-30T00:00:00+0530,230.6,234.75,230.6,233.9,18334,0
2023-08-31T00:00:00+0530,234.15,235.75,224.2,227.35,42255,0
2023-09-01T00:00:00+0530,228,245,228,237.8,53256,0
2023-09-04T00:00:00+0530,243,243,233.15,235.7,52880,0
2023-09-05T00:00:00+0530,237.45,238,233,233.8,33795,0
2023-09-06T00:00:00+0530,236,236,228.6,231.55,16267,0
2023-09-07T00:00:00+0530,231.05,233.95,226,226.8,36678,0
2023-09-08T00:00:00+0530,226.8,232.4,226.8,229.5,17686,0
2023-09-11T00:00:00+0530,232.7,233.15,228.05,228.85,13987,0
2023-09-12T00:00:00+0530,228.85,230.45,215.75,222.85,98671,0
2023-09-13T00:00:00+0530,222.85,232.3,222.4,229.1,55137,0
2023-09-14T00:00:00+0530,232.3,235,227.8,232.25,82279,0
2023-09-15T00:00:00+0530,230.05,234.3,230.05,233.4,17725,0
2023-09-18T00:00:00+0530,233.4,258.9,229.15,243,227087,0
2023-09-20T00:00:00+0530,243,245,232.8,234.65,95884,0
2023-09-21T00:00:00+0530,234.4,237.45,230.55,231.65,17382,0
2023-09-22T00:00:00+0530,232.6,234.8,229.6,232.05,36775,0
2023-09-25T00:00:00+0530,232.05,234,230,232.4,6886,0
2023-09-26T00:00:00+0530,233.75,240,229,235.1,16540,0
2023-09-27T00:00:00+0530,232.9,237.55,231.6,235.35,9896,0
2023-09-28T00:00:00+0530,235,238.25,231.65,233.9,18825,0
2023-09-29T00:00:00+0530,234.75,241,231.55,236.75,23928,0
2023-10-03T00:00:00+0530,236.75,236.75,227.55,229.1,10831,0
2023-10-04T00:00:00+0530,229,231.35,223.05,230.4,10499,0
2023-10-05T00:00:00+0530,231.2,233.15,221.05,225.65,80222,0
2023-10-06T00:00:00+0530,223,233,223,227.95,19181,0
2023-10-09T00:00:00+0530,225.55,227.95,224,224.9,4568,0
2023-10-10T00:00:00+0530,225.1,234,225.1,232.5,17922,0
2023-10-11T00:00:00+0530,236.45,239.75,233,237.45,36750,0
2023-10-12T00:00:00+0530,265,278,250,268.25,1199042,0
2023-10-13T00:00:00+0530,269.35,269.35,256.1,259.55,151154,0
2023-10-16T00:00:00+0530,262,280.5,262,264.9,440211,0
2023-10-17T00:00:00+0530,264.95,275,262.35,274.45,169886,0
2023-10-18T00:00:00+0530,275.8,277.2,263,268.75,78752,0
2023-10-19T00:00:00+0530,269.05,273.65,264,269.85,63323,0
2023-10-20T00:00:00+0530,270,278.05,264.1,266.7,83249,0
2023-10-23T00:00:00+0530,270,270,252.6,255.15,49393,0
2023-10-25T00:00:00+0530,252,270,247.3,259.45,140159,0
2023-10-26T00:00:00+0530,262,264.9,251,258.95,46126,0
2023-10-27T00:00:00+0530,263.5,267.15,260.05,265.35,44192,0
2023-10-30T00:00:00+0530,265.35,273.9,262.3,270,88538,0
2023-10-31T00:00:00+0530,271.7,275,264.5,267.2,30212,0
2023-11-01T00:00:00+0530,267.2,288.9,263.8,277.35,309878,0
2023-11-02T00:00:00+0530,284,284,267.95,271.2,98907,0
2023-11-03T00:00:00+0530,275,277,271.05,273.2,40270,0
2023-11-06T00:00:00+0530,275.65,279.4,268.7,271.9,37936,0
2023-11-07T00:00:00+0530,276,294.7,267,288.2,266412,0
2023-11-08T00:00:00+0530,292.45,308.9,291.25,304.7,606273,0
2023-11-09T00:00:00+0530,310,318.9,303.3,305.05,354154,0
2023-11-10T00:00:00+0530,305.05,318,305.05,309.9,93999,0
2023-11-12T00:00:00+0530,317.8,322,312.15,317.05,75966,0
2023-11-13T00:00:00+0530,315,320.55,306.35,309.95,63613,0
2023-11-15T00:00:00+0530,314.95,317,300.7,303.95,110766,0
2023-11-16T00:00:00+0530,306.45,309.2,297.55,299.25,56079,0
2023-11-17T00:00:00+0530,302,303.8,291,292.6,66434,0
2023-11-20T00:00:00+0530,290.35,308.25,289.05,303.25,76502,0
2023-11-21T00:00:00+0530,301.05,308,296.55,306.6,61776,0
2023-11-22T00:00:00+0530,309.65,311.65,302.25,309.45,35179,0
2023-11-23T00:00:00+0530,309.45,314.6,302.85,306.15,35941,0
2023-11-24T00:00:00+0530,309.2,320.5,301.6,316.25,112319,0
2023-11-28T00:00:00+0530,324.7,329.7,316,318.35,146511,0
2023-11-29T00:00:00+0530,320.8,323,316,317.05,53377,0
2023-11-30T00:00:00+0530,317.05,319.2,310.85,314.55,57112,0
2023-12-01T00:00:00+0530,312.3,324.5,312.3,317.7,61356,0
2023-12-04T00:00:00+0530,322,325,316,317.85,50197,0
2023-12-05T00:00:00+0530,318.95,320.9,310.25,313.7,42205,0
2023-12-06T00:00:00+0530,313.7,323.3,305.85,309.55,80176,0
2023-12-07T00:00:00+0530,310.4,314.7,305,314.05,42565,0
2023-12-08T00:00:00+0530,314.5,317.6,304.6,308.1,35699,0
2023-12-11T00:00:00+0530,312,313.15,306.1,307.95,24888,0
2023-12-12T00:00:00+0530,308.95,312.9,304,305.7,27555,0
2023-12-13T00:00:00+0530,309.85,309.85,300.2,302.85,27846,0
2023-12-14T00:00:00+0530,304.4,309.15,302,304.35,28743,0
2023-12-15T00:00:00+0530,305.9,305.9,296.7,300,30014,0
2023-12-18T00:00:00+0530,300,304.95,291.65,294.2,58154,0
2023-12-19T00:00:00+0530,295.7,305.3,291.35,293.4,26284,0
2023-12-20T00:00:00+0530,293.75,305.2,272.6,277.9,98348,0
2023-12-21T00:00:00+0530,271.95,292,270.35,287.85,63604,0
2023-12-22T00:00:00+0530,289.3,294.05,285.85,289.95,28161,0
2023-12-26T00:00:00+0530,294,298.2,291.15,296.1,25400,0
2023-12-27T00:00:00+0530,297.55,300.25,287.85,293.25,19982,0
2023-12-28T00:00:00+0530,295,305,293.6,297.15,79612,0
2023-12-29T00:00:00+0530,298.2,300.4,291.3,294.1,31472,0
2024-01-01T00:00:00+0530,297.65,306.7,295.4,304.2,63842,0
2024-01-02T00:00:00+0530,304.2,329,304.2,326.35,275329,0
2024-01-03T00:00:00+0530,330,340.9,326.25,330.65,254956,0
2024-01-04T00:00:00+0530,334,339.6,324.05,327.55,97846,0
2024-01-05T00:00:00+0530,329.9,337.05,328,331.85,129216,0
2024-01-08T00:00:00+0530,336.4,339.55,327.5,330.05,50740,0
2024-01-09T00:00:00+0530,331.7,336.45,329.2,331.35,36987,0
2024-01-10T00:00:00+0530,338.9,338.9,327.9,330.1,112692,0
2024-01-11T00:00:00+0530,335.05,358,330.1,340.4,412433,0
2024-01-12T00:00:00+0530,319,322.6,308.1,310.35,416405,0
2024-01-15T00:00:00+0530,316,317.9,302.2,303.35,81762,0
2024-01-16T00:00:00+0530,302,304.9,295.05,296.05,62481,0
2024-01-17T00:00:00+0530,295,308.4,290.6,298.75,78973,0
