date,open,high,low,close,volume,empty
2024-09-17T00:00:00+0530,830,848,781.5,793.3,24628312,0
2024-09-18T00:00:00+0530,788.9,804,764.55,771.3,2790237,0
2024-09-19T00:00:00+0530,771,771.9,694.2,699.05,3168112,0
2024-09-20T00:00:00+0530,710,752,681.1,731.4,3172480,0
2024-09-23T00:00:00+0530,745,804.5,727.05,804.5,3414240,0
2024-09-24T00:00:00+0530,808.95,835,778.95,808.35,5776033,0
2024-09-25T00:00:00+0530,814.75,820,781.3,788.65,1627625,0
2024-09-26T00:00:00+0530,790,802.95,757.05,771.65,1120067,0
2024-09-27T00:00:00+0530,781,781,761.05,766.75,446129,0
2024-09-30T00:00:00+0530,767.8,772,742,749.15,606278,0
2024-10-01T00:00:00+0530,756.9,785,750,766.85,1173640,0
2024-10-03T00:00:00+0530,761,794.6,755,769.55,1467249,0
2024-10-04T00:00:00+0530,778.5,782.4,745.5,756.8,934389,0
2024-10-07T00:00:00+0530,756.8,769,695,709.45,1455824,0
2024-10-08T00:00:00+0530,722,746,702.3,739.7,825963,0
2024-10-09T00:00:00+0530,750.05,756.95,736.05,750,684085,0
2024-10-10T00:00:00+0530,751.1,764.8,748,750.85,514506,0
2024-10-11T00:00:00+0530,754.05,757.45,734.6,744.2,293037,0
2024-10-14T00:00:00+0530,767,774.2,747,751.35,594889,0
2024-10-15T00:00:00+0530,754.75,766.7,754,760.9,499304,0
2024-10-16T00:00:00+0530,780,787.05,768,773.45,541117,0
2024-10-17T00:00:00+0530,776,778.8,745.1,750.45,300197,0
2024-10-18T00:00:00+0530,748,754.4,729.25,748.8,232309,0
2024-10-21T00:00:00+0530,752.7,759.65,734.05,741.2,286687,0
2024-10-22T00:00:00+0530,742.8,744.85,703.1,707.15,463253,0
2024-10-23T00:00:00+0530,707.95,720.7,688.85,694.5,564535,0
2024-10-24T00:00:00+0530,697,715,695,707.95,328506,0
2024-10-25T00:00:00+0530,700.25,707,685,699.35,320208,0
2024-10-28T00:00:00+0530,701.95,729.8,690.55,724.15,374480,0
2024-10-29T00:00:00+0530,728.85,729,695.8,700.6,431975,0
2024-10-30T00:00:00+0530,700.6,720,698.7,716.15,310580,0
2024-10-31T00:00:00+0530,713.05,725.95,705,715.6,358558,0
2024-11-01T00:00:00+0530,718.25,725,717.65,722.45,105548,0
2024-11-04T00:00:00+0530,722.95,723,708,712.55,208864,0
2024-11-05T00:00:00+0530,711.95,717.85,700.4,707.3,254278,0
2024-11-06T00:00:00+0530,710.05,750,706.6,743.65,557116,0
2024-11-07T00:00:00+0530,749,758.9,737.05,742.15,345278,0
2024-11-08T00:00:00+0530,741.9,741.9,715,721.2,225739,0
2024-11-11T00:00:00+0530,726,730,711.85,716.7,192145,0
2024-11-12T00:00:00+0530,720,725.8,700.55,707,194413,0
2024-11-13T00:00:00+0530,705,722.85,685,691.3,673806,0
2024-11-14T00:00:00+0530,697.45,701.2,686.15,688.55,287794,0
2024-11-18T00:00:00+0530,695.8,695.85,676.1,682.5,277371,0
2024-11-19T00:00:00+0530,687.4,695.1,663.2,670.35,409321,0
2024-11-21T00:00:00+0530,669.6,669.6,643,644.5,353810,0
2024-11-22T00:00:00+0530,645,647.65,611,614.1,747715,0
2024-11-25T00:00:00+0530,628.7,668.4,628,647.15,856560,0
2024-11-26T00:00:00+0530,643.25,671,641.45,666.45,457505,0
2024-11-27T00:00:00+0530,668.25,679.2,660.65,674.25,303133,0
2024-11-28T00:00:00+0530,679,688.5,670.35,679.6,245585,0
2024-11-29T00:00:00+0530,684,686.5,669.6,681.2,196899,0
2024-12-02T00:00:00+0530,676.95,736.95,675.05,719.3,983665,0
2024-12-03T00:00:00+0530,725.85,743.6,721.05,736.1,1146819,0
2024-12-04T00:00:00+0530,748.45,774,746.1,752.3,1226873,0
2024-12-05T00:00:00+0530,760,763,719.95,731.45,710792,0
2024-12-06T00:00:00+0530,743.9,778,736.8,769.2,1180890,0
2024-12-09T00:00:00+0530,780,830,739.5,759.85,4666837,0
2024-12-10T00:00:00+0530,755,764,727.75,739.85,1647086,0
2024-12-11T00:00:00+0530,744.15,758.8,738,750.95,861314,0
2024-12-12T00:00:00+0530,750.05,750.95,733.6,744.95,641285,0
2024-12-13T00:00:00+0530,735,739.45,719,734.6,595264,0
2024-12-16T00:00:00+0530,739.8,741.5,704.45,709.45,932986,0
2024-12-17T00:00:00+0530,713.8,723.75,710.65,720.15,410152,0
2024-12-18T00:00:00+0530,722.45,729.7,708.1,726.05,510449,0
2024-12-19T00:00:00+0530,709,726.9,709,719.9,390062,0
2024-12-20T00:00:00+0530,719.5,732,700,706.4,392675,0
