date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,2570.2,2609,2546.05,2580,194548,0
2023-01-03T00:00:00+0530,2591.5,2608.9,2578,2590.9,132642,0
2023-01-04T00:00:00+0530,2594,2609,2565,2596.6,177544,0
2023-01-05T00:00:00+0530,2600,2655.95,2592.25,2648.45,336238,0
2023-01-06T00:00:00+0530,2648.45,2669.3,2608,2620.35,200467,0
2023-01-09T00:00:00+0530,2646,2659,2615,2653.7,155269,0
2023-01-10T00:00:00+0530,2660,2686.8,2630.8,2680.8,199227,0
2023-01-11T00:00:00+0530,2684.55,2708,2662.05,2671.1,188157,0
2023-01-12T00:00:00+0530,2675,2718.5,2667.8,2677.05,263295,0
2023-01-13T00:00:00+0530,2685.4,2693.4,2651.55,2663.7,115048,0
2023-01-16T00:00:00+0530,2674.8,2705,2665,2673.55,151524,0
2023-01-17T00:00:00+0530,2665.25,2733.55,2655.25,2717.35,163033,0
2023-01-18T00:00:00+0530,2731.65,2764.85,2720.5,2753.6,275059,0
2023-01-19T00:00:00+0530,2740.05,2843.85,2722.85,2828.6,633130,0
2023-01-20T00:00:00+0530,2850,2851.2,2751.35,2761.2,479592,0
2023-01-23T00:00:00+0530,2762,2820.1,2757.7,2800.45,354518,0
2023-01-24T00:00:00+0530,2811.95,2849,2805,2817.35,396428,0
2023-01-25T00:00:00+0530,2810.35,2826.15,2790,2817.7,232210,0
2023-01-27T00:00:00+0530,2820,2841.95,2737.7,2777.3,270275,0
2023-01-30T00:00:00+0530,2780,2868,2748.3,2819.2,426921,0
2023-01-31T00:00:00+0530,2847,2934.65,2835.15,2921.25,545851,0
2023-02-01T00:00:00+0530,2949,3045,2913.3,2995.4,936089,0
2023-02-02T00:00:00+0530,3000,3088.6,2981.1,3001.5,716169,0
2023-02-03T00:00:00+0530,3030,3030,2925,2949.15,378428,0
2023-02-06T00:00:00+0530,2950,2998,2940,2965.65,255641,0
2023-02-07T00:00:00+0530,2980.5,2994,2959.45,2987.4,186102,0
2023-02-08T00:00:00+0530,2983.5,3010.8,2971.6,2978.85,278608,0
2023-02-09T00:00:00+0530,2970,3001.95,2955.1,2995.7,172603,0
2023-02-10T00:00:00+0530,2987,3004,2976,2985,136904,0
2023-02-13T00:00:00+0530,2988,2988,2904.75,2947.55,196259,0
2023-02-14T00:00:00+0530,2948.9,2994.9,2936.85,2981.85,204187,0
2023-02-15T00:00:00+0530,2967.95,3030.1,2952,3006.45,216658,0
2023-02-16T00:00:00+0530,3032.3,3059.9,3017.75,3046.1,351094,0
2023-02-17T00:00:00+0530,3030,3143.4,2991,3014.8,1067039,0
