date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,307,308.95,300.75,303.45,2980366,0
2023-01-03T00:00:00+0530,304.3,308,300,303.85,2433588,0
2023-01-04T00:00:00+0530,304.5,304.5,295.85,298.35,1879869,0
2023-01-05T00:00:00+0530,300,302.25,291.2,292.75,2263047,0
2023-01-06T00:00:00+0530,293.8,294.85,285.2,289.25,1668840,0
2023-01-09T00:00:00+0530,291.4,296.4,289.5,292.4,1170864,0
2023-01-10T00:00:00+0530,293.2,293.25,287.65,290.5,1158010,0
2023-01-11T00:00:00+0530,291.7,296.3,287.65,295.15,1447898,0
2023-01-12T00:00:00+0530,296.15,296.4,287.8,289.15,1200091,0
2023-01-13T00:00:00+0530,290,291.35,286.65,288.05,1308342,0
2023-01-16T00:00:00+0530,289,290.85,287,287.7,865068,0
2023-01-17T00:00:00+0530,287.7,297.25,285.1,293.6,2444910,0
2023-01-18T00:00:00+0530,294,304.9,292.1,301.35,4156141,0
2023-01-19T00:00:00+0530,299,304.85,296.7,298.9,2150841,0
2023-01-20T00:00:00+0530,299.45,299.9,290,291.85,1318495,0
2023-01-23T00:00:00+0530,293.5,296,289.1,290.8,990141,0
2023-01-24T00:00:00+0530,300,310.4,299.6,302.4,11624892,0
2023-01-25T00:00:00+0530,302.4,303.05,296,299,2707628,0
2023-01-27T00:00:00+0530,300.25,300.75,281.7,285.85,2953916,0
2023-01-30T00:00:00+0530,289,293.75,284.95,289.2,1826313,0
2023-01-31T00:00:00+0530,289.25,300,287.15,297.4,1983318,0
2023-02-01T00:00:00+0530,299.4,303,282.1,290.05,2752373,0
2023-02-02T00:00:00+0530,287,293.9,287,291.15,1526504,0
2023-02-03T00:00:00+0530,292.65,293.1,281.15,290.65,1936695,0
2023-02-06T00:00:00+0530,290,293.45,288.65,292.05,847404,0
2023-02-07T00:00:00+0530,292.25,304.2,291.15,300.6,3130033,0
2023-02-08T00:00:00+0530,301.35,305.9,298.95,301.25,2368317,0
2023-02-09T00:00:00+0530,301.25,305.65,300.5,302.3,1660621,0
2023-02-10T00:00:00+0530,301.5,303.55,297.6,300.85,988416,0
2023-02-13T00:00:00+0530,301,305,300.3,302.15,1866527,0
2023-02-14T00:00:00+0530,302.4,315,300.65,312.7,6448867,0
2023-02-15T00:00:00+0530,313.5,317.9,311.35,315.1,3057270,0
2023-02-16T00:00:00+0530,316,322.9,312.05,321.25,4187131,0
2023-02-17T00:00:00+0530,318.45,323.3,313.25,314.3,1969883,0
2023-02-20T00:00:00+0530,315.5,319.6,310.5,312,1719493,0
2023-02-21T00:00:00+0530,312.6,317.9,307.2,308.45,1982167,0
2023-02-22T00:00:00+0530,307.9,310.8,295.2,297.1,2196139,0
2023-02-23T00:00:00+0530,298.6,301.9,294.15,299.05,1744820,0
2023-02-24T00:00:00+0530,300,303.2,293.4,294.7,1388408,0
2023-02-27T00:00:00+0530,295,295.1,289.05,291.7,984103,0
2023-02-28T00:00:00+0530,292.45,293,286.55,289.1,1099938,0
2023-03-01T00:00:00+0530,290.2,294.85,289.15,292.1,1519061,0
2023-03-02T00:00:00+0530,292.7,293.4,287,288.75,852432,0
2023-03-03T00:00:00+0530,290.3,296.45,290.3,291.6,1547318,0
2023-03-06T00:00:00+0530,293,298.7,292.65,297.3,1714827,0
2023-03-08T00:00:00+0530,293.95,296.2,293,294.65,902987,0
2023-03-09T00:00:00+0530,295.8,299.95,294.05,298.25,1631183,0
2023-03-10T00:00:00+0530,298.25,302.8,294,295.35,1866176,0
2023-03-13T00:00:00+0530,296.05,296.3,284.9,285.85,1426946,0
2023-03-14T00:00:00+0530,287.3,289.05,281.25,282.7,1087252,0
2023-03-15T00:00:00+0530,285.7,287.6,277.2,279.65,894977,0
2023-03-16T00:00:00+0530,279.2,283.6,275,281.3,1294698,0
2023-03-17T00:00:00+0530,283.1,288.55,283.1,287.4,1387483,0
2023-03-20T00:00:00+0530,285,286.3,274.65,275.7,1611773,0
2023-03-21T00:00:00+0530,277.7,282.4,277.2,281.1,883264,0
2023-03-22T00:00:00+0530,282.5,287.8,282.1,285.2,1139651,0
2023-03-23T00:00:00+0530,284.7,287.75,284.4,286.15,1050510,0
2023-03-24T00:00:00+0530,286.35,287.9,277,279.1,1435645,0
2023-03-27T00:00:00+0530,280.8,282,275,275.65,1445772,0
2023-03-28T00:00:00+0530,277.05,284.5,274.95,282.4,1395099,0
2023-03-29T00:00:00+0530,282.05,290.75,279.55,288.55,2037802,0
2023-03-31T00:00:00+0530,290,294,288.6,292.5,1668137,0
2023-04-03T00:00:00+0530,293.8,295,287.45,291.15,1362303,0
2023-04-05T00:00:00+0530,297.5,302.5,290,291.05,3750290,0
2023-04-06T00:00:00+0530,291.95,294.5,288,290,2042614,0
2023-04-10T00:00:00+0530,292,292.65,285.25,286.25,1169370,0
2023-04-11T00:00:00+0530,287.5,292.1,287.15,289.15,1174258,0
2023-04-12T00:00:00+0530,290.05,291.9,288.8,289.2,713681,0
2023-04-13T00:00:00+0530,289.95,295.3,288.35,292.9,1773902,0
2023-04-17T00:00:00+0530,294.1,304.7,292.9,302.2,3968840,0
2023-04-18T00:00:00+0530,304,312.4,302.7,309.4,5707511,0
2023-04-19T00:00:00+0530,311,313.8,307.1,311.1,3346299,0
2023-04-20T00:00:00+0530,311.8,317,311.1,312.2,3893157,0
2023-04-21T00:00:00+0530,313.35,314,308.6,310.2,1620814,0
