date,open,high,low,close,volume,empty
2024-08-20T00:00:00+0530,475,498.75,475,498.75,326400,0
2024-08-21T00:00:00+0530,523.65,523.65,523.65,523.65,124200,0
2024-08-22T00:00:00+0530,549.8,549.8,549.8,549.8,352200,0
2024-08-23T00:00:00+0530,540.8,577.25,527.65,577.25,840000,0
2024-08-26T00:00:00+0530,604,606.1,578.25,606.1,139200,0
2024-08-27T00:00:00+0530,636.4,636.4,636.4,636.4,33600,0
2024-08-28T00:00:00+0530,668.2,668.2,604.6,607.7,348600,0
2024-08-29T00:00:00+0530,577.35,599.95,577.35,577.35,121800,0
2024-08-30T00:00:00+0530,548.5,606.2,548.5,600.5,303600,0
2024-09-02T00:00:00+0530,600.5,630.5,570.5,630.5,246600,0
2024-09-03T00:00:00+0530,612,663,560,574.7,238800,0
2024-09-04T00:00:00+0530,560,596,530.35,537.05,151200,0
2024-09-05T00:00:00+0530,540,562.9,526,536.7,105000,0
2024-09-06T00:00:00+0530,531.9,537,496,509,178800,0
2024-09-09T00:00:00+0530,513.95,545.5,504,529.7,134400,0
2024-09-10T00:00:00+0530,545,581.95,533.05,550.35,120600,0
2024-09-11T00:00:00+0530,564,564,517.3,521.75,47400,0
2024-09-12T00:00:00+0530,532.2,532.2,491,497.25,99000,0
2024-09-13T00:00:00+0530,500,505,470,489.45,96000,0
2024-09-16T00:00:00+0530,478,480,440.9,444.05,154800,0
2024-09-17T00:00:00+0530,441,442,408.2,412.45,117600,0
2024-09-18T00:00:00+0530,413,480,413,437.6,217800,0
2024-09-19T00:00:00+0530,444.75,474.95,439,450.35,108000,0
2024-09-20T00:00:00+0530,457.9,465.65,450,461.9,33600,0
2024-09-23T00:00:00+0530,469.8,479.9,465,476.35,30000,0
2024-09-24T00:00:00+0530,479.9,479.9,445.2,453.15,33000,0
2024-09-25T00:00:00+0530,450.1,450.1,430.05,435,20400,0
2024-09-26T00:00:00+0530,432,441,420,435,26400,0
2024-09-27T00:00:00+0530,434,440,422,423.65,21600,0
2024-09-30T00:00:00+0530,421.05,421.05,404.85,411.8,36000,0
2024-10-01T00:00:00+0530,416.6,429.95,411,424.45,33000,0
2024-10-03T00:00:00+0530,424.95,437,419,424.5,25800,0
2024-10-04T00:00:00+0530,433,433,400.05,402.5,52800,0
2024-10-07T00:00:00+0530,406.5,413,350,365.2,81000,0
2024-10-08T00:00:00+0530,379.9,394,366.05,376.4,26400,0
2024-10-09T00:00:00+0530,380,386,363.55,374.65,27000,0
2024-10-10T00:00:00+0530,381,400,381,391.5,14400,0
2024-10-11T00:00:00+0530,392,392,380,380.9,19200,0
2024-10-14T00:00:00+0530,380.9,380.9,355.1,357.05,65400,0
2024-10-15T00:00:00+0530,356,362,350,357.5,47400,0
2024-10-16T00:00:00+0530,356,393,356,378,42000,0
2024-10-17T00:00:00+0530,376,376,361.25,366.85,33000,0
2024-10-18T00:00:00+0530,362,364,353,358.9,36000,0
2024-10-21T00:00:00+0530,358.9,359,350.5,356.75,18000,0
2024-10-22T00:00:00+0530,348.8,349,330,335.75,38400,0
2024-10-23T00:00:00+0530,330,340,316.15,327.15,17400,0
2024-10-24T00:00:00+0530,327.15,335,327,329,13800,0
2024-10-25T00:00:00+0530,316.05,316.05,300,308.9,42600,0
2024-10-28T00:00:00+0530,323.95,323.95,304.05,310.5,10200,0
2024-10-29T00:00:00+0530,310.5,326,305.6,326,14400,0
2024-10-30T00:00:00+0530,341,342.3,341,342.2,9000,0
2024-10-31T00:00:00+0530,359.25,359.3,359.25,359.3,7800,0
2024-11-01T00:00:00+0530,377.25,377.25,376.25,377.25,12000,0
2024-11-04T00:00:00+0530,395.95,395.95,364,373.55,23700,0
2024-11-05T00:00:00+0530,366.1,366.2,366.1,366.1,3000,0
2024-11-06T00:00:00+0530,358.8,358.8,358.8,358.8,5100,0
2024-11-07T00:00:00+0530,351.65,351.65,351.65,351.65,2400,0
2024-11-08T00:00:00+0530,344.65,344.65,344.65,344.65,18300,0
2024-11-11T00:00:00+0530,345.9,351.5,345.9,351.5,23700,0
2024-11-12T00:00:00+0530,358.5,358.5,347.75,347.8,5700,0
2024-11-13T00:00:00+0530,340.85,340.85,340.85,340.85,8700,0
2024-11-14T00:00:00+0530,334.05,334.05,334.05,334.05,1800,0
2024-11-18T00:00:00+0530,327.4,327.4,327.4,327.4,7800,0
2024-11-19T00:00:00+0530,320.85,320.85,320.85,320.85,5100,0
2024-11-21T00:00:00+0530,314.45,314.45,314.45,314.45,3300,0
2024-11-22T00:00:00+0530,308.2,311,308.2,311,26700,0
2024-11-25T00:00:00+0530,312.1,317.2,310,310,8100,0
2024-11-26T00:00:00+0530,316.2,316.2,316.2,316.2,16200,0
2024-11-27T00:00:00+0530,321.95,321.95,319,319,16500,0
2024-11-28T00:00:00+0530,325.35,325.35,325.35,325.35,4500,0
2024-11-29T00:00:00+0530,331.85,331.85,331.85,331.85,2400,0
2024-12-02T00:00:00+0530,338.45,338.45,338.45,338.45,900,0
2024-12-03T00:00:00+0530,345.2,345.2,345.2,345.2,600,0
2024-12-04T00:00:00+0530,352.1,352.1,346,346,31800,0
2024-12-05T00:00:00+0530,341,350,341,343,12300,0
2024-12-06T00:00:00+0530,343,345,343,343.5,5100,0
2024-12-09T00:00:00+0530,354,354,326.35,326.35,27000,0
2024-12-10T00:00:00+0530,325,334.9,320,324.3,25200,0
2024-12-11T00:00:00+0530,332.95,332.95,312,316.7,22200,0
