date,open,high,low,close,volume,empty
2024-09-03T00:00:00+0530,990,994.55,802.1,839.9,58922092,0
2024-09-04T00:00:00+0530,816.6,872.65,803.05,841.9,11523876,0
2024-09-05T00:00:00+0530,856.1,1010.25,852.2,1004.8,36818046,0
2024-09-06T00:00:00+0530,1010,1188.9,982,1096.05,44767796,0
2024-09-09T00:00:00+0530,1120,1235,1105,1208.65,28659020,0
2024-09-10T00:00:00+0530,1240,1267.95,1111.9,1173.7,22676122,0
2024-09-11T00:00:00+0530,1154.2,1167.95,1082.65,1098.1,8804576,0
2024-09-12T00:00:00+0530,1111,1157.7,1085,1132.5,8259315,0
2024-09-13T00:00:00+0530,1142.9,1144,1096.45,1112.15,3507316,0
2024-09-16T00:00:00+0530,1110,1124,1045,1109.85,5561217,0
2024-09-17T00:00:00+0530,1104.5,1128.7,1082.65,1113.3,3828734,0
2024-09-18T00:00:00+0530,1122.9,1148.6,1090,1134.85,3803064,0
2024-09-19T00:00:00+0530,1145,1157.35,1075,1099.1,3699807,0
2024-09-20T00:00:00+0530,1140,1140,1100.2,1109.2,1730908,0
2024-09-23T00:00:00+0530,1116,1120,1080,1090.9,1625670,0
2024-09-24T00:00:00+0530,1083.9,1087.85,1062.35,1077.1,1541568,0
2024-09-25T00:00:00+0530,1070.3,1073,1024,1036.35,2041656,0
2024-09-26T00:00:00+0530,1029,1086.35,1017,1049.35,3779481,0
2024-09-27T00:00:00+0530,1035.1,1077,1032,1051.65,1876970,0
2024-09-30T00:00:00+0530,1045,1091,1012.05,1082.9,4677852,0
2024-10-01T00:00:00+0530,1080,1122,1068.15,1109.35,3881983,0
2024-10-03T00:00:00+0530,1084,1093.65,1056.05,1080.45,3090856,0
2024-10-04T00:00:00+0530,1066,1103.9,1030.3,1047.4,2277332,0
2024-10-07T00:00:00+0530,1045.75,1059.2,977.7,997.2,2917540,0
2024-10-08T00:00:00+0530,990,1022,973,1014.3,2846197,0
2024-10-09T00:00:00+0530,1030.9,1087.8,1021.35,1079.05,4106614,0
2024-10-10T00:00:00+0530,1085,1119.3,1069,1105.7,2442587,0
2024-10-11T00:00:00+0530,1101.3,1119,1090.05,1107.4,1518596,0
2024-10-14T00:00:00+0530,1120,1216.8,1120,1133.6,8088647,0
2024-10-15T00:00:00+0530,1143,1166.6,1118.3,1148.25,2089567,0
2024-10-16T00:00:00+0530,1135,1150.95,1125.7,1135.35,1369581,0
2024-10-17T00:00:00+0530,1144.7,1144.7,1078.8,1084.1,1842194,0
2024-10-18T00:00:00+0530,1076,1111.95,1055.1,1094.65,1676203,0
2024-10-21T00:00:00+0530,1100,1106,1035.1,1042.3,1225626,0
2024-10-22T00:00:00+0530,1048.9,1050.45,991,997.65,1319705,0
2024-10-23T00:00:00+0530,1000,1034.8,991.75,998.85,1831265,0
2024-10-24T00:00:00+0530,1014.95,1018.5,975.05,978.35,941634,0
2024-10-25T00:00:00+0530,985,992.45,925.1,945.05,2223957,0
