date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1917.99,1940,1916.01,1926.59,592,0
2023-01-03T00:00:00+0530,1930,1931.89,1923.99,1929.46,60,0
2023-01-04T00:00:00+0530,1940,1940,1909,1909.26,368,0
2023-01-05T00:00:00+0530,1947.45,1947.46,1893.59,1905.12,236,0
2023-01-06T00:00:00+0530,1906.9,1906.9,1885.01,1891.1,521,0
2023-01-09T00:00:00+0530,1909.99,1920,1900.01,1916.88,385,0
2023-01-10T00:00:00+0530,1910,1910,1890.01,1896.54,373,0
2023-01-11T00:00:00+0530,1890,1904.99,1890,1894.8,415,0
2023-01-12T00:00:00+0530,1896,1896.9,1882,1891.14,257,0
2023-01-13T00:00:00+0530,1887.99,1904,1879.93,1901.22,641,0
2023-01-16T00:00:00+0530,1908.01,1908.01,1891,1894.57,218,0
2023-01-17T00:00:00+0530,1894.58,1913,1894.57,1912.55,411,0
2023-01-18T00:00:00+0530,1915,1924.99,1915,1924,72,0
2023-01-19T00:00:00+0530,1918.3,1922,1912,1917.36,50,0
2023-01-20T00:00:00+0530,1916,1920,1908,1908.15,47,0
2023-01-23T00:00:00+0530,1914,1922,1914,1919,76,0
2023-01-24T00:00:00+0530,1925,1926,1914,1919.5,568,0
2023-01-25T00:00:00+0530,1908.3,1908.3,1890.95,1894.98,544,0
2023-01-27T00:00:00+0530,1890.01,1890.01,1855,1865.88,1147,0
2023-01-30T00:00:00+0530,1860,1872,1842.01,1869.22,636,0
2023-01-31T00:00:00+0530,1870.01,1872.5,1859.98,1872.33,556,0
2023-02-01T00:00:00+0530,1880.01,1908.36,1840,1864.76,854,0
2023-02-02T00:00:00+0530,1855.01,1868,1850,1866.08,314,0
2023-02-03T00:00:00+0530,1862,1893.99,1862,1890.29,362,0
2023-02-06T00:00:00+0530,1890,1890,1875,1881.03,129,0
2023-02-07T00:00:00+0530,1882.01,1882.01,1872,1876.29,661,0
2023-02-08T00:00:00+0530,1878.01,1895,1878.01,1892.23,558,0
2023-02-09T00:00:00+0530,1887.99,1932.23,1883.99,1895.49,632,0
2023-02-10T00:00:00+0530,1888.3,1892,1884,1891,322,0
2023-02-13T00:00:00+0530,1890,1890,1876,1881.63,253,0
2023-02-14T00:00:00+0530,1886.01,1900,1886.01,1898.5,534,0
2023-02-15T00:00:00+0530,1898.5,1909.5,1891.99,1908.03,376,0
2023-02-16T00:00:00+0530,1912.01,1919.99,1908,1910.93,377,0
2023-02-17T00:00:00+0530,1906.01,1908,1896,1901.11,426,0
2023-02-20T00:00:00+0530,1901.01,1906.01,1888.31,1890.45,148,0
2023-02-21T00:00:00+0530,1892.01,1898,1888.31,1889.17,204,0
2023-02-22T00:00:00+0530,1882,1882,1859.9,1860.02,513,0
2023-02-23T00:00:00+0530,1858,1870,1853.99,1855.01,690,0
2023-02-24T00:00:00+0530,1860.01,1870,1848,1850.99,401,0
2023-02-27T00:00:00+0530,1848.3,1848.3,1834,1843.94,2235,0
2023-02-28T00:00:00+0530,1846,1853.33,1829.5,1834.15,936,0
2023-03-01T00:00:00+0530,1838.01,1850.72,1834,1848.97,533,0
2023-03-02T00:00:00+0530,1860,1860,1831.59,1836.15,559,0
2023-03-03T00:00:00+0530,1844.99,1868,1844.99,1864.4,500,0
2023-03-06T00:00:00+0530,1874.99,1884,1874.99,1876.11,174,0
2023-03-08T00:00:00+0530,1869.99,1881.5,1868.3,1881.49,343,0
2023-03-09T00:00:00+0530,1881.5,1881.5,1862.99,1863.55,410,0
2023-03-10T00:00:00+0530,1856,1856,1837.99,1845.03,225,0
2023-03-13T00:00:00+0530,1848.01,1855,1814.01,1818.03,772,0
2023-03-14T00:00:00+0530,1818.5,1823.99,1802.02,1806.02,661,0
2023-03-15T00:00:00+0530,1815,1823,1795,1798.4,545,0
2023-03-16T00:00:00+0530,1806,1806.01,1788,1799.48,2166,0
2023-03-17T00:00:00+0530,1804.01,1815,1793.74,1811.71,1006,0
2023-03-20T00:00:00+0530,1800.01,1801.99,1787.99,1799.73,414,0
2023-03-21T00:00:00+0530,1804.01,1840,1804.01,1812.8,2394,0
2023-03-22T00:00:00+0530,1812,1820.01,1812,1817.98,322,0
2023-03-23T00:00:00+0530,1810.01,1822,1808,1809.31,262,0
2023-03-24T00:00:00+0530,1810.01,1811.99,1789,1795.29,1557,0
2023-03-27T00:00:00+0530,1795.29,1811.99,1795.29,1799.53,3644,0
2023-03-28T00:00:00+0530,1820,2009.69,1773.8,1797.06,1611,0
2023-03-29T00:00:00+0530,1802.01,1811.01,1794,1811,83,0
2023-03-31T00:00:00+0530,1815,1841,1812,1840.29,757,0
2023-04-03T00:00:00+0530,1842.01,1844,1835,1841,3053,0
2023-04-05T00:00:00+0530,1844.99,1862,1844.01,1859.79,257,0
2023-04-06T00:00:00+0530,1858.31,1870,1858.3,1864.53,331,0
2023-04-10T00:00:00+0530,1901.85,1901.85,1865,1867.99,185,0
2023-04-11T00:00:00+0530,1872.01,1880,1870.01,1878.24,396,0
2023-04-12T00:00:00+0530,1880,1896,1876.09,1887.93,867,0
2023-04-13T00:00:00+0530,1900,1900,1880.89,1888.97,548,0
2023-04-17T00:00:00+0530,1887.99,1888,1863.99,1876.38,344,0
2023-04-18T00:00:00+0530,1878.31,1878.31,1859,1872.23,2648,0
2023-04-19T00:00:00+0530,1878.99,1881.01,1862,1867.49,272,0
