date,open,high,low,close,volume,empty
2024-05-23T00:00:00+0530,155.1,159,147.35,147.35,1443600,0
2024-05-24T00:00:00+0530,140,140,140,140,13200,0
2024-05-27T00:00:00+0530,133,133,133,133,6000,0
2024-05-28T00:00:00+0530,126.35,126.35,126.35,126.35,12000,0
2024-05-29T00:00:00+0530,120.05,120.05,120.05,120.05,3600,0
2024-05-30T00:00:00+0530,114.05,126.05,114.05,126.05,843600,0
2024-05-31T00:00:00+0530,122.8,124.5,119.75,119.9,350400,0
2024-06-03T00:00:00+0530,118.8,122,113.9,114.15,194400,0
2024-06-04T00:00:00+0530,112,112,108.45,108.45,46800,0
2024-06-05T00:00:00+0530,103.05,107,103.05,103.65,69600,0
2024-06-06T00:00:00+0530,107.9,115.9,102,107.3,129600,0
2024-06-07T00:00:00+0530,108.95,121,107.3,117.85,180000,0
2024-06-10T00:00:00+0530,124,134,120,130.85,230400,0
2024-06-11T00:00:00+0530,133,136,127,127.75,68400,0
2024-06-12T00:00:00+0530,127.5,147,121,135.45,211200,0
2024-06-13T00:00:00+0530,142.9,142.9,135.95,138.6,67200,0
2024-06-14T00:00:00+0530,135,140.95,129,138.85,80400,0
2024-06-18T00:00:00+0530,138,153,130,149.15,193200,0
2024-06-19T00:00:00+0530,154.95,178.95,154,178.95,364800,0
2024-06-20T00:00:00+0530,185,196.8,163.05,168.05,607200,0
2024-06-21T00:00:00+0530,168,173.7,153.2,158.65,276000,0
2024-06-24T00:00:00+0530,155.5,172.9,147.5,157.15,241200,0
2024-06-25T00:00:00+0530,158.6,164.95,158,161.8,80400,0
2024-06-26T00:00:00+0530,154,161.75,145.65,146.95,175200,0
2024-06-27T00:00:00+0530,142.2,151.5,140,140.55,55200,0
2024-06-28T00:00:00+0530,141,147.5,136.5,143.7,66000,0
2024-07-01T00:00:00+0530,145,148,141.5,142.65,33600,0
2024-07-02T00:00:00+0530,144,144.8,141.05,144,44400,0
2024-07-03T00:00:00+0530,147.4,158.4,146,153.95,208800,0
2024-07-04T00:00:00+0530,155,157.95,153.6,155.85,84000,0
2024-07-05T00:00:00+0530,153.9,155.2,149,152.35,64800,0
2024-07-08T00:00:00+0530,150.1,150.1,145,145.25,34800,0
2024-07-09T00:00:00+0530,144.45,144.45,141.5,144.15,26400,0
2024-07-10T00:00:00+0530,143.3,145,135,141.3,48000,0
2024-07-11T00:00:00+0530,142,142.5,137.6,137.8,16800,0
2024-07-12T00:00:00+0530,141,141.3,137.8,139.05,28800,0
2024-07-15T00:00:00+0530,140.4,148,140.4,144,36000,0
2024-07-16T00:00:00+0530,144.05,145.95,143.1,143.25,20400,0
2024-07-18T00:00:00+0530,143.25,144.85,138.65,139.5,10800,0
2024-07-19T00:00:00+0530,139.5,139.95,135.6,138,26400,0
2024-07-22T00:00:00+0530,143,145,139,139.55,16800,0
2024-07-23T00:00:00+0530,140,140,135.8,137.5,36000,0
2024-07-24T00:00:00+0530,133.4,143.5,133.4,142.95,19200,0
2024-07-25T00:00:00+0530,144.9,144.9,138.55,141.2,15600,0
2024-07-26T00:00:00+0530,140.35,140.35,136.65,137.95,39600,0
2024-07-29T00:00:00+0530,138,138.2,134.25,134.35,15600,0
2024-07-30T00:00:00+0530,133.3,137.75,133.3,137.4,21600,0
2024-07-31T00:00:00+0530,140,140,136,138.95,4800,0
2024-08-01T00:00:00+0530,135.05,135.05,133.5,133.6,14400,0
2024-08-02T00:00:00+0530,133.6,135,128,133.15,13200,0
2024-08-05T00:00:00+0530,130,130.5,125,125.6,9600,0
2024-08-06T00:00:00+0530,130,133,129.9,132.7,14400,0
2024-08-07T00:00:00+0530,129.9,129.9,129.9,129.9,1200,0
2024-08-08T00:00:00+0530,126.1,126.5,126.1,126.5,7200,0
2024-08-09T00:00:00+0530,126.5,126.5,126.5,126.5,3600,0
2024-08-12T00:00:00+0530,125,125,124.05,124.05,2400,0
2024-08-13T00:00:00+0530,125,125,120,120,8400,0
2024-08-14T00:00:00+0530,125.2,131.85,125.1,125.1,8400,0
2024-08-16T00:00:00+0530,130,137.6,129,137.6,60000,0
2024-08-19T00:00:00+0530,142,142,134,137,21600,0
2024-08-20T00:00:00+0530,137,137,134,135,6000,0
2024-08-21T00:00:00+0530,136,136,131.6,134.05,32400,0
2024-08-22T00:00:00+0530,134.25,134.25,131.1,133,10800,0
2024-08-23T00:00:00+0530,134,134,130,131.9,43200,0
2024-08-26T00:00:00+0530,137.6,137.6,132,136.2,12000,0
2024-08-27T00:00:00+0530,134.2,135.25,128.2,130,74400,0
2024-08-28T00:00:00+0530,134.95,143,127,128.75,94800,0
2024-08-29T00:00:00+0530,126,130.5,126,127,27600,0
2024-08-30T00:00:00+0530,127,129.7,122.3,127,18000,0
2024-09-02T00:00:00+0530,125,127,123.25,123.25,10800,0
2024-09-03T00:00:00+0530,126.95,126.95,124,126.8,19200,0
2024-09-04T00:00:00+0530,124,131.7,124,130.95,20400,0
2024-09-05T00:00:00+0530,130,130,125.5,126.05,13200,0
2024-09-06T00:00:00+0530,119.05,128,119.05,126.1,10800,0
2024-09-09T00:00:00+0530,129.95,129.95,128,128,2400,0
2024-09-10T00:00:00+0530,125,125,124,125,6000,0
2024-09-11T00:00:00+0530,122.4,126.95,122.2,126.95,6000,0
2024-09-12T00:00:00+0530,125,127.75,125,126.75,4800,0
2024-09-13T00:00:00+0530,128,128,121.5,122.5,6000,0
2024-09-16T00:00:00+0530,123,124,118.8,119.05,28800,0
2024-09-17T00:00:00+0530,123.5,127.5,120,122.6,40800,0
2024-09-18T00:00:00+0530,122.5,124.8,122,122,10800,0
2024-09-19T00:00:00+0530,124,124,115,120,15600,0
2024-09-20T00:00:00+0530,118.2,120.4,116,120.4,19200,0
2024-09-23T00:00:00+0530,125,125,119,119.5,25200,0
2024-09-24T00:00:00+0530,116.5,116.5,109,114,84000,0
2024-09-25T00:00:00+0530,116.9,116.95,112,113.55,13200,0
2024-09-26T00:00:00+0530,112.15,112.15,105.2,111.2,27600,0
2024-09-27T00:00:00+0530,111,111.15,108,109,8400,0
2024-09-30T00:00:00+0530,111,112,111,112,3600,0
2024-10-01T00:00:00+0530,111.5,111.5,110,110,8400,0
2024-10-03T00:00:00+0530,110,118.95,110,111,13200,0
2024-10-04T00:00:00+0530,108.25,114,107.3,112.5,19200,0
2024-10-07T00:00:00+0530,108,108.5,107,107,9600,0
2024-10-08T00:00:00+0530,105.05,107.9,101,107.9,10800,0
2024-10-09T00:00:00+0530,109.5,110,109.5,110,2400,0
2024-10-10T00:00:00+0530,107.05,107.3,106.6,106.6,8400,0
2024-10-11T00:00:00+0530,110.05,116.7,110.05,111.65,16800,0
2024-10-14T00:00:00+0530,113.2,113.2,112,112,6000,0
