date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,287.4,293,285.55,291.5,128734,0
2023-01-03T00:00:00+0530,295,302,292.95,295,366449,0
2023-01-04T00:00:00+0530,297.4,306.9,293,302.5,919572,0
2023-01-05T00:00:00+0530,304,304.25,295.1,297.75,205200,0
2023-01-06T00:00:00+0530,298.2,305.2,297.1,298.65,282725,0
2023-01-09T00:00:00+0530,302,309.75,299,307.55,239377,0
2023-01-10T00:00:00+0530,309.9,329.85,305.8,319.2,2194060,0
2023-01-11T00:00:00+0530,320.75,342,317.15,334.3,1297472,0
2023-01-12T00:00:00+0530,337.3,368,332.65,360.45,1955255,0
2023-01-13T00:00:00+0530,355.1,358.9,345.8,349.9,585976,0
2023-01-16T00:00:00+0530,346,366.8,344.8,359.05,986839,0
2023-01-17T00:00:00+0530,359.9,367.4,353.1,363.6,464635,0
2023-01-18T00:00:00+0530,363.05,374.45,360.45,366.8,581336,0
2023-01-19T00:00:00+0530,363.2,377.85,362.5,375.05,500383,0
2023-01-20T00:00:00+0530,375.15,382,372.45,375.35,578435,0
2023-01-23T00:00:00+0530,375.35,376.65,364.6,371,235869,0
2023-01-24T00:00:00+0530,368,382.75,367,368.95,314186,0
2023-01-25T00:00:00+0530,369.9,372.7,356.3,367.8,256717,0
2023-01-27T00:00:00+0530,368,370.6,342.2,353.85,371994,0
2023-01-30T00:00:00+0530,350.1,357.6,343.2,347.1,186350,0
2023-01-31T00:00:00+0530,347,369.85,342.45,367.1,282823,0
2023-02-01T00:00:00+0530,369,374.8,344.65,349.65,463384,0
2023-02-02T00:00:00+0530,346.1,358.5,345.15,349.55,104148,0
2023-02-03T00:00:00+0530,351.9,353.15,338.6,344.25,107196,0
2023-02-06T00:00:00+0530,345.1,367.2,342.05,363.8,176799,0
2023-02-07T00:00:00+0530,378,378,360.6,372.55,333705,0
2023-02-08T00:00:00+0530,369.85,370.9,354,360.25,325142,0
2023-02-09T00:00:00+0530,362.6,367.7,358.45,362.7,143294,0
2023-02-10T00:00:00+0530,363.8,384.6,362.7,374.9,1615537,0
2023-02-13T00:00:00+0530,376.5,387.4,373.65,380,595007,0
2023-02-14T00:00:00+0530,383.65,386.8,370.1,373.7,234810,0
2023-02-15T00:00:00+0530,370.1,383.55,368.05,371.6,196877,0
2023-02-16T00:00:00+0530,379,384.25,371.5,373.45,347284,0
2023-02-17T00:00:00+0530,373.2,383.95,366,372.8,329557,0
2023-02-20T00:00:00+0530,371.9,376.75,361.1,369.4,408446,0
2023-02-21T00:00:00+0530,369.85,373.15,363.3,365.9,168102,0
2023-02-22T00:00:00+0530,365,366.9,343.05,344.95,322329,0
2023-02-23T00:00:00+0530,347.5,367.9,338.2,342.6,1049701,0
2023-02-24T00:00:00+0530,344,351,338.2,345.65,460999,0
2023-02-27T00:00:00+0530,345,346,337.9,339.25,153372,0
2023-02-28T00:00:00+0530,338,359.85,338,352.2,960128,0
2023-03-01T00:00:00+0530,350.65,356.35,347.55,349.5,151799,0
2023-03-02T00:00:00+0530,349.65,349.65,343,344.45,80455,0
2023-03-03T00:00:00+0530,346,354.15,342.45,347.85,189157,0
2023-03-06T00:00:00+0530,346,351.25,341.35,343.2,138868,0
2023-03-08T00:00:00+0530,343.9,344.4,333,342.75,231902,0
2023-03-09T00:00:00+0530,341,350.9,340.4,343.55,161926,0
2023-03-10T00:00:00+0530,340,346,337.95,342.1,192520,0
2023-03-13T00:00:00+0530,339.1,344.7,337.05,339.6,259179,0
2023-03-14T00:00:00+0530,338.55,342.15,329.05,330.5,145238,0
2023-03-15T00:00:00+0530,332.3,338,332,333.45,85965,0
2023-03-16T00:00:00+0530,336.35,337.1,329.35,333.8,197819,0
2023-03-17T00:00:00+0530,337,340.65,335.7,339.1,73160,0
2023-03-20T00:00:00+0530,313.3,339.8,313.3,334.8,76753,0
2023-03-21T00:00:00+0530,337.95,339.3,331,332.75,107906,0
2023-03-22T00:00:00+0530,334,334,328.05,330.4,91875,0
2023-03-23T00:00:00+0530,328.95,330.75,325.15,327.2,75540,0
2023-03-24T00:00:00+0530,327.7,332.55,324,326.1,87160,0
2023-03-27T00:00:00+0530,327.5,327.5,320.1,325.1,85052,0
2023-03-28T00:00:00+0530,321.85,325.25,314,316,112746,0
2023-03-29T00:00:00+0530,320.75,332,315.7,329.75,107229,0
2023-03-31T00:00:00+0530,330.75,345.7,330,343.7,185082,0
2023-04-03T00:00:00+0530,343.8,353,337.4,350.3,122628,0
2023-04-05T00:00:00+0530,349.05,356.9,345.05,347.75,260153,0
2023-04-06T00:00:00+0530,347.3,354.7,346,350.75,55926,0
2023-04-10T00:00:00+0530,356,356,347.8,349.1,51324,0
2023-04-11T00:00:00+0530,350,356.9,348.25,353.95,111210,0
2023-04-12T00:00:00+0530,353.85,367.45,346.65,349.6,277857,0
2023-04-13T00:00:00+0530,350,363,347,358.4,278959,0
2023-04-17T00:00:00+0530,357.95,357.95,346.5,348.15,326534,0
2023-04-18T00:00:00+0530,349,358.3,346.5,353.55,185466,0
2023-04-19T00:00:00+0530,353.15,356.35,349,350,51792,0
2023-04-20T00:00:00+0530,350.55,357,349.75,355.3,75206,0
2023-04-21T00:00:00+0530,356.7,367.45,349,350.15,208038,0
2023-04-24T00:00:00+0530,351,354.55,345.6,349.1,121064,0
2023-04-25T00:00:00+0530,350.9,352,345.55,348.7,53014,0
2023-04-26T00:00:00+0530,349.1,355.05,348.65,350.35,67203,0
2023-04-27T00:00:00+0530,350.35,354.9,349,353,72834,0
2023-04-28T00:00:00+0530,356,357.95,349.5,355.65,71302,0
2023-05-02T00:00:00+0530,355.5,376,354.1,368.55,460246,0
2023-05-03T00:00:00+0530,370.45,371.9,362.55,365.8,129361,0
2023-05-04T00:00:00+0530,368.4,369.55,359.65,367,83552,0
2023-05-05T00:00:00+0530,366,368.75,360.1,362.55,77730,0
2023-05-08T00:00:00+0530,366.7,398,363.55,395,1360659,0
2023-05-09T00:00:00+0530,396.9,406,387.1,393.05,889180,0
2023-05-10T00:00:00+0530,390,394.55,384.1,388.5,226879,0
2023-05-11T00:00:00+0530,388.5,394.9,385,389.9,188864,0
2023-05-12T00:00:00+0530,391,400,385,399.05,296858,0
2023-05-15T00:00:00+0530,399.05,424.9,395.8,415.9,896153,0
