date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1959,2005,1949.05,1996.45,20663,0
2023-01-03T00:00:00+0530,2028.95,2038.35,1962.5,2020.05,25197,0
2023-01-04T00:00:00+0530,2010,2034.55,1986.4,2019.5,10449,0
2023-01-05T00:00:00+0530,2023.3,2095.4,2007.95,2073.6,26136,0
2023-01-06T00:00:00+0530,2096.6,2096.6,2019,2030.05,12552,0
2023-01-09T00:00:00+0530,2040.25,2048.25,1991,1997.7,7132,0
2023-01-10T00:00:00+0530,1992,2016.6,1959.65,1972.9,7937,0
2023-01-11T00:00:00+0530,1982.8,1992.6,1960,1963.85,6930,0
2023-01-12T00:00:00+0530,1960.2,1971.2,1940,1943.2,10751,0
2023-01-13T00:00:00+0530,1935.5,1979.95,1886.4,1922.2,14164,0
2023-01-16T00:00:00+0530,1923.05,1945.4,1918,1930.55,5272,0
2023-01-17T00:00:00+0530,1923.8,1957,1923.8,1940.95,5394,0
2023-01-18T00:00:00+0530,1933,1953.5,1925,1934.75,6602,0
2023-01-19T00:00:00+0530,1920.1,1955,1915.5,1948,4302,0
2023-01-20T00:00:00+0530,1957.75,1980,1938.35,1964.4,7763,0
2023-01-23T00:00:00+0530,1964.4,1993.95,1948.75,1981.1,5759,0
2023-01-24T00:00:00+0530,1969.9,2020,1969.9,1998.35,13718,0
2023-01-25T00:00:00+0530,2000,2011.9,1952.55,1989.55,6540,0
2023-01-27T00:00:00+0530,1990.75,2010,1940.55,1999.8,9174,0
2023-01-30T00:00:00+0530,2001.25,2119,2001.25,2092.3,89401,0
2023-01-31T00:00:00+0530,2071.55,2249,2071.55,2220.4,125837,0
2023-02-01T00:00:00+0530,2259.4,2329.95,2212.1,2256,59978,0
2023-02-02T00:00:00+0530,2256,2329,2235.35,2291.1,29246,0
2023-02-03T00:00:00+0530,2271,2385.95,2236.75,2351.1,52719,0
2023-02-06T00:00:00+0530,2437,2437,2250.65,2307.7,32049,0
2023-02-07T00:00:00+0530,2313,2318.35,2185.4,2208.7,42060,0
2023-02-08T00:00:00+0530,2200.05,2250,2193.95,2220.7,31309,0
2023-02-09T00:00:00+0530,2215.85,2249.9,2183,2197.3,16397,0
2023-02-10T00:00:00+0530,2190,2203.75,2145.75,2154.15,24367,0
2023-02-13T00:00:00+0530,2120,2296.5,2060,2110.25,60614,0
2023-02-14T00:00:00+0530,2171.15,2200,2095.3,2108,115849,0
2023-02-15T00:00:00+0530,2135.95,2136.4,2076.95,2094.85,15279,0
2023-02-16T00:00:00+0530,2112.95,2152.95,2095,2105.2,43614,0
2023-02-17T00:00:00+0530,2115.75,2264.95,2090.1,2105.15,268793,0
2023-02-20T00:00:00+0530,2150.95,2213,2095.3,2103.45,87749,0
2023-02-21T00:00:00+0530,2135,2229,2114,2204.8,249423,0
2023-02-22T00:00:00+0530,2251.05,2295,2231.1,2274.7,201163,0
2023-02-23T00:00:00+0530,2265,2299,2175,2183.05,44408,0
2023-02-24T00:00:00+0530,2180,2214.3,2160,2182.85,51940,0
2023-02-27T00:00:00+0530,2193.8,2206.15,2094.9,2106.7,46577,0
2023-02-28T00:00:00+0530,2165.7,2224.9,2036.55,2187,111876,0
2023-03-01T00:00:00+0530,2172.6,2205.35,2141,2153.8,25263,0
2023-03-02T00:00:00+0530,2150,2171.6,2132,2152.6,15733,0
2023-03-03T00:00:00+0530,2171.15,2200,2164.4,2186.9,13782,0
2023-03-06T00:00:00+0530,2205.9,2213.15,2134.85,2147.6,22889,0
2023-03-08T00:00:00+0530,2168.4,2171.25,2121.05,2140.75,35829,0
2023-03-09T00:00:00+0530,2151.5,2224,2150,2175.75,27631,0
2023-03-10T00:00:00+0530,2175.05,2210,2152.55,2199.05,14553,0
2023-03-13T00:00:00+0530,2200,2220,2160.35,2192,20761,0
2023-03-14T00:00:00+0530,2199,2202.9,2095,2132.75,26076,0
2023-03-15T00:00:00+0530,2154,2171.35,2101.25,2123.7,15238,0
2023-03-16T00:00:00+0530,2123.95,2125.9,2059.9,2087.25,15077,0
2023-03-17T00:00:00+0530,2105.2,2129.1,2054.05,2103.7,20841,0
2023-03-20T00:00:00+0530,2070,2186.95,2007.4,2090.95,11866,0
2023-03-21T00:00:00+0530,2099.95,2140,2077.75,2126.05,26946,0
2023-03-22T00:00:00+0530,2126.05,2126.05,2081.05,2086.25,7630,0
2023-03-23T00:00:00+0530,2080,2099,2042.8,2084.55,14913,0
2023-03-24T00:00:00+0530,2064,2092,2042.5,2067.75,21418,0
2023-03-27T00:00:00+0530,2086.55,2086.55,2031.5,2043.15,16426,0
2023-03-28T00:00:00+0530,2053.4,2060.95,1968,1992.8,26155,0
2023-03-29T00:00:00+0530,2002.8,2033.55,1916.05,1934.3,87724,0
2023-03-31T00:00:00+0530,1960,2005,1937.95,1981.85,41764,0
2023-04-03T00:00:00+0530,1981,1994.5,1923.5,1980.5,56561,0
2023-04-05T00:00:00+0530,1990,2036,1985.2,2024.4,38857,0
2023-04-06T00:00:00+0530,2042.6,2049,1990.8,2023.75,22707,0
2023-04-10T00:00:00+0530,2025.6,2084.75,2025.6,2065,68788,0
2023-04-11T00:00:00+0530,2076.3,2111,2060,2097.45,21295,0
2023-04-12T00:00:00+0530,2107.95,2130.95,2086.05,2092.15,79277,0
2023-04-13T00:00:00+0530,2111,2111,2059,2086.95,46134,0
2023-04-17T00:00:00+0530,2086.95,2150,2079.35,2127.1,41948,0
2023-04-18T00:00:00+0530,2135.55,2169,2109.25,2128.95,15627,0
2023-04-19T00:00:00+0530,2131.5,2148.55,2115,2130.75,15083,0
2023-04-20T00:00:00+0530,2134.95,2164.95,2134,2149.4,20615,0
2023-04-21T00:00:00+0530,2151.7,2250,2121,2178.6,27717,0
2023-04-24T00:00:00+0530,2178.6,2222.1,2144,2155.05,34237,0
2023-04-25T00:00:00+0530,2160,2180.8,2141,2151.25,20288,0
2023-04-26T00:00:00+0530,2165,2181.8,2142.1,2161.35,27833,0
2023-04-27T00:00:00+0530,2161,2172.1,2147.2,2159.4,8303,0
2023-04-28T00:00:00+0530,2165.25,2172.35,2145,2149.7,19528,0
2023-05-02T00:00:00+0530,2169.05,2174.85,2148.7,2162.35,16312,0
2023-05-03T00:00:00+0530,2162,2222,2150,2196.15,18817,0
2023-05-04T00:00:00+0530,2199.65,2215.9,2170,2180.1,10367,0
2023-05-05T00:00:00+0530,2176,2199.95,2158,2190.85,10371,0
2023-05-08T00:00:00+0530,2190.95,2235.65,2180.8,2198.45,31365,0
2023-05-09T00:00:00+0530,2207.2,2280,2201.15,2266.8,26599,0
2023-05-10T00:00:00+0530,2271.05,2290,2225,2239.75,18089,0
2023-05-11T00:00:00+0530,2528,2528,2372,2389.3,773507,0
2023-05-12T00:00:00+0530,2397,2410,2341.55,2355.8,75143,0
2023-05-15T00:00:00+0530,2378.1,2405,2332.5,2352.6,59291,0
2023-05-16T00:00:00+0530,2352.6,2395,2310.2,2350.25,56024,0
2023-05-17T00:00:00+0530,2354,2382.85,2330,2352.7,28471,0
2023-05-18T00:00:00+0530,2371.65,2385,2355.1,2367.45,29382,0
2023-05-19T00:00:00+0530,2374.75,2374.75,2343,2353.45,12256,0
2023-05-22T00:00:00+0530,2340,2374.65,2325,2351.55,15395,0
2023-05-23T00:00:00+0530,2351.55,2380,2337,2372.3,16561,0
2023-05-24T00:00:00+0530,2363.05,2379.4,2285,2300.5,92391,0
2023-05-25T00:00:00+0530,2309.9,2341.1,2288.45,2312.25,12612,0
2023-05-26T00:00:00+0530,2329.8,2334.9,2289.25,2327.5,17377,0
2023-05-29T00:00:00+0530,2340.8,2358.4,2324.75,2345.6,18852,0
2023-05-30T00:00:00+0530,2345.6,2357.35,2315.3,2325.1,7374,0
2023-05-31T00:00:00+0530,2305.05,2330.5,2291,2313,19661,0
2023-06-01T00:00:00+0530,2324.6,2340,2291.05,2299.65,63008,0
2023-06-02T00:00:00+0530,2320.35,2340,2292.1,2300.8,25166,0
2023-06-05T00:00:00+0530,2315.05,2339.9,2308.25,2317.55,32857,0
2023-06-06T00:00:00+0530,2330.6,2341.05,2308.95,2321.2,15544,0
2023-06-07T00:00:00+0530,2337.25,2342.5,2313.65,2338.3,24689,0
2023-06-08T00:00:00+0530,2338.3,2359.35,2330.1,2349.8,19360,0
2023-06-09T00:00:00+0530,2361.25,2362,2336.6,2359.3,35362,0
2023-06-12T00:00:00+0530,2370,2375,2290,2301.85,78415,0
2023-06-13T00:00:00+0530,2301.85,2322.05,2262,2307,31970,0
2023-06-14T00:00:00+0530,2319.45,2340,2301,2338.25,26024,0
2023-06-15T00:00:00+0530,2338,2342.85,2290,2301.65,37739,0
2023-06-16T00:00:00+0530,2301.7,2335.15,2281.5,2328.9,19885,0
2023-06-19T00:00:00+0530,2326.1,2340.95,2306.1,2326,15949,0
2023-06-20T00:00:00+0530,2326,2340.8,2305,2327.55,9889,0
2023-06-21T00:00:00+0530,2322.2,2340.25,2310.05,2335,10495,0
2023-06-22T00:00:00+0530,2332.65,2350,2312.6,2334.05,18791,0
2023-06-23T00:00:00+0530,2330,2339.9,2315,2333.35,10576,0
2023-06-26T00:00:00+0530,2335.65,2345.05,2327.45,2339.95,24900,0
2023-06-27T00:00:00+0530,2343.7,2444.95,2269.55,2296.9,136333,0
2023-06-28T00:00:00+0530,2319.85,2362.75,2265.5,2276.4,191903,0
2023-06-30T00:00:00+0530,2286.25,2300,2262.05,2272.2,22181,0
2023-07-03T00:00:00+0530,2286.05,2332.2,2267.2,2310,34423,0
2023-07-04T00:00:00+0530,2329.8,2374.9,2304.05,2342.45,35478,0
2023-07-05T00:00:00+0530,2362,2393,2343,2377.55,23775,0
2023-07-06T00:00:00+0530,2385,2462.35,2311,2393.35,85806,0
2023-07-07T00:00:00+0530,2357,2434.2,2352,2411.45,22688,0
2023-07-10T00:00:00+0530,2423,2433.45,2367,2384.75,14616,0
2023-07-11T00:00:00+0530,2387,2430,2384.75,2423.1,11974,0
2023-07-12T00:00:00+0530,2422,2458.75,2419.35,2428.7,23048,0
2023-07-13T00:00:00+0530,2468,2475,2397,2419.1,28509,0
2023-07-14T00:00:00+0530,2431.2,2449,2402.55,2443.2,10582,0
2023-07-17T00:00:00+0530,2450.8,2667,2450.8,2628.05,206591,0
2023-07-18T00:00:00+0530,2608.95,2630.8,2555,2566.6,42744,0
2023-07-19T00:00:00+0530,2584,2649.45,2571.05,2616.8,31534,0
2023-07-20T00:00:00+0530,2606.95,2620,2542.35,2582.1,21383,0
2023-07-21T00:00:00+0530,2574,2610,2558.3,2608.35,12096,0
2023-07-24T00:00:00+0530,2608.35,2630,2525.25,2564.7,25624,0
2023-07-25T00:00:00+0530,2564.6,2600,2539.15,2566.15,22028,0
2023-07-26T00:00:00+0530,2566,2573.5,2540.05,2554.05,24781,0
2023-07-27T00:00:00+0530,2559,2596.45,2551.05,2591.1,23901,0
2023-07-28T00:00:00+0530,2600.85,2614.45,2573.7,2594.15,16506,0
2023-07-31T00:00:00+0530,2590,2690,2590,2673.7,80990,0
2023-08-01T00:00:00+0530,2673.7,2697,2630,2650.35,32680,0
2023-08-02T00:00:00+0530,2650.25,2663.65,2571.25,2603.95,17434,0
2023-08-03T00:00:00+0530,2600,2610,2500.1,2517.95,18498,0
2023-08-04T00:00:00+0530,2500,2598,2492.35,2581,16111,0
2023-08-07T00:00:00+0530,2581,2624.55,2567.9,2612.25,12436,0
2023-08-08T00:00:00+0530,2612.25,2625.2,2590,2598.7,11265,0
2023-08-09T00:00:00+0530,2598.7,2627.05,2533.55,2578.2,10430,0
2023-08-10T00:00:00+0530,2580,2668.95,2580,2620.85,33334,0
2023-08-11T00:00:00+0530,2633,2633,2592.15,2619.55,7618,0
2023-08-14T00:00:00+0530,2622,2670,2605.05,2665.3,24023,0
2023-08-16T00:00:00+0530,2668.05,2675,2612.15,2618.6,13043,0
2023-08-17T00:00:00+0530,2620,2625.8,2572,2594.1,13700,0
2023-08-18T00:00:00+0530,2594.6,2628,2561,2608.75,15908,0
2023-08-21T00:00:00+0530,2608.75,2608.75,2544.1,2579.2,35680,0
2023-08-22T00:00:00+0530,2579.2,2608.95,2548.65,2603.15,45200,0
2023-08-23T00:00:00+0530,2626,2630,2587,2600.4,11400,0
2023-08-24T00:00:00+0530,2601.9,2609.8,2506.1,2546.8,28396,0
2023-08-25T00:00:00+0530,2534.25,2566,2522,2557.6,9193,0
2023-08-28T00:00:00+0530,2558,2590,2546.7,2579.6,21417,0
2023-08-29T00:00:00+0530,2590.9,2592.5,2561.1,2580.6,26360,0
2023-08-30T00:00:00+0530,2590,2621,2578.35,2615.6,27928,0
2023-08-31T00:00:00+0530,2621,2659.9,2585,2642.3,27763,0
2023-09-01T00:00:00+0530,2642.3,2660.2,2582.9,2593.7,19168,0
2023-09-04T00:00:00+0530,2610,2775,2600.1,2729.75,93466,0
2023-09-05T00:00:00+0530,2765.25,2777.85,2683.25,2705.35,28754,0
2023-09-06T00:00:00+0530,2731,2731.4,2692.55,2719.15,11946,0
2023-09-07T00:00:00+0530,2737,2750,2688,2744.75,22905,0
2023-09-08T00:00:00+0530,2745,2765,2676.55,2728.95,42585,0
2023-09-11T00:00:00+0530,2729.8,2803.6,2708.95,2787.3,31336,0
2023-09-12T00:00:00+0530,2785,2785,2634.05,2740.6,22428,0
2023-09-13T00:00:00+0530,2731.1,2747.5,2656.6,2674.2,11268,0
2023-09-14T00:00:00+0530,2686.95,2766.05,2671,2736.05,13089,0
2023-09-15T00:00:00+0530,2736.05,2749.7,2667.15,2684.65,12500,0
2023-09-18T00:00:00+0530,2709,2709,2635,2677.6,27364,0
2023-09-20T00:00:00+0530,2690,2690,2625.9,2658.65,10441,0
2023-09-21T00:00:00+0530,2646.85,2698.45,2590,2598.45,79733,0
2023-09-22T00:00:00+0530,2577.1,2673.95,2525,2600,50914,0
2023-09-25T00:00:00+0530,2641,2641,2531,2546.25,14800,0
2023-09-26T00:00:00+0530,2535,2588,2532.8,2571.45,17626,0
2023-09-27T00:00:00+0530,2594.6,2594.6,2550,2557.7,8160,0
2023-09-28T00:00:00+0530,2558.7,2585,2510.15,2543.35,11378,0
2023-09-29T00:00:00+0530,2555.05,2616,2530.25,2600.75,16310,0
2023-10-03T00:00:00+0530,2617.9,2635,2565.3,2613.5,32029,0
2023-10-04T00:00:00+0530,2592.15,2626,2560,2602.1,17367,0
2023-10-05T00:00:00+0530,2601,2607.6,2578.8,2585.4,14887,0
2023-10-06T00:00:00+0530,2585.05,2620,2564.55,2609.2,9339,0
2023-10-09T00:00:00+0530,2536.55,2608.45,2525.25,2603.05,15984,0
2023-10-10T00:00:00+0530,2603.05,2631.45,2580,2623.2,15806,0
2023-10-11T00:00:00+0530,2633.95,2649,2594.7,2617.5,11432,0
2023-10-12T00:00:00+0530,2590,2645,2590,2618,10252,0
2023-10-13T00:00:00+0530,2603,2670.5,2587.65,2629.35,20969,0
2023-10-16T00:00:00+0530,2628.05,2658.1,2603.5,2612.9,19275,0
