date,open,high,low,close,volume,empty
2023-10-31T00:00:00+0530,59,61.95,56.05,61.1,4995000,0
2023-11-01T00:00:00+0530,63,63,59.8,62.05,603000,0
2023-11-02T00:00:00+0530,60.55,61.45,59.1,59.15,552000,0
2023-11-03T00:00:00+0530,58.8,58.8,56.4,56.45,297000,0
2023-11-06T00:00:00+0530,55.45,55.7,53.8,54.35,324000,0
2023-11-07T00:00:00+0530,54,57.05,53,57.05,195000,0
2023-11-08T00:00:00+0530,59.25,59.9,58,59.9,165000,0
2023-11-09T00:00:00+0530,62,62.75,59.9,60.2,165000,0
2023-11-10T00:00:00+0530,60.2,60.2,57.7,58.15,33000,0
2023-11-12T00:00:00+0530,55.25,57.5,55.25,56.45,75000,0
2023-11-13T00:00:00+0530,56.15,57.25,54.85,57.25,21000,0
2023-11-15T00:00:00+0530,57.55,57.75,55,55.5,51000,0
2023-11-16T00:00:00+0530,53,55,52.8,53.65,51000,0
2023-11-17T00:00:00+0530,53.25,58,52.95,55.85,165000,0
2023-11-20T00:00:00+0530,55.85,56.8,55,55.85,48000,0
2023-11-21T00:00:00+0530,56.95,56.95,54.8,55,45000,0
2023-11-22T00:00:00+0530,56,56,54.5,54.7,30000,0
2023-11-23T00:00:00+0530,54.7,54.7,52.65,53.55,33000,0
2023-11-24T00:00:00+0530,54,54,52.3,52.75,66000,0
2023-11-28T00:00:00+0530,53,53,51.25,51.3,72000,0
2023-11-29T00:00:00+0530,51.25,51.25,49.05,49.6,102000,0
2023-11-30T00:00:00+0530,48.2,48.3,46.55,47.15,96000,0
2023-12-01T00:00:00+0530,47.5,47.5,45.05,47.5,63000,0
2023-12-04T00:00:00+0530,49.15,49.15,47.75,47.75,15000,0
2023-12-05T00:00:00+0530,47.6,52,47.6,50,171000,0
2023-12-06T00:00:00+0530,50,50,47.6,47.8,18000,0
2023-12-07T00:00:00+0530,47,49,47,48.05,30000,0
2023-12-08T00:00:00+0530,50.85,50.85,47.65,47.9,27000,0
2023-12-11T00:00:00+0530,47.55,48.6,47.4,47.4,27000,0
2023-12-12T00:00:00+0530,47.4,51,47.4,49.05,159000,0
2023-12-13T00:00:00+0530,49.2,50,48,49,78000,0
2023-12-14T00:00:00+0530,48,49.9,48,48.1,24000,0
