date,open,high,low,close,volume,empty
2023-01-03T00:00:00+0530,34.55,34.55,34.55,34.55,4000,0
2023-01-05T00:00:00+0530,36.2,36.25,33.35,36.25,16000,0
2023-01-06T00:00:00+0530,38,38.05,38,38.05,8000,0
2023-01-09T00:00:00+0530,39.95,39.95,39.95,39.95,8000,0
2023-01-10T00:00:00+0530,41.9,41.9,41.9,41.9,4000,0
2023-01-11T00:00:00+0530,40.3,40.3,40.3,40.3,4000,0
2023-01-18T00:00:00+0530,39,39,39,39,4000,0
2023-01-20T00:00:00+0530,40.95,40.95,40.95,40.95,8000,0
2023-01-23T00:00:00+0530,42.95,42.95,42,42.95,36000,0
2023-01-24T00:00:00+0530,41.5,45,41.5,44.8,16000,0
2023-01-25T00:00:00+0530,43.25,43.25,42.6,42.6,12000,0
2023-01-27T00:00:00+0530,40.5,40.5,40.5,40.5,4000,0
2023-01-30T00:00:00+0530,39,40,39,40,8000,0
2023-01-31T00:00:00+0530,41.95,42,41.95,42,12000,0
2023-02-01T00:00:00+0530,43.85,44.1,43.1,43.1,32000,0
2023-02-02T00:00:00+0530,45.25,45.25,45.2,45.25,16000,0
2023-02-03T00:00:00+0530,43.7,43.7,43.6,43.65,16000,0
2023-02-08T00:00:00+0530,44,44,44,44,4000,0
2023-02-09T00:00:00+0530,42.8,42.8,41.8,42.4,12000,0
2023-02-10T00:00:00+0530,41.05,41.05,41.05,41.05,4000,0
2023-02-13T00:00:00+0530,39.7,39.7,39.7,39.7,4000,0
2023-02-14T00:00:00+0530,40,40,38.9,38.9,12000,0
2023-02-15T00:00:00+0530,38.1,38.1,37.65,37.65,8000,0
2023-02-16T00:00:00+0530,39.5,39.5,38.65,38.65,8000,0
2023-02-17T00:00:00+0530,40.55,40.55,39.65,39.65,8000,0
2023-02-21T00:00:00+0530,41.5,41.6,41.5,41.6,12000,0
2023-02-22T00:00:00+0530,43.65,43.65,43.65,43.65,4000,0
2023-02-24T00:00:00+0530,42.1,42.1,42.1,42.1,4000,0
2023-03-06T00:00:00+0530,40.6,41.6,40.6,41.6,8000,0
2023-03-14T00:00:00+0530,43,43,43,43,12000,0
2023-03-15T00:00:00+0530,41.4,41.4,40.85,40.85,12000,0
2023-03-17T00:00:00+0530,39.3,39.3,38.8,38.8,16000,0
2023-03-21T00:00:00+0530,40.7,40.7,40.7,40.7,4000,0
2023-03-31T00:00:00+0530,39.25,39.25,39.25,39.25,4000,0
2023-04-03T00:00:00+0530,39,39,39,39,4000,0
2023-04-12T00:00:00+0530,37.6,37.6,37.6,37.6,4000,0
2023-04-13T00:00:00+0530,39.45,39.45,39.45,39.45,4000,0
2023-04-18T00:00:00+0530,41.4,41.4,41.4,41.4,4000,0
2023-04-19T00:00:00+0530,40,41,39.35,41,16000,0
2023-04-20T00:00:00+0530,39.6,40.6,39.2,39.6,16000,0
2023-04-21T00:00:00+0530,39,39,38.2,38.2,8000,0
2023-04-24T00:00:00+0530,40.1,40.1,40.1,40.1,8000,0
2023-04-25T00:00:00+0530,42.1,42.1,42.1,42.1,8000,0
2023-04-26T00:00:00+0530,41.2,41.2,41.2,41.2,4000,0
2023-04-28T00:00:00+0530,42.5,42.5,42.5,42.5,8000,0
2023-05-03T00:00:00+0530,42.1,44.6,42.1,44.6,52000,0
2023-05-04T00:00:00+0530,45,46.6,45,46.1,16000,0
2023-05-05T00:00:00+0530,43.8,43.8,43.8,43.8,4000,0
2023-05-08T00:00:00+0530,42.3,42.3,42.3,42.3,4000,0
2023-05-09T00:00:00+0530,44.4,44.4,43.45,43.45,8000,0
2023-05-10T00:00:00+0530,42.05,42.05,41.85,41.85,8000,0
2023-05-15T00:00:00+0530,43.9,43.9,42.9,42.9,8000,0
2023-05-17T00:00:00+0530,41.4,41.4,41.4,41.4,4000,0
2023-05-22T00:00:00+0530,40,40,40,40,4000,0
2023-05-23T00:00:00+0530,42,42,39,39,48000,0
2023-05-24T00:00:00+0530,40.5,40.95,40.5,40.5,12000,0
2023-05-29T00:00:00+0530,42.5,42.5,42.5,42.5,12000,0
2023-05-30T00:00:00+0530,42.6,42.6,42.6,42.6,20000,0
2023-05-31T00:00:00+0530,42.7,42.7,42.7,42.7,20000,0
2023-06-02T00:00:00+0530,44.4,44.8,44.4,44.8,20000,0
2023-06-05T00:00:00+0530,47,47,42.6,44.65,56000,0
2023-06-06T00:00:00+0530,43.9,45.5,42.45,42.65,96000,0
2023-06-07T00:00:00+0530,43,43.5,41.85,42.4,20000,0
2023-06-08T00:00:00+0530,40.8,44.5,40.8,44.1,40000,0
2023-06-09T00:00:00+0530,44.1,44.1,44.1,44.1,4000,0
2023-06-12T00:00:00+0530,45.9,46.3,45.9,46.3,24000,0
2023-06-13T00:00:00+0530,48.5,48.6,48.5,48.6,32000,0
2023-06-14T00:00:00+0530,51,51,46.25,47.15,64000,0
2023-06-15T00:00:00+0530,46.65,49.5,46.65,49.5,80000,0
2023-06-16T00:00:00+0530,49.5,51.95,49.5,51.95,64000,0
2023-06-19T00:00:00+0530,54.5,54.5,49.5,51.95,96000,0
2023-06-20T00:00:00+0530,54.5,54.5,54.5,54.5,56000,0
2023-06-21T00:00:00+0530,57.1,57.2,54.05,54.05,60000,0
2023-06-22T00:00:00+0530,54.05,56.75,54.05,56.75,36000,0
2023-06-23T00:00:00+0530,54.7,54.7,54.7,54.7,4000,0
2023-06-26T00:00:00+0530,56.95,57.4,52.25,54.35,80000,0
2023-06-27T00:00:00+0530,55,57.05,55,57.05,40000,0
2023-06-28T00:00:00+0530,56.05,59.9,56.05,59.9,28000,0
2023-06-30T00:00:00+0530,62.85,62.85,57,60.3,108000,0
