date,open,high,low,close,volume,empty
2024-08-08T00:00:00+0530,499.5,509,475.5,491,11510,0
2024-08-09T00:00:00+0530,500,582.5,499.5,545.8,139980,0
2024-08-12T00:00:00+0530,562.5,565,535,547.4,31196,0
2024-08-13T00:00:00+0530,545.55,554,526,536.35,19690,0
2024-08-14T00:00:00+0530,544.4,544.4,497,503.8,39968,0
2024-08-16T00:00:00+0530,514.95,550,493.6,542,64598,0
2024-08-19T00:00:00+0530,555,574,528,567.9,44666,0
2024-08-20T00:00:00+0530,569.95,569.95,550,562.5,16094,0
2024-08-21T00:00:00+0530,569,569,536.25,559.75,39604,0
2024-08-22T00:00:00+0530,569.95,569.95,551,555.1,30702,0
2024-08-23T00:00:00+0530,560,569.95,545,560.9,27282,0
2024-08-26T00:00:00+0530,569.5,609.5,551.5,593.45,113816,0
2024-08-27T00:00:00+0530,620,620,594.75,604.1,45376,0
2024-08-28T00:00:00+0530,613.2,615,590.5,592.7,22888,0
2024-08-29T00:00:00+0530,598.65,611,591,597.25,21788,0
2024-08-30T00:00:00+0530,590.25,614.85,585.5,610.1,33648,0
2024-09-02T00:00:00+0530,610.1,614.4,577,581.95,49662,0
2024-09-03T00:00:00+0530,582.5,589,562.4,567.9,39658,0
2024-09-04T00:00:00+0530,559.4,583.4,557.5,575.5,41854,0
2024-09-05T00:00:00+0530,578.4,579,560,566.6,24468,0
2024-09-06T00:00:00+0530,566.8,579.95,561.5,575.45,36496,0
2024-09-09T00:00:00+0530,579.95,579.95,560.4,577.5,22764,0
2024-09-10T00:00:00+0530,579.9,629.2,578.3,594.9,108142,0
2024-09-11T00:00:00+0530,597.85,615.35,570,578,28796,0
2024-09-12T00:00:00+0530,577.5,595.3,577.5,590.5,11664,0
2024-09-13T00:00:00+0530,586.5,586.5,569.7,573.6,22778,0
2024-09-16T00:00:00+0530,562.75,588.3,561,571.3,30702,0
2024-09-17T00:00:00+0530,574,581.35,564.5,576.6,8838,0
2024-09-18T00:00:00+0530,570.6,575,560,570.2,45728,0
2024-09-19T00:00:00+0530,572.5,578.9,553.5,562.7,38280,0
2024-09-20T00:00:00+0530,562.5,571.4,544.3,553.95,21574,0
2024-09-23T00:00:00+0530,558.8,562.3,541,547.05,21342,0
2024-09-24T00:00:00+0530,538.85,545.7,530.5,533.55,8532,0
2024-09-25T00:00:00+0530,533.55,537.05,515.05,522,24868,0
2024-09-26T00:00:00+0530,520,540.5,507.9,529.6,24400,0
2024-09-27T00:00:00+0530,530.4,563.1,516.3,546.6,63236,0
2024-09-30T00:00:00+0530,547.5,562,522.5,534.6,30002,0
2024-10-01T00:00:00+0530,545.3,565,540.25,558.7,35260,0
2024-10-03T00:00:00+0530,535,558,533.3,543.1,15442,0
2024-10-04T00:00:00+0530,537.7,553.7,530.15,543.7,16354,0
2024-10-07T00:00:00+0530,545,545.2,512.1,520.55,31732,0
2024-10-08T00:00:00+0530,510.7,569.95,504.1,562.9,99526,0
2024-10-09T00:00:00+0530,571.4,575.3,562,570,21504,0
2024-10-10T00:00:00+0530,569.6,578.95,548.75,557.15,14814,0
2024-10-11T00:00:00+0530,552.65,624.75,550.85,603.4,202672,0
2024-10-14T00:00:00+0530,621,635.75,589.5,611,106932,0
2024-10-15T00:00:00+0530,609.55,624.5,599,614.7,44316,0
2024-10-16T00:00:00+0530,620.25,623.2,601.1,610.4,35628,0
2024-10-17T00:00:00+0530,616,695,609.8,664.85,288106,0
2024-10-18T00:00:00+0530,671.5,707.5,605.1,630.55,397156,0
2024-10-21T00:00:00+0530,648.4,694.5,627.75,678.9,237592,0
2024-10-22T00:00:00+0530,684.9,694.5,634,639.1,72560,0
2024-10-23T00:00:00+0530,648.7,676,625.5,655.4,53062,0
2024-10-24T00:00:00+0530,665.2,665.2,640,658.6,29458,0
2024-10-25T00:00:00+0530,665.5,666,615.8,659.15,45394,0
2024-10-28T00:00:00+0530,664,668.7,638.8,649.8,26936,0
2024-10-29T00:00:00+0530,667.5,667.5,625.6,634.6,26222,0
2024-10-30T00:00:00+0530,634.6,647.95,626.2,642.95,22538,0
2024-10-31T00:00:00+0530,649.9,659.5,643.35,658.1,12410,0
2024-11-01T00:00:00+0530,658.75,687.5,651.15,676.45,27964,0
2024-11-04T00:00:00+0530,680,680,654.2,662.6,23702,0
2024-11-05T00:00:00+0530,655.95,720,655.95,712.4,152748,0
2024-11-06T00:00:00+0530,716,783.2,714.5,768,245658,0
2024-11-07T00:00:00+0530,791.9,800,751.2,792.4,131658,0
2024-11-08T00:00:00+0530,795,824.5,766.25,787.2,148246,0
2024-11-11T00:00:00+0530,796.65,824.5,770,818.8,133748,0
2024-11-12T00:00:00+0530,835.2,889.5,799.6,821,200052,0
2024-11-13T00:00:00+0530,807.6,840.6,791.6,810.9,88288,0
2024-11-14T00:00:00+0530,815,832,805,816.5,60488,0
2024-11-18T00:00:00+0530,815.5,832.5,776.85,782,77598,0
2024-11-19T00:00:00+0530,782,825,770,803.15,100660,0
2024-11-21T00:00:00+0530,806.5,812.5,785.5,789.9,43968,0
2024-11-22T00:00:00+0530,795.2,827.5,776.7,822.6,70474,0
2024-11-25T00:00:00+0530,839.1,864.75,822.5,843.35,71354,0
2024-11-26T00:00:00+0530,849.5,850,820,825.45,52912,0
2024-11-27T00:00:00+0530,840.5,842.5,824,830.15,74108,0
2024-11-28T00:00:00+0530,835,836.6,770.6,781.4,162188,0
2024-11-29T00:00:00+0530,792.05,799,733,741.25,142214,0
2024-12-02T00:00:00+0530,735,775.8,719,765.9,119679,0
2024-12-03T00:00:00+0530,755.05,765.9,740.1,748.45,66394,0
2024-12-04T00:00:00+0530,751.65,755,704.2,706.75,110059,0
2024-12-05T00:00:00+0530,706,732,702.05,724.7,70380,0
2024-12-06T00:00:00+0530,726,734.95,705.05,725.3,55164,0
2024-12-09T00:00:00+0530,722.1,739.45,715,728.8,50177,0
2024-12-10T00:00:00+0530,729,733,705,712.5,41295,0
2024-12-11T00:00:00+0530,712.5,714.95,682.95,697,54868,0
2024-12-12T00:00:00+0530,686.55,697.85,682.05,686.15,24040,0
2024-12-13T00:00:00+0530,682.05,697,652.35,679.35,55172,0
2024-12-16T00:00:00+0530,680,712.55,678.95,706.65,47018,0
2024-12-17T00:00:00+0530,714.95,718,696,706.9,32097,0
2024-12-18T00:00:00+0530,702.9,718.25,690,712.15,45917,0
2024-12-19T00:00:00+0530,696.05,736,671.75,730.55,74553,0
2024-12-20T00:00:00+0530,731,732,704.95,711.65,56347,0
2024-12-23T00:00:00+0530,712,721.95,701.4,708.2,40535,0
2024-12-24T00:00:00+0530,718,767.8,714.05,724.55,176172,0
2024-12-26T00:00:00+0530,724.55,745,702.55,710.95,40823,0
2024-12-27T00:00:00+0530,710.5,714.85,696.3,702.5,36293,0
2024-12-30T00:00:00+0530,701.6,701.6,672.8,687.45,20991,0
2024-12-31T00:00:00+0530,688.05,719.8,675,714.1,46109,0
2025-01-01T00:00:00+0530,714.5,768,703.1,742.45,56205,0
2025-01-02T00:00:00+0530,742.45,773.9,724,764.4,60202,0
2025-01-03T00:00:00+0530,760.95,760.95,740.5,746.8,52033,0
2025-01-06T00:00:00+0530,746,748.1,701,710.65,33080,0
2025-01-07T00:00:00+0530,710.05,752.65,704.6,738.45,69034,0
2025-01-08T00:00:00+0530,738.05,758.95,726.8,739.25,75980,0
2025-01-09T00:00:00+0530,738,747.8,726.6,730.3,24655,0
2025-01-10T00:00:00+0530,735,735.05,684.7,695.65,46501,0
2025-01-13T00:00:00+0530,700.1,700.25,634.55,651.8,82399,0
2025-01-14T00:00:00+0530,646,670.6,640.25,662.25,57538,0
2025-01-15T00:00:00+0530,662.35,678.2,655,664.85,18227,0
2025-01-16T00:00:00+0530,668,677,651,653.1,41074,0
2025-01-17T00:00:00+0530,653.05,653.05,611.4,629.6,67982,0
2025-01-20T00:00:00+0530,629.6,647.95,601,625.5,123682,0
2025-01-21T00:00:00+0530,635.5,685,610.35,624.3,433797,0
2025-01-22T00:00:00+0530,626.35,637.65,617.2,628.2,47438,0
2025-01-23T00:00:00+0530,628.2,633,616.25,623.3,20060,0
2025-01-24T00:00:00+0530,627,630.25,611.2,612.7,24360,0
2025-01-27T00:00:00+0530,612,614.2,572.05,578.7,44850,0
2025-01-28T00:00:00+0530,582,590,549.1,567.75,43350,0
2025-01-29T00:00:00+0530,555.6,594,555.6,569.5,59321,0
2025-01-30T00:00:00+0530,578.05,615.95,570.4,605.55,75076,0
2025-01-31T00:00:00+0530,605,605,587,598.85,36540,0
2025-02-01T00:00:00+0530,607.85,644,595.6,631.6,26769,0
2025-02-03T00:00:00+0530,626.45,626.45,593.55,604.1,33538,0
2025-02-04T00:00:00+0530,604.1,649.45,598,638.3,43738,0
2025-02-05T00:00:00+0530,637.5,657.95,622.45,645.8,27277,0
2025-02-06T00:00:00+0530,645,658.65,607.1,610.65,62133,0
2025-02-07T00:00:00+0530,605,609.85,592.9,597.5,31334,0
2025-02-10T00:00:00+0530,605,605,581,582.7,18886,0
2025-02-11T00:00:00+0530,581.6,600,561,584.6,21455,0
