date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,184.5,187.2,182,182.7,121076,0
2023-01-03T00:00:00+0530,182.8,189.5,182.8,188.5,111465,0
2023-01-04T00:00:00+0530,188,189.75,186.2,187.45,58417,0
2023-01-05T00:00:00+0530,187.1,189.5,184.95,187.5,63250,0
2023-01-06T00:00:00+0530,185.7,192.9,185.7,189.6,141265,0
2023-01-09T00:00:00+0530,191.75,191.75,186,186.9,74484,0
2023-01-10T00:00:00+0530,188,188.05,185.35,185.9,35211,0
2023-01-11T00:00:00+0530,186.8,189.4,186,187.2,41148,0
2023-01-12T00:00:00+0530,188.55,188.55,184.25,186.25,46005,0
2023-01-13T00:00:00+0530,185.5,187.5,180.65,182.3,186744,0
2023-01-16T00:00:00+0530,182.15,183.6,178,179.35,128324,0
2023-01-17T00:00:00+0530,179.65,181.7,178.65,180,59951,0
2023-01-18T00:00:00+0530,179,183.8,177.95,182.25,107701,0
2023-01-19T00:00:00+0530,177,179.8,172.55,177.85,175662,0
2023-01-20T00:00:00+0530,179.4,179.4,174.9,176.35,102496,0
2023-01-23T00:00:00+0530,179.8,179.8,173.95,175,200002,0
2023-01-24T00:00:00+0530,175,178,173.05,173.7,188849,0
2023-01-25T00:00:00+0530,175.45,175.45,171.15,171.8,79621,0
2023-01-27T00:00:00+0530,172.95,172.95,166,170.35,71228,0
2023-01-30T00:00:00+0530,171.55,174.05,165.9,168.1,71599,0
2023-01-31T00:00:00+0530,169.8,172,164,170.05,56547,0
2023-02-01T00:00:00+0530,170,174.2,166.05,168.4,82047,0
2023-02-02T00:00:00+0530,169.9,172.3,161,164.2,90342,0
2023-02-03T00:00:00+0530,164.6,167.45,159.1,162.8,55859,0
2023-02-06T00:00:00+0530,162,163.95,161,161.9,72596,0
2023-02-07T00:00:00+0530,163.9,164.45,161.95,162.55,45641,0
2023-02-08T00:00:00+0530,163,165.55,162,164,52755,0
2023-02-09T00:00:00+0530,164,169,162.6,165.95,43595,0
2023-02-10T00:00:00+0530,158.95,162.05,155.05,158.8,153569,0
2023-02-13T00:00:00+0530,161,161,156,157.3,53014,0
2023-02-14T00:00:00+0530,157.3,158.5,155.05,155.55,38990,0
2023-02-15T00:00:00+0530,156,157.55,155.05,155.55,43109,0
2023-02-16T00:00:00+0530,156.95,157.45,153.85,154.75,64042,0
2023-02-17T00:00:00+0530,156,156,153.65,153.85,34488,0
2023-02-20T00:00:00+0530,154.7,156.35,150.9,154.2,74010,0
2023-02-21T00:00:00+0530,155.95,155.95,150.3,152.95,44901,0
