date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,3.95,4.1,3.95,4,7490023,0
2023-01-03T00:00:00+0530,4.05,4.1,4,4,2754706,0
2023-01-04T00:00:00+0530,4.05,4.1,3.95,4,5064893,0
2023-01-05T00:00:00+0530,4,4,3.9,4,4918454,0
2023-01-06T00:00:00+0530,4,4.05,3.85,3.9,9566681,0
2023-01-09T00:00:00+0530,3.95,4,3.9,3.95,3673427,0
2023-01-10T00:00:00+0530,3.95,4,3.75,3.85,8105268,0
2023-01-11T00:00:00+0530,3.85,3.9,3.8,3.85,3510122,0
2023-01-12T00:00:00+0530,3.85,3.95,3.8,3.85,5170164,0
2023-01-13T00:00:00+0530,3.85,4,3.8,3.95,7554446,0
2023-01-16T00:00:00+0530,3.95,4.05,3.9,4,11849132,0
2023-01-17T00:00:00+0530,4.05,4.05,3.9,3.95,4426540,0
2023-01-18T00:00:00+0530,3.95,4,3.85,3.9,4675488,0
2023-01-19T00:00:00+0530,3.85,3.95,3.85,3.9,5105453,0
2023-01-20T00:00:00+0530,3.95,4,3.85,3.95,6073207,0
2023-01-23T00:00:00+0530,3.95,4,3.8,3.85,5250969,0
2023-01-24T00:00:00+0530,3.8,3.9,3.8,3.85,5198681,0
2023-01-25T00:00:00+0530,3.85,3.85,3.65,3.75,8029233,0
2023-01-27T00:00:00+0530,3.75,3.8,3.6,3.65,9620644,0
2023-01-30T00:00:00+0530,3.7,3.8,3.6,3.65,5568367,0
2023-01-31T00:00:00+0530,3.7,3.8,3.65,3.8,4697554,0
2023-02-01T00:00:00+0530,3.9,3.95,3.7,3.75,9327844,0
2023-02-02T00:00:00+0530,3.7,3.8,3.65,3.7,4984937,0
2023-02-03T00:00:00+0530,3.7,3.75,3.6,3.65,6577279,0
2023-02-06T00:00:00+0530,3.7,3.7,3.6,3.65,3099708,0
2023-02-07T00:00:00+0530,3.7,3.75,3.65,3.65,5538704,0
2023-02-08T00:00:00+0530,3.65,3.7,3.6,3.65,4510542,0
2023-02-09T00:00:00+0530,3.65,3.7,3.6,3.65,3377902,0
2023-02-10T00:00:00+0530,3.65,3.7,3.6,3.65,2080840,0
2023-02-13T00:00:00+0530,3.7,3.7,3.55,3.6,3036676,0
2023-02-14T00:00:00+0530,3.6,3.65,3.45,3.5,6016554,0
2023-02-15T00:00:00+0530,3.5,3.55,3.45,3.55,3731275,0
2023-02-16T00:00:00+0530,3.55,3.6,3.45,3.5,5317360,0
2023-02-17T00:00:00+0530,3.5,3.55,3.45,3.5,2874911,0
2023-02-20T00:00:00+0530,3.55,3.55,3.35,3.4,10306730,0
2023-02-21T00:00:00+0530,3.4,3.45,3.35,3.35,5054674,0
2023-02-22T00:00:00+0530,3.4,3.45,3.25,3.3,6292904,0
2023-02-23T00:00:00+0530,3.3,3.35,3.2,3.3,6187432,0
2023-02-24T00:00:00+0530,3.3,3.6,3.25,3.55,25616823,0
2023-02-27T00:00:00+0530,3.55,3.65,3.35,3.4,4806183,0
2023-02-28T00:00:00+0530,3.4,3.45,3.3,3.35,4051469,0
2023-03-01T00:00:00+0530,3.4,3.6,3.35,3.5,6418079,0
2023-03-02T00:00:00+0530,3.55,3.55,3.45,3.45,3877107,0
2023-03-03T00:00:00+0530,3.5,3.6,3.45,3.5,5712380,0
2023-03-06T00:00:00+0530,3.5,3.65,3.45,3.5,9384150,0
2023-03-08T00:00:00+0530,3.45,3.65,3.45,3.6,6592628,0
2023-03-09T00:00:00+0530,3.65,3.7,3.5,3.5,5887556,0
2023-03-10T00:00:00+0530,3.5,3.55,3.35,3.5,4652202,0
2023-03-13T00:00:00+0530,3.5,3.55,3.35,3.4,3982546,0
2023-03-14T00:00:00+0530,3.45,3.45,3.35,3.35,3608904,0
2023-03-15T00:00:00+0530,3.4,3.45,3.3,3.35,3655372,0
2023-03-16T00:00:00+0530,3.4,3.4,3.25,3.3,5623805,0
2023-03-17T00:00:00+0530,3.3,3.35,3.3,3.3,1766331,0
2023-03-20T00:00:00+0530,3.35,3.35,3.2,3.25,3629402,0
2023-03-21T00:00:00+0530,3.25,3.3,3.15,3.2,6844494,0
2023-03-22T00:00:00+0530,3.2,3.25,3.15,3.2,4122591,0
2023-03-23T00:00:00+0530,3.2,3.35,3.15,3.15,6435618,0
