date,open,high,low,close,volume,empty
2023-10-03T00:00:00+0530,146,153.3,146,153.3,1718400,0
2023-10-04T00:00:00+0530,154.95,156,146.2,153,967200,0
2023-10-05T00:00:00+0530,154.9,160.65,148,160.65,486000,0
2023-10-06T00:00:00+0530,168.65,168.65,168.65,168.65,27600,0
2023-10-09T00:00:00+0530,175,177.05,164,177.05,842400,0
2023-10-10T00:00:00+0530,185.9,185.9,185.9,185.9,4800,0
2023-10-11T00:00:00+0530,195.15,195.15,195.15,195.15,7200,0
2023-10-12T00:00:00+0530,204.9,204.9,204.9,204.9,46800,0
2023-10-13T00:00:00+0530,215.1,215.1,215.1,215.1,72000,0
2023-10-16T00:00:00+0530,225.85,225.85,225.85,225.85,370800,0
2023-10-17T00:00:00+0530,249,271,240,269.15,790800,0
2023-10-18T00:00:00+0530,274,293.5,245.55,251.4,306000,0
2023-10-19T00:00:00+0530,262,280.9,254.5,265.25,229200,0
2023-10-20T00:00:00+0530,265,270.9,263.95,265.5,56400,0
2023-10-23T00:00:00+0530,268.4,268.4,243,249.1,90000,0
2023-10-25T00:00:00+0530,255,264.9,244.25,257.65,69600,0
2023-10-26T00:00:00+0530,261.6,263,243,260.4,104400,0
2023-10-27T00:00:00+0530,261,280,261,275.05,84000,0
2023-10-30T00:00:00+0530,277,290,277,282.15,87600,0
2023-10-31T00:00:00+0530,280,280,263,266,37200,0
2023-11-01T00:00:00+0530,270,270,250,256.95,52800,0
2023-11-02T00:00:00+0530,259,260,245,247.45,81600,0
2023-11-03T00:00:00+0530,255,255,245.5,248.05,52800,0
2023-11-06T00:00:00+0530,248.05,253,244.25,247.6,76800,0
2023-11-07T00:00:00+0530,247.6,253,244,245.65,36000,0
2023-11-08T00:00:00+0530,246,249.95,238.05,245.55,36000,0
2023-11-09T00:00:00+0530,245.55,256.4,245,245.1,46800,0
2023-11-10T00:00:00+0530,231,246,220.4,234.65,104400,0
2023-11-12T00:00:00+0530,243.9,251.95,243.9,246.15,16800,0
2023-11-13T00:00:00+0530,239.2,244,228,228.85,81600,0
2023-11-15T00:00:00+0530,235,239,227.8,237.65,60000,0
2023-11-16T00:00:00+0530,241.3,245.5,228,230.25,79200,0
2023-11-17T00:00:00+0530,233.9,238,224.9,228.6,80400,0
2023-11-20T00:00:00+0530,228,229.9,225.15,227.1,26400,0
2023-11-21T00:00:00+0530,230,247,230,241.45,93600,0
2023-11-22T00:00:00+0530,242,246,227,235.65,58800,0
2023-11-23T00:00:00+0530,238,241,232.7,235,12000,0
2023-11-24T00:00:00+0530,238,258.6,237.9,254.3,93600,0
2023-11-28T00:00:00+0530,259,259.9,240,240.95,63600,0
2023-11-29T00:00:00+0530,238.05,241,235,236.55,49200,0
2023-11-30T00:00:00+0530,240,241,232.3,234.1,37200,0
2023-12-01T00:00:00+0530,237.75,240,235,235,28800,0
2023-12-04T00:00:00+0530,240,240,233.05,239.65,55200,0
2023-12-05T00:00:00+0530,239.8,240,235.55,236,31200,0
2023-12-06T00:00:00+0530,237.25,237.25,228.55,229.6,30000,0
2023-12-07T00:00:00+0530,235.5,240,235.15,237.75,75600,0
2023-12-08T00:00:00+0530,240,243,231.3,234.25,20400,0
2023-12-11T00:00:00+0530,237.9,246,231,237.2,43200,0
2023-12-12T00:00:00+0530,239.95,240,232,233.1,43200,0
2023-12-13T00:00:00+0530,236.9,236.9,229,229.55,30000,0
2023-12-14T00:00:00+0530,233,234,229,229,27600,0
2023-12-15T00:00:00+0530,234.95,236,230.1,232.5,25200,0
2023-12-18T00:00:00+0530,232.5,233.5,227.5,229.9,38400,0
2023-12-19T00:00:00+0530,232,232,220,224,73200,0
2023-12-20T00:00:00+0530,225.4,227,208,209.55,76800,0
2023-12-21T00:00:00+0530,210,218.85,207,213.1,25200,0
2023-12-22T00:00:00+0530,213.1,224.7,213.1,221,24000,0
2023-12-26T00:00:00+0530,226.95,230,221.5,224.5,27600,0
2023-12-27T00:00:00+0530,225,225,215.6,217.45,34800,0
2023-12-28T00:00:00+0530,225,227,213,220,40800,0
2023-12-29T00:00:00+0530,220,220,210,217.6,32400,0
2024-01-01T00:00:00+0530,217.6,217.6,205.1,208.6,93600,0
2024-01-02T00:00:00+0530,210,211,203,208.5,68400,0
2024-01-03T00:00:00+0530,206,245,204,238.05,273600,0
2024-01-04T00:00:00+0530,238.05,254.8,235,235.35,178800,0
2024-01-05T00:00:00+0530,236.15,252,236.15,241.45,56400,0
2024-01-08T00:00:00+0530,247,247,236.05,237.75,20400,0
2024-01-09T00:00:00+0530,237.75,244,237,237.5,20400,0
2024-01-10T00:00:00+0530,233.05,240,233.05,235.4,26400,0
2024-01-11T00:00:00+0530,242.65,245,239.05,244.1,58800,0
2024-01-12T00:00:00+0530,245,251.25,238,250,75600,0
2024-01-15T00:00:00+0530,250,250,238,242.5,36000,0
2024-01-16T00:00:00+0530,242.5,246,230,239,72000,0
2024-01-17T00:00:00+0530,239,239,230.8,234.35,40800,0
2024-01-18T00:00:00+0530,238.6,240,234.35,239.8,64800,0
2024-01-19T00:00:00+0530,243,245,237.55,244.35,68400,0
2024-01-20T00:00:00+0530,244,244,235,239.2,37200,0
2024-01-23T00:00:00+0530,238,254.9,232.2,236.15,87600,0
2024-01-24T00:00:00+0530,238,239.95,233,239.95,30000,0
2024-01-25T00:00:00+0530,236,236,230.1,233.15,40800,0
2024-01-29T00:00:00+0530,230,232.5,220.55,224.05,109200,0
2024-01-30T00:00:00+0530,222.6,232,222.6,229.9,19200,0
2024-01-31T00:00:00+0530,229.8,234.5,227.1,234.25,22800,0
2024-02-01T00:00:00+0530,234,244.9,226.05,230,46800,0
2024-02-02T00:00:00+0530,235,240,232.1,237,33600,0
2024-02-05T00:00:00+0530,237,237.4,213,230.35,63600,0
2024-02-06T00:00:00+0530,230,230,218,224.85,37200,0
2024-02-07T00:00:00+0530,224.85,228.45,222.3,224.05,16800,0
2024-02-08T00:00:00+0530,222,223,218.6,219.65,42000,0
2024-02-09T00:00:00+0530,219.7,220,213,214.2,42000,0
2024-02-12T00:00:00+0530,215,219,207.55,215.35,31200,0
2024-02-13T00:00:00+0530,211,216,206.5,215.75,62400,0
2024-02-14T00:00:00+0530,214.4,229.85,214.4,217,51600,0
2024-02-15T00:00:00+0530,224,224,215.3,222.95,19200,0
2024-02-16T00:00:00+0530,222.95,229.75,222,225.15,33600,0
2024-02-19T00:00:00+0530,225.15,227,221.05,221.35,19200,0
2024-02-20T00:00:00+0530,224.9,230,222.5,228.3,34800,0
2024-02-21T00:00:00+0530,226,238,226,229.65,44400,0
2024-02-22T00:00:00+0530,229.65,234.95,228,230,38400,0
2024-02-23T00:00:00+0530,233.75,235.85,228.1,233.85,85200,0
2024-02-26T00:00:00+0530,236,251,236,248.1,115200,0
