date,open,high,low,close,volume,empty
2024-11-12T00:00:00+0530,31.06,32.87,28.95,29.32,270448925,0
2024-11-13T00:00:00+0530,29.29,29.29,27.02,28.58,26357328,0
2024-11-14T00:00:00+0530,28.01,29.8,27.8,28.51,20806989,0
2024-11-18T00:00:00+0530,28.9,30.1,28.26,29.53,17665144,0
2024-11-19T00:00:00+0530,29.99,30.1,28.7,29.25,12537333,0
2024-11-21T00:00:00+0530,29.07,29.15,27.85,28.26,15111152,0
2024-11-22T00:00:00+0530,28.16,28.9,27.76,28.02,7280226,0
2024-11-25T00:00:00+0530,28.74,29,28.12,28.68,7629162,0
2024-11-26T00:00:00+0530,30.3,31.54,29.9,31.54,66359636,0
2024-11-27T00:00:00+0530,34,34.69,32.33,34.49,103883169,0
2024-11-28T00:00:00+0530,34.5,36.14,33.54,34.87,72672440,0
2024-11-29T00:00:00+0530,35,37.77,34.91,37.02,49755966,0
2024-12-02T00:00:00+0530,37.3,37.75,36.15,36.61,27803725,0
2024-12-03T00:00:00+0530,36.7,36.8,34.9,35.65,22831502,0
2024-12-04T00:00:00+0530,35.7,36.3,35.49,35.92,10380833,0
2024-12-05T00:00:00+0530,36.27,37.71,36.1,37.71,13708920,0
2024-12-06T00:00:00+0530,39.59,39.59,38.47,39.44,63412532,0
2024-12-09T00:00:00+0530,39.49,41.41,38.8,41.41,26238430,0
2024-12-10T00:00:00+0530,43.48,43.48,41.56,42.26,68989556,0
2024-12-11T00:00:00+0530,42.19,43.25,40.14,42.87,64407849,0
2024-12-12T00:00:00+0530,43.48,43.48,40.72,40.81,17707128,0
2024-12-13T00:00:00+0530,40.75,41,38.76,39.76,34558847,0
2024-12-16T00:00:00+0530,40.4,41.74,40.17,41.74,13155239,0
2024-12-17T00:00:00+0530,43.82,43.82,42.5,43.3,50540496,0
2024-12-18T00:00:00+0530,42.8,45.46,42.3,43.5,43115561,0
2024-12-19T00:00:00+0530,41.5,45.29,41.46,43.9,27142706,0
2024-12-20T00:00:00+0530,45.45,46.09,44.9,45.17,73236427,0
2024-12-23T00:00:00+0530,47,47.25,44.3,46.6,26655334,0
2024-12-24T00:00:00+0530,47.9,48.93,47.75,48.93,23966758,0
2024-12-26T00:00:00+0530,50.7,51.37,50.1,51.3,48639179,0
2024-12-27T00:00:00+0530,52.19,53.86,49.37,53.86,57359747,0
2024-12-30T00:00:00+0530,55.29,56.4,52,53.11,51662517,0
2024-12-31T00:00:00+0530,53.22,53.5,50.45,50.45,27456496,0
2025-01-01T00:00:00+0530,48.5,49.09,47.92,47.92,33261883,0
2025-01-02T00:00:00+0530,46.66,50.31,46.56,50.31,37520037,0
2025-01-03T00:00:00+0530,51.77,52.82,51.43,52.82,22189970,0
2025-01-06T00:00:00+0530,54.27,54.27,50.7,51.31,44937799,0
2025-01-07T00:00:00+0530,52.3,53.87,51.19,53.87,15303034,0
2025-01-08T00:00:00+0530,54.1,55,51.17,52.05,41622829,0
2025-01-09T00:00:00+0530,52.6,53.15,50.79,51.1,14742898,0
2025-01-10T00:00:00+0530,51.47,51.6,48.54,49.74,10784622,0
2025-01-13T00:00:00+0530,47.3,50.9,47.3,49.1,13270476,0
2025-01-14T00:00:00+0530,50,50.79,47.94,48.23,7082485,0
2025-01-15T00:00:00+0530,48.9,49,46,46.81,6789825,0
2025-01-16T00:00:00+0530,48,49.15,47,49.08,7079782,0
2025-01-17T00:00:00+0530,48.7,49.78,47.11,48.7,4202977,0
2025-01-20T00:00:00+0530,49.4,49.4,47.51,47.77,3005846,0
2025-01-21T00:00:00+0530,47.89,49.2,47,48.7,8029919,0
2025-01-22T00:00:00+0530,48.5,48.5,46.26,46.54,6778279,0
2025-01-23T00:00:00+0530,46.49,47.5,45,46.97,6179259,0
2025-01-24T00:00:00+0530,47.39,48.19,46.8,47.98,6724762,0
2025-01-27T00:00:00+0530,46.95,47.5,45.58,45.58,5882245,0
2025-01-28T00:00:00+0530,44.06,45.58,43.3,43.3,6246957,0
2025-01-29T00:00:00+0530,42.75,45.46,41.31,45.46,3379084,0
2025-01-30T00:00:00+0530,47.73,47.73,47,47.72,3874091,0
2025-01-31T00:00:00+0530,48.7,50.1,47.73,49.61,10265899,0
2025-02-01T00:00:00+0530,49.5,49.6,47.45,48.6,3408079,0
2025-02-03T00:00:00+0530,47.51,51.03,46.6,50.32,4939504,0
2025-02-04T00:00:00+0530,51.9,51.97,50,50.2,3455376,0
2025-02-05T00:00:00+0530,51.09,51.28,49.1,50.22,3314112,0
2025-02-06T00:00:00+0530,52.73,52.73,52.73,52.73,10520593,0
2025-02-07T00:00:00+0530,55,55.24,52.01,52.62,24115177,0
2025-02-10T00:00:00+0530,52,52.48,49.98,50.01,7759916,0
2025-02-11T00:00:00+0530,48.25,49.58,47.5,48.83,9051930,0
2025-02-12T00:00:00+0530,48.4,50.8,47.5,49.51,12204710,0
2025-02-13T00:00:00+0530,49.5,50.99,49.2,49.88,4367537,0
2025-02-14T00:00:00+0530,49.9,50.1,47.38,47.41,6389797,0
2025-02-17T00:00:00+0530,45.56,48.35,45.55,47.9,5984807,0
2025-02-18T00:00:00+0530,48.1,48.13,45.8,46.59,4178917,0
2025-02-19T00:00:00+0530,45.41,47.51,45.41,47.22,9003418,0
2025-02-20T00:00:00+0530,46.8,47.54,45.59,46.25,4046435,0
2025-02-21T00:00:00+0530,46.24,47.05,45.58,45.69,4749135,0
2025-02-24T00:00:00+0530,45.05,45.25,43.8,44.29,4436970,0
2025-02-25T00:00:00+0530,43.5,45.82,43,44.97,2278048,0
2025-02-27T00:00:00+0530,44.5,45.6,43,43.07,3176393,0
2025-02-28T00:00:00+0530,42.5,44.7,41.3,42.86,5380246,0
2025-03-03T00:00:00+0530,43.24,43.9,40.86,41.98,4716585,0
2025-03-04T00:00:00+0530,41.5,43.55,40.01,42.59,4801322,0
2025-03-05T00:00:00+0530,42.04,44.5,42.01,44,5389920,0
2025-03-06T00:00:00+0530,44.4,44.69,43.79,44.04,3648687,0
2025-03-07T00:00:00+0530,44,44.95,43.3,43.95,4259826,0
2025-03-10T00:00:00+0530,44.59,44.9,41.75,41.75,6014887,0
2025-03-11T00:00:00+0530,40.93,42.51,40.3,42.34,4564488,0
2025-03-12T00:00:00+0530,42.7,43,41,41.54,2977349,0
2025-03-13T00:00:00+0530,42.25,42.99,41.2,42.02,4919345,0
2025-03-17T00:00:00+0530,42.89,42.89,41,41.44,5526827,0
2025-03-18T00:00:00+0530,41.65,42.87,41.13,42.3,6678213,0
2025-03-19T00:00:00+0530,42.5,44.41,42.4,43.1,16862280,0
2025-03-20T00:00:00+0530,43.1,43.8,41.9,42.43,5104714,0
2025-03-21T00:00:00+0530,42.5,44,42.5,43.44,6303628,0
2025-03-24T00:00:00+0530,43.96,45.61,43.71,44.46,9464858,0
2025-03-25T00:00:00+0530,44.53,44.94,43.12,43.29,4153009,0
2025-03-26T00:00:00+0530,43.3,43.42,41.66,41.89,4102979,0
2025-03-27T00:00:00+0530,41.89,43.05,41.41,42.73,10482397,0
2025-03-28T00:00:00+0530,42.85,44.2,42.72,42.91,6831275,0
2025-04-01T00:00:00+0530,42.72,44.2,42.5,43.55,5677551,0
2025-04-02T00:00:00+0530,43.65,43.87,42.7,42.81,8906045,0
2025-04-03T00:00:00+0530,42,42.79,41.8,41.99,5286427,0
2025-04-04T00:00:00+0530,41.99,42.19,40.1,40.49,6190886,0
2025-04-07T00:00:00+0530,38.46,38.67,38.46,38.46,3081261,0
2025-04-08T00:00:00+0530,39.01,40.01,37.77,39.09,6445530,0
2025-04-09T00:00:00+0530,38.52,38.89,37.8,37.99,4449222,0
2025-04-11T00:00:00+0530,39.88,39.88,38.67,39.87,12504717,0
2025-04-15T00:00:00+0530,41.25,41.86,41.15,41.86,13752357,0
2025-04-16T00:00:00+0530,42.4,43.49,42.25,42.75,9098287,0
2025-04-17T00:00:00+0530,42.69,43.89,42.28,43.31,7029408,0
2025-04-21T00:00:00+0530,43.7,43.8,42.75,43.18,4018578,0
2025-04-22T00:00:00+0530,43.18,43.9,42.84,43.34,4701366,0
2025-04-23T00:00:00+0530,43.69,43.88,42.45,42.75,4889104,0
2025-04-24T00:00:00+0530,42.93,43.29,42.06,42.23,4179155,0
2025-04-25T00:00:00+0530,42.45,42.49,40.43,40.87,5913265,0
2025-04-28T00:00:00+0530,41.01,41.5,40.54,41.07,2804625,0
2025-04-29T00:00:00+0530,41.3,42.76,41.16,42.11,6868077,0
2025-04-30T00:00:00+0530,42.16,42.3,40.9,41.06,3981942,0
2025-05-02T00:00:00+0530,41,42,41,41.57,4885859,0
2025-05-05T00:00:00+0530,41.61,41.7,40.91,41.2,2717311,0
2025-05-06T00:00:00+0530,41.19,41.43,39.7,39.84,3846241,0
2025-05-07T00:00:00+0530,38.75,41.43,38.75,41.1,4491839,0
2025-05-08T00:00:00+0530,41.35,42,40,40.65,3540485,0
2025-05-09T00:00:00+0530,39.36,41.15,39.36,40.83,4784998,0
2025-05-12T00:00:00+0530,42.1,42.87,42.03,42.87,6488762,0
2025-05-13T00:00:00+0530,44.1,45.01,43.89,45.01,25371094,0
2025-05-14T00:00:00+0530,45.7,47.26,45.69,47.05,24132962,0
2025-05-15T00:00:00+0530,47.9,48.35,44.7,44.94,18207361,0
2025-05-16T00:00:00+0530,45.05,47.18,45,46.78,12937902,0
