date,open,high,low,close,volume,empty
2023-09-06T00:00:00+0530,31,32,29.45,30.35,2344000,0
2023-09-07T00:00:00+0530,28.85,30.7,28.85,29.8,348000,0
2023-09-08T00:00:00+0530,30,30,29,29.75,164000,0
2023-09-11T00:00:00+0530,29.75,29.75,28.55,29,108000,0
2023-09-12T00:00:00+0530,29,29.1,27.55,27.6,136000,0
2023-09-13T00:00:00+0530,26.3,27.25,26.25,26.45,136000,0
2023-09-14T00:00:00+0530,26.75,27.75,26.75,27.75,48000,0
2023-09-15T00:00:00+0530,29.1,29.1,29,29.1,76000,0
2023-09-18T00:00:00+0530,30.55,30.55,28.1,29.65,228000,0
2023-09-20T00:00:00+0530,28.75,30.1,28.7,29.85,144000,0
2023-09-21T00:00:00+0530,30,30,28.5,29.25,40000,0
2023-09-22T00:00:00+0530,28.05,30.15,27.5,29.7,208000,0
2023-09-25T00:00:00+0530,28.1,29.75,28.05,28.75,56000,0
2023-09-26T00:00:00+0530,28.5,28.5,28,28,24000,0
2023-09-27T00:00:00+0530,27.3,27.3,27,27.05,48000,0
2023-09-28T00:00:00+0530,24,26.25,24,25.45,28000,0
2023-09-29T00:00:00+0530,27.9,27.9,27.9,27.9,4000,0
2023-10-03T00:00:00+0530,28.95,28.95,27,27.5,60000,0
2023-10-04T00:00:00+0530,27.5,27.5,26,26,16000,0
2023-10-05T00:00:00+0530,27.7,27.7,26.55,26.55,16000,0
2023-10-06T00:00:00+0530,27,27,27,27,4000,0
2023-10-09T00:00:00+0530,27.5,27.5,27,27,8000,0
2023-10-10T00:00:00+0530,26.15,27.45,26.15,27.35,16000,0
2023-10-11T00:00:00+0530,27,27,27,27,16000,0
2023-10-12T00:00:00+0530,27,27,26.35,26.4,16000,0
2023-10-13T00:00:00+0530,27.95,27.95,26.25,26.95,16000,0
2023-10-16T00:00:00+0530,27.5,27.5,27.5,27.5,4000,0
2023-10-17T00:00:00+0530,27.5,27.5,26,26.95,12000,0
2023-10-18T00:00:00+0530,26.95,26.95,26.95,26.95,4000,0
2023-10-19T00:00:00+0530,25.95,25.95,25.95,25.95,4000,0
2023-10-20T00:00:00+0530,25.95,25.95,25.5,25.5,16000,0
2023-10-23T00:00:00+0530,25.5,25.5,25.5,25.5,4000,0
2023-10-25T00:00:00+0530,21.75,24.4,21.75,24.4,16000,0
2023-10-26T00:00:00+0530,24,24.4,24,24.2,8000,0
