date,open,high,low,close,volume,empty
2023-04-06T00:00:00+0530,348.45,378,348.45,361.15,3174,0
2023-04-10T00:00:00+0530,361.65,390,355,372,10913,0
2023-04-11T00:00:00+0530,372,385,372,383,3349,0
2023-04-12T00:00:00+0530,380,384.3,360.05,374,4187,0
2023-04-13T00:00:00+0530,361.1,377.5,361.1,376.4,2983,0
2023-04-17T00:00:00+0530,379.3,380,368.05,378.65,6535,0
2023-04-18T00:00:00+0530,375.65,382.95,340.1,374.95,5723,0
2023-04-19T00:00:00+0530,376.3,390,371.1,371.95,4055,0
2023-04-20T00:00:00+0530,366,377.15,366,374.3,3159,0
2023-04-21T00:00:00+0530,370.5,373.95,359.05,369.05,1709,0
2023-04-24T00:00:00+0530,369.05,378,345.6,372.35,1919,0
2023-04-25T00:00:00+0530,371.9,380,367.1,375.35,2900,0
2023-04-26T00:00:00+0530,375.55,376.05,364.1,369.6,1841,0
2023-04-27T00:00:00+0530,362.5,366.95,361.8,363.65,2339,0
2023-04-28T00:00:00+0530,363.8,364.55,358.7,363.15,1676,0
2023-05-02T00:00:00+0530,365.5,367.95,347,363.05,2777,0
2023-05-03T00:00:00+0530,355.7,371,351.05,365.45,3859,0
2023-05-04T00:00:00+0530,368.7,374.5,365.45,368.05,3257,0
2023-05-05T00:00:00+0530,367.1,380,365,375.15,6603,0
2023-05-08T00:00:00+0530,373.1,378.7,366,366.35,3170,0
2023-05-09T00:00:00+0530,369.4,376.35,355.55,363.65,4352,0
2023-05-10T00:00:00+0530,364.35,370.95,360.05,364.85,4138,0
2023-05-11T00:00:00+0530,368.4,373.05,363.8,370.45,13165,0
2023-05-12T00:00:00+0530,366.8,374.5,365.75,372.6,3945,0
2023-05-15T00:00:00+0530,371.55,376.95,360.2,374.3,20926,0
2023-05-16T00:00:00+0530,375,375,366.05,370.65,7040,0
2023-05-17T00:00:00+0530,370,377,363.05,373.6,7464,0
2023-05-18T00:00:00+0530,373.9,375,370,370.75,1847,0
2023-05-19T00:00:00+0530,370,372.7,365.75,369.9,5976,0
2023-05-22T00:00:00+0530,365.4,370,361.2,365.9,4275,0
2023-05-23T00:00:00+0530,365.05,373.9,360.55,361.35,4067,0
2023-05-24T00:00:00+0530,356.4,359.5,345.95,354.9,20015,0
2023-05-25T00:00:00+0530,353.05,355.1,334.85,344.15,14051,0
2023-05-26T00:00:00+0530,354.15,354.15,340.05,340.9,4739,0
2023-05-29T00:00:00+0530,348.45,350,322.25,338.9,9515,0
2023-05-30T00:00:00+0530,333,342.95,325,330.1,9442,0
2023-05-31T00:00:00+0530,323,339.1,323,331.5,7267,0
2023-06-01T00:00:00+0530,339.1,342,332.5,337.85,5758,0
2023-06-02T00:00:00+0530,336.9,344,333.4,342.9,2933,0
2023-06-05T00:00:00+0530,346.6,351.45,339.6,340.6,3165,0
2023-06-06T00:00:00+0530,343.05,357.2,335,349.95,5744,0
