date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,83.3,89.5,83.05,88.95,86864774,0
2023-01-03T00:00:00+0530,89,89.7,87.7,88.35,37876426,0
2023-01-04T00:00:00+0530,87.65,88.35,84.85,85.25,20223708,0
2023-01-05T00:00:00+0530,85.7,87.85,84.65,87.4,24321965,0
2023-01-06T00:00:00+0530,87.85,88.05,85.45,85.9,19627104,0
2023-01-09T00:00:00+0530,87,88.15,86.8,87.75,16860710,0
2023-01-10T00:00:00+0530,87.75,88.75,86.2,87.6,21375875,0
2023-01-11T00:00:00+0530,88.05,89.55,87.8,88.95,24955585,0
2023-01-12T00:00:00+0530,88.75,88.75,87.2,88,11442821,0
2023-01-13T00:00:00+0530,88.3,89.6,87.95,88.85,18350692,0
2023-01-16T00:00:00+0530,89.25,89.7,87.6,87.9,12333401,0
2023-01-17T00:00:00+0530,87.85,87.85,86.05,87.15,12532647,0
2023-01-18T00:00:00+0530,87.5,91.2,87.35,90.7,39056707,0
2023-01-19T00:00:00+0530,90.45,93.9,90,92.1,63481359,0
2023-01-20T00:00:00+0530,92.35,92.95,91.2,91.5,27855347,0
2023-01-23T00:00:00+0530,91.95,93.4,90.3,93.1,37644720,0
2023-01-24T00:00:00+0530,92.95,93.15,90.7,91,15154378,0
2023-01-25T00:00:00+0530,90.9,91.4,89.15,89.9,17092770,0
2023-01-27T00:00:00+0530,90,91.2,86.3,88.15,21874770,0
2023-01-30T00:00:00+0530,88.15,89.6,86,86.85,13314265,0
2023-01-31T00:00:00+0530,87.4,91.15,87,90.6,26331826,0
2023-02-01T00:00:00+0530,91.3,92.4,86.8,89,25911790,0
2023-02-02T00:00:00+0530,88.85,90.25,87.65,89,22866118,0
2023-02-03T00:00:00+0530,89.45,89.7,85.4,85.95,21487839,0
2023-02-06T00:00:00+0530,86.4,86.7,84.1,84.45,15025899,0
2023-02-07T00:00:00+0530,84.45,84.45,81.45,82.45,19123174,0
2023-02-08T00:00:00+0530,82.45,84.8,82.3,84.55,17280945,0
2023-02-09T00:00:00+0530,84.7,86.55,83.8,85.35,13368881,0
2023-02-10T00:00:00+0530,84.95,85.1,83.75,84.55,8282686,0
2023-02-13T00:00:00+0530,84.5,85.25,83,83.35,11254227,0
2023-02-14T00:00:00+0530,83.65,84.5,82.05,84.2,19252645,0
2023-02-15T00:00:00+0530,84,85.35,83.6,84.15,12266197,0
2023-02-16T00:00:00+0530,85,85.95,84.35,85.8,10475328,0
2023-02-17T00:00:00+0530,85.45,87.65,85.3,86.15,21525591,0
2023-02-20T00:00:00+0530,86,86.6,84.9,86.05,12315939,0
2023-02-21T00:00:00+0530,86.5,87.6,86.15,87.15,14079807,0
2023-02-22T00:00:00+0530,87,87.1,84,84.55,19537168,0
2023-02-23T00:00:00+0530,85,86.3,84.2,84.9,24771081,0
2023-02-24T00:00:00+0530,85.35,85.7,82.75,82.95,19305545,0
2023-02-27T00:00:00+0530,82.7,83.4,81.1,83,16861726,0
2023-02-28T00:00:00+0530,83.1,83.6,81.8,82.75,14683471,0
2023-03-01T00:00:00+0530,83,85.5,83,85.25,13629694,0
2023-03-02T00:00:00+0530,85.1,86.45,84.95,86.3,13107291,0
2023-03-03T00:00:00+0530,86.85,88.1,86.05,87.8,14681544,0
2023-03-06T00:00:00+0530,87.7,88.2,86.75,87.45,15255919,0
2023-03-08T00:00:00+0530,86.25,87.8,85.75,87.4,10100796,0
2023-03-09T00:00:00+0530,87.55,89,87.5,87.75,12585135,0
2023-03-10T00:00:00+0530,86.8,88.2,86.4,88.1,10662815,0
2023-03-13T00:00:00+0530,88.35,89.35,86.7,86.95,14288810,0
2023-03-14T00:00:00+0530,87.1,87.9,85.75,86.8,10616254,0
2023-03-15T00:00:00+0530,87.55,88.6,87.2,87.65,13398597,0
2023-03-16T00:00:00+0530,86.85,87.3,84.05,85.3,20684933,0
2023-03-17T00:00:00+0530,86,89.05,85.8,88.65,26577314,0
2023-03-20T00:00:00+0530,88.65,88.65,85.45,86.6,14909136,0
2023-03-21T00:00:00+0530,87.05,87.55,86.25,87.05,9170696,0
2023-03-22T00:00:00+0530,87.15,87.25,84.4,85.05,19851740,0
2023-03-23T00:00:00+0530,84.85,86.7,84.2,85.85,17338653,0
2023-03-24T00:00:00+0530,85.05,85.05,82,82.35,20599895,0
2023-03-27T00:00:00+0530,82.1,82.9,80.9,81.2,11701170,0
2023-03-28T00:00:00+0530,81.25,81.85,80.65,80.8,11090113,0
2023-03-29T00:00:00+0530,80.8,82.95,80.6,82.55,13616947,0
2023-03-31T00:00:00+0530,83.45,84.3,77.6,82.7,20583852,0
2023-04-03T00:00:00+0530,83.85,84.35,83.3,83.8,7075382,0
2023-04-05T00:00:00+0530,83.2,83.45,82.1,82.5,8559285,0
2023-04-06T00:00:00+0530,82.3,82.65,81.3,82.1,9141521,0
