date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,226.25,237.9,226.25,234.35,31122,0
2023-01-03T00:00:00+0530,236.65,249.9,231.1,243.05,62752,0
2023-01-04T00:00:00+0530,246.4,246.4,233.1,242.35,26079,0
2023-01-05T00:00:00+0530,238.05,246.45,238,238.3,7394,0
2023-01-06T00:00:00+0530,239.4,239.95,232,233.55,8534,0
2023-01-09T00:00:00+0530,236.75,244,226.35,231.05,19999,0
2023-01-10T00:00:00+0530,235.7,241.5,231.8,237.3,12191,0
2023-01-11T00:00:00+0530,232.8,239.45,232.8,235.25,5211,0
2023-01-12T00:00:00+0530,235.8,238.5,230,231.4,11613,0
2023-01-13T00:00:00+0530,234.4,237.4,234.1,236.3,11746,0
2023-01-16T00:00:00+0530,235.7,235.7,230.2,233.9,9323,0
2023-01-17T00:00:00+0530,234.6,237.8,233.9,235.7,9794,0
2023-01-18T00:00:00+0530,236,237.2,230.75,233.8,5536,0
2023-01-19T00:00:00+0530,233.7,259.95,233.7,247.4,89931,0
2023-01-20T00:00:00+0530,252.15,254,247.45,249.35,41447,0
2023-01-23T00:00:00+0530,250.05,260.45,250,253.7,52644,0
2023-01-24T00:00:00+0530,257.2,257.2,237.7,242.6,32698,0
2023-01-25T00:00:00+0530,243.8,246.9,242.3,243.85,13792,0
2023-01-27T00:00:00+0530,245.2,246.2,234,236.6,13943,0
2023-01-30T00:00:00+0530,235,237.45,226.25,227.65,14574,0
2023-01-31T00:00:00+0530,230.85,231.95,225.6,227.85,10129,0
2023-02-01T00:00:00+0530,232.4,236.95,216,221.5,20059,0
2023-02-02T00:00:00+0530,221.5,241.45,217.05,238.75,19406,0
2023-02-03T00:00:00+0530,241.4,242.1,231.35,234.5,10691,0
2023-02-06T00:00:00+0530,231,236.75,226.4,230.45,10217,0
2023-02-07T00:00:00+0530,227,243.9,227,237.85,17552,0
2023-02-08T00:00:00+0530,239.9,240.95,236,237.45,8851,0
2023-02-09T00:00:00+0530,233,239.95,223,235.45,17770,0
2023-02-10T00:00:00+0530,231,236.4,227,229.35,31663,0
2023-02-13T00:00:00+0530,230.65,238,224.85,229.6,34646,0
2023-02-14T00:00:00+0530,229.95,231.5,227,227.45,7936,0
2023-02-15T00:00:00+0530,227.45,231.25,225.9,227.75,13079,0
2023-02-16T00:00:00+0530,228.65,232.45,226.85,230.45,5691,0
2023-02-17T00:00:00+0530,231.35,231.35,224.95,228.7,4663,0
2023-02-20T00:00:00+0530,229.6,229.6,222.4,223.65,10145,0
2023-02-21T00:00:00+0530,223.75,258,223.75,238.15,77956,0
2023-02-22T00:00:00+0530,238.15,252,236.05,239.9,36038,0
2023-02-23T00:00:00+0530,239,245.45,237.2,239.75,15460,0
2023-02-24T00:00:00+0530,242.95,242.95,231,233.15,15103,0
2023-02-27T00:00:00+0530,234.85,234.85,224,225.15,15630,0
2023-02-28T00:00:00+0530,223.2,232,223.2,225.45,13346,0
2023-03-01T00:00:00+0530,225.1,235.95,225.05,229.75,14870,0
2023-03-02T00:00:00+0530,230.85,231.25,225.2,227.2,9872,0
2023-03-03T00:00:00+0530,228.1,245,228.1,234.6,33225,0
2023-03-06T00:00:00+0530,244.4,245,231.05,238.95,27222,0
2023-03-08T00:00:00+0530,240.95,243.9,238,238.55,35233,0
2023-03-09T00:00:00+0530,238.65,241.4,238,239.8,26696,0
2023-03-10T00:00:00+0530,238,241.7,234.55,239.55,15446,0
2023-03-13T00:00:00+0530,239.55,239.55,225.05,226,17390,0
2023-03-14T00:00:00+0530,228.1,230,215.95,222.7,20368,0
2023-03-15T00:00:00+0530,228.95,234.9,225,225.95,19903,0
2023-03-16T00:00:00+0530,227.35,229.45,222.55,223.85,16602,0
2023-03-17T00:00:00+0530,224.75,228.6,215,220.85,23705,0
2023-03-20T00:00:00+0530,220.95,224.65,214.25,216.85,14163,0
2023-03-21T00:00:00+0530,216.9,223,216,222.35,14598,0
2023-03-22T00:00:00+0530,223.25,225,222.05,224.35,6558,0
2023-03-23T00:00:00+0530,223.05,223.95,219.3,222.5,13120,0
2023-03-24T00:00:00+0530,221,224.1,208.1,211.65,24525,0
2023-03-27T00:00:00+0530,211.65,212.5,196.5,200.85,53403,0
2023-03-28T00:00:00+0530,200.9,206.05,193.6,194.45,38093,0
2023-03-29T00:00:00+0530,195.85,202.85,191.3,194,29515,0
2023-03-31T00:00:00+0530,195.05,204.4,195.05,200.6,22604,0
2023-04-03T00:00:00+0530,197,208.55,197,204.75,12450,0
2023-04-05T00:00:00+0530,201,218,201,215.6,12634,0
2023-04-06T00:00:00+0530,205.1,226.45,205.1,222.8,22649,0
2023-04-10T00:00:00+0530,224.75,227.7,220,221.9,7804,0
2023-04-11T00:00:00+0530,223.7,225.7,218,220.5,8141,0
2023-04-12T00:00:00+0530,219.75,224.85,218.05,221.45,10872,0
2023-04-13T00:00:00+0530,216.05,222.65,212.05,217.6,12638,0
2023-04-17T00:00:00+0530,218.7,224.8,217,221.95,19776,0
2023-04-18T00:00:00+0530,222.05,224,221.4,222.2,7444,0
2023-04-19T00:00:00+0530,220,224.9,220,220.4,19042,0
2023-04-20T00:00:00+0530,220.4,227.1,220.2,221.2,14709,0
2023-04-21T00:00:00+0530,220.3,224.3,216.1,218.2,12091,0
2023-04-24T00:00:00+0530,218.2,218.2,211.75,214.1,16454,0
2023-04-25T00:00:00+0530,214,215.55,211.6,214.65,9274,0
2023-04-26T00:00:00+0530,215.95,217.55,212.3,214.15,8240,0
2023-04-27T00:00:00+0530,213.15,218.6,213.15,215.3,7765,0
2023-04-28T00:00:00+0530,213,218,213,216.55,5387,0
2023-05-02T00:00:00+0530,210,217.6,210,214.25,8780,0
2023-05-03T00:00:00+0530,216.05,218.6,211.2,213.45,8105,0
2023-05-04T00:00:00+0530,213.5,227.3,213.05,225.2,18297,0
2023-05-05T00:00:00+0530,228,228,215.55,216.9,15940,0
2023-05-08T00:00:00+0530,220.15,224,215.6,219.1,13371,0
2023-05-09T00:00:00+0530,216.65,221,216.65,217.6,8326,0
2023-05-10T00:00:00+0530,219.2,219.95,217.15,218,4343,0
2023-05-11T00:00:00+0530,219.6,225.95,215.2,225.35,12875,0
2023-05-12T00:00:00+0530,230,246,226.55,243.5,54593,0
2023-05-15T00:00:00+0530,246.95,257.45,240.4,243.7,58076,0
2023-05-16T00:00:00+0530,245,249,238,240.4,16760,0
2023-05-17T00:00:00+0530,240.4,241.9,236,236.85,8675,0
2023-05-18T00:00:00+0530,235,263,235,258.75,132151,0
2023-05-19T00:00:00+0530,265,265,251.75,259,38544,0
2023-05-22T00:00:00+0530,255,266.6,251.4,253.85,36266,0
2023-05-23T00:00:00+0530,253.85,258.55,253,253.4,14924,0
2023-05-24T00:00:00+0530,255,257.75,245,249.2,20187,0
2023-05-25T00:00:00+0530,251.7,266,250.55,256.4,51154,0
2023-05-26T00:00:00+0530,258.35,263.45,243.45,248.85,76114,0
2023-05-29T00:00:00+0530,248.85,248.85,230.05,237.85,68125,0
2023-05-30T00:00:00+0530,236,252.75,233.5,247.6,39922,0
2023-05-31T00:00:00+0530,251.3,251.3,240.35,244.05,20872,0
2023-06-01T00:00:00+0530,244.1,270.95,243.2,269.1,178420,0
2023-06-02T00:00:00+0530,273.8,287,269.15,276.4,133012,0
2023-06-05T00:00:00+0530,277.4,279.15,270.5,271.95,22102,0
2023-06-06T00:00:00+0530,271.95,278.7,266.55,270.95,24870,0
2023-06-07T00:00:00+0530,269.8,270.45,261,262.75,28935,0
2023-06-08T00:00:00+0530,266.4,266.4,249,252.9,36369,0
2023-06-09T00:00:00+0530,255.3,259.4,247.1,256.85,29864,0
2023-06-12T00:00:00+0530,259.35,264,258.1,259.55,27408,0
2023-06-13T00:00:00+0530,263,263,255.35,257.8,19090,0
2023-06-14T00:00:00+0530,257.9,262,253.05,256.6,18639,0
2023-06-15T00:00:00+0530,258.45,258.45,252,254.25,10324,0
2023-06-16T00:00:00+0530,250.5,278.75,250.5,257.55,81636,0
2023-06-19T00:00:00+0530,256.1,262.6,253.1,255.25,27331,0
2023-06-20T00:00:00+0530,256.7,259.65,254.6,257.75,17856,0
2023-06-21T00:00:00+0530,257.75,266,256,260.5,33777,0
2023-06-22T00:00:00+0530,262.7,269.85,255.15,260.45,28238,0
2023-06-23T00:00:00+0530,263.35,263.35,253.35,255.35,15971,0
2023-06-26T00:00:00+0530,253.5,258.7,253.1,255.3,11672,0
2023-06-27T00:00:00+0530,254.9,262,253.3,260.55,18109,0
2023-06-28T00:00:00+0530,260.55,263,255.4,256.35,16541,0
2023-06-30T00:00:00+0530,256.35,259.65,253.1,256.55,13736,0
2023-07-03T00:00:00+0530,261.4,263.95,249.1,251.35,47929,0
2023-07-04T00:00:00+0530,251.75,254.3,247,247.9,39502,0
2023-07-05T00:00:00+0530,247.1,269,247.1,254.95,107786,0
2023-07-06T00:00:00+0530,256.5,258.9,251.05,253.2,20282,0
2023-07-07T00:00:00+0530,253,254.95,249.7,249.95,23432,0
2023-07-10T00:00:00+0530,250,250.25,244.05,245.45,26870,0
2023-07-11T00:00:00+0530,243.5,252,243.5,245.75,22442,0
2023-07-12T00:00:00+0530,247.65,248.85,245.05,246.1,12242,0
2023-07-13T00:00:00+0530,245.6,248.95,241.5,243.3,15875,0
2023-07-14T00:00:00+0530,243.7,244.65,235.95,238.1,28270,0
2023-07-17T00:00:00+0530,236,265,236,262.8,265533,0
2023-07-18T00:00:00+0530,263,270.95,256.8,259,69119,0
2023-07-19T00:00:00+0530,261.8,269,259.05,265.4,48407,0
2023-07-20T00:00:00+0530,264.9,267.25,255.65,257.95,21251,0
2023-07-21T00:00:00+0530,279,279,257.5,259.1,32310,0
2023-07-24T00:00:00+0530,257.2,265.15,257.2,258.65,15876,0
2023-07-25T00:00:00+0530,260.45,270,256.1,257.55,20264,0
2023-07-26T00:00:00+0530,256.3,259.35,252,253.15,13418,0
2023-07-27T00:00:00+0530,256,264.25,256,261.15,27382,0
2023-07-28T00:00:00+0530,263.05,263.05,255.05,255.8,25895,0
2023-07-31T00:00:00+0530,255.9,262,255.9,258.1,28633,0
2023-08-01T00:00:00+0530,259.75,259.75,249.7,253.45,45402,0
2023-08-02T00:00:00+0530,253.45,257.4,253,254.5,19505,0
2023-08-03T00:00:00+0530,251,279.05,249.1,270.55,107795,0
2023-08-04T00:00:00+0530,297.8,324.65,290.95,324.65,288291,0
2023-08-07T00:00:00+0530,355,355,326,346.5,487177,0
2023-08-08T00:00:00+0530,360,360,328.15,331.3,72412,0
2023-08-09T00:00:00+0530,336.95,338.75,316.35,323.95,44863,0
2023-08-10T00:00:00+0530,329,329.5,310,313.25,37157,0
2023-08-11T00:00:00+0530,319.85,327.95,316.2,318.65,26188,0
2023-08-14T00:00:00+0530,319.85,334.95,312,316.7,63809,0
