date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,3.43,3.54,3.37,3.41,4388065,0
2023-01-03T00:00:00+0530,3.44,3.52,3.4,3.43,2799190,0
2023-01-04T00:00:00+0530,3.43,3.47,3.32,3.36,1584260,0
2023-01-05T00:00:00+0530,3.39,3.43,3.31,3.33,1407555,0
2023-01-06T00:00:00+0530,3.34,3.37,3.19,3.21,3981680,0
2023-01-09T00:00:00+0530,3.25,3.32,3.16,3.19,2890270,0
2023-01-10T00:00:00+0530,3.2,3.32,3.13,3.25,2290930,0
2023-01-11T00:00:00+0530,3.3,3.34,3.25,3.26,1104240,0
2023-01-12T00:00:00+0530,3.28,3.28,3.12,3.14,2921390,0
2023-01-13T00:00:00+0530,3.17,3.25,3.13,3.16,2519115,0
2023-01-16T00:00:00+0530,3.22,3.24,3.13,3.19,1940135,0
2023-01-17T00:00:00+0530,3.2,3.22,3.14,3.16,1057725,0
2023-01-18T00:00:00+0530,3.19,3.2,3.13,3.16,1452035,0
2023-01-19T00:00:00+0530,3.14,3.24,3.14,3.19,1834260,0
2023-01-20T00:00:00+0530,3.23,3.26,3.16,3.19,1000420,0
2023-01-23T00:00:00+0530,3.24,3.24,3.08,3.12,1233720,0
2023-01-24T00:00:00+0530,3.15,3.22,3.08,3.09,1602070,0
2023-01-25T00:00:00+0530,3.1,3.12,3.03,3.08,1306710,0
2023-01-27T00:00:00+0530,3.11,3.11,2.92,3,1771745,0
2023-01-30T00:00:00+0530,2.98,3.06,2.93,2.98,1263210,0
2023-01-31T00:00:00+0530,2.94,3.04,2.92,3,1878405,0
2023-02-01T00:00:00+0530,3.03,3.11,2.83,2.91,3465345,0
2023-02-02T00:00:00+0530,2.95,3,2.79,2.82,2618305,0
2023-02-03T00:00:00+0530,2.83,2.86,2.68,2.76,2648150,0
2023-02-06T00:00:00+0530,2.78,2.86,2.7,2.72,2434140,0
2023-02-07T00:00:00+0530,2.71,2.78,2.68,2.71,1899430,0
2023-02-08T00:00:00+0530,2.74,2.75,2.68,2.74,1225485,0
2023-02-09T00:00:00+0530,2.74,2.83,2.71,2.73,1785175,0
2023-02-10T00:00:00+0530,2.73,2.82,2.7,2.79,1095155,0
2023-02-13T00:00:00+0530,2.83,2.93,2.79,2.8,2625245,0
2023-02-14T00:00:00+0530,2.86,2.88,2.71,2.77,1881005,0
2023-02-15T00:00:00+0530,2.8,2.84,2.74,2.79,1618060,0
2023-02-16T00:00:00+0530,2.83,2.83,2.75,2.76,1675215,0
2023-02-17T00:00:00+0530,2.81,2.81,2.71,2.73,1262445,0
2023-02-20T00:00:00+0530,2.76,2.77,2.66,2.67,1911700,0
2023-02-21T00:00:00+0530,2.68,2.76,2.66,2.69,1524185,0
2023-02-22T00:00:00+0530,2.73,2.73,2.59,2.61,1131670,0
2023-02-23T00:00:00+0530,2.66,2.66,2.59,2.61,716085,0
2023-02-24T00:00:00+0530,2.66,2.66,2.53,2.54,1360830,0
2023-02-27T00:00:00+0530,2.56,2.56,2.44,2.5,1696255,0
2023-02-28T00:00:00+0530,2.5,2.56,2.48,2.51,1028315,0
2023-03-01T00:00:00+0530,2.51,2.62,2.47,2.51,3735145,0
2023-03-02T00:00:00+0530,2.5,2.56,2.49,2.53,1185415,0
2023-03-03T00:00:00+0530,2.53,2.57,2.53,2.56,857465,0
2023-03-06T00:00:00+0530,2.53,2.66,2.5,2.56,1088970,0
2023-03-08T00:00:00+0530,2.58,2.6,2.54,2.57,1020370,0
2023-03-09T00:00:00+0530,2.6,2.67,2.56,2.58,1215605,0
2023-03-10T00:00:00+0530,2.61,2.61,2.54,2.55,1496370,0
2023-03-13T00:00:00+0530,2.56,2.57,2.5,2.53,708015,0
2023-03-14T00:00:00+0530,2.51,2.55,2.43,2.46,1577455,0
2023-03-15T00:00:00+0530,2.51,2.51,2.42,2.43,558040,0
2023-03-16T00:00:00+0530,2.46,2.46,2.34,2.39,1488295,0
2023-03-17T00:00:00+0530,2.39,2.48,2.39,2.44,1204780,0
2023-03-20T00:00:00+0530,2.56,2.56,2.35,2.37,1297770,0
2023-03-21T00:00:00+0530,2.41,2.44,2.35,2.36,2198060,0
2023-03-22T00:00:00+0530,2.37,2.41,2.34,2.35,1290115,0
2023-03-23T00:00:00+0530,2.33,2.4,2.31,2.33,2300625,0
2023-03-24T00:00:00+0530,2.33,2.37,2.21,2.24,2266620,0
2023-03-27T00:00:00+0530,2.28,2.28,2.01,2.06,2424425,0
2023-03-28T00:00:00+0530,2.14,2.16,1.9,1.91,3201380,0
2023-03-29T00:00:00+0530,1.89,2.24,1.87,1.99,7807795,0
2023-03-31T00:00:00+0530,2.05,2.18,2.01,2.03,5939950,0
2023-04-03T00:00:00+0530,2.13,2.29,1.84,2.15,3644960,0
2023-04-05T00:00:00+0530,2.21,2.29,2.14,2.21,3722765,0
2023-04-06T00:00:00+0530,2.26,2.28,2.19,2.23,960970,0
2023-04-10T00:00:00+0530,2.28,2.29,2.14,2.18,2082050,0
2023-04-11T00:00:00+0530,2.22,2.27,2.18,2.24,1681285,0
2023-04-12T00:00:00+0530,2.27,2.37,2.2,2.33,2176250,0
2023-04-13T00:00:00+0530,2.31,2.43,2.31,2.36,3467405,0
2023-04-17T00:00:00+0530,2.41,2.52,2.37,2.45,1813250,0
2023-04-18T00:00:00+0530,2.46,2.54,2.43,2.46,1412890,0
2023-04-19T00:00:00+0530,2.48,2.56,2.47,2.51,1203615,0
2023-04-20T00:00:00+0530,2.55,2.67,2.54,2.6,2213745,0
2023-04-21T00:00:00+0530,2.62,2.65,2.49,2.51,1587725,0
2023-04-24T00:00:00+0530,2.53,2.58,2.43,2.44,2194365,0
2023-04-25T00:00:00+0530,2.44,2.51,2.4,2.47,1197035,0
2023-04-26T00:00:00+0530,2.5,2.54,2.42,2.44,830260,0
2023-04-27T00:00:00+0530,2.43,2.49,2.43,2.48,1036430,0
2023-04-28T00:00:00+0530,2.49,2.54,2.45,2.48,1162385,0
2023-05-02T00:00:00+0530,2.51,2.57,2.49,2.52,1448690,0
2023-05-03T00:00:00+0530,2.52,2.56,2.49,2.5,1546185,0
2023-05-04T00:00:00+0530,2.53,2.54,2.49,2.5,749325,0
2023-05-05T00:00:00+0530,2.48,2.62,2.45,2.47,1379180,0
2023-05-08T00:00:00+0530,2.51,2.52,2.45,2.46,987765,0
2023-05-09T00:00:00+0530,2.48,2.55,2.45,2.47,1800835,0
2023-05-10T00:00:00+0530,2.51,2.51,2.43,2.44,1527920,0
2023-05-11T00:00:00+0530,2.44,2.51,2.44,2.46,686210,0
2023-05-12T00:00:00+0530,2.48,2.5,2.43,2.44,622645,0
2023-05-15T00:00:00+0530,2.44,2.49,2.43,2.44,882245,0
2023-05-16T00:00:00+0530,2.46,2.46,2.41,2.43,1640460,0
2023-05-17T00:00:00+0530,2.42,2.45,2.39,2.41,951240,0
2023-05-18T00:00:00+0530,2.42,2.88,2.42,2.78,37922710,0
2023-05-19T00:00:00+0530,2.72,2.76,2.58,2.6,6148970,0
2023-05-22T00:00:00+0530,2.63,2.72,2.51,2.7,4925645,0
2023-05-23T00:00:00+0530,2.71,2.89,2.66,2.83,6559215,0
2023-05-24T00:00:00+0530,2.86,3.03,2.84,2.9,6342100,0
2023-05-25T00:00:00+0530,2.93,2.99,2.89,2.9,2672290,0
2023-05-26T00:00:00+0530,2.92,2.92,2.74,2.79,2867420,0
2023-05-29T00:00:00+0530,2.8,2.84,2.76,2.78,1176450,0
2023-05-30T00:00:00+0530,2.8,2.83,2.74,2.76,840905,0
2023-05-31T00:00:00+0530,2.77,2.78,2.71,2.76,1270570,0
2023-06-01T00:00:00+0530,2.76,2.86,2.75,2.77,931660,0
2023-06-02T00:00:00+0530,2.79,2.82,2.74,2.76,568355,0
2023-06-05T00:00:00+0530,2.81,2.98,2.8,2.95,4648910,0
2023-06-06T00:00:00+0530,2.97,3.05,2.94,2.99,3907970,0
2023-06-07T00:00:00+0530,3.01,3.04,2.94,2.96,2334465,0
2023-06-08T00:00:00+0530,2.97,3,2.84,2.9,3010045,0
2023-06-09T00:00:00+0530,2.92,2.98,2.91,2.93,1861370,0
2023-06-12T00:00:00+0530,2.95,3.05,2.95,3.02,3722325,0
2023-06-13T00:00:00+0530,3.07,3.08,2.86,2.92,3648030,0
2023-06-14T00:00:00+0530,2.92,3.02,2.92,2.94,2013115,0
2023-06-15T00:00:00+0530,2.96,2.98,2.84,2.85,2749875,0
2023-06-16T00:00:00+0530,2.87,2.91,2.84,2.86,1675945,0
2023-06-19T00:00:00+0530,2.89,2.94,2.79,2.84,2307045,0
2023-06-20T00:00:00+0530,2.83,2.87,2.78,2.79,1757930,0
2023-06-21T00:00:00+0530,2.8,2.87,2.76,2.78,2302775,0
2023-06-22T00:00:00+0530,2.78,2.81,2.73,2.75,1988200,0
2023-06-23T00:00:00+0530,2.76,2.78,2.7,2.71,1232795,0
2023-06-26T00:00:00+0530,2.73,2.75,2.66,2.69,1348285,0
2023-06-27T00:00:00+0530,2.71,2.74,2.65,2.67,1939910,0
2023-06-28T00:00:00+0530,2.69,2.7,2.61,2.66,1587155,0
2023-06-30T00:00:00+0530,2.68,2.73,2.64,2.67,2197770,0
2023-07-03T00:00:00+0530,2.67,2.73,2.65,2.67,1586520,0
2023-07-04T00:00:00+0530,2.72,2.72,2.65,2.67,2724735,0
2023-07-05T00:00:00+0530,2.68,2.81,2.67,2.72,2248220,0
2023-07-06T00:00:00+0530,2.74,2.82,2.73,2.8,2198035,0
2023-07-07T00:00:00+0530,2.79,2.84,2.73,2.78,1910675,0
2023-07-10T00:00:00+0530,2.8,2.86,2.7,2.79,1898315,0
2023-07-11T00:00:00+0530,2.76,2.8,2.71,2.73,1180210,0
2023-07-12T00:00:00+0530,2.74,3.18,2.74,2.97,19404370,0
2023-07-13T00:00:00+0530,3,3.02,2.88,2.89,2831295,0
2023-07-14T00:00:00+0530,2.91,2.91,2.84,2.85,1506490,0
2023-07-17T00:00:00+0530,2.96,2.96,2.78,2.85,2756020,0
2023-07-18T00:00:00+0530,2.87,2.93,2.81,2.86,2171960,0
2023-07-19T00:00:00+0530,2.86,2.91,2.83,2.86,931715,0
2023-07-20T00:00:00+0530,2.88,2.98,2.84,2.87,2274000,0
2023-07-21T00:00:00+0530,2.88,2.91,2.85,2.87,998310,0
2023-07-24T00:00:00+0530,2.88,2.92,2.82,2.85,1300320,0
2023-07-25T00:00:00+0530,2.88,2.92,2.84,2.85,1065570,0
2023-07-26T00:00:00+0530,2.88,2.89,2.81,2.84,1413525,0
2023-07-27T00:00:00+0530,2.84,2.98,2.83,2.91,2965265,0
2023-07-28T00:00:00+0530,2.96,3.04,2.91,2.96,2976310,0
2023-07-31T00:00:00+0530,2.94,2.98,2.88,2.9,1598530,0
2023-08-01T00:00:00+0530,2.92,2.94,2.86,2.87,1432795,0
2023-08-02T00:00:00+0530,2.88,2.91,2.81,2.84,1508685,0
2023-08-03T00:00:00+0530,2.86,2.88,2.79,2.8,1824110,0
2023-08-04T00:00:00+0530,2.81,2.88,2.8,2.82,2547605,0
2023-08-07T00:00:00+0530,2.82,2.93,2.82,2.86,2334385,0
2023-08-08T00:00:00+0530,2.86,3.32,2.84,3.17,29292975,0
2023-08-09T00:00:00+0530,3.22,3.3,3.11,3.22,10234875,0
2023-08-10T00:00:00+0530,3.24,3.6,3.23,3.39,30659730,0
2023-08-11T00:00:00+0530,3.43,3.6,3.39,3.45,22626440,0
2023-08-14T00:00:00+0530,3.46,3.51,3.03,3.1,18110595,0
2023-08-16T00:00:00+0530,3.08,3.1,2.97,3.02,5546315,0
2023-08-17T00:00:00+0530,3.04,3.24,2.99,3.13,6850880,0
2023-08-18T00:00:00+0530,3.17,3.24,3,3.04,6090545,0
2023-08-21T00:00:00+0530,3.07,3.14,2.98,2.99,3475595,0
2023-08-22T00:00:00+0530,3.01,3.04,2.98,3.01,2114110,0
2023-08-23T00:00:00+0530,3.06,3.13,3.02,3.04,3123335,0
2023-08-24T00:00:00+0530,3.07,3.15,3,3.04,3972935,0
2023-08-25T00:00:00+0530,3.05,3.11,2.97,3.06,4365275,0
2023-08-28T00:00:00+0530,3.06,3.53,3.06,3.44,33632265,0
2023-08-29T00:00:00+0530,3.47,3.61,3.42,3.57,14400455,0
2023-08-30T00:00:00+0530,3.59,3.72,3.48,3.64,15134965,0
2023-08-31T00:00:00+0530,3.71,3.76,3.54,3.58,6488765,0
2023-09-01T00:00:00+0530,3.59,3.61,3.38,3.44,7586570,0
2023-09-04T00:00:00+0530,3.48,3.54,3.43,3.45,4975455,0
2023-09-05T00:00:00+0530,3.47,3.52,3.38,3.43,3180895,0
2023-09-06T00:00:00+0530,3.45,3.48,3.39,3.44,3343890,0
2023-09-07T00:00:00+0530,3.46,3.84,3.42,3.77,17951990,0
2023-09-08T00:00:00+0530,3.8,3.81,3.66,3.67,6049430,0
2023-09-11T00:00:00+0530,3.69,4.2,3.69,4.06,47436255,0
2023-09-12T00:00:00+0530,4.04,4.1,3.79,3.81,16676410,0
