date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,4,4.05,3.9,3.95,44441,0
2023-01-03T00:00:00+0530,4.05,4.1,3.9,4.1,45301,0
2023-01-04T00:00:00+0530,4.15,4.15,3.9,3.9,82712,0
2023-01-05T00:00:00+0530,3.95,4,3.9,4,16409,0
2023-01-06T00:00:00+0530,4.1,4.1,3.8,3.8,153072,0
2023-01-09T00:00:00+0530,3.95,3.95,3.85,3.95,85752,0
2023-01-10T00:00:00+0530,3.95,4,3.8,3.85,34672,0
2023-01-11T00:00:00+0530,3.8,3.9,3.7,3.75,74536,0
2023-01-12T00:00:00+0530,3.85,3.85,3.65,3.7,40689,0
2023-01-13T00:00:00+0530,3.8,3.85,3.75,3.85,56291,0
2023-01-16T00:00:00+0530,4,4,3.8,3.9,67109,0
2023-01-17T00:00:00+0530,3.85,4,3.8,3.95,91164,0
2023-01-18T00:00:00+0530,4,4,3.75,3.8,153071,0
2023-01-19T00:00:00+0530,3.85,3.9,3.75,3.8,24957,0
2023-01-20T00:00:00+0530,3.85,3.85,3.7,3.75,125570,0
2023-01-23T00:00:00+0530,3.8,3.85,3.7,3.75,129523,0
2023-01-24T00:00:00+0530,3.85,3.85,3.7,3.7,56582,0
2023-01-25T00:00:00+0530,3.7,3.8,3.65,3.7,39813,0
2023-01-27T00:00:00+0530,3.7,3.8,3.55,3.55,91931,0
2023-01-30T00:00:00+0530,3.55,3.65,3.4,3.45,121284,0
2023-01-31T00:00:00+0530,3.45,3.6,3.35,3.55,60865,0
2023-02-01T00:00:00+0530,3.65,3.65,3.5,3.55,15041,0
2023-02-02T00:00:00+0530,3.6,3.6,3.4,3.4,73626,0
2023-02-03T00:00:00+0530,3.4,3.55,3.3,3.45,88076,0
2023-02-06T00:00:00+0530,3.45,3.6,3.4,3.45,51330,0
2023-02-07T00:00:00+0530,3.65,3.65,3.4,3.5,16248,0
2023-02-08T00:00:00+0530,3.7,3.7,3.4,3.5,47168,0
2023-02-09T00:00:00+0530,3.65,3.65,3.4,3.55,25470,0
2023-02-10T00:00:00+0530,3.55,3.55,3.4,3.45,32127,0
2023-02-13T00:00:00+0530,3.5,3.5,3.25,3.35,51353,0
2023-02-14T00:00:00+0530,3.45,3.45,3.2,3.4,15139,0
2023-02-15T00:00:00+0530,3.45,3.45,3.25,3.4,42916,0
2023-02-16T00:00:00+0530,3.4,3.45,3.25,3.25,86994,0
2023-02-17T00:00:00+0530,3.25,3.35,3.15,3.25,13238,0
2023-02-20T00:00:00+0530,3.2,3.3,3,3.1,59273,0
2023-02-21T00:00:00+0530,3.3,3.3,3.05,3.1,34659,0
2023-02-22T00:00:00+0530,3.25,3.25,3,3.1,20081,0
2023-02-23T00:00:00+0530,3,3.15,2.95,3,25684,0
2023-02-24T00:00:00+0530,3.05,3.05,2.85,2.95,29294,0
2023-02-27T00:00:00+0530,2.95,2.95,2.7,2.75,133408,0
2023-02-28T00:00:00+0530,2.75,2.85,2.6,2.75,104362,0
2023-03-01T00:00:00+0530,2.8,3,2.65,3,65315,0
2023-03-02T00:00:00+0530,3.15,3.25,3,3.1,65717,0
2023-03-03T00:00:00+0530,3.15,3.2,2.9,2.9,116607,0
2023-03-06T00:00:00+0530,3.05,3.1,2.8,3,52072,0
2023-03-08T00:00:00+0530,3.05,3.05,2.95,3,31797,0
2023-03-09T00:00:00+0530,3.05,3.05,2.9,2.9,28366,0
2023-03-10T00:00:00+0530,2.95,3.05,2.9,3,24522,0
2023-03-13T00:00:00+0530,3,3,2.8,2.85,39662,0
2023-03-14T00:00:00+0530,2.9,2.9,2.7,2.85,11174,0
2023-03-15T00:00:00+0530,2.75,2.9,2.75,2.85,23518,0
