date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,70.5,72.15,68.9,71.5,580713,0
2023-01-03T00:00:00+0530,71.8,72.3,70.65,71.65,423186,0
2023-01-04T00:00:00+0530,72,73.8,69.45,70.95,386955,0
2023-01-05T00:00:00+0530,71.3,71.45,68.65,69.75,221878,0
2023-01-06T00:00:00+0530,71.15,71.15,68,68.35,123708,0
2023-01-09T00:00:00+0530,69.95,71.75,69.5,71.75,376175,0
2023-01-10T00:00:00+0530,75.3,75.3,72,73.95,2090925,0
2023-01-11T00:00:00+0530,74.1,75.4,73.15,74.75,695856,0
2023-01-12T00:00:00+0530,74.75,75.5,72.65,73.9,348458,0
2023-01-13T00:00:00+0530,73.2,77.55,72.6,77.45,2651840,0
2023-01-16T00:00:00+0530,75.85,77.4,73.6,73.6,659722,0
2023-01-17T00:00:00+0530,71.2,72.05,69.95,69.95,1261768,0
2023-01-18T00:00:00+0530,67.6,71.95,67.6,70.65,521021,0
2023-01-19T00:00:00+0530,69.2,72.3,68.55,70.55,448502,0
2023-01-20T00:00:00+0530,71.5,71.5,68.6,69.1,328038,0
2023-01-23T00:00:00+0530,69.8,72.55,69.8,70.75,1000443,0
2023-01-24T00:00:00+0530,70.85,71.6,69.4,70.8,237891,0
2023-01-25T00:00:00+0530,70.85,70.85,67.3,67.35,977513,0
2023-01-27T00:00:00+0530,67.45,67.7,64,64,279284,0
2023-01-30T00:00:00+0530,62.95,65.5,60.8,61.5,654246,0
2023-01-31T00:00:00+0530,61.9,64.55,61.5,64.35,342306,0
2023-02-01T00:00:00+0530,64.7,65.3,61.15,61.15,290118,0
2023-02-02T00:00:00+0530,60.1,61.15,58.1,58.75,646664,0
2023-02-03T00:00:00+0530,58.35,60.3,55.85,55.85,452064,0
2023-02-06T00:00:00+0530,55.85,56.8,53.05,53.3,597266,0
2023-02-07T00:00:00+0530,53.7,55.95,53.3,55.95,238270,0
2023-02-08T00:00:00+0530,56.8,58.7,56.55,58.7,320263,0
2023-02-09T00:00:00+0530,59.35,61.6,59,61.6,484666,0
2023-02-10T00:00:00+0530,63.6,64.65,61.65,62.25,491073,0
2023-02-13T00:00:00+0530,61.9,62.4,59.15,59.15,267219,0
2023-02-14T00:00:00+0530,60.05,60.05,56.2,57.1,384060,0
2023-02-15T00:00:00+0530,54.3,57,54.25,56.9,309528,0
2023-02-16T00:00:00+0530,58.1,58.1,56,56.8,143862,0
2023-02-17T00:00:00+0530,56.25,57.6,55.5,56,186942,0
2023-02-20T00:00:00+0530,56,56.65,54.3,54.75,148307,0
2023-02-21T00:00:00+0530,55,57.45,55,57.45,66788,0
2023-02-22T00:00:00+0530,60.3,60.3,60.3,60.3,112153,0
2023-02-23T00:00:00+0530,63.3,63.3,60.3,63.3,1280973,0
2023-02-24T00:00:00+0530,66.45,66.45,63.7,66.45,1156742,0
2023-02-27T00:00:00+0530,69.7,69.75,63.15,63.15,755185,0
2023-02-28T00:00:00+0530,60,60,60,60,115030,0
2023-03-01T00:00:00+0530,57,61.55,57,57.55,1511368,0
2023-03-02T00:00:00+0530,58.05,60.4,58.05,60.2,242878,0
2023-03-03T00:00:00+0530,59.9,63,57.9,58.8,381269,0
2023-03-06T00:00:00+0530,60.9,61,58.2,59.25,208228,0
2023-03-08T00:00:00+0530,58.05,59.9,58.05,58.8,74274,0
2023-03-09T00:00:00+0530,59.2,59.5,57.1,57.6,150598,0
2023-03-10T00:00:00+0530,56.95,60.45,56.65,60.2,295687,0
2023-03-13T00:00:00+0530,59.6,60.75,57.2,57.45,496769,0
2023-03-14T00:00:00+0530,57.35,59,56.45,57.15,244027,0
2023-03-15T00:00:00+0530,58.3,58.9,56,56.6,77518,0
2023-03-16T00:00:00+0530,55.7,57.6,54.75,56.4,494569,0
2023-03-17T00:00:00+0530,56.7,58.45,56.3,57.7,184037,0
2023-03-20T00:00:00+0530,57.25,58.3,56.1,57.35,112775,0
2023-03-21T00:00:00+0530,58.9,60.2,57.8,60.2,238353,0
2023-03-22T00:00:00+0530,63.2,63.2,61.3,63.2,755069,0
2023-03-23T00:00:00+0530,66.35,66.35,64.5,66.35,1233504,0
2023-03-24T00:00:00+0530,69.4,69.4,64.25,64.7,808827,0
2023-03-27T00:00:00+0530,64.6,66,61.5,61.9,274262,0
