date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,268.1,270,258,260.2,559175,0
2023-01-03T00:00:00+0530,259.4,265.75,258.2,265.2,186580,0
2023-01-04T00:00:00+0530,264,267.8,262.5,267.05,456140,0
2023-01-05T00:00:00+0530,267.05,268.6,263.65,266.75,545825,0
2023-01-06T00:00:00+0530,267.8,268.8,261.75,264.65,467010,0
2023-01-09T00:00:00+0530,269.4,270.6,264.9,268.45,228290,0
2023-01-10T00:00:00+0530,265.45,268.15,263.55,264.7,145190,0
2023-01-11T00:00:00+0530,267.35,267.35,262.6,264.3,236640,0
2023-01-12T00:00:00+0530,262.4,264,259.35,262.65,467165,0
2023-01-13T00:00:00+0530,265,265,255.25,260.65,522830,0
2023-01-16T00:00:00+0530,261.95,261.95,253,256.2,472955,0
2023-01-17T00:00:00+0530,256.2,261.65,253.2,258.8,975020,0
2023-01-18T00:00:00+0530,260.1,263.6,259.2,261.85,238955,0
2023-01-19T00:00:00+0530,260.4,262.8,258,258.8,231540,0
2023-01-20T00:00:00+0530,258,260.7,257.6,259.05,109065,0
2023-01-23T00:00:00+0530,257.6,260.25,257.6,259,77420,0
2023-01-24T00:00:00+0530,257.2,264,257.2,260.9,411080,0
2023-01-25T00:00:00+0530,263,263,256.85,259.4,145815,0
2023-01-27T00:00:00+0530,260,261.95,246.2,257.2,426795,0
2023-01-30T00:00:00+0530,259.8,259.8,247.55,255.35,211040,0
2023-01-31T00:00:00+0530,252,267.1,250,260,430250,0
2023-02-01T00:00:00+0530,263.9,263.9,242.65,248.15,1025260,0
2023-02-02T00:00:00+0530,248,248.15,235.05,236.6,4625235,0
2023-02-03T00:00:00+0530,236.6,241,220.5,231.6,1877590,0
2023-02-06T00:00:00+0530,233.6,243.45,231,241.55,984040,0
2023-02-07T00:00:00+0530,243.4,249,237.4,247,293560,0
2023-02-08T00:00:00+0530,247,253.95,244,251.6,327975,0
2023-02-09T00:00:00+0530,249.05,256,227.2,252.6,750115,0
2023-02-10T00:00:00+0530,247,255,239.2,241.05,323910,0
2023-02-13T00:00:00+0530,244,244,232.2,236.2,576275,0
2023-02-14T00:00:00+0530,236.2,238.55,231,235.3,198325,0
2023-02-15T00:00:00+0530,235.3,238.9,228.6,229.9,268725,0
2023-02-16T00:00:00+0530,233.35,238,231.7,237.05,136650,0
2023-02-17T00:00:00+0530,236,238.25,232.7,233.95,2318315,0
2023-02-20T00:00:00+0530,236,241.9,232.05,239.2,532765,0
2023-02-21T00:00:00+0530,245.2,249.4,238.6,247.3,946165,0
2023-02-22T00:00:00+0530,247,247.2,242.5,244.75,363225,0
2023-02-23T00:00:00+0530,244.95,249.75,240.65,243.75,562660,0
2023-02-24T00:00:00+0530,243.8,245.95,237.1,238.85,675850,0
2023-02-27T00:00:00+0530,241.8,245.8,238.35,244.55,783015,0
2023-02-28T00:00:00+0530,243.4,248.8,239.55,247.8,292870,0
2023-03-01T00:00:00+0530,243.25,252,243.25,248.9,207875,0
2023-03-02T00:00:00+0530,248.9,251.2,246.75,248.4,232005,0
2023-03-03T00:00:00+0530,246.3,252.8,246.3,249.45,163505,0
2023-03-06T00:00:00+0530,253,253,249,250.65,411455,0
2023-03-08T00:00:00+0530,250,252,245.35,247.2,383345,0
2023-03-09T00:00:00+0530,245,252,242.4,246.35,159230,0
2023-03-10T00:00:00+0530,245,246.3,241.4,242.85,517100,0
2023-03-13T00:00:00+0530,242,245.55,235.8,239.65,253675,0
2023-03-14T00:00:00+0530,239.65,242.8,236,241.35,769485,0
2023-03-15T00:00:00+0530,239.65,242.8,235,236.85,127270,0
2023-03-16T00:00:00+0530,234,236,224,230.6,1051695,0
2023-03-17T00:00:00+0530,233.8,240.9,227.7,237.6,3323010,0
2023-03-20T00:00:00+0530,237.6,240.8,232.65,235.5,161145,0
2023-03-21T00:00:00+0530,235.4,259.4,234.1,244.95,456845,0
2023-03-22T00:00:00+0530,240,241.6,237.3,239.1,197955,0
2023-03-23T00:00:00+0530,238.8,239.6,234.8,237.7,338030,0
2023-03-24T00:00:00+0530,235.6,238.95,234.9,235.75,64975,0
2023-03-27T00:00:00+0530,234.2,235.75,230,233,235930,0
2023-03-28T00:00:00+0530,234,237.7,227.5,233.9,149610,0
2023-03-29T00:00:00+0530,232,248,231.25,244.05,291270,0
2023-03-31T00:00:00+0530,246.3,246.3,236.6,243.6,303260,0
2023-04-03T00:00:00+0530,244.9,244.9,239.8,241,99255,0
2023-04-05T00:00:00+0530,240.4,245,238.25,239.85,61480,0
2023-04-06T00:00:00+0530,238.6,246.3,238.6,243,178015,0
2023-04-10T00:00:00+0530,239.3,243.95,238.4,238.9,622805,0
2023-04-11T00:00:00+0530,239,243,239,239.8,287825,0
2023-04-12T00:00:00+0530,240,240.4,236.3,237.6,384575,0
2023-04-13T00:00:00+0530,237,239,235.35,238.2,88915,0
2023-04-17T00:00:00+0530,238,241.1,235.45,236.95,408745,0
2023-04-18T00:00:00+0530,237.1,238.05,235.4,236.15,517360,0
2023-04-19T00:00:00+0530,238.35,238.35,232.5,233.75,510995,0
2023-04-20T00:00:00+0530,237.6,241.95,234.05,238.95,254845,0
2023-04-21T00:00:00+0530,238.8,240.9,237.2,239.5,57025,0
2023-04-24T00:00:00+0530,238,241.4,238,239.05,37875,0
2023-04-25T00:00:00+0530,240.3,241.8,237.25,237.8,59670,0
2023-04-26T00:00:00+0530,239.05,239.4,234,234.95,64370,0
2023-04-27T00:00:00+0530,236.2,238,233.85,235.65,191860,0
2023-04-28T00:00:00+0530,239.2,240.2,234,239.15,378950,0
2023-05-02T00:00:00+0530,243,252,239,248.1,1983975,0
2023-05-03T00:00:00+0530,248.1,263.8,248.1,261.45,1450515,0
2023-05-04T00:00:00+0530,261.6,264.65,256.5,262.95,441335,0
2023-05-05T00:00:00+0530,262,264,258,260,214090,0
2023-05-08T00:00:00+0530,262.6,268.75,260.65,263.9,416100,0
2023-05-09T00:00:00+0530,267,267.8,257.15,258.5,279705,0
2023-05-10T00:00:00+0530,258.5,265.5,258.5,261.9,383925,0
2023-05-11T00:00:00+0530,264.4,264.4,256.8,258.95,53695,0
2023-05-12T00:00:00+0530,261.55,266.25,252.45,255.45,1897310,0
2023-05-15T00:00:00+0530,254.4,257.6,249.4,256.5,254805,0
2023-05-16T00:00:00+0530,254.6,261.95,254.6,259.15,572445,0
2023-05-17T00:00:00+0530,259.4,263.4,258.2,259.75,149830,0
2023-05-18T00:00:00+0530,262,269.95,260.8,262.7,748655,0
2023-05-19T00:00:00+0530,262.8,266.3,258.4,259.65,78285,0
2023-05-22T00:00:00+0530,259.65,263.25,256.8,259.1,244325,0
2023-05-23T00:00:00+0530,258.55,265.6,258.55,264,415085,0
2023-05-24T00:00:00+0530,263.85,268,263,267.1,423970,0
2023-05-25T00:00:00+0530,263.2,273.3,263.2,270.05,467565,0
2023-05-26T00:00:00+0530,270.4,271.95,261,265.1,99960,0
2023-05-29T00:00:00+0530,265.6,268,261,263.4,181985,0
2023-05-30T00:00:00+0530,263.4,280,262,278,1004960,0
2023-05-31T00:00:00+0530,275.2,293,273,291.05,1525440,0
2023-06-01T00:00:00+0530,290.1,290.1,284,287.65,436220,0
2023-06-02T00:00:00+0530,287.65,290,284.2,286.3,349425,0
2023-06-05T00:00:00+0530,287.8,289.95,284.75,288.55,211280,0
2023-06-06T00:00:00+0530,289.75,290,284.7,288.7,245000,0
2023-06-07T00:00:00+0530,284.8,289.9,280.45,286.8,556525,0
2023-06-08T00:00:00+0530,286.4,286.4,277,278.95,964685,0
2023-06-09T00:00:00+0530,280,285,272,273.4,281900,0
2023-06-12T00:00:00+0530,273.4,276.3,268.4,269,220405,0
2023-06-13T00:00:00+0530,268.2,282.75,267.2,280.8,370435,0
2023-06-14T00:00:00+0530,283.15,283.6,276.9,278.3,261165,0
2023-06-15T00:00:00+0530,282,282,274.65,276.8,213020,0
2023-06-16T00:00:00+0530,279.15,280.9,276,279.45,255875,0
2023-06-19T00:00:00+0530,281.75,285,273.4,275,386190,0
2023-06-20T00:00:00+0530,273.6,281.8,273.45,277.35,88320,0
2023-06-21T00:00:00+0530,278.95,284.7,278.8,284.1,275460,0
2023-06-22T00:00:00+0530,284.05,285.9,275,277.95,82225,0
2023-06-23T00:00:00+0530,279.4,279.4,270,271.6,91825,0
2023-06-26T00:00:00+0530,274,279.9,271.6,278.2,307780,0
2023-06-27T00:00:00+0530,289.8,289.8,279.15,282.05,3071430,0
2023-06-28T00:00:00+0530,286,289.75,280,283.15,1787145,0
2023-06-30T00:00:00+0530,286.2,287,274.45,274.85,1131375,0
2023-07-03T00:00:00+0530,277.9,277.9,269,274.2,559730,0
2023-07-04T00:00:00+0530,274.2,282.4,274.2,281,536415,0
2023-07-05T00:00:00+0530,282.8,283.6,278,280.2,332115,0
2023-07-06T00:00:00+0530,283.8,283.8,276.25,277.15,659300,0
2023-07-07T00:00:00+0530,278,279.8,275.45,278,435320,0
2023-07-10T00:00:00+0530,276.5,282,276.35,279.95,374470,0
2023-07-11T00:00:00+0530,280,280.75,274.75,275.95,241195,0
2023-07-12T00:00:00+0530,276.4,279.9,271,277.8,480175,0
2023-07-13T00:00:00+0530,277.8,282.7,274.6,277.05,384810,0
2023-07-14T00:00:00+0530,281.55,283.8,277.5,281.05,205575,0
2023-07-17T00:00:00+0530,283,287,280,281.55,261825,0
2023-07-18T00:00:00+0530,282.95,283.35,278.25,280.5,1369580,0
2023-07-19T00:00:00+0530,282,289.25,280.5,285.8,447010,0
2023-07-20T00:00:00+0530,289.6,296,284.4,286.05,1492510,0
2023-07-21T00:00:00+0530,286.05,290,282.2,285.55,258630,0
2023-07-24T00:00:00+0530,285.55,287.6,283.6,284.75,145180,0
2023-07-25T00:00:00+0530,284.75,286.95,276.6,278.3,360705,0
2023-07-26T00:00:00+0530,278.4,281.7,274.6,276.85,147250,0
2023-07-27T00:00:00+0530,277.2,278.6,270.75,272.9,163500,0
2023-07-28T00:00:00+0530,272.9,279.4,272.9,278,168455,0
2023-07-31T00:00:00+0530,281.2,281.2,272.3,274.6,282205,0
2023-08-01T00:00:00+0530,278,278,270,271.5,153155,0
2023-08-02T00:00:00+0530,272.2,276,262,268.35,1011225,0
2023-08-03T00:00:00+0530,273,273,264.05,267.35,823755,0
2023-08-04T00:00:00+0530,267.35,277.75,264.6,271.7,1215155,0
2023-08-07T00:00:00+0530,272,278,269.2,277.05,241840,0
2023-08-08T00:00:00+0530,277.95,277.95,270,275.15,439885,0
2023-08-09T00:00:00+0530,274.2,276.8,271,275.4,163780,0
2023-08-10T00:00:00+0530,275.8,275.8,270.35,272.55,173550,0
2023-08-11T00:00:00+0530,272.55,274.65,270.2,272.65,142670,0
2023-08-14T00:00:00+0530,273.4,274.1,267,270.65,373540,0
2023-08-16T00:00:00+0530,271.75,272.55,267.55,268.9,119335,0
2023-08-17T00:00:00+0530,272,272.2,262.1,265.1,779485,0
2023-08-18T00:00:00+0530,265,267.6,262.55,265.75,298455,0
2023-08-21T00:00:00+0530,264.25,268.55,262.85,267,218765,0
2023-08-22T00:00:00+0530,267.2,270.75,265,267.15,347635,0
2023-08-23T00:00:00+0530,267.15,272.8,264.75,271.9,293970,0
2023-08-24T00:00:00+0530,273.6,275,270.2,272.85,455260,0
2023-08-25T00:00:00+0530,274,278.2,270.35,275.1,1176455,0
2023-08-28T00:00:00+0530,275.1,280.6,272.6,277.85,344520,0
2023-08-29T00:00:00+0530,279.75,279.75,274,277.05,184975,0
2023-08-30T00:00:00+0530,277.8,281.2,277,279.95,321065,0
2023-08-31T00:00:00+0530,279.95,288.65,279.9,285.05,724825,0
2023-09-01T00:00:00+0530,285.2,287.6,277.3,281.7,608300,0
2023-09-04T00:00:00+0530,283.8,293.4,282.3,284.7,579315,0
2023-09-05T00:00:00+0530,283.6,294.6,282.3,291.55,550935,0
2023-09-06T00:00:00+0530,294,295.95,286.6,288.85,886990,0
2023-09-07T00:00:00+0530,291.75,303,291.75,296.15,1162180,0
2023-09-08T00:00:00+0530,299.8,307.5,297.1,303.25,472925,0
