date,open,high,low,close,volume,empty
2025-08-06T00:00:00+0530,950,950,935,949,67,0
2025-08-07T00:00:00+0530,949,949,940,940,50,0
2025-08-08T00:00:00+0530,950,960,938.18,960,26,0
2025-08-11T00:00:00+0530,960,960,960,960,10,0
2025-08-12T00:00:00+0530,960,960,950,950,40,0
2025-08-13T00:00:00+0530,960,975,941,941,82,0
2025-08-14T00:00:00+0530,941,953,941,941.2,20,0
2025-08-18T00:00:00+0530,941,951.92,935.11,951.92,60,0
2025-08-19T00:00:00+0530,950,962,950,962,32,0
2025-08-20T00:00:00+0530,950,960,950,953,21,0
2025-08-21T00:00:00+0530,953,953,940,940,20,0
2025-08-22T00:00:00+0530,940,951.1,940,951.01,27,0
2025-08-25T00:00:00+0530,946,950,945,950,27,0
2025-08-28T00:00:00+0530,961,961,946,946,51,0
2025-08-29T00:00:00+0530,946,946,946,946,104,0
2025-09-03T00:00:00+0530,959.12,959.12,957.49,959.12,115,0
2025-09-04T00:00:00+0530,959.12,959.12,946,948,40,0
2025-09-05T00:00:00+0530,948,948,948,948,10,0
