date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,885,900,885,892.45,3253,0
2023-01-03T00:00:00+0530,894.45,900.9,879.8,891.7,2636,0
2023-01-04T00:00:00+0530,900.75,903.15,864.7,866.55,7317,0
2023-01-05T00:00:00+0530,867.1,887.95,862.15,879.65,2738,0
2023-01-06T00:00:00+0530,890,890,858,870.85,2374,0
2023-01-09T00:00:00+0530,870.85,890,852.35,873.75,49843,0
2023-01-10T00:00:00+0530,890,983.8,850,873.2,50160,0
2023-01-11T00:00:00+0530,880,880,859.6,868.4,18413,0
2023-01-12T00:00:00+0530,872,872,851.15,858.2,2874,0
2023-01-13T00:00:00+0530,866,867.05,848.05,853,3892,0
2023-01-16T00:00:00+0530,859.75,860.75,845.15,849.65,2476,0
2023-01-17T00:00:00+0530,859.85,859.85,826,830.25,4327,0
2023-01-18T00:00:00+0530,837.45,850,829.65,843.15,4463,0
2023-01-19T00:00:00+0530,848.05,850,830.1,832.1,2124,0
2023-01-20T00:00:00+0530,845,850.05,830.15,835.65,2018,0
2023-01-23T00:00:00+0530,846.55,847.1,831.25,841.3,4528,0
2023-01-24T00:00:00+0530,849.95,849.95,805,815.1,4382,0
2023-01-25T00:00:00+0530,814.95,817.85,770.05,783.5,10420,0
2023-01-27T00:00:00+0530,795.55,800,765.1,768.95,3789,0
2023-01-30T00:00:00+0530,765.05,791.05,765,789.8,1045,0
2023-01-31T00:00:00+0530,778.75,804.75,777.05,795.4,22306,0
2023-02-01T00:00:00+0530,807.75,807.75,717.8,730.95,10329,0
2023-02-02T00:00:00+0530,732.95,766,730.95,747.85,6613,0
2023-02-03T00:00:00+0530,746,757.45,713.05,720.2,14118,0
2023-02-06T00:00:00+0530,730,730,703,706.4,10928,0
2023-02-07T00:00:00+0530,707.75,712.45,701.05,705.35,14300,0
2023-02-08T00:00:00+0530,724,787.15,705.15,751.95,13644,0
2023-02-09T00:00:00+0530,779.9,779.9,745.1,749.1,2370,0
2023-02-10T00:00:00+0530,725,744.3,721,726.9,6543,0
2023-02-13T00:00:00+0530,726.9,746,705.05,709.2,7844,0
2023-02-14T00:00:00+0530,723.4,730,668,672.9,7191,0
2023-02-15T00:00:00+0530,680.2,688.45,680,681.05,1839,0
2023-02-16T00:00:00+0530,711.85,711.85,685.1,690.9,2720,0
2023-02-17T00:00:00+0530,690.95,696.75,675.1,679.2,1046,0
2023-02-20T00:00:00+0530,693.1,693.1,670,676.6,1632,0
2023-02-21T00:00:00+0530,676.6,676.6,645,651.25,3558,0
2023-02-22T00:00:00+0530,648,657.55,599.4,620,18271,0
2023-02-23T00:00:00+0530,632,633,608.1,613.3,24652,0
2023-02-24T00:00:00+0530,608.7,625.65,580.1,589.55,6738,0
2023-02-27T00:00:00+0530,608,650.35,571.05,575.95,35873,0
2023-02-28T00:00:00+0530,577.25,589.85,564.85,581.75,5172,0
2023-03-01T00:00:00+0530,599.5,625.6,589,595.7,37340,0
2023-03-02T00:00:00+0530,600,600,581.1,589.1,17014,0
2023-03-03T00:00:00+0530,599.7,599.7,584.85,589.35,3266,0
2023-03-06T00:00:00+0530,611,611,586.15,594.05,8139,0
2023-03-08T00:00:00+0530,591.1,607.15,590.05,599.4,2990,0
2023-03-09T00:00:00+0530,592,719.25,592,686.9,118454,0
