date,open,high,low,close,volume,empty
2025-08-01T00:00:00+0530,90,94.5,85.5,94.5,2129600,0
2025-08-04T00:00:00+0530,99.2,99.2,90.05,94.85,265600,0
2025-08-05T00:00:00+0530,93.9,93.9,90.15,91.3,62400,0
2025-08-06T00:00:00+0530,90.9,90.9,86.75,86.95,67200,0
2025-08-07T00:00:00+0530,86.75,86.75,85.05,85.95,73600,0
2025-08-08T00:00:00+0530,86.9,87.7,85.1,87.1,16000,0
2025-08-11T00:00:00+0530,89.4,90,86.6,87,28800,0
2025-08-12T00:00:00+0530,89.4,90,89.4,89.95,12800,0
2025-08-13T00:00:00+0530,87.2,88,87.2,88,3200,0
2025-08-14T00:00:00+0530,87.5,88.8,87.5,88.8,3200,0
2025-08-18T00:00:00+0530,85.25,89.1,85.25,86.9,19200,0
2025-08-19T00:00:00+0530,87,99,86.95,93.55,366400,0
2025-08-20T00:00:00+0530,95.5,104.8,92.2,99.85,257600,0
2025-08-21T00:00:00+0530,103.95,105.9,101.2,102.4,78400,0
2025-08-22T00:00:00+0530,104.7,104.7,102.95,104,64000,0
2025-08-25T00:00:00+0530,107,118,107,116.1,115200,0
2025-08-26T00:00:00+0530,118.8,128,118.1,121.75,152000,0
2025-08-28T00:00:00+0530,122,137.6,122,130.5,161600,0
2025-08-29T00:00:00+0530,134.25,139.65,121,122.2,129600,0
2025-09-01T00:00:00+0530,117.3,118.55,103.05,104.5,433600,0
2025-09-02T00:00:00+0530,104.5,107.75,103,105.95,54400,0
2025-09-03T00:00:00+0530,105.9,106.1,103.2,105.5,120000,0
2025-09-04T00:00:00+0530,108.1,109.95,105.55,106.45,73600,0
2025-09-05T00:00:00+0530,105,105,104,104,3200,0
