date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,16.2,16.7,16.05,16.2,371420,0
2023-01-03T00:00:00+0530,16.2,17,15.4,17,461940,0
2023-01-04T00:00:00+0530,16.75,17.05,16.2,16.2,219260,0
2023-01-05T00:00:00+0530,16.2,16.55,15.7,15.9,101190,0
2023-01-06T00:00:00+0530,16.4,16.4,15.85,16.35,31910,0
2023-01-09T00:00:00+0530,16.9,16.9,16.05,16.5,84140,0
2023-01-10T00:00:00+0530,16.5,16.8,16,16.1,83970,0
2023-01-11T00:00:00+0530,15.7,16.4,15.7,16.3,25690,0
2023-01-12T00:00:00+0530,16.8,16.8,16,16.05,68880,0
2023-01-13T00:00:00+0530,16.3,16.35,15.9,16.05,43590,0
2023-01-16T00:00:00+0530,16.05,16.85,16.05,16.6,197220,0
2023-01-17T00:00:00+0530,16.2,16.8,16.2,16.8,123050,0
2023-01-18T00:00:00+0530,17.5,17.5,16.8,17.35,503980,0
2023-01-19T00:00:00+0530,17.5,17.8,17,17.7,226520,0
2023-01-20T00:00:00+0530,17.35,18.6,17.35,18.2,1047230,0
2023-01-23T00:00:00+0530,19.15,19.15,19.15,19.15,313480,0
2023-01-24T00:00:00+0530,20.1,20.1,20.1,20.1,153790,0
2023-01-25T00:00:00+0530,21.1,21.1,20.1,21.1,1930230,0
2023-01-27T00:00:00+0530,22.15,22.15,21.5,22.15,2346210,0
2023-01-30T00:00:00+0530,23.3,23.3,23.15,23.3,206470,0
2023-01-31T00:00:00+0530,24.4,24.4,23.7,24.4,859420,0
2023-02-01T00:00:00+0530,25.65,25.65,23.2,23.2,4000350,0
2023-02-02T00:00:00+0530,22.05,22.05,22.05,22.05,293570,0
2023-02-03T00:00:00+0530,20.9,23.1,20.9,23.1,819920,0
2023-02-06T00:00:00+0530,24.3,24.3,23.2,24.3,874318,0
2023-02-07T00:00:00+0530,25.2,25.2,23.1,23.1,593068,0
2023-02-08T00:00:00+0530,22.4,22.4,21.9,21.9,230156,0
2023-02-09T00:00:00+0530,20.8,23,20.8,22.1,780100,0
2023-02-10T00:00:00+0530,22.1,22.65,21,21.6,208350,0
2023-02-13T00:00:00+0530,21.2,21.25,20.5,20.6,195418,0
2023-02-14T00:00:00+0530,20.1,20.1,19.6,19.6,147010,0
2023-02-15T00:00:00+0530,18.6,20.6,18.6,20.5,448908,0
2023-02-16T00:00:00+0530,21.4,21.5,20,20.1,170512,0
2023-02-17T00:00:00+0530,20,21.1,19.75,20.15,169228,0
2023-02-20T00:00:00+0530,20.4,21,19.9,20.35,129166,0
2023-02-21T00:00:00+0530,20.4,21.25,19.7,20.5,116148,0
2023-02-22T00:00:00+0530,20.5,21,19.5,19.75,190482,0
2023-02-23T00:00:00+0530,20.45,20.5,19.5,19.8,158402,0
2023-02-24T00:00:00+0530,19.95,20,19,19.6,177536,0
2023-02-27T00:00:00+0530,19.5,19.7,18.65,18.7,122398,0
2023-02-28T00:00:00+0530,18.4,19,17.8,18.4,213096,0
2023-03-01T00:00:00+0530,18.4,19.3,18.1,18.95,90744,0
2023-03-02T00:00:00+0530,18.1,18.8,18,18.55,121760,0
2023-03-03T00:00:00+0530,18.5,19.5,18.1,19.4,243094,0
2023-03-06T00:00:00+0530,20.1,20.35,19.4,20.1,215192,0
