date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,281,284.65,279.55,283,34784,0
2023-01-03T00:00:00+0530,283.6,285.8,282.05,283.85,21666,0
2023-01-04T00:00:00+0530,282.3,284,279,281.1,25613,0
2023-01-05T00:00:00+0530,281.1,286,278,279.05,37266,0
2023-01-06T00:00:00+0530,279,286.9,279,285.1,42758,0
2023-01-09T00:00:00+0530,286.9,287.95,278,278.85,43047,0
2023-01-10T00:00:00+0530,280,280,274.25,276.1,26574,0
2023-01-11T00:00:00+0530,277.35,279,274.6,275.95,29083,0
2023-01-12T00:00:00+0530,276.7,278.9,272.15,273.7,17299,0
2023-01-13T00:00:00+0530,278,278,272,274.45,33319,0
2023-01-16T00:00:00+0530,278.55,278.55,264.5,269.3,109822,0
2023-01-17T00:00:00+0530,273,273.75,268.65,270.5,18223,0
2023-01-18T00:00:00+0530,273,275,269.75,273.2,24650,0
2023-01-19T00:00:00+0530,272.05,274.1,270.65,273.35,9599,0
2023-01-20T00:00:00+0530,276.05,291.3,272.5,288.45,116717,0
2023-01-23T00:00:00+0530,290.5,292.95,283,284.4,54813,0
2023-01-24T00:00:00+0530,284.65,285.95,278.75,281.8,22576,0
2023-01-25T00:00:00+0530,281.75,281.75,268,271.15,54369,0
2023-01-27T00:00:00+0530,273.65,274.35,262,268.15,43803,0
2023-01-30T00:00:00+0530,282.5,289.9,276,288.3,359625,0
2023-01-31T00:00:00+0530,293,294.5,284.1,285.95,112253,0
2023-02-01T00:00:00+0530,287.5,287.95,278,280.4,54364,0
2023-02-02T00:00:00+0530,282.95,284.05,275,276.3,57977,0
2023-02-03T00:00:00+0530,276.3,279.95,264.05,266.35,78426,0
2023-02-06T00:00:00+0530,268,272,265.85,266.65,43452,0
2023-02-07T00:00:00+0530,270.5,270.95,265.8,266.75,30079,0
2023-02-08T00:00:00+0530,266.15,268.95,264.5,266.05,26306,0
2023-02-09T00:00:00+0530,265,269.9,264.05,266.5,35716,0
2023-02-10T00:00:00+0530,266.3,268.2,264.85,265.7,24562,0
2023-02-13T00:00:00+0530,266.7,269.15,257.3,259.6,39110,0
2023-02-14T00:00:00+0530,264.4,264.4,258,259.55,26854,0
2023-02-15T00:00:00+0530,259,263.35,258.55,261.45,28005,0
2023-02-16T00:00:00+0530,261.9,263.9,259.5,261,27819,0
2023-02-17T00:00:00+0530,261,261.75,258.55,259.6,18396,0
2023-02-20T00:00:00+0530,261.5,262.2,257.8,260.7,21928,0
2023-02-21T00:00:00+0530,260.7,263.9,259.85,261.9,17933,0
2023-02-22T00:00:00+0530,262.5,262.5,253.85,256.8,21690,0
2023-02-23T00:00:00+0530,256.9,258.95,254,254.5,12897,0
2023-02-24T00:00:00+0530,257.7,257.75,250.05,250.2,18785,0
2023-02-27T00:00:00+0530,250.2,251.55,245.15,246.6,29086,0
2023-02-28T00:00:00+0530,246.6,250,239,240.7,37245,0
2023-03-01T00:00:00+0530,240.7,252,240,250.25,36088,0
2023-03-02T00:00:00+0530,252,254.05,250.95,252.7,10775,0
2023-03-03T00:00:00+0530,255.5,265.4,255.5,261.65,56903,0
2023-03-06T00:00:00+0530,263.5,264.95,260.15,260.85,17212,0
2023-03-08T00:00:00+0530,262,263.45,258,260,28514,0
2023-03-09T00:00:00+0530,260.4,266,260.4,263.7,23305,0
2023-03-10T00:00:00+0530,263.7,264.1,259.7,262.35,17871,0
2023-03-13T00:00:00+0530,262.35,262.95,249.25,251.25,29323,0
2023-03-14T00:00:00+0530,257.65,257.65,236.8,245,44141,0
2023-03-15T00:00:00+0530,250,252.65,240.6,242.45,24865,0
2023-03-16T00:00:00+0530,243,243,235.05,237.25,57176,0
2023-03-17T00:00:00+0530,243.9,244,240,241.9,35821,0
2023-03-20T00:00:00+0530,241.95,243.2,235.25,239.05,30898,0
2023-03-21T00:00:00+0530,242.65,247.65,242.05,246.2,32664,0
2023-03-22T00:00:00+0530,248.8,254,246,247.85,28127,0
2023-03-23T00:00:00+0530,248.95,248.95,241.4,241.9,32048,0
2023-03-24T00:00:00+0530,242,242.9,238.5,239.1,23309,0
2023-03-27T00:00:00+0530,240.25,240.95,227.05,229.75,45509,0
2023-03-28T00:00:00+0530,232,232,220.1,221.5,64763,0
2023-03-29T00:00:00+0530,224,242.5,222.45,238.3,125073,0
2023-03-31T00:00:00+0530,237.95,239.95,234.1,235.7,48792,0
2023-04-03T00:00:00+0530,242,245.2,236.85,244.1,47531,0
2023-04-05T00:00:00+0530,244,254.2,240.5,252,101476,0
2023-04-06T00:00:00+0530,253,253.9,246.5,247.7,27299,0
2023-04-10T00:00:00+0530,247.7,251.85,244.6,246.05,23410,0
2023-04-11T00:00:00+0530,247.45,252,246.85,249.5,31231,0
2023-04-12T00:00:00+0530,247.55,256,247.55,254,48025,0
2023-04-13T00:00:00+0530,255,268.85,251.85,264.85,187826,0
2023-04-17T00:00:00+0530,265.05,275,265.05,268.9,135196,0
2023-04-18T00:00:00+0530,271.4,271.4,261.5,264.1,42836,0
2023-04-19T00:00:00+0530,265.9,266.65,261.1,262,30405,0
2023-04-20T00:00:00+0530,262,264.65,256.4,258.35,45816,0
2023-04-21T00:00:00+0530,258,259.95,255.6,257.35,32503,0
2023-04-24T00:00:00+0530,260.35,271,258.5,267.25,69896,0
2023-04-25T00:00:00+0530,268,275,268,272,96764,0
2023-04-26T00:00:00+0530,273.6,279,270.3,273.8,84779,0
2023-04-27T00:00:00+0530,277.8,283,276,281.2,96286,0
2023-04-28T00:00:00+0530,284,285,277.85,280.7,81301,0
2023-05-02T00:00:00+0530,303.65,303.65,282.1,284.6,582427,0
2023-05-03T00:00:00+0530,288,288,281,283.1,96722,0
2023-05-04T00:00:00+0530,286.95,287.65,281.05,286.7,94720,0
2023-05-05T00:00:00+0530,287.85,290,282,283.75,72052,0
2023-05-08T00:00:00+0530,286.7,292,284.55,289.1,132937,0
2023-05-09T00:00:00+0530,290,293.25,287.4,288.3,100743,0
2023-05-10T00:00:00+0530,288.3,289.9,283.05,285.6,43437,0
2023-05-11T00:00:00+0530,287.1,291,283.75,285.1,49017,0
2023-05-12T00:00:00+0530,288,288.3,283.4,284.8,30669,0
2023-05-15T00:00:00+0530,287.7,288.45,283.5,285.6,48239,0
2023-05-16T00:00:00+0530,288.95,289,283.7,286,35498,0
2023-05-17T00:00:00+0530,288.4,288.4,282,283.65,33010,0
2023-05-18T00:00:00+0530,286.8,286.8,282.6,283.3,22750,0
2023-05-19T00:00:00+0530,282.85,284.25,272.55,274.2,83220,0
2023-05-22T00:00:00+0530,276.85,276.85,270.95,273.35,68608,0
2023-05-23T00:00:00+0530,274,276.45,270,271.55,49512,0
2023-05-24T00:00:00+0530,272.8,272.8,265,266.3,72645,0
2023-05-25T00:00:00+0530,268,269.95,264.35,267.1,41042,0
2023-05-26T00:00:00+0530,269,279.95,267.5,275.15,114407,0
2023-05-29T00:00:00+0530,276,282.15,272.35,280.55,98868,0
2023-05-30T00:00:00+0530,283,284.95,278,281.1,57784,0
2023-05-31T00:00:00+0530,280,288.8,278,280.6,98761,0
2023-06-01T00:00:00+0530,283.4,283.7,277.45,278.95,57262,0
2023-06-02T00:00:00+0530,281,283.2,278.8,280.7,81480,0
2023-06-05T00:00:00+0530,283.6,285.9,281.8,283.7,130571,0
2023-06-06T00:00:00+0530,286,286.6,282,283.3,113406,0
2023-06-07T00:00:00+0530,278.9,278.9,274.85,275.65,109137,0
2023-06-08T00:00:00+0530,278.85,278.85,267.1,268.7,96884,0
2023-06-09T00:00:00+0530,270,271.75,265.1,266.8,66824,0
2023-06-12T00:00:00+0530,267.8,268.9,266,268.45,38893,0
2023-06-13T00:00:00+0530,268.4,273.2,267.1,272.35,52304,0
2023-06-14T00:00:00+0530,272.35,274.65,271,271.95,25510,0
2023-06-15T00:00:00+0530,273.9,283.2,270.05,282.6,135972,0
2023-06-16T00:00:00+0530,283.4,284.6,278.3,279.3,44377,0
2023-06-19T00:00:00+0530,283,283,275.3,277.4,47116,0
2023-06-20T00:00:00+0530,279.85,283.85,276.45,281.4,48022,0
2023-06-21T00:00:00+0530,277.4,283,277.4,281.05,68392,0
2023-06-22T00:00:00+0530,281.05,281.15,274.3,277.5,39388,0
2023-06-23T00:00:00+0530,276.55,279.7,271.1,272.7,25629,0
2023-06-26T00:00:00+0530,270.2,276.9,270,275.4,39147,0
2023-06-27T00:00:00+0530,275,278.15,272.5,274.1,45020,0
2023-06-28T00:00:00+0530,276.7,283.95,272.7,281.85,69736,0
2023-06-30T00:00:00+0530,281,283.45,276.1,281.1,55836,0
2023-07-03T00:00:00+0530,279,283,278,278.65,49472,0
