date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,48.12,48.5,48.12,48.42,355568,0
2023-01-03T00:00:00+0530,48.91,49.18,48.63,49.03,606601,0
2023-01-04T00:00:00+0530,49.15,49.52,49.06,49.49,670632,0
2023-01-05T00:00:00+0530,49.53,49.59,48.83,48.9,1035647,0
2023-01-06T00:00:00+0530,48.9,48.9,48.25,48.68,505591,0
2023-01-09T00:00:00+0530,49.38,49.94,49.3,49.4,318256,0
2023-01-10T00:00:00+0530,49.53,49.53,49.11,49.23,214271,0
2023-01-11T00:00:00+0530,49.34,49.44,49.11,49.37,285330,0
2023-01-12T00:00:00+0530,49.48,49.48,49.16,49.32,420787,0
2023-01-13T00:00:00+0530,49.58,49.66,49.32,49.54,261654,0
2023-01-16T00:00:00+0530,49.78,49.98,49.74,49.92,299047,0
2023-01-17T00:00:00+0530,50.18,50.18,49.7,49.93,430162,0
2023-01-18T00:00:00+0530,49.98,49.99,49.61,49.75,247550,0
2023-01-19T00:00:00+0530,49.89,49.89,49.6,49.81,161127,0
2023-01-20T00:00:00+0530,50.18,50.19,49.96,50.15,423825,0
2023-01-23T00:00:00+0530,50.25,50.34,50.01,50.16,495934,0
2023-01-24T00:00:00+0530,51.48,51.48,50.3,50.37,273895,0
2023-01-25T00:00:00+0530,50.59,51,49.92,50.03,1895562,0
2023-01-27T00:00:00+0530,50.08,50.2,49.87,50.09,616528,0
2023-01-30T00:00:00+0530,50.24,50.27,49.99,50.03,2061583,0
2023-01-31T00:00:00+0530,50.19,50.19,49.85,49.89,554832,0
2023-02-01T00:00:00+0530,50.81,50.81,49.97,50.61,923922,0
2023-02-02T00:00:00+0530,51.2,51.88,51.02,51.74,622489,0
2023-02-03T00:00:00+0530,50.28,51.63,50.28,50.84,521564,0
2023-02-06T00:00:00+0530,50.72,50.72,50.01,50.39,512370,0
2023-02-07T00:00:00+0530,50.5,50.5,50.3,50.37,1666535,0
2023-02-08T00:00:00+0530,50.59,50.7,50.28,50.66,3068833,0
2023-02-09T00:00:00+0530,50.78,50.78,50.43,50.59,255369,0
