date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,5215,5250,5200,5237.4,3354,0
2023-01-03T00:00:00+0530,5238,5298,5237.4,5280.47,4147,0
2023-01-04T00:00:00+0530,5280.47,5280.47,5262.01,5277.81,4348,0
2023-01-05T00:00:00+0530,5294.99,5294.99,5241,5281.32,2433,0
2023-01-06T00:00:00+0530,5287.99,5290,5268.5,5282.83,2195,0
2023-01-09T00:00:00+0530,5298,5308,5283,5304.29,3258,0
2023-01-10T00:00:00+0530,5324.85,5324.85,5290,5301.36,2335,0
2023-01-11T00:00:00+0530,5301.36,5315,5300,5307.46,1546,0
2023-01-12T00:00:00+0530,5307.46,5315,5300.01,5308.17,3507,0
2023-01-13T00:00:00+0530,5310,5324,5304.11,5306.33,5624,0
2023-01-16T00:00:00+0530,5310,5354,5306.33,5336.58,9469,0
2023-01-17T00:00:00+0530,5354,5356.58,5333,5339.76,4162,0
2023-01-18T00:00:00+0530,5340,5349.99,5325,5330.74,4041,0
2023-01-19T00:00:00+0530,5330.74,5340,5320.07,5333.21,1587,0
2023-01-20T00:00:00+0530,5340,5365,5340,5356.26,1969,0
2023-01-23T00:00:00+0530,5356.26,5365,5340.01,5346.79,3906,0
2023-01-24T00:00:00+0530,5347,5368.75,5335,5356.38,1847,0
2023-01-25T00:00:00+0530,5358,5360,5335,5347.33,2303,0
2023-01-27T00:00:00+0530,5374.85,5374.85,5325,5341.92,3144,0
2023-01-30T00:00:00+0530,5341.92,5358,5340.5,5345.35,1703,0
2023-01-31T00:00:00+0530,5360,5360,5312,5330.69,4016,0
2023-02-01T00:00:00+0530,5335,5358.98,5327,5329.78,7266,0
2023-02-02T00:00:00+0530,5340,5390,5340,5373.74,3005,0
2023-02-03T00:00:00+0530,5367,5397,5322,5366.16,3464,0
2023-02-06T00:00:00+0530,5370,5386,5340,5349.38,3000,0
2023-02-07T00:00:00+0530,5375,5375,5341.05,5353.8,3023,0
2023-02-08T00:00:00+0530,5371.99,5371.99,5345.02,5350.78,2754,0
2023-02-09T00:00:00+0530,5350.78,5360,5335,5351.6,1842,0
2023-02-10T00:00:00+0530,5329.9,5329.9,5295,5300.56,4919,0
2023-02-13T00:00:00+0530,5310,5310,5290,5293,2001,0
2023-02-14T00:00:00+0530,5293,5303.95,5282,5297.67,2134,0
2023-02-15T00:00:00+0530,5297.67,5305,5289,5294.87,3219,0
2023-02-16T00:00:00+0530,5290,5294.87,5271,5277.69,2326,0
2023-02-17T00:00:00+0530,5277.69,5277.69,5260,5273.64,2207,0
2023-02-20T00:00:00+0530,5275,5285,5270,5280.48,2889,0
2023-02-21T00:00:00+0530,5285,5299,5275,5284.9,1983,0
2023-02-22T00:00:00+0530,5280,5295,5275,5275.67,1630,0
2023-02-23T00:00:00+0530,5276,5289,5262,5281.1,2103,0
2023-02-24T00:00:00+0530,5285,5288,5266.1,5285.51,1735,0
2023-02-27T00:00:00+0530,5285.51,5285.51,5200,5267.5,2018,0
2023-02-28T00:00:00+0530,5267,5289.99,5263.75,5282.81,1674,0
2023-03-01T00:00:00+0530,5284,5295,5265,5276.23,2407,0
2023-03-02T00:00:00+0530,5293.9,5293.9,5274,5281.77,752,0
2023-03-03T00:00:00+0530,5289,5289,5266,5283.38,3674,0
2023-03-06T00:00:00+0530,5294,5310,5282,5295.7,3949,0
2023-03-08T00:00:00+0530,5300,5302.98,5285,5299.34,3436,0
2023-03-09T00:00:00+0530,5300,5310,5292,5302.19,3137,0
2023-03-10T00:00:00+0530,5310,5349,5310,5340.69,3141,0
2023-03-13T00:00:00+0530,5340,5380,5325,5376.5,2544,0
2023-03-14T00:00:00+0530,5381,5392,5376.55,5388.97,1854,0
2023-03-15T00:00:00+0530,5400,5404,5372,5377.99,1406,0
2023-03-16T00:00:00+0530,5400,5400,5372,5399.12,2544,0
2023-03-17T00:00:00+0530,5400,5435,5382,5427.93,4141,0
2023-03-20T00:00:00+0530,5437.5,5550,5376,5506.43,6162,0
2023-03-21T00:00:00+0530,5510,5547,5465.1,5475.92,2439,0
2023-03-22T00:00:00+0530,5475.92,5508,5460,5486.59,1430,0
2023-03-23T00:00:00+0530,5515,5550,5480,5485.55,1424,0
2023-03-24T00:00:00+0530,5490,5534.95,5485.55,5524.75,1647,0
2023-03-27T00:00:00+0530,5525.75,5525.75,5500.1,5518.17,2390,0
2023-03-28T00:00:00+0530,5535,5580,5518.17,5561.38,3073,0
2023-03-29T00:00:00+0530,5561,5583.99,5541,5551.19,1670,0
2023-03-31T00:00:00+0530,5551.2,5599,5455.55,5541.81,3029,0
2023-04-03T00:00:00+0530,5599,5599,5530,5544.67,1428,0
2023-04-05T00:00:00+0530,5565,5660,5550,5648.99,4093,0
2023-04-06T00:00:00+0530,5648.99,5750,5640,5737.64,3926,0
2023-04-10T00:00:00+0530,5737.64,5737.64,5621.01,5694.27,1258,0
2023-04-11T00:00:00+0530,5680,5727,5680,5693.43,705,0
2023-04-12T00:00:00+0530,5694,5740,5681,5701.28,1276,0
2023-04-13T00:00:00+0530,5720,5778,5700.25,5758.84,1146,0
2023-04-17T00:00:00+0530,5758.84,5799,5720.11,5785.04,2055,0
2023-04-18T00:00:00+0530,5785.04,5799,5773,5781.77,942,0
2023-04-19T00:00:00+0530,5781.77,5810,5777,5785.85,1489,0
2023-04-20T00:00:00+0530,5799,5799,5730,5744.52,1286,0
2023-04-21T00:00:00+0530,5798,5799,5706,5718.33,1171,0
2023-04-24T00:00:00+0530,5718,5790,5696.1,5703.98,2886,0
2023-04-25T00:00:00+0530,5744.99,5744.99,5707.21,5718.62,1069,0
2023-04-26T00:00:00+0530,5728.99,5743.94,5712,5739.28,917,0
2023-04-27T00:00:00+0530,5739.28,5750,5705.1,5736.74,1849,0
2023-04-28T00:00:00+0530,5755,5764.99,5728,5748.49,1095,0
2023-05-02T00:00:00+0530,5748.49,5780,5711.05,5737.52,1202,0
2023-05-03T00:00:00+0530,5780,5840,5776,5787.32,1928,0
2023-05-04T00:00:00+0530,5787.32,5859.99,5787.32,5844.99,3128,0
2023-05-05T00:00:00+0530,5850,5900,5850,5873.82,2564,0
2023-05-08T00:00:00+0530,5900,5900,5861,5877.22,3797,0
2023-05-09T00:00:00+0530,5877.22,5910,5876.22,5904.83,1292,0
2023-05-10T00:00:00+0530,5905,5940,5900,5929.84,1837,0
2023-05-11T00:00:00+0530,5945,5953.99,5929.85,5950,713,0
2023-05-12T00:00:00+0530,5925.03,5948.99,5855,5929.5,1476,0
2023-05-15T00:00:00+0530,5901,5975.99,5900,5972.32,1521,0
2023-05-16T00:00:00+0530,5975,5975,5942,5969.64,1097,0
2023-05-17T00:00:00+0530,5913.15,5968.41,5868,5888.56,1073,0
2023-05-18T00:00:00+0530,5888,5944.99,5880,5899.88,2312,0
2023-05-19T00:00:00+0530,5899.88,5900,5850,5886.06,737,0
2023-05-22T00:00:00+0530,5890,5948,5890,5917.57,626,0
2023-05-23T00:00:00+0530,5917.56,5932,5862,5925.93,1325,0
2023-05-24T00:00:00+0530,5862.5,5944,5862.5,5927.74,1076,0
2023-05-25T00:00:00+0530,5928.75,5944,5882,5917.17,1184,0
2023-05-26T00:00:00+0530,5918,5935,5892.8,5900.39,1096,0
2023-05-29T00:00:00+0530,5901,5922.9,5880,5902.01,1194,0
2023-05-30T00:00:00+0530,5902.01,5949.2,5877.01,5912.01,933,0
2023-05-31T00:00:00+0530,5921,5960,5905,5948.92,1417,0
2023-06-01T00:00:00+0530,5948.92,5958.99,5905.05,5943.48,856,0
2023-06-02T00:00:00+0530,5943.48,6030,5912.56,6006.07,1750,0
2023-06-05T00:00:00+0530,6006.07,6027.98,5950,5989.77,3400,0
2023-06-06T00:00:00+0530,5990,5990,5960,5970.01,703,0
2023-06-07T00:00:00+0530,5970.02,6000,5970.01,5990.99,1079,0
2023-06-08T00:00:00+0530,5990.99,5999,5981.01,5995.14,998,0
2023-06-09T00:00:00+0530,5995.14,6030,5995.14,5999.81,977,0
2023-06-12T00:00:00+0530,5999.81,6020,5995.14,6001.41,939,0
2023-06-13T00:00:00+0530,6010,6038.7,6000,6027.32,871,0
2023-06-14T00:00:00+0530,6020,6029.99,6000,6015.29,576,0
2023-06-15T00:00:00+0530,6000,6015.29,5950,5966.43,1110,0
2023-06-16T00:00:00+0530,5966.43,5999.99,5945,5957.86,2007,0
2023-06-19T00:00:00+0530,5960,5983,5904.1,5925.53,1910,0
2023-06-20T00:00:00+0530,5925.53,5968,5890,5898.55,1054,0
2023-06-21T00:00:00+0530,5898.55,5939.45,5898.55,5919.88,522,0
2023-06-22T00:00:00+0530,5895,5928.99,5855,5863.95,3195,0
2023-06-23T00:00:00+0530,5900,5900,5852,5892.53,2242,0
2023-06-26T00:00:00+0530,5900.1,5948.99,5900,5923.21,1006,0
2023-06-27T00:00:00+0530,5920,5920,5865,5870.59,1894,0
2023-06-28T00:00:00+0530,5899.99,5918,5871,5904.69,1266,0
2023-06-30T00:00:00+0530,5905,5929.99,5883.02,5919.84,1376,0
2023-07-03T00:00:00+0530,5903,5919.84,5751,5878.65,2627,0
2023-07-04T00:00:00+0530,5878.65,5885,5821.5,5826.64,4291,0
2023-07-05T00:00:00+0530,5835,5880,5810,5875.22,2365,0
2023-07-06T00:00:00+0530,5873.9,5910,5841.05,5901.26,1398,0
2023-07-07T00:00:00+0530,5914,6029.95,5855.01,5902.17,1617,0
2023-07-10T00:00:00+0530,5930,5950,5855.55,5920.66,975,0
2023-07-11T00:00:00+0530,5920,5920.05,5880.2,5891.29,700,0
2023-07-12T00:00:00+0530,5885.05,5915,5878.1,5905.1,664,0
2023-07-13T00:00:00+0530,5910,5964,5905.1,5913.63,476,0
2023-07-14T00:00:00+0530,5985,5985,5831,5899.25,1316,0
2023-07-17T00:00:00+0530,5899.25,5949,5851,5893.75,1045,0
2023-07-18T00:00:00+0530,5919.99,5924.9,5890,5894.83,1146,0
2023-07-19T00:00:00+0530,5920,5920,5866,5893.24,1247,0
2023-07-20T00:00:00+0530,5900,5925,5900,5915.54,561,0
2023-07-21T00:00:00+0530,5916,5924.99,5895,5922.28,1880,0
2023-07-24T00:00:00+0530,5922.28,5945.01,5904.31,5924.93,1073,0
2023-07-25T00:00:00+0530,5913.55,5932.39,5867,5913.94,1048,0
2023-07-26T00:00:00+0530,5930,5965,5900,5953.58,1475,0
2023-07-27T00:00:00+0530,5953.58,5953.58,5915.11,5947.37,581,0
2023-07-28T00:00:00+0530,5910,5985,5905.06,5961.15,793,0
2023-07-31T00:00:00+0530,5950,6000,5930,5996.47,1173,0
2023-08-01T00:00:00+0530,5996.47,6000,5932,5987.84,822,0
2023-08-02T00:00:00+0530,5990.84,5990.84,5930,5982.51,420,0
2023-08-03T00:00:00+0530,5960,5990,5950,5973.74,779,0
2023-08-04T00:00:00+0530,5970,5983,5950.01,5960.89,880,0
2023-08-07T00:00:00+0530,6000,6000,5935,5939.48,1527,0
2023-08-08T00:00:00+0530,5931.1,5946.79,5922,5936.51,1844,0
2023-08-09T00:00:00+0530,5945,5990,5921.01,5950.28,1478,0
2023-08-10T00:00:00+0530,5929,5949,5910,5923.38,2321,0
2023-08-11T00:00:00+0530,5906,5939.37,5869,5914.96,1086,0
2023-08-14T00:00:00+0530,5940,5940,5885,5919.75,2797,0
2023-08-16T00:00:00+0530,5919.75,5925,5877.1,5886.66,1157,0
2023-08-17T00:00:00+0530,5886.66,5925,5878,5885.03,1021,0
2023-08-18T00:00:00+0530,5887.01,5915,5885,5912.45,1090,0
2023-08-21T00:00:00+0530,5920,5920,5883.03,5890.09,758,0
2023-08-22T00:00:00+0530,5910,5924.99,5894,5905.38,604,0
2023-08-23T00:00:00+0530,5905.38,5925.38,5892,5898.75,1576,0
2023-08-24T00:00:00+0530,5900.02,5936,5889,5916.59,1410,0
2023-08-25T00:00:00+0530,5916.59,5925,5861,5880.79,1632,0
2023-08-28T00:00:00+0530,5890,5920,5888,5901.02,584,0
2023-08-29T00:00:00+0530,5901.02,5919.99,5880.05,5896.08,1747,0
