date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,5200,5200,5200,5200,1,0
2023-01-04T00:00:00+0530,5358,5358,5358,5358,5,0
2023-01-06T00:00:00+0530,5350,5355,5350,5355,16,0
2023-01-09T00:00:00+0530,5350,5355,5350,5355,5,0
2023-01-16T00:00:00+0530,5350,5450,5350,5400,103,0
2023-01-23T00:00:00+0530,5400,5400,5400,5400,11,0
2023-01-27T00:00:00+0530,5400,5400,5400,5400,1,0
2023-01-30T00:00:00+0530,5480,5480,5470,5470,102,0
2023-01-31T00:00:00+0530,5470,5470,5470,5470,61,0
2023-02-01T00:00:00+0530,5440,5440,5440,5440,1,0
2023-02-02T00:00:00+0530,5440,5440,5400,5400,23,0
2023-02-03T00:00:00+0530,5590,5598,5590,5598,18,0
2023-02-07T00:00:00+0530,5500,5500,5500,5500,1,0
2023-02-13T00:00:00+0530,5500,5500,5500,5500,1,0
2023-02-15T00:00:00+0530,5355,5440,5355,5440,3,0
2023-02-21T00:00:00+0530,5310,5440,5310,5440,8,0
2023-02-23T00:00:00+0530,5255,5500,5255,5420,10,0
2023-02-27T00:00:00+0530,5360,5360,5335,5350,21,0
2023-02-28T00:00:00+0530,5355,5355,5355,5355,1,0
2023-03-01T00:00:00+0530,5355,5355,5355,5355,1,0
2023-03-03T00:00:00+0530,5370,5370,5370,5370,1,0
2023-03-06T00:00:00+0530,5369,5369,5369,5369,1,0
2023-03-10T00:00:00+0530,5520,5526,5335,5335,7,0
2023-03-13T00:00:00+0530,5390,5390,5390,5390,10,0
2023-03-15T00:00:00+0530,5445,5445,5445,5445,45,0
2023-03-16T00:00:00+0530,5475,5639,5475,5639,20,0
2023-03-20T00:00:00+0530,5629,5629,5629,5629,2,0
2023-03-23T00:00:00+0530,5530,5530,5530,5530,18,0
2023-03-28T00:00:00+0530,5561,5561,5561,5561,1,0
2023-03-29T00:00:00+0530,5568,5568,5568,5568,1,0
2023-04-03T00:00:00+0530,5575,5799.99,5575,5799.99,16,0
2023-04-05T00:00:00+0530,5725,5725,5725,5725,7,0
2023-04-06T00:00:00+0530,5800,5800,5800,5800,6,0
2023-04-11T00:00:00+0530,5849,5849,5849,5849,3,0
2023-04-12T00:00:00+0530,5899,5899,5899,5899,60,0
2023-04-13T00:00:00+0530,5890,5899,5890,5899,11,0
2023-04-17T00:00:00+0530,5899,5899,5899,5899,21,0
2023-04-18T00:00:00+0530,6093,6093,6093,6093,18,0
2023-04-19T00:00:00+0530,6049,6059,6049,6054.99,22,0
2023-04-20T00:00:00+0530,6054,6099,6054,6054,25,0
2023-04-21T00:00:00+0530,6099,6099,6020,6020,2,0
2023-04-24T00:00:00+0530,6090,6092,5950,5950,12,0
2023-04-25T00:00:00+0530,5950,6050,5950,6050,12,0
2023-05-02T00:00:00+0530,6000,6000,6000,6000,3,0
2023-05-05T00:00:00+0530,6000,6000,6000,6000,2,0
2023-05-12T00:00:00+0530,5995,5999,5995,5999,12,0
2023-05-19T00:00:00+0530,5969,5969,5969,5969,17,0
2023-05-24T00:00:00+0530,5969,5969,5969,5969,10,0
2023-05-29T00:00:00+0530,5886,5886,5886,5886,4,0
2023-06-01T00:00:00+0530,6050,6100,6050,6100,4,0
2023-06-02T00:00:00+0530,5905,5905,5902.05,5902.05,5,0
2023-06-05T00:00:00+0530,5902.05,5905.05,5902.05,5905.05,36,0
2023-06-06T00:00:00+0530,5906,5906,5905,5905,5,0
