date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,5126,5195,5126,5193.99,95,0
2023-01-03T00:00:00+0530,5193,5201,5178,5200.01,70,0
2023-01-04T00:00:00+0530,5248.9,5250,5215.2,5215.2,242,0
2023-01-05T00:00:00+0530,5215.2,5215.2,5215.2,5215.2,1,0
2023-01-06T00:00:00+0530,5220,5239,5210,5215.01,140,0
2023-01-09T00:00:00+0530,5222,5319.89,5222,5265,89,0
2023-01-10T00:00:00+0530,5270,5284,5245,5250.06,30,0
2023-01-11T00:00:00+0530,5280,5285,5255,5284,83,0
2023-01-12T00:00:00+0530,5284,5284,5284,5284,1,0
2023-01-13T00:00:00+0530,5255.11,5294.95,5255.11,5271.66,108,0
2023-01-16T00:00:00+0530,5300,5305,5281,5299.99,168,0
2023-01-17T00:00:00+0530,5300,5300,5286,5287,240,0
2023-01-18T00:00:00+0530,5288,5290,5268,5276.91,375,0
2023-01-19T00:00:00+0530,5331,5331,5265,5290,211,0
2023-01-20T00:00:00+0530,5291,5300,5286,5300,459,0
2023-01-23T00:00:00+0530,5448,5448,5280,5300,15,0
2023-01-24T00:00:00+0530,5299,5350,5291.01,5303.3,128,0
2023-01-25T00:00:00+0530,5335,5335,5310,5311,84,0
2023-01-27T00:00:00+0530,5300,5330,5300,5330,38,0
2023-01-30T00:00:00+0530,5300,5309,5275.13,5288.04,179,0
2023-01-31T00:00:00+0530,5300,5300,5300,5300,16,0
2023-02-01T00:00:00+0530,5251,5325,5251,5275.1,92,0
2023-02-02T00:00:00+0530,5325,5540,5302,5368,386,0
2023-02-03T00:00:00+0530,5377,5377,5321,5321,8,0
2023-02-06T00:00:00+0530,5211,5320,5211,5301,62,0
2023-02-07T00:00:00+0530,5390,5390,5325,5345,54,0
2023-02-08T00:00:00+0530,5370,5370,5302,5324,36,0
2023-02-09T00:00:00+0530,5324,5324,5324,5324,1,0
2023-02-10T00:00:00+0530,5350,5350,5350,5350,7,0
2023-02-13T00:00:00+0530,5305,5345,5305,5340,10,0
2023-02-16T00:00:00+0530,5300,5300,5258,5262,208,0
2023-02-17T00:00:00+0530,5275,5275,5265,5265.1,48,0
2023-02-20T00:00:00+0530,5310,5310,5271,5310,121,0
2023-02-21T00:00:00+0530,5250.1,5315,5250.1,5293,57,0
2023-02-22T00:00:00+0530,5293,5300,5293,5300,11,0
2023-02-23T00:00:00+0530,5246.5,5246.5,5246,5246.25,8,0
2023-02-24T00:00:00+0530,5248,5325,5248,5300,85,0
2023-02-27T00:00:00+0530,5247,5324.5,5247,5300,8,0
2023-02-28T00:00:00+0530,5290,5290,5261,5261,19,0
2023-03-01T00:00:00+0530,5261,5262,5240,5250,26,0
2023-03-02T00:00:00+0530,5251,5255,5239,5242,61,0
2023-03-03T00:00:00+0530,5260,5280,5260,5261,39,0
2023-03-06T00:00:00+0530,5275,5290,5275,5290,235,0
2023-03-08T00:00:00+0530,5300,5330,5280,5280,211,0
2023-03-09T00:00:00+0530,5280,5290,5277,5281.57,288,0
2023-03-10T00:00:00+0530,5272,5299,5258,5286.85,592,0
2023-03-13T00:00:00+0530,5291,5339,5290,5330,617,0
2023-03-14T00:00:00+0530,5345,5347.97,5324,5339.39,136,0
2023-03-15T00:00:00+0530,5339.38,5340,5325,5325.5,226,0
2023-03-16T00:00:00+0530,5340,5375,5339,5368.83,269,0
2023-03-17T00:00:00+0530,5358,5375,5358,5374.94,59,0
2023-03-20T00:00:00+0530,5395,5470,5395,5459.8,412,0
2023-03-21T00:00:00+0530,5410,5475,5410,5436,401,0
2023-03-22T00:00:00+0530,5452,5469,5428,5428.3,290,0
2023-03-23T00:00:00+0530,5434,5440,5434,5438.66,10,0
2023-03-24T00:00:00+0530,5480,5485,5445,5462.5,93,0
2023-03-27T00:00:00+0530,5450,5475,5443.01,5451.77,90,0
2023-03-28T00:00:00+0530,5474.99,5475,5431,5431,110,0
2023-03-29T00:00:00+0530,5470,5470,5420.01,5445.54,55,0
2023-03-31T00:00:00+0530,5453,5524,5425.11,5473.07,203,0
2023-04-03T00:00:00+0530,5490,5490,5440,5458,230,0
2023-04-05T00:00:00+0530,5550,5570,5507,5537.31,355,0
2023-04-06T00:00:00+0530,5555,5580,5521.01,5579.5,458,0
2023-04-10T00:00:00+0530,5579,5604.93,5547,5580.2,68,0
2023-04-11T00:00:00+0530,5580.2,5635,5580.2,5600.61,115,0
2023-04-12T00:00:00+0530,5606,5673.96,5606,5673.96,41,0
2023-04-13T00:00:00+0530,5674,5674,5645,5650,73,0
2023-04-17T00:00:00+0530,5655,5699.99,5650,5662.5,145,0
2023-04-18T00:00:00+0530,5630,5698,5630,5695.1,118,0
2023-04-19T00:00:00+0530,5650.05,5739.99,5650.05,5672,75,0
2023-04-20T00:00:00+0530,5650,5680,5650,5675.01,7,0
2023-04-21T00:00:00+0530,5672,5672,5672,5672,4,0
2023-04-24T00:00:00+0530,5799,5799,5656,5703.99,123,0
2023-04-25T00:00:00+0530,5709.5,5725,5709.5,5725,105,0
2023-04-26T00:00:00+0530,5723.99,5723.99,5723,5723,4,0
2023-04-27T00:00:00+0530,5720,5750,5672,5750,11,0
2023-04-28T00:00:00+0530,5700,5745,5672,5700,75,0
2023-05-02T00:00:00+0530,5730,5750,5730,5750,2,0
2023-05-03T00:00:00+0530,5750,5780,5750,5780,25,0
2023-05-04T00:00:00+0530,5820,5860,5820,5860,71,0
2023-05-05T00:00:00+0530,5860,5890,5860,5890,38,0
2023-05-08T00:00:00+0530,5786,5825,5786,5825,13,0
2023-05-09T00:00:00+0530,5842,5842,5842,5842,14,0
2023-05-10T00:00:00+0530,5899,5899,5899,5899,6,0
2023-05-11T00:00:00+0530,5899,5899,5899,5899,100,0
2023-05-12T00:00:00+0530,5898,5899,5898,5899,35,0
2023-05-15T00:00:00+0530,5880,5880,5854,5854,27,0
2023-05-16T00:00:00+0530,5950,5950,5950,5950,2,0
2023-05-18T00:00:00+0530,5850.01,5889,5850,5889,31,0
2023-05-19T00:00:00+0530,5805.05,5806,5800,5800,326,0
2023-05-22T00:00:00+0530,5818.89,5850.01,5818.89,5850,19,0
2023-05-23T00:00:00+0530,5812,5888,5812,5850,102,0
2023-05-24T00:00:00+0530,5874.99,5874.99,5850.05,5850.05,41,0
2023-05-25T00:00:00+0530,5850.05,5923,5823,5829.11,44,0
2023-05-26T00:00:00+0530,5880,5880,5840,5840,8,0
2023-05-29T00:00:00+0530,5840,5920,5840,5888,69,0
2023-05-30T00:00:00+0530,5860.05,5860.05,5860,5860,62,0
2023-05-31T00:00:00+0530,5850.1,5925,5850.1,5925,21,0
2023-06-01T00:00:00+0530,5909,5925,5909,5919,31,0
2023-06-02T00:00:00+0530,5900,5934.9,5900,5932,213,0
2023-06-05T00:00:00+0530,5904.88,5910,5900,5900,328,0
2023-06-06T00:00:00+0530,5939,5939,5902,5902.5,25,0
2023-06-07T00:00:00+0530,5925,5938,5910.11,5937,31,0
2023-06-08T00:00:00+0530,5910,5910,5910,5910,6,0
2023-06-09T00:00:00+0530,5954,5954,5950,5950,95,0
2023-06-12T00:00:00+0530,5970,5970,5940,5970,41,0
2023-06-13T00:00:00+0530,5964.95,5964.95,5936.21,5962,116,0
2023-06-14T00:00:00+0530,5959.31,5959.31,5959.31,5959.31,5,0
2023-06-15T00:00:00+0530,5905,5958,5900,5919.99,192,0
2023-06-16T00:00:00+0530,5920,5920,5900,5900,85,0
2023-06-19T00:00:00+0530,5861.13,5940,5861.13,5875,62,0
2023-06-20T00:00:00+0530,5871,5899,5871,5875,35,0
2023-06-21T00:00:00+0530,5870,5875,5870,5875,271,0
