date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,5151.01,5190,5141.25,5190,702,0
2023-01-03T00:00:00+0530,5200,5225,5150.05,5215.66,507,0
2023-01-04T00:00:00+0530,5273,5375,5190.02,5201.14,296,0
2023-01-05T00:00:00+0530,5224,5276.01,5200,5240,390,0
2023-01-06T00:00:00+0530,5240,5240,5220,5221.26,253,0
2023-01-09T00:00:00+0530,5230,5265,5230,5265,431,0
2023-01-10T00:00:00+0530,5265,5269.95,5230,5240.69,220,0
2023-01-11T00:00:00+0530,5230,5284.7,5230,5279.39,146,0
2023-01-12T00:00:00+0530,5235.01,5281,5235.01,5279.15,346,0
2023-01-13T00:00:00+0530,5235,5291.95,5235,5271.11,304,0
2023-01-16T00:00:00+0530,5271,5300,5270,5284.36,712,0
2023-01-17T00:00:00+0530,5300,5300,5278,5286.32,151,0
2023-01-18T00:00:00+0530,5271,5289.99,5271,5287.14,73,0
2023-01-19T00:00:00+0530,5287.14,5289,5270,5287.33,298,0
2023-01-20T00:00:00+0530,5285,5300,5285,5294.02,329,0
2023-01-23T00:00:00+0530,5285,5300,5270,5289.25,307,0
2023-01-24T00:00:00+0530,5281,5314,5281,5292.05,327,0
2023-01-25T00:00:00+0530,5300,5310,5288.01,5304.17,504,0
2023-01-27T00:00:00+0530,5300,5304,5286.61,5297.6,302,0
2023-01-30T00:00:00+0530,5260,5289,5260,5277.04,597,0
2023-01-31T00:00:00+0530,5277,5329,5277,5287.02,355,0
2023-02-01T00:00:00+0530,5251,5298.5,5251,5282,1247,0
2023-02-02T00:00:00+0530,5276,5340,5276,5316.13,517,0
2023-02-03T00:00:00+0530,5300,5315,5251,5289.39,439,0
2023-02-06T00:00:00+0530,5290,5300,5285,5289.99,340,0
2023-02-07T00:00:00+0530,5290.8,5320,5290.8,5311.25,765,0
2023-02-08T00:00:00+0530,5272,5330,5272,5304.96,156,0
2023-02-09T00:00:00+0530,5339,5339,5293,5310.96,231,0
2023-02-10T00:00:00+0530,5288,5319.5,5280,5303.93,82,0
2023-02-13T00:00:00+0530,5310,5319.8,5305.2,5306,104,0
2023-02-14T00:00:00+0530,5290,5303,5283,5301.58,116,0
2023-02-15T00:00:00+0530,5285.01,5304.97,5285.01,5292,68,0
2023-02-16T00:00:00+0530,5292.2,5298,5250,5280.14,198,0
2023-02-17T00:00:00+0530,5288,5289.7,5270,5280,147,0
2023-02-20T00:00:00+0530,5280,5293.99,5270,5270,975,0
2023-02-21T00:00:00+0530,5270,5292.9,5265.2,5276.24,127,0
2023-02-22T00:00:00+0530,5280,5280,5258,5263.35,126,0
2023-02-23T00:00:00+0530,5260,5274.99,5248.01,5269.62,127,0
2023-02-24T00:00:00+0530,5250.5,5271.8,5250.5,5271.8,61,0
2023-02-27T00:00:00+0530,5271.8,5275,5251,5261.91,217,0
2023-02-28T00:00:00+0530,5259,5269.5,5243,5244.64,1859,0
2023-03-01T00:00:00+0530,5349,5349,5245,5246.1,978,0
2023-03-02T00:00:00+0530,5250,5260,5240,5254.29,1212,0
2023-03-03T00:00:00+0530,5258,5280,5250,5264.36,786,0
2023-03-06T00:00:00+0530,5252,5296,5252,5290,624,0
2023-03-08T00:00:00+0530,5250,5299,5250,5280.77,2124,0
2023-03-09T00:00:00+0530,5280.77,5299.99,5272,5296,549,0
2023-03-10T00:00:00+0530,5300,5337,5299.9,5334.73,340,0
2023-03-13T00:00:00+0530,5337.2,5379,5337.2,5372.36,158,0
2023-03-14T00:00:00+0530,5372.36,5395,5372,5376.68,155,0
2023-03-15T00:00:00+0530,5377,5384.99,5360.12,5369.07,242,0
2023-03-16T00:00:00+0530,5371,5399,5370,5379.25,413,0
2023-03-17T00:00:00+0530,5396.99,5405,5326,5403.43,629,0
2023-03-20T00:00:00+0530,5423,5600,5411,5492.86,1156,0
2023-03-21T00:00:00+0530,5492.86,5498,5466,5469.83,112,0
2023-03-22T00:00:00+0530,5469.83,5485,5454.07,5480.5,309,0
2023-03-23T00:00:00+0530,5475.2,5509.45,5475,5488,131,0
2023-03-24T00:00:00+0530,5519.5,5525,5488,5503.56,484,0
2023-03-27T00:00:00+0530,5493,5520.94,5442,5516.7,260,0
2023-03-28T00:00:00+0530,5490.03,5520,5475,5497.25,469,0
2023-03-29T00:00:00+0530,5497.25,5506,5491.55,5503.6,79,0
2023-03-31T00:00:00+0530,5503.5,5546.9,5501.15,5504.01,278,0
2023-04-03T00:00:00+0530,5498.02,5509.99,5493.28,5504.32,71,0
2023-04-05T00:00:00+0530,5500,5590,5500,5584.03,237,0
2023-04-06T00:00:00+0530,5562,5910.45,5561,5625,510,0
2023-04-10T00:00:00+0530,5625,5650,5602,5633.81,925,0
2023-04-11T00:00:00+0530,5610,5670,5610,5656,787,0
2023-04-12T00:00:00+0530,5670,5700,5663,5665.1,386,0
2023-04-13T00:00:00+0530,5700,5730,5670.2,5698.88,166,0
2023-04-17T00:00:00+0530,5675,5719.99,5675,5719.99,164,0
2023-04-18T00:00:00+0530,5719.99,5729.98,5684.21,5727.65,128,0
2023-04-19T00:00:00+0530,5632,5689.5,5632,5659.95,959,0
