date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,5280,5280,5174,5179,86,0
2023-01-03T00:00:00+0530,5179,5249.99,5179,5239.99,23,0
2023-01-04T00:00:00+0530,5240,5344.99,5239,5319.99,75,0
2023-01-05T00:00:00+0530,5270,5270,5270,5270,20,0
2023-01-06T00:00:00+0530,5270,5378,5211.96,5231.41,68,0
2023-01-09T00:00:00+0530,5250,5325,5250,5320,10,0
2023-01-10T00:00:00+0530,5299.99,5300,5250,5270.78,20,0
2023-01-11T00:00:00+0530,5221,5325,5221,5253.28,13,0
2023-01-12T00:00:00+0530,5255.11,5298.99,5235,5280,48,0
2023-01-13T00:00:00+0530,5280,5283,5275.01,5282.71,37,0
2023-01-16T00:00:00+0530,5283,5329,5283,5323.51,34,0
2023-01-17T00:00:00+0530,5300,5330,5300,5320,17,0
2023-01-18T00:00:00+0530,5310,5310,5310,5310,10,0
2023-01-19T00:00:00+0530,5300,5300,5300,5300,45,0
2023-01-20T00:00:00+0530,5251.02,5344.79,5251.01,5344.79,13,0
2023-01-23T00:00:00+0530,5262.1,5338.89,5250,5338.89,36,0
2023-01-24T00:00:00+0530,5330.8,5330.8,5330,5330,2,0
2023-01-25T00:00:00+0530,5329,5336,5306,5336,14,0
2023-01-27T00:00:00+0530,5335,5336,5325,5336,18,0
2023-01-30T00:00:00+0530,5335,5336,5271.11,5271.11,17,0
2023-01-31T00:00:00+0530,5300,5309.79,5270,5309.79,142,0
2023-02-01T00:00:00+0530,5309,5348.79,5309,5348.79,9,0
2023-02-02T00:00:00+0530,5348.79,5490,5348.79,5418.99,10,0
2023-02-03T00:00:00+0530,5313,5350,5313,5350,15,0
2023-02-06T00:00:00+0530,5236.01,5348.74,5236.01,5260,4,0
2023-02-07T00:00:00+0530,5301,5350,5301,5350,9,0
2023-02-08T00:00:00+0530,5350,5350,5301.01,5301.01,3,0
2023-02-10T00:00:00+0530,5308,5320,5308,5320,14,0
2023-02-13T00:00:00+0530,5320,5320,5300,5320,15,0
2023-02-14T00:00:00+0530,5356,5356,5356,5356,6,0
2023-02-15T00:00:00+0530,5300,5300,5300,5300,30,0
2023-02-16T00:00:00+0530,5300,5300,5300,5300,26,0
2023-02-17T00:00:00+0530,5300,5300,5300,5300,2,0
2023-02-20T00:00:00+0530,5299.99,5349.99,5265.01,5265.01,40,0
