date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,64.3,67.5,64.1,67.5,13312,0
2023-01-03T00:00:00+0530,70.1,70.85,68.95,70.85,30406,0
2023-01-04T00:00:00+0530,72.9,72.9,67.35,68.3,60258,0
2023-01-05T00:00:00+0530,70.9,70.9,68.4,69.2,12699,0
2023-01-06T00:00:00+0530,69.9,70.55,66.65,68.25,20967,0
2023-01-09T00:00:00+0530,68.9,70.5,66.95,68.05,14549,0
2023-01-10T00:00:00+0530,68.6,71.45,66.35,70.8,43769,0
2023-01-11T00:00:00+0530,74,74.3,69.45,73.85,65714,0
2023-01-12T00:00:00+0530,74.4,75.85,72,75.1,89435,0
2023-01-13T00:00:00+0530,75.1,78.85,75.1,78.85,46855,0
2023-01-16T00:00:00+0530,81,81,74.9,74.9,55824,0
2023-01-17T00:00:00+0530,74.9,78.15,73.15,75.25,26319,0
2023-01-18T00:00:00+0530,77.9,78.4,71.5,71.7,45194,0
2023-01-19T00:00:00+0530,74,74,68.15,71.3,45341,0
2023-01-20T00:00:00+0530,72.95,74.85,70,71.8,55245,0
2023-01-23T00:00:00+0530,71.85,73.85,70.3,70.75,10058,0
2023-01-24T00:00:00+0530,72.85,72.85,67.55,70.2,23096,0
2023-01-25T00:00:00+0530,68,70.8,67.3,68.7,24277,0
2023-01-27T00:00:00+0530,68.7,70.85,66.35,67.65,15677,0
2023-01-30T00:00:00+0530,69.9,70.9,65.3,66.4,18378,0
2023-01-31T00:00:00+0530,68.9,68.9,66.25,68.05,11489,0
2023-02-01T00:00:00+0530,70.5,71.2,65.15,65.95,19496,0
2023-02-02T00:00:00+0530,67.3,67.3,62.95,63.3,19959,0
2023-02-03T00:00:00+0530,66.2,66.2,62.05,63.35,23746,0
2023-02-06T00:00:00+0530,65,65,60.25,62.05,17220,0
2023-02-07T00:00:00+0530,58.95,58.95,58.95,58.95,18758,0
2023-02-08T00:00:00+0530,56.5,58.35,56.05,57.05,40342,0
2023-02-09T00:00:00+0530,56.6,57.5,54.25,54.55,39086,0
2023-02-10T00:00:00+0530,55.8,56,52.5,54.6,36692,0
2023-02-13T00:00:00+0530,53.95,55.65,53.95,54.3,11309,0
2023-02-14T00:00:00+0530,55.4,55.45,52.3,52.85,11999,0
2023-02-15T00:00:00+0530,52,53,51.6,52.1,5679,0
2023-02-16T00:00:00+0530,52.9,54.7,51.95,54.7,13134,0
2023-02-17T00:00:00+0530,57.3,57.4,56,57.4,12987,0
2023-02-20T00:00:00+0530,59.65,59.65,54.55,54.55,52447,0
2023-02-21T00:00:00+0530,54.55,57.25,53.15,54.15,25564,0
2023-02-22T00:00:00+0530,53.2,56.65,53,55.15,11167,0
2023-02-23T00:00:00+0530,55.1,57.9,53.7,56.25,14556,0
2023-02-24T00:00:00+0530,55.1,56.6,53.45,53.45,14229,0
2023-02-27T00:00:00+0530,52.65,52.7,50.8,51,26074,0
2023-02-28T00:00:00+0530,52.85,52.85,48.55,49.85,23097,0
2023-03-01T00:00:00+0530,50.15,51,49.7,50.7,22915,0
2023-03-02T00:00:00+0530,52.75,52.75,50,50.65,12477,0
2023-03-03T00:00:00+0530,52.5,52.5,51.25,51.9,14967,0
2023-03-06T00:00:00+0530,52,52.3,49.45,50.75,15822,0
2023-03-08T00:00:00+0530,50.9,52,48.45,49.95,25507,0
2023-03-09T00:00:00+0530,50.8,50.85,47.75,49.15,24943,0
2023-03-10T00:00:00+0530,49.45,51.6,49.4,51.3,12426,0
2023-03-13T00:00:00+0530,51.35,51.6,48.75,48.75,11936,0
2023-03-14T00:00:00+0530,49.75,49.75,47.45,47.85,20409,0
2023-03-15T00:00:00+0530,47.85,49,47.5,48.25,4348,0
2023-03-16T00:00:00+0530,46.4,49.5,46.4,48.2,6008,0
2023-03-17T00:00:00+0530,48.9,49.4,47,47.85,8206,0
2023-03-20T00:00:00+0530,48,49.35,45.75,46.35,23116,0
