date,open,high,low,close,volume,empty
2025-04-02T00:00:00+0530,140,147,140,147,3456000,0
2025-04-03T00:00:00+0530,151,154.35,148,154.35,728400,0
2025-04-04T00:00:00+0530,154.5,156,147.1,147.5,448800,0
2025-04-07T00:00:00+0530,140.15,140.15,140.15,140.15,30000,0
2025-04-08T00:00:00+0530,133.15,133.15,133.15,133.15,33600,0
2025-04-09T00:00:00+0530,126.5,139.75,126.5,133.35,318000,0
2025-04-11T00:00:00+0530,131.7,140,131.7,140,96000,0
2025-04-15T00:00:00+0530,144.5,147,143.45,146.95,165600,0
2025-04-16T00:00:00+0530,149.5,150,143,144.95,57600,0
2025-04-17T00:00:00+0530,146,152.15,145,150.35,171600,0
2025-04-21T00:00:00+0530,156,157,150,155.1,246000,0
2025-04-22T00:00:00+0530,157,157,150,154.1,104400,0
2025-04-23T00:00:00+0530,151.55,170,147.65,164.3,528000,0
2025-04-24T00:00:00+0530,170,173,167.25,169.05,174000,0
2025-04-25T00:00:00+0530,170.5,172,162,163.25,130800,0
2025-04-28T00:00:00+0530,165,167.2,163,164.75,130800,0
2025-04-29T00:00:00+0530,160,163.75,156.2,162.15,127200,0
2025-04-30T00:00:00+0530,163.9,163.9,155,155.45,57600,0
2025-05-02T00:00:00+0530,156,158,152,153.05,37200,0
2025-05-05T00:00:00+0530,153.05,157,153.05,156.75,36000,0
2025-05-06T00:00:00+0530,155.8,155.8,147.5,147.65,48000,0
2025-05-07T00:00:00+0530,143,152.45,141.6,148.4,39600,0
2025-05-08T00:00:00+0530,149,161,149,151.6,90000,0
2025-05-09T00:00:00+0530,150,153,149.5,150.45,34800,0
2025-05-12T00:00:00+0530,157,160,152.15,153,58800,0
2025-05-13T00:00:00+0530,154.5,155,152,153.5,31200,0
2025-05-14T00:00:00+0530,155,155.5,147.3,148.55,90000,0
2025-05-15T00:00:00+0530,148.15,155.5,148.15,153.05,33600,0
2025-05-16T00:00:00+0530,155.25,155.5,150.7,155.05,34800,0
2025-05-19T00:00:00+0530,157,160.5,156.5,160.1,48000,0
2025-05-20T00:00:00+0530,161,162.75,156.75,157.65,57600,0
2025-05-21T00:00:00+0530,157.65,160,155,157.95,51600,0
2025-05-22T00:00:00+0530,158.5,158.5,156.1,156.9,15600,0
2025-05-23T00:00:00+0530,157.5,159.5,157.5,159,16800,0
2025-05-26T00:00:00+0530,160,162,155,157.35,51600,0
2025-05-27T00:00:00+0530,158,160,157,160,48000,0
2025-05-28T00:00:00+0530,160,162.95,157,158.85,75600,0
2025-05-29T00:00:00+0530,163,163,157.05,161.6,44400,0
2025-05-30T00:00:00+0530,160,160,158.05,158.5,14400,0
2025-06-02T00:00:00+0530,160.95,160.95,150,151.8,75600,0
2025-06-03T00:00:00+0530,151,154.5,148.1,153.05,114000,0
2025-06-04T00:00:00+0530,150.15,151,149.5,150.75,19200,0
2025-06-05T00:00:00+0530,152,152,148,148.85,33600,0
2025-06-06T00:00:00+0530,150,154.4,148,153.1,82800,0
2025-06-09T00:00:00+0530,155,155.5,154,154.5,26400,0
2025-06-10T00:00:00+0530,154,158.85,152,156.7,43200,0
2025-06-11T00:00:00+0530,157,157.95,149.45,152.2,64800,0
2025-06-12T00:00:00+0530,154,154,150,150,15600,0
2025-06-13T00:00:00+0530,148.5,152.5,146.65,150.55,38400,0
2025-06-16T00:00:00+0530,151.25,154,150,153,27600,0
2025-06-17T00:00:00+0530,152.5,153,150,151,25200,0
2025-06-18T00:00:00+0530,152,152,148.1,149.1,20400,0
2025-06-19T00:00:00+0530,149,150.8,148.75,149.75,15600,0
2025-06-23T00:00:00+0530,148.75,156,148,155.35,80400,0
2025-06-24T00:00:00+0530,156.25,158,153,153,43200,0
2025-06-25T00:00:00+0530,153,155,150.1,153.7,27600,0
2025-06-26T00:00:00+0530,154,155,153,153,36000,0
2025-06-27T00:00:00+0530,152,155.4,151.2,151.7,40800,0
2025-06-30T00:00:00+0530,153,153,151,151,12000,0
2025-07-01T00:00:00+0530,149.5,150,148,148.5,19200,0
2025-07-02T00:00:00+0530,149,152,148,149,63600,0
2025-07-03T00:00:00+0530,149,150.05,147.55,149.85,37200,0
2025-07-04T00:00:00+0530,149,149.95,148,148,16800,0
2025-07-07T00:00:00+0530,147,150,147,148.5,16800,0
2025-07-08T00:00:00+0530,150,152,148,151,24000,0
2025-07-09T00:00:00+0530,152,152,149,149,3600,0
2025-07-10T00:00:00+0530,148.1,154,148.1,151,18000,0
2025-07-11T00:00:00+0530,151,155.6,151,152.15,22800,0
2025-07-14T00:00:00+0530,153.1,155.5,152.15,155,30000,0
2025-07-15T00:00:00+0530,154.5,176.5,154.5,171.85,291600,0
2025-07-16T00:00:00+0530,172.45,177,165,169,94800,0
2025-07-17T00:00:00+0530,168.5,171.45,165.05,166.5,37200,0
2025-07-18T00:00:00+0530,166,170,165,169.55,43200,0
2025-07-21T00:00:00+0530,169.55,176,169.55,172.2,34800,0
2025-07-22T00:00:00+0530,175,175,173,174.95,12000,0
2025-07-23T00:00:00+0530,177,192.5,176,189.15,195600,0
2025-07-24T00:00:00+0530,189,192.8,182,183.05,45600,0
2025-07-25T00:00:00+0530,183.5,183.5,176,178.65,44400,0
2025-07-28T00:00:00+0530,180,180,168,175,55200,0
2025-07-29T00:00:00+0530,175,178,172,176.15,33600,0
2025-07-30T00:00:00+0530,179,205,178.15,196.4,180000,0
