date,open,high,low,close,volume,empty
2023-09-27T00:00:00+0530,444,474,444,458.55,14348612,0
2023-09-28T00:00:00+0530,451,461.9,446.8,460.5,1175144,0
2023-09-29T00:00:00+0530,463.9,485.9,460,477.75,1322775,0
2023-10-03T00:00:00+0530,479.9,485.95,475,476.8,572238,0
2023-10-04T00:00:00+0530,476.5,479,454.1,468.85,847119,0
2023-10-05T00:00:00+0530,471.4,479.9,471,472.75,314151,0
2023-10-06T00:00:00+0530,474.75,503.45,471.05,483.7,2003596,0
2023-10-09T00:00:00+0530,479,492.7,472.65,482.15,498268,0
2023-10-10T00:00:00+0530,485.8,498.9,485.1,498.35,1576883,0
2023-10-11T00:00:00+0530,502.85,512.9,495,502.8,622685,0
2023-10-12T00:00:00+0530,493.25,514,493.25,500.3,546557,0
2023-10-13T00:00:00+0530,501.95,522,495.35,504.3,490543,0
2023-10-16T00:00:00+0530,511.75,513.4,507.1,510.1,344232,0
2023-10-17T00:00:00+0530,510.25,519.9,510.25,515.3,131025,0
2023-10-18T00:00:00+0530,517.2,519.75,511,511.1,168171,0
2023-10-19T00:00:00+0530,511.9,535.8,509.25,519.65,835126,0
2023-10-20T00:00:00+0530,516.1,560,516.1,550.3,685705,0
2023-10-23T00:00:00+0530,551.95,554,528,529.15,349100,0
2023-10-25T00:00:00+0530,533,543,528,530.8,211829,0
2023-10-26T00:00:00+0530,529.95,530.3,513,522.8,1142300,0
2023-10-27T00:00:00+0530,524.95,568.95,524.95,560.55,427530,0
2023-10-30T00:00:00+0530,559.7,568.45,559,565.05,421307,0
2023-10-31T00:00:00+0530,569,584.7,565,570.1,249073,0
2023-11-01T00:00:00+0530,574,583,572.6,579,228540,0
2023-11-02T00:00:00+0530,584,608.4,581.4,603.35,1134664,0
2023-11-03T00:00:00+0530,609,609.9,601,601.6,142756,0
2023-11-06T00:00:00+0530,607,627,605.7,618.65,272117,0
2023-11-07T00:00:00+0530,624.8,662.25,615.05,651.5,241947,0
2023-11-08T00:00:00+0530,663,682.95,657,663.55,297663,0
2023-11-09T00:00:00+0530,667,684.2,656.45,678.8,205244,0
2023-11-10T00:00:00+0530,671.2,683.45,658,680.35,336761,0
2023-11-12T00:00:00+0530,684,693.8,684,692.05,85143,0
2023-11-13T00:00:00+0530,699,707,692.2,705.05,134485,0
2023-11-15T00:00:00+0530,713,740,710.35,722.7,235891,0
2023-11-16T00:00:00+0530,727.45,738,716.05,721.85,214556,0
2023-11-17T00:00:00+0530,722.95,732.9,715.4,723.15,256464,0
2023-11-20T00:00:00+0530,723,730,703.55,727.95,175798,0
2023-11-21T00:00:00+0530,729.5,746,716.25,745.35,2010711,0
2023-11-22T00:00:00+0530,752,770.9,735.1,743.9,459121,0
2023-11-23T00:00:00+0530,745.9,758.9,737.6,754.2,230652,0
2023-11-24T00:00:00+0530,755,757.9,747.5,749.7,203389,0
2023-11-28T00:00:00+0530,754,755.45,743.65,750,132304,0
2023-11-29T00:00:00+0530,751,763,750,756.55,209725,0
2023-11-30T00:00:00+0530,756.55,763.6,755.15,760.2,121384,0
2023-12-01T00:00:00+0530,760.2,788.95,760.2,779.3,198665,0
2023-12-04T00:00:00+0530,788.65,808.05,788.65,800.35,160897,0
2023-12-05T00:00:00+0530,805,808.9,787.1,797.75,582372,0
2023-12-06T00:00:00+0530,806,806,796,796.75,197270,0
2023-12-07T00:00:00+0530,799.65,803,790,793.1,242946,0
2023-12-08T00:00:00+0530,794,802.9,788,789.6,246690,0
2023-12-11T00:00:00+0530,784,800.9,784,795.4,94406,0
2023-12-12T00:00:00+0530,801.65,809.9,791,798.65,541956,0
2023-12-13T00:00:00+0530,802.65,804.6,795.5,800.85,70034,0
2023-12-14T00:00:00+0530,805,805,800,800.8,65939,0
2023-12-15T00:00:00+0530,806,816.6,790.7,796.65,698872,0
2023-12-18T00:00:00+0530,796.1,807.3,795.5,804.3,302208,0
2023-12-19T00:00:00+0530,796.3,819,796.3,813.85,315069,0
2023-12-20T00:00:00+0530,813.85,818.4,783.1,801.85,452996,0
2023-12-21T00:00:00+0530,790.6,811,775,808.95,165719,0
2023-12-22T00:00:00+0530,814.9,828.85,806.5,817.85,146112,0
2023-12-26T00:00:00+0530,821.95,822.95,810.05,820.5,500362,0
2023-12-27T00:00:00+0530,829.2,866.8,811.75,843.8,935436,0
2023-12-28T00:00:00+0530,845,859,838.2,851.95,301812,0
2023-12-29T00:00:00+0530,851.95,880.75,851.95,877.35,350737,0
2024-01-01T00:00:00+0530,879.65,945,877.4,918.55,493277,0
2024-01-02T00:00:00+0530,923,934,911,931.55,196884,0
2024-01-03T00:00:00+0530,931.55,959.8,921.05,950.95,552051,0
2024-01-04T00:00:00+0530,956,1048,956,1027.1,1928036,0
2024-01-05T00:00:00+0530,1039.95,1066.4,1031.45,1055.5,613608,0
2024-01-08T00:00:00+0530,1066.8,1098,1042,1087.9,512787,0
2024-01-09T00:00:00+0530,1106.4,1124,1100.15,1121.7,329173,0
2024-01-10T00:00:00+0530,1125,1131.2,1120,1123.6,205796,0
2024-01-11T00:00:00+0530,1129.7,1135.35,1123,1128.7,217344,0
2024-01-12T00:00:00+0530,1143.2,1143.25,1123.35,1133.5,117933,0
2024-01-15T00:00:00+0530,1135.05,1147.95,1118.6,1140.05,254268,0
2024-01-16T00:00:00+0530,1142,1142,1132,1138.35,148390,0
2024-01-17T00:00:00+0530,1123,1138,1115,1125.65,294133,0
2024-01-18T00:00:00+0530,1114,1130,1110,1125.2,310925,0
2024-01-19T00:00:00+0530,1129.95,1137.95,1120,1122.55,135533,0
2024-01-20T00:00:00+0530,1137.25,1140,1125,1127.2,88397,0
2024-01-23T00:00:00+0530,1127.2,1133,1086.5,1110.4,179979,0
2024-01-24T00:00:00+0530,1110,1115.25,1055.5,1093.6,308643,0
2024-01-25T00:00:00+0530,1093.6,1105,1085.5,1087.45,289054,0
2024-01-29T00:00:00+0530,1081.3,1114.9,1080.65,1110.65,239279,0
2024-01-30T00:00:00+0530,1120,1144,1120,1137.1,301761,0
2024-01-31T00:00:00+0530,1133.6,1239.4,1131.05,1144.85,330638,0
2024-02-01T00:00:00+0530,1163,1187,1140,1179.5,357230,0
2024-02-02T00:00:00+0530,1189.95,1203,1175,1191.5,403328,0
2024-02-05T00:00:00+0530,1220,1228,1203.35,1220.65,465988,0
2024-02-06T00:00:00+0530,1228,1229,1200,1219.1,423149,0
2024-02-07T00:00:00+0530,1228,1250,1219,1248.05,409061,0
2024-02-08T00:00:00+0530,1257.3,1305,1257.3,1293.15,567121,0
2024-02-09T00:00:00+0530,1303,1330.4,1286,1317,469400,0
2024-02-12T00:00:00+0530,1319.95,1345.05,1310,1311.8,561930,0
2024-02-13T00:00:00+0530,1301,1345,1291,1341.45,495288,0
2024-02-14T00:00:00+0530,1336.7,1365,1321.75,1362.7,463344,0
2024-02-15T00:00:00+0530,1365.05,1375,1345.25,1356,518441,0
2024-02-16T00:00:00+0530,1370,1374,1346,1362,496393,0
2024-02-19T00:00:00+0530,1365,1381,1351,1364.5,444185,0
2024-02-20T00:00:00+0530,1360,1373,1351,1364,468861,0
2024-02-21T00:00:00+0530,1364,1372.75,1336,1342.3,1505346,0
2024-02-22T00:00:00+0530,1335.05,1352,1330,1347.2,540443,0
2024-02-23T00:00:00+0530,1347,1360.15,1321,1325,672718,0
2024-02-26T00:00:00+0530,1353,1354,1320.35,1348.6,565586,0
2024-02-27T00:00:00+0530,1359.25,1359.25,1325,1326.1,465854,0
2024-02-28T00:00:00+0530,1330,1349,1330,1337.65,531909,0
2024-02-29T00:00:00+0530,1350,1390,1325,1373.05,841897,0
2024-03-01T00:00:00+0530,1379.45,1388,1371,1383.85,441194,0
2024-03-02T00:00:00+0530,1380,1394,1380,1391,57110,0
2024-03-04T00:00:00+0530,1417.95,1427.9,1403,1423.9,664062,0
2024-03-05T00:00:00+0530,1421.95,1422,1381,1402.3,628129,0
2024-03-06T00:00:00+0530,1401,1414,1380,1401.95,621440,0
2024-03-07T00:00:00+0530,1407,1415.9,1405.5,1413.4,456972,0
2024-03-11T00:00:00+0530,1420,1420,1391,1398.05,469589,0
2024-03-12T00:00:00+0530,1398.05,1401.9,1351,1355.2,590576,0
2024-03-13T00:00:00+0530,1355,1363,1122.8,1171.85,681657,0
2024-03-14T00:00:00+0530,1144.3,1270,1121,1258.8,761634,0
2024-03-15T00:00:00+0530,1258.8,1262.2,1180,1227.7,698887,0
2024-03-18T00:00:00+0530,1250,1268.85,1227.85,1250.45,407899,0
2024-03-19T00:00:00+0530,1249.1,1253.55,1225,1232.9,409546,0
2024-03-20T00:00:00+0530,1225,1288,1225,1258.35,425437,0
2024-03-21T00:00:00+0530,1274,1333.2,1251.1,1325.6,552031,0
2024-03-22T00:00:00+0530,1328,1336,1304.8,1326.9,401442,0
2024-03-26T00:00:00+0530,1326,1338,1292,1293.65,405070,0
2024-03-27T00:00:00+0530,1293.95,1324,1287.05,1320.5,438493,0
2024-03-28T00:00:00+0530,1305,1375.3,1305,1359.2,513686,0
2024-04-01T00:00:00+0530,1365.65,1371.4,1321,1325.85,422691,0
2024-04-02T00:00:00+0530,1344,1358,1327,1355.05,389631,0
2024-04-03T00:00:00+0530,1355,1368,1304.6,1313.1,441209,0
2024-04-04T00:00:00+0530,1313.95,1320,1274.85,1298.05,476167,0
2024-04-05T00:00:00+0530,1295,1314,1281.05,1306.3,391125,0
2024-04-08T00:00:00+0530,1348,1366,1326.05,1351.6,456527,0
2024-04-09T00:00:00+0530,1360.05,1366,1349.9,1355.75,407597,0
2024-04-10T00:00:00+0530,1350.1,1373.85,1350,1365.9,391333,0
2024-04-12T00:00:00+0530,1358.05,1366.25,1311,1314.95,449589,0
2024-04-15T00:00:00+0530,1301,1323.75,1251,1292.25,479395,0
2024-04-16T00:00:00+0530,1280.1,1299,1275.35,1286.55,420632,0
2024-04-18T00:00:00+0530,1286.05,1298.7,1261,1267.3,446485,0
2024-04-19T00:00:00+0530,1251,1262.7,1235,1249.55,446082,0
2024-04-22T00:00:00+0530,1275,1281.9,1225,1231.35,472837,0
2024-04-23T00:00:00+0530,1260,1260.05,1202.35,1215.1,451593,0
2024-04-24T00:00:00+0530,1221,1244,1202.95,1211.35,478028,0
2024-04-25T00:00:00+0530,1211,1274,1211,1257.7,682589,0
2024-04-26T00:00:00+0530,1251,1265.2,1246,1257.95,513798,0
2024-04-29T00:00:00+0530,1267.2,1283,1250,1261.45,633624,0
2024-04-30T00:00:00+0530,1263,1274,1250.3,1260,553202,0
2024-05-02T00:00:00+0530,1260.95,1266,1241.6,1255.4,436583,0
2024-05-03T00:00:00+0530,1255.4,1263,1241,1253.35,434465,0
2024-05-06T00:00:00+0530,1255,1273,1246,1265.85,621133,0
2024-05-07T00:00:00+0530,1272.9,1289.4,1226,1249.35,538803,0
2024-05-08T00:00:00+0530,1250,1259,1232.9,1243.4,493245,0
2024-05-09T00:00:00+0530,1243,1257.05,1241,1241.8,573417,0
2024-05-10T00:00:00+0530,1245,1258,1203.05,1249,712338,0
2024-05-13T00:00:00+0530,1245,1272,1232.4,1257.75,472821,0
2024-05-14T00:00:00+0530,1270.8,1274,1229.2,1252.35,516290,0
2024-05-15T00:00:00+0530,1252,1274,1250,1259.05,613008,0
2024-05-16T00:00:00+0530,1280,1282,1250.05,1264.05,553947,0
2024-05-17T00:00:00+0530,1265,1297,1265,1287.55,936996,0
