date,open,high,low,close,volume,empty
2024-04-10T00:00:00+0530,137,137.95,133,134.35,178807,0
2024-04-12T00:00:00+0530,135,137,122,125.2,346343,0
2024-04-15T00:00:00+0530,124,129,120.1,126.6,157398,0
2024-04-16T00:00:00+0530,122.15,128,122.15,127.55,55629,0
2024-04-18T00:00:00+0530,128.9,132,124.4,125.85,141037,0
2024-04-19T00:00:00+0530,126,127.45,124.7,125.75,84891,0
2024-04-22T00:00:00+0530,126.55,131,125.1,127.2,94693,0
2024-04-23T00:00:00+0530,128.2,129,127.45,128.3,44355,0
2024-04-24T00:00:00+0530,130.5,131.2,126.8,127.25,110686,0
2024-04-25T00:00:00+0530,127.25,128.6,125.75,126.65,72350,0
2024-04-26T00:00:00+0530,126.65,127.85,124.95,125.85,73588,0
2024-04-29T00:00:00+0530,125.75,127,123.45,124.7,98093,0
2024-04-30T00:00:00+0530,124.7,125.5,121.95,123.9,116231,0
2024-05-02T00:00:00+0530,124.9,129,123.75,127.2,109808,0
2024-05-03T00:00:00+0530,128.05,128.05,124.5,125.7,106959,0
2024-05-06T00:00:00+0530,126,127.05,121,123.55,112902,0
2024-05-07T00:00:00+0530,123.55,125.85,122,125,120828,0
2024-05-08T00:00:00+0530,124.85,124.9,122.65,123.3,25160,0
2024-05-09T00:00:00+0530,123.3,124.05,121.2,121.95,19989,0
2024-05-10T00:00:00+0530,122,122.05,119,120.15,32393,0
2024-05-13T00:00:00+0530,122.9,122.9,118.3,120.3,29118,0
2024-05-14T00:00:00+0530,117.5,127,117.5,124.45,51247,0
2024-05-15T00:00:00+0530,126.9,126.9,120.5,121.8,52728,0
2024-05-16T00:00:00+0530,122.1,123.9,122.05,123.55,10865,0
2024-05-17T00:00:00+0530,123.55,123.55,117.65,121.5,76407,0
2024-05-18T00:00:00+0530,121.5,124.4,121.2,123.05,10252,0
2024-05-21T00:00:00+0530,123.95,123.95,116.2,118.05,120596,0
2024-05-22T00:00:00+0530,119.8,119.8,114.25,118.7,114348,0
2024-05-23T00:00:00+0530,119.5,119.75,115,115.6,48263,0
2024-05-24T00:00:00+0530,115.05,118.5,114.9,115.9,101599,0
2024-05-27T00:00:00+0530,117.9,117.9,111.95,113.6,68844,0
2024-05-28T00:00:00+0530,115,115,111,111.85,58850,0
2024-05-29T00:00:00+0530,110,114.95,109.95,114.45,30845,0
2024-05-30T00:00:00+0530,113.8,115,111.8,112.65,24730,0
